Sample	posterior	likelihood	prior	Tree.t:Ala.CFheight	Tree.t:Ala.CFlength	Tree.t:Ala.nConv	Tree.t:Ala.nUselessConvs	Tree.t:Ala.meanEdgeLength	Tree.t:Ala.meanDepartureHeight	Tree.t:Ala.locus.Ala.meanTractLength	Tree.t:Ala.locus.Ala.meanRegionLength	Tree.t:Ala.locus.Ala.meanStartSite	Tree.t:Ala.locus.Ala.meanEndSite	Tree.t:Ala.locus.Ala.randomStartSite	Tree.t:Ala.locus.Ala.randomEndSite	rho.t:Ala	delta.t:Ala	gammaShape.s:Ala	mutationRate.s:Ala	popModelBSP.t:Ala.t0	popModelBSP.t:Ala.N0	popModelBSP.t:Ala.t1	popModelBSP.t:Ala.N1	popModelBSP.t:Ala.t2	popModelBSP.t:Ala.N2	popModelBSP.t:Ala.t3	popModelBSP.t:Ala.N3	popModelBSP.t:Ala.t4	popModelBSP.t:Ala.N4
0	-11311.867999278817	-11248.863639209947	-63.0043600688693	1.6479266844703213	8.963541998508573	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.001	1000.0	1.0	1.0	0.0	1.0	0.3295853368940643	1.0	0.6591706737881285	1.0	0.9887560106821929	1.0	1.318341347576257	1.0
1000	-7000.030756690554	-6804.149660752345	-195.8810959382088	0.9570921224968125	15.516866945990609	7	0	0.049754667860607615	0.31159286465849895	92.42857142857143	34.666666666666664	8.285714285714286	99.71428571428571	0.0	103.0	5.810231115105648E-4	448.98689225282584	1.0	1.0	0.0	1.4968006896443355	0.28712763674904374	1.0529584147300985	0.382836848998725	1.0	0.5742552734980875	1.2320104467326096	0.76567369799745	1.0132424323463733
2000	-6298.43780747887	-6103.580811398184	-194.856996080686	1.0546676565297064	13.098138721481149	10	1	0.08587344011397141	0.23424861829240182	86.3	20.8	12.8	98.1	0.0	80.0	6.854708105012248E-4	536.1565526697292	1.0	1.0	0.0	1.5899430700567754	0.42186706261188256	1.0529584147300985	0.5273338282648532	0.8736712445360911	0.8437341252237651	1.2320104467326096	0.9492008908767358	1.3298646522259654
3000	-5929.239813223337	-5735.86127449828	-193.3785387250565	0.8606539670752171	12.042816963641544	10	1	0.08093390165800357	0.1971771987954504	89.1	20.8	7.5	95.6	17.0	103.0	5.480781251195534E-4	586.1838749734169	1.0	1.0	0.0	1.5612423740945864	0.2581961901225651	1.2403694646103456	0.34426158683008684	0.7659953256563327	0.5163923802451302	1.2320104467326096	0.6024577769526519	1.3453293891589944
4000	-5703.329205664932	-5515.683873134978	-187.64533252995344	1.0719091348406087	12.389368505026244	8	0	0.1048120879293587	0.17960786838777473	88.625	20.8	4.75	92.375	21.0	103.0	5.008257209035493E-4	562.4639526693618	1.0	1.0	0.0	1.7542259107384264	0.4287636539362435	1.2309043924408043	0.750336394388426	0.8039786758672617	0.8575273078724869	1.0092970997265236	0.9647182213565477	1.5131589403219388
5000	-5551.9864712838835	-5395.496025255204	-156.49044602868022	0.985722009313796	12.324020404981164	6	0	0.046463425291214354	0.18183314505552442	94.0	34.666666666666664	2.8333333333333335	95.83333333333333	0.0	60.0	8.012487289945538E-4	721.8287949374693	1.0	1.0	0.0	2.1381837362595837	0.19714440186275922	1.5712168330670822	0.6900054065196572	0.7551419882603159	0.7885776074510369	0.9535990923607172	0.8871498083824165	1.5131589403219388
6000	-5519.996246089266	-5354.077366651379	-165.91887943788674	1.108133625449055	12.001654462816957	7	0	0.07270426555387662	0.22594727230958891	89.42857142857143	20.8	11.714285714285714	100.14285714285714	62.0	103.0	5.511166102256399E-4	623.743756896995	0.8313707956023543	1.0	0.0	2.1381837362595837	0.22162672508981102	1.6412477361412272	0.7756935378143386	0.8179756702895038	0.8865069003592441	0.9630681392337752	0.9973202629041495	1.223915864381027
7000	-5507.727390499546	-5342.969862834213	-164.75752766533373	1.072994400286936	12.77857716449724	7	0	0.05377333144356026	0.16795071166046324	89.85714285714286	26.0	11.285714285714286	100.14285714285714	0.0	103.0	6.660935491761423E-4	738.5053966008509	0.8313707956023543	1.0	0.0	2.3715755686041518	0.2145988800573872	1.6348306945380848	0.536497200143468	0.9542042366759974	0.6437966401721616	0.9630681392337752	0.8583955202295488	1.223915864381027
8000	-5492.325822313749	-5324.918256679329	-167.40756563442048	0.9871813966291784	12.179422690222772	9	0	0.028843309154676935	0.18456578537402932	78.22222222222223	20.8	18.333333333333332	95.55555555555556	62.0	103.0	6.358904440635053E-4	530.5603954096621	0.8313707956023543	1.0	0.0	2.3715755686041518	0.19743627932583568	1.6348306945380848	0.4935906983145892	0.8200806658983255	0.6910269776404249	0.9630681392337752	0.8884632569662605	1.2534987614398003
9000	-5481.604118834621	-5317.73985552852	-163.86426330610115	0.9800057787900698	12.575799567684538	8	0	0.03155966919281964	0.1714681811130419	83.375	26.0	20.625	103.0	0.0	103.0	8.64321542909152E-4	377.2319704151795	0.8313707956023543	1.0	0.0	2.3759901765373233	0.39200231151602793	1.589834868700724	0.6860040451530489	0.8426827773177064	0.7840046230320559	0.987701244967268	0.8820052009110628	1.0586887731231212
10000	-5466.073042416505	-5304.506322267017	-161.5667201494884	1.1526014087147844	14.166518292783802	6	0	0.03626328796959833	0.19285548669480415	76.5	26.0	27.5	103.0	0.0	103.0	8.791659868216342E-4	563.1416307055509	0.8313707956023543	1.0	0.0	2.815444534215597	0.3457804226144353	1.589834868700724	0.5763007043573922	0.8426827773177064	0.8068209861003491	0.9128409172096974	1.037341267843306	1.176526261770734
