#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BirthDeath.t:Ala_ArchEuk" spec="beast.evolution.speciation.BirthDeathGernhard08Model">
#            <parameter id="relativeDeathRate2.t:Ala_ArchEuk" lower="0.0" name="relativeDeathRate" upper="1.0">0.5</parameter>
#            <parameter id="birthRate2.t:Ala_ArchEuk" lower="0.0" name="birthDiffRate" upper="10000.0">1.0</parameter>
#            <tree id="Tree.t:Ala_ArchEuk">
#                <taxonset id="TaxonSet.Ala_ArchEuk" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="BirthRatePrior.t:Ala_ArchEuk" name="distribution" x="@birthRate2.t:Ala_ArchEuk">
#            <Uniform id="Uniform.4" name="distr" upper="1000.0"/>
#        </prior>
#        <prior id="GammaShapePrior.s:Ala_ArchEuk" name="distribution">
#            <parameter id="gammaShape.s:Ala_ArchEuk" name="x">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter id="RealParameter.0" lower="0.0" name="mean" upper="0.0">1.0</parameter>
#            </Exponential>
#        </prior>
#        <prior id="DeathRatePrior.t:Ala_ArchEuk" name="distribution" x="@relativeDeathRate2.t:Ala_ArchEuk">
#            <Uniform id="Uniform.5" name="distr"/>
#        </prior>
#        <prior id="ucldStdevPrior.c:Ala_ArchEuk" name="distribution">
#            <parameter id="ucldStdev.c:Ala_ArchEuk" lower="0.0" name="x">0.1</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.2" name="alpha">0.5396</parameter>
#                <parameter estimate="false" id="RealParameter.3" name="beta">0.3819</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@Ala_ArchEuk" id="treeLikelihood.Ala_ArchEuk" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:Ala_ArchEuk">
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:Ala_ArchEuk" shape="@gammaShape.s:Ala_ArchEuk" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:Ala_ArchEuk" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:Ala_ArchEuk" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="WAG.s:Ala_ArchEuk" spec="beast.evolution.substitutionmodel.WAG"/>
#            </siteModel>
#            <branchRateModel id="RelaxedClock.c:Ala_ArchEuk" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:Ala_ArchEuk">
#                <LogNormal S="@ucldStdev.c:Ala_ArchEuk" id="LogNormalDistributionModel.c:Ala_ArchEuk" meanInRealSpace="true" name="distr">
#                    <parameter estimate="false" id="RealParameter.1" lower="0.0" name="M" upper="1.0">1.0</parameter>
#                </LogNormal>
#                <rateCategories dimension="54" id="rateCategories.c:Ala_ArchEuk" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#                <parameter estimate="false" id="ucldMean.c:Ala_ArchEuk" name="clock.rate">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	gammaShape	mutationRate	ucldStdev	rate.mean	rate.variance	rate.coefficientOfVariation	BirthDeath	birthRate2	relativeDeathRate2
0	-6657.89002386796	-6654.733056501135	-3.1569673668246265	-6654.733056501135	2.440781762449954	1.0	1.0	0.1	0.9719795114254325	0.008390096487798124	0.09233703173139683	3.9314237670367085	1.0	0.5
10000	-3295.3224964824703	-3288.7105359841735	-6.6119604982969635	-3288.7105359841735	0.9852181157540318	0.5676901906041705	1.0	0.3805626049820253	0.9022842039345748	0.17741996312175218	0.41733588034033176	1.394085851244844	4.207093145120922	0.05585764744018889
20000	-3292.668437105466	-3280.699896388009	-11.968540717457104	-3280.699896388009	1.3965706834744562	0.7215372635391984	1.0	0.4941131952630843	0.8793365987583918	0.29022620901347235	0.5600058694447753	-3.391099750406017	2.2349514531908237	0.26470391467480364
30000	-3290.965091953803	-3282.0030390412658	-8.962052912537361	-3282.0030390412658	1.014736885049269	0.6284762505097864	1.0	0.26546889014014907	1.009080077914862	0.07377885907264617	0.2694568088323186	-1.3624063020480484	1.9517753379740699	0.6045993523101333
40000	-3283.272880200879	-3276.5478784633974	-6.725001737481978	-3276.5478784633974	1.2003101920631536	0.8600956576951553	1.0	0.30658720308845966	0.9404022369291793	0.08361199152923593	0.2949935844747622	1.2802317313723384	2.2807076693669828	0.24944890803954287
50000	-3283.7765250086054	-3272.039850375291	-11.736674633314708	-3272.039850375291	1.0763874388671775	0.6877324296124383	1.0	0.5006490123307873	0.8895039213957011	0.18756792496010538	0.46464126842757464	-3.169874595969518	2.8768271888983477	0.11908188333241769
60000	-3281.626462127134	-3268.479217362009	-13.147244765124798	-3268.479217362009	0.9472495524253984	0.7321538377559041	1.0	0.6115208416060943	0.8617972489545805	0.3261064113412218	0.6002248918655302	-4.1536067845799725	1.4248373263441236	0.1733870935994458
70000	-3276.105643062683	-3266.865473634334	-9.240169428349141	-3266.865473634334	1.1699158102336715	0.6779875755314562	1.0	0.358927836890223	0.9690155579463263	0.20559559920912868	0.4374043256365283	-1.2074229506965217	2.0648738973168697	0.023845728708761674
80000	-3291.161278021654	-3279.216734762414	-11.944543259240188	-3279.216734762414	1.178166506417009	0.6443464337769802	1.0	0.4523671967984681	0.909117466914458	0.18130046951152123	0.4325763348418099	-3.5942441475952664	1.9301452523159943	0.27767090821910095
90000	-3295.8280451319615	-3281.35125163058	-14.476793501381456	-3281.35125163058	1.744102641448039	0.718122797928524	1.0	0.39013333716562015	0.9314244104759658	0.15854668300352623	0.41092343541120646	-6.283818354335703	1.8233798061528088	0.4324610538019442
100000	-3287.4045172106053	-3275.1320185237823	-12.272498686823056	-3275.1320185237823	1.4844073200163126	0.6823801835314584	1.0	0.4309419478286905	0.9706657851497748	0.18046922056311007	0.4143379537807941	-3.9626065470934226	2.381159702104319	0.15251085489085955
110000	-3289.4921447564243	-3278.162317475283	-11.329827281141318	-3278.162317475283	1.2863536775743485	0.7244425420976002	1.0	0.4094855670615589	0.9503658466932141	0.19942246179780052	0.44109415979781885	-3.0575694518696395	2.8657961271989687	0.10613639618796478
120000	-3282.0267908136066	-3273.8354782278616	-8.19131258574485	-3273.8354782278616	0.9793439082341394	0.746431686949209	1.0	0.39021869703729617	1.0324192024506984	0.14823657439458862	0.3780709140646479	0.030295686958864643	2.095617570420095	0.042699398420871934
130000	-3289.63505807374	-3273.8103311386553	-15.8247269350845	-3273.8103311386553	1.3702418316954992	0.746431686949209	1.0	0.5314053895111609	0.8802228552897539	0.2290149635046285	0.510574226743447	-7.091243482316607	1.4728139651985908	0.5176719179492666
