#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BirthDeath.t:Arg_BactEuk" spec="beast.evolution.speciation.BirthDeathGernhard08Model">
#            <parameter id="relativeDeathRate2.t:Arg_BactEuk" lower="0.0" name="relativeDeathRate" upper="1.0">0.5</parameter>
#            <parameter id="birthRate2.t:Arg_BactEuk" lower="0.0" name="birthDiffRate" upper="10000.0">1.0</parameter>
#            <tree id="Tree.t:Arg_BactEuk">
#                <taxonset id="TaxonSet.Arg_BactEuk" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="BirthRatePrior.t:Arg_BactEuk" name="distribution" x="@birthRate2.t:Arg_BactEuk">
#            <Uniform id="Uniform.5" name="distr" upper="1000.0"/>
#        </prior>
#        <prior id="GammaShapePrior.s:Arg_BactEuk" name="distribution">
#            <parameter id="gammaShape.s:Arg_BactEuk" name="x">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter id="RealParameter.0" lower="0.0" name="mean" upper="0.0">1.0</parameter>
#            </Exponential>
#        </prior>
#        <prior id="DeathRatePrior.t:Arg_BactEuk" name="distribution" x="@relativeDeathRate2.t:Arg_BactEuk">
#            <Uniform id="Uniform.6" name="distr"/>
#        </prior>
#        <prior id="ucldStdevPrior.c:Arg_BactEuk" name="distribution">
#            <parameter id="ucldStdev.c:Arg_BactEuk" lower="0.0" name="x">0.1</parameter>
#            <Gamma id="Gamma.1" name="distr">
#                <parameter estimate="false" id="RealParameter.5" name="alpha">0.5396</parameter>
#                <parameter estimate="false" id="RealParameter.6" name="beta">0.3819</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@Arg_BactEuk" id="treeLikelihood.Arg_BactEuk" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:Arg_BactEuk">
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:Arg_BactEuk" shape="@gammaShape.s:Arg_BactEuk" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:Arg_BactEuk" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:Arg_BactEuk" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="WAG.s:Arg_BactEuk" spec="beast.evolution.substitutionmodel.WAG"/>
#            </siteModel>
#            <branchRateModel id="RelaxedClock.c:Arg_BactEuk" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:Arg_BactEuk">
#                <LogNormal S="@ucldStdev.c:Arg_BactEuk" id="LogNormalDistributionModel.c:Arg_BactEuk" meanInRealSpace="true" name="distr">
#                    <parameter estimate="false" id="RealParameter.4" lower="0.0" name="M" upper="1.0">1.0</parameter>
#                </LogNormal>
#                <rateCategories dimension="66" id="rateCategories.c:Arg_BactEuk" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#                <parameter estimate="false" id="ucldMean.c:Arg_BactEuk" name="clock.rate">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	gammaShape	mutationRate	ucldStdev	rate.mean	rate.variance	rate.coefficientOfVariation	BirthDeath	birthRate2	relativeDeathRate2
0	-7977.89301470427	-7970.249549522908	-7.643465181362212	-7970.249549522908	3.4940100596827444	1.0	1.0	0.1	1.024010907575836	0.009589053890395665	0.0978039563157763	-0.5550740475008764	1.0	0.5
10000	-4848.367257621159	-4829.864283513983	-18.502974107176456	-4829.864283513983	1.3015220261799378	0.9300241331335489	1.0	0.6727204309645519	0.9041209417882332	0.7007250937766945	0.7653505850007569	-9.107302212017085	2.0239972466651355	0.2539331057206794
20000	-4842.018240947734	-4821.132086725777	-20.88615422195689	-4821.132086725777	1.375489315492213	1.114733107367141	1.0	0.6099870803529358	0.8481397866810323	0.4403362046844805	0.6652131882304735	-11.515109289113763	1.4929673067146232	0.15183186639379248
30000	-4823.948958294856	-4810.378976032262	-13.569982262594307	-4810.378976032262	1.314108939493722	0.9712703301751133	1.0	0.3895587277417652	0.9170635229498808	0.23000400088721548	0.45942882388045875	-5.126042792148309	2.541593159974004	0.07967919092393191
40000	-4823.97071507194	-4805.375912633266	-18.594802438673533	-4805.375912633266	1.2482135580238056	0.9065872011720434	1.0	0.5641710357207422	0.9162895105161825	0.41046067327557095	0.5991154948499016	-9.587820284931171	1.7101366077061837	0.4272614920869531
50000	-4813.495619264711	-4798.8608705063525	-14.634748758359333	-4798.8608705063525	1.2476205429494165	0.9029730323215358	1.0	0.6591185552086464	0.960357424339244	0.36804088026273096	0.5627674366762733	-5.311148614250134	1.931145934006529	0.020916484423481017
60000	-4837.722852760375	-4815.003431169716	-22.719421590658488	-4815.003431169716	1.4186988078492555	0.9879361887030121	1.0	0.5742195922074017	0.9550111383060206	0.22250008478529365	0.45146104789976227	-13.59665034124994	1.4861852566389009	0.5315642220164184
70000	-4831.899747585506	-4811.477458129604	-20.4222894559019	-4811.477458129604	1.5689778972387605	1.1041559026935717	1.0	0.5863231517724059	0.8957178055570775	0.2461564350211881	0.49174299931373266	-11.142001907876386	2.033722637177668	0.013077558511170005
80000	-4846.2210526075405	-4829.008085634938	-17.21296697260247	-4829.008085634938	1.5744266831421119	0.7578728383091111	1.0	0.4427797538446331	0.9514786424071863	0.31466437717818274	0.5065595996812688	-8.784108622771885	1.9189496104947266	0.40589122057681654
90000	-4829.905149377951	-4804.96238319867	-24.942766179280703	-4804.96238319867	1.4144657943343435	1.0377060922265584	1.0	0.8118812717883936	0.8760121271065918	0.82496026839483	0.8928740703997993	-14.988455163131798	1.3403974636529385	0.33528279764580804
100000	-4825.944359843091	-4802.93389330087	-23.01046654222003	-4802.93389330087	1.6290933584221647	1.113581814174966	1.0	0.44461178281623087	0.78854077002133	0.2520639185359743	0.5368235383892587	-14.219201069577505	1.4968311614710543	0.3788638706760143
110000	-4843.125321111188	-4821.938728766569	-21.18659234461899	-4821.938728766569	1.5698924053883379	1.113581814174966	1.0	0.28221839999819426	0.8652149755115562	0.08875817730179598	0.31028884979312005	-13.029812884508468	1.82082129333152	0.3378367470912506
120000	-4842.773471462737	-4827.423846735565	-15.349624727171049	-4827.423846735565	1.2958692310647357	1.113581814174966	1.0	0.4083116298796517	0.8968876853298438	0.1955725495849851	0.4340111959006778	-6.69262336176869	2.257505315994218	0.08131870076138101
130000	-4851.51485241761	-4827.886077689088	-23.628774728522064	-4827.886077689088	1.7162499223864494	0.9376028883991049	1.0	0.5565516728242486	0.8636812320008008	0.3428863644077222	0.6164896977050235	-14.616988348251994	2.436238400719217	0.11314531835072829
