#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BayesianSkyline.t:Cys" spec="beast.evolution.tree.coalescent.BayesianSkyline">
#            <parameter dimension="5" id="bPopSizes.t:Cys" lower="0.0" name="popSizes" upper="380000.0">380.0</parameter>
#            <groupSizes dimension="5" id="bGroupSizes.t:Cys" spec="beast.core.parameter.IntegerParameter">1</groupSizes>
#            <treeIntervals id="BSPTreeIntervals.t:Cys" spec="beast.evolution.tree.coalescent.TreeIntervals">
#                <tree id="Tree.t:Cys">
#                    <taxonset id="TaxonSet.Cys" spec="beast.evolution.alignment.TaxonSet">
#                    </taxonset>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <distribution id="MarkovChainedPopSizes.t:Cys" jeffreys="true" parameter="@bPopSizes.t:Cys" spec="beast.math.distributions.MarkovChainDistribution"/>
#        <prior id="GammaShapePrior.s:Cys" name="distribution">
#            <parameter id="gammaShape.s:Cys" name="x">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter id="RealParameter.0" lower="0.0" name="mean" upper="0.0">1.0</parameter>
#            </Exponential>
#        </prior>
#        <prior id="ucldStdevPrior.c:Cys" name="distribution">
#            <parameter id="ucldStdev.c:Cys" lower="0.0" name="x">0.1</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.2" name="alpha">0.5396</parameter>
#                <parameter estimate="false" id="RealParameter.3" name="beta">0.3819</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@Cys" id="treeLikelihood.Cys" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:Cys">
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:Cys" shape="@gammaShape.s:Cys" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:Cys" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:Cys" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="WAG.s:Cys" spec="beast.evolution.substitutionmodel.WAG"/>
#            </siteModel>
#            <branchRateModel id="RelaxedClock.c:Cys" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:Cys">
#                <LogNormal S="@ucldStdev.c:Cys" id="LogNormalDistributionModel.c:Cys" meanInRealSpace="true" name="distr">
#                    <parameter estimate="false" id="RealParameter.1" lower="0.0" name="M" upper="1.0">1.0</parameter>
#                </LogNormal>
#                <rateCategories dimension="92" id="rateCategories.c:Cys" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#                <parameter estimate="false" id="ucldMean.c:Cys" name="clock.rate">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	gammaShape	mutationRate	ucldStdev	rate.mean	rate.variance	rate.coefficientOfVariation	BayesianSkyline	bPopSizes.1	bPopSizes.2	bPopSizes.3	bPopSizes.4	bPopSizes.5	bGroupSizes.1	bGroupSizes.2	bGroupSizes.3	bGroupSizes.4	bGroupSizes.5
0	-10189.802440111043	-9882.551421951888	-307.25101815915554	-9882.551421951888	2.3245411356624457	1.0	1.0	0.1	1.0227440103546206	0.010168076830724458	0.09950510018939542	-273.3695260406742	380.0	380.0	380.0	380.0	380.0	10	9	9	9	9
10000	-6460.302943052303	-6327.738436318317	-132.56450673398584	-6327.738436318317	1.5224551837332958	0.7020799261896429	1.0	0.8303142368575117	0.9001905628907577	0.8509972789888814	0.8752562926354891	-113.12085288861304	155.14425005517077	6.2339028678035495	5.850994116237162	3.6216464264307806	0.3771248890035932	2	5	14	20	5
20000	-6253.5591696125875	-6129.544054705442	-124.01511490714559	-6129.544054705442	1.5812446256186432	0.7020799261896429	1.0	0.9302924305892059	0.9049957523041949	0.948453500021984	0.918890634674707	-103.30296155652373	46.1953292628653	75.35960415673284	3.8224017132253363	3.6858081788627115	1.2855169666776476	1	2	12	25	6
30000	-6136.290519732843	-6014.5257758229145	-121.76474390992868	-6014.5257758229145	1.235906202931406	0.6858644865516438	1.0	0.7604847092336945	1.000070238930248	0.7338392086921751	0.7866486519713107	-102.13584923935292	78.78915251318696	58.311676070655054	5.905180926927624	2.41555155872393	0.9452945329567998	2	4	10	22	8
40000	-6056.336874881397	-5961.340104153831	-94.99677072756619	-5961.340104153831	0.8068501011541124	0.5435620852100507	1.0	0.5110553433177847	0.9450949504929542	0.2761686476355589	0.5316408531427697	-80.14694271879826	58.42557240374037	3.615798593894714	3.6080773965118293	2.3698916985950365	0.03510368767895989	7	14	4	15	6
50000	-6028.930119565404	-5938.873470522081	-90.05664904332298	-5938.873470522081	0.6833612797176245	0.6392350572238485	1.0	0.48150984488832743	1.0247586701780624	0.3174635365018109	0.538851435627292	-75.48107320054642	55.20196840242173	4.321416891281763	3.447016995082056	2.0947693624492314	0.18205415768593367	4	3	6	25	8
60000	-6055.966168962015	-5956.509206889985	-99.45696207203	-5956.509206889985	0.7629634770719144	0.7158482571803589	1.0	0.4675673098962953	1.0173550936958922	0.2569355225495326	0.48130084774204845	-83.79856613625714	40.03005808950644	20.45617777551028	7.120538338706965	1.7679733888427096	0.09117404517707302	2	10	4	21	9
70000	-6041.218039714839	-5950.881943659863	-90.3360960549749	-5950.881943659863	0.6359858553827602	0.6347482066373779	1.0	0.3682959509380591	0.967409773985879	0.16177960761923316	0.4089986003370835	-79.05803110118522	39.52644073246128	10.14967966082184	2.017546502805909	0.3633166324510334	0.05940125101166337	2	10	24	5	5
80000	-6040.348338661917	-5949.124430727425	-91.22390793449273	-5949.124430727425	0.66439673973971	0.6347482066373779	1.0	0.412804466635173	1.0305415729934466	0.19679008948404159	0.43710575163689525	-79.2834584062838	47.277164357394675	8.670021563446465	2.0368806811128324	0.5314440352938277	0.012124617207925504	2	13	20	9	2
90000	-6024.606651521247	-5937.7937904844875	-86.8128610367594	-5937.7937904844875	0.7013122209677424	0.702580109497098	1.0	0.46269281717414973	0.9256194121801741	0.23659631437150044	0.49553513044758646	-75.51236122190654	64.81013962939699	5.320182844852878	0.8016659534781947	0.43781695471724535	0.006993363898805668	3	18	21	2	2
