#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BayesianSkyline.t:Gly" spec="beast.evolution.tree.coalescent.BayesianSkyline">
#            <parameter dimension="5" id="bPopSizes.t:Gly" lower="0.0" name="popSizes" upper="380000.0">380.0</parameter>
#            <groupSizes dimension="5" id="bGroupSizes.t:Gly" spec="beast.core.parameter.IntegerParameter">1</groupSizes>
#            <treeIntervals id="BSPTreeIntervals.t:Gly" spec="beast.evolution.tree.coalescent.TreeIntervals">
#                <tree id="Tree.t:Gly">
#                    <taxonset id="TaxonSet.Gly" spec="beast.evolution.alignment.TaxonSet">
#                    </taxonset>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <distribution id="MarkovChainedPopSizes.t:Gly" jeffreys="true" parameter="@bPopSizes.t:Gly" spec="beast.math.distributions.MarkovChainDistribution"/>
#        <prior id="GammaShapePrior.s:Gly" name="distribution">
#            <parameter id="gammaShape.s:Gly" name="x">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter id="RealParameter.0" lower="0.0" name="mean" upper="0.0">1.0</parameter>
#            </Exponential>
#        </prior>
#        <prior id="ucldStdevPrior.c:Gly" name="distribution">
#            <parameter id="ucldStdev.c:Gly" lower="0.0" name="x">0.1</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.2" name="alpha">0.5396</parameter>
#                <parameter estimate="false" id="RealParameter.3" name="beta">0.3819</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@Gly" id="treeLikelihood.Gly" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:Gly">
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:Gly" shape="@gammaShape.s:Gly" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:Gly" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:Gly" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="WAG.s:Gly" spec="beast.evolution.substitutionmodel.WAG"/>
#            </siteModel>
#            <branchRateModel id="RelaxedClock.c:Gly" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:Gly">
#                <LogNormal S="@ucldStdev.c:Gly" id="LogNormalDistributionModel.c:Gly" meanInRealSpace="true" name="distr">
#                    <parameter estimate="false" id="RealParameter.1" lower="0.0" name="M" upper="1.0">1.0</parameter>
#                </LogNormal>
#                <rateCategories dimension="98" id="rateCategories.c:Gly" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#                <parameter estimate="false" id="ucldMean.c:Gly" name="clock.rate">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	gammaShape	mutationRate	ucldStdev	rate.mean	rate.variance	rate.coefficientOfVariation	BayesianSkyline	bPopSizes.1	bPopSizes.2	bPopSizes.3	bPopSizes.4	bPopSizes.5	bGroupSizes.1	bGroupSizes.2	bGroupSizes.3	bGroupSizes.4	bGroupSizes.5
0	-12798.799785888787	-12473.707778404854	-325.0920074839321	-12473.707778404854	1.6339101366077569	1.0	1.0	0.1	0.969146018596635	0.009086714377951138	0.09718799606645236	-291.21051536545076	380.0	380.0	380.0	380.0	380.0	10	10	10	10	9
10000	-6702.88472604008	-6535.123080255952	-167.7616457841279	-6535.123080255952	7.444478894658642	0.8387045591956007	1.0	1.1945562215739451	0.7758865828318743	0.9138309959537009	1.2435278689382203	-147.57086033010052	23.947917235470076	10.014839408413378	12.704205948633215	5.781689705633633	6.181295935105409	7	14	3	23	2
20000	-6173.000746051911	-6024.325849463188	-148.67489658872233	-6024.325849463188	5.400944733348859	0.7264539237572729	1.0	0.7833693483395044	0.7648975939610378	0.5020385259350588	0.7977920231469955	-129.88861272894204	21.092620041014428	7.698381667057237	2.8831590132415896	10.714297171714566	1.254801861061211	7	25	13	1	3
30000	-6128.31870298182	-5997.546201532306	-130.7725014495135	-5997.546201532306	5.67314679061462	0.7264539237572729	1.0	0.5526670997570686	1.2622223872709712	0.42513356239482586	0.645273925171544	-114.58332475303025	43.04647097613549	10.241566496867216	3.2248206860720177	2.8530832915909667	2.287823402758776	6	8	10	9	16
40000	-6100.451615863405	-5980.415063811892	-120.03655205151306	-5980.415063811892	5.0645950399321	0.6895502430046859	1.0	0.5837187439622774	1.4496407749521678	0.4193796455042056	0.6191985968247328	-105.1816635149618	32.00617925782798	12.788209450022682	3.2340842981930997	1.5993242543319954	1.015812172796129	4	7	23	11	4
50000	-6107.5802885722715	-5984.815805494626	-122.76448307764521	-5984.815805494626	10.932516687224512	0.6895502430046859	1.0	0.3573401637169671	0.942935193781496	0.12925151640399082	0.34648210350280406	-106.9707252406977	29.605809955584423	4.216093478446151	7.8854582521599985	2.135118234912854	2.864287057457053	2	10	5	20	12
60000	-6089.556191128946	-5965.993407227447	-123.56278390149897	-5965.993407227447	4.811305902423465	0.7106679758328857	1.0	0.3931134296599278	1.2416190316271452	0.26533545076624165	0.48282142181073756	-103.16570098326363	36.19862413566239	24.4466780560318	4.426479303339192	1.2795038021160925	7.4901204427475925	2	1	14	31	1
70000	-6083.629478303403	-5955.851899243592	-127.77757905981059	-5955.851899243592	4.007367914444583	0.7106679758328857	1.0	0.5181407949010585	1.1943912706818405	0.30667413738736143	0.5479499178312548	-113.13314778865828	35.14288069214286	5.131060204782077	3.642615577221202	2.4181637235436133	1.0910682619244731	3	14	9	17	6
80000	-6098.6672795320155	-5977.692409924945	-120.97486960707025	-5977.692409924945	4.6488206901245634	0.8927938761710922	1.0	0.4160366793297274	0.944429161956235	0.16516359136175346	0.4349414641929659	-105.11598618905771	43.73384695548293	19.696475028384228	4.380899358576411	1.7333029082062432	1.1598553786745183	2	2	21	13	11
90000	-6109.590688656787	-5975.209669293701	-134.38101936308573	-5975.209669293701	8.95826136751748	0.6755080883397979	1.0	0.42776918674828474	0.9579637397445007	0.17181877155462846	0.42212090050563944	-117.2263856249898	40.48511036358431	7.1114736567519845	9.206081422329833	5.89546510648519	1.7855561149438024	4	7	11	7	20
