#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BayesianSkyline.t:Ile" spec="beast.evolution.tree.coalescent.BayesianSkyline">
#            <parameter dimension="5" id="bPopSizes.t:Ile" lower="0.0" name="popSizes" upper="380000.0">380.0</parameter>
#            <groupSizes dimension="5" id="bGroupSizes.t:Ile" spec="beast.core.parameter.IntegerParameter">1</groupSizes>
#            <treeIntervals id="BSPTreeIntervals.t:Ile" spec="beast.evolution.tree.coalescent.TreeIntervals">
#                <tree id="Tree.t:Ile">
#                    <taxonset id="TaxonSet.Ile" spec="beast.evolution.alignment.TaxonSet">
#                    </taxonset>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <distribution id="MarkovChainedPopSizes.t:Ile" jeffreys="true" parameter="@bPopSizes.t:Ile" spec="beast.math.distributions.MarkovChainDistribution"/>
#        <prior id="GammaShapePrior.s:Ile" name="distribution">
#            <parameter id="gammaShape.s:Ile" name="x">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter id="RealParameter.0" lower="0.0" name="mean" upper="0.0">1.0</parameter>
#            </Exponential>
#        </prior>
#        <prior id="ucldStdevPrior.c:Ile" name="distribution">
#            <parameter id="ucldStdev.c:Ile" lower="0.0" name="x">0.1</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.2" name="alpha">0.5396</parameter>
#                <parameter estimate="false" id="RealParameter.3" name="beta">0.3819</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@Ile" id="treeLikelihood.Ile" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:Ile">
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:Ile" shape="@gammaShape.s:Ile" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:Ile" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:Ile" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="WAG.s:Ile" spec="beast.evolution.substitutionmodel.WAG"/>
#            </siteModel>
#            <branchRateModel id="RelaxedClock.c:Ile" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:Ile">
#                <LogNormal S="@ucldStdev.c:Ile" id="LogNormalDistributionModel.c:Ile" meanInRealSpace="true" name="distr">
#                    <parameter estimate="false" id="RealParameter.1" lower="0.0" name="M" upper="1.0">1.0</parameter>
#                </LogNormal>
#                <rateCategories dimension="108" id="rateCategories.c:Ile" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#                <parameter estimate="false" id="ucldMean.c:Ile" name="clock.rate">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	gammaShape	mutationRate	ucldStdev	rate.mean	rate.variance	rate.coefficientOfVariation	BayesianSkyline	bPopSizes.1	bPopSizes.2	bPopSizes.3	bPopSizes.4	bPopSizes.5	bGroupSizes.1	bGroupSizes.2	bGroupSizes.3	bGroupSizes.4	bGroupSizes.5
0	-13086.005910733918	-12731.192322941053	-354.8135877928646	-12731.192322941053	0.8300534302132118	1.0	1.0	0.1	0.9810978875356303	0.011207481984358501	0.10744934996712355	-320.9320956743833	380.0	380.0	380.0	380.0	380.0	11	11	11	11	10
10000	-6581.56313140256	-6365.282925573281	-216.2802058292792	-6365.282925573281	5.505901530097275	0.6811031606821026	1.0	1.3467833320176306	0.4396936416835039	0.7625878319370901	1.312088216225256	-194.95396294907064	33.238767041166184	14.791958152999856	6.189049497451556	11.806423766577884	2.817449378170152	12	21	4	13	4
20000	-6351.985111310751	-6165.688327377687	-186.29678393306403	-6165.688327377687	3.463323630952636	0.6790278966371507	1.0	1.2701017774185324	0.5501579668550289	0.4949572523648897	0.9976669600563746	-168.12817614827634	31.142783175857105	6.9514485254626015	3.6798316563089815	3.0082656481265078	3.863927941108407	15	21	6	6	6
30000	-6318.102476802192	-6136.98129139591	-181.12118540628163	-6136.98129139591	2.7422232200112564	0.6790278966371507	1.0	1.1186267949995181	0.6019684866833322	0.5545060135122021	1.0087430442464578	-163.53355899426583	23.489082562836238	7.077242269012349	6.179997985321637	4.229340362186686	2.3548144474399764	11	14	8	20	1
40000	-6126.4675277229135	-5978.484968600895	-147.98255912201853	-5978.484968600895	1.6920865807736674	0.7547034099419309	1.0	0.4988193602584273	0.8323717263236954	0.20510331827326686	0.5325389056932831	-133.54863860788106	38.077937414808495	6.240425999497301	3.2870041259083727	1.8715287845793975	0.9869418783688326	7	13	24	4	6
50000	-6130.072687997224	-5988.347674964715	-141.72501303250903	-5988.347674964715	1.391389783203117	0.5947811377540234	1.0	0.49244249422988823	0.9070956864860059	0.22718623493813855	0.49028052480316087	-130.4002311001352	13.178488624388699	5.008336888271271	1.87446051251974	1.5885514636673896	0.518803790704931	17	13	13	7	4
60000	-6103.935106903708	-5974.659793773873	-129.2753131298354	-5974.659793773873	1.1405670581950134	0.7660528379919213	1.0	0.3872086880101555	0.9878895501721362	0.22220544049012333	0.44460679746971093	-113.61235933381157	32.39573857102908	4.4422843940455765	1.965132981792949	5.508628027636238	0.711436993994395	5	16	26	2	5
70000	-6112.669683465886	-5978.363751603128	-134.30593186275826	-5978.363751603128	1.3380014302989245	0.7660528379919213	1.0	0.38416013596400517	1.00825266391442	0.22046827956361084	0.4487758525078827	-119.57872353213244	17.55989973709205	12.787031111442413	8.363573568961327	2.4521775557765433	1.0809543301947666	8	1	6	25	14
80000	-6111.375117281181	-5975.906615286975	-135.46850199420658	-5975.906615286975	1.3310578939239481	0.8113015697448476	1.0	0.44322758847323457	0.8768168588963614	0.18172882767597487	0.44953112725726563	-118.07505810716135	11.68843747799568	32.29819888003908	8.015079101017108	4.417810237299903	1.3054049160546153	2	3	6	19	24
90000	-6105.980662472231	-5967.7075898645535	-138.27307260767776	-5967.7075898645535	1.821154846014885	0.6410340327732671	1.0	0.4605425435416718	0.9302233494760092	0.20456739513147004	0.46342390075946605	-120.21854011768934	38.00755006429384	41.57629054307714	8.627566604601784	2.9652774541254736	2.062379250945551	1	2	15	3	33
