#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BirthDeath.t:ClassI_FULL" spec="beast.evolution.speciation.BirthDeathGernhard08Model">
#            <parameter id="relativeDeathRate2.t:ClassI_FULL" lower="0.0" name="relativeDeathRate" upper="1.0">0.5</parameter>
#            <parameter id="birthRate2.t:ClassI_FULL" lower="0.0" name="birthDiffRate" upper="10000.0">1.0</parameter>
#            <tree id="Tree.t:ClassI_FULL">
#                <taxonset id="TaxonSet.ClassI_FULL" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="BirthRatePrior.t:ClassI_FULL" name="distribution" x="@birthRate2.t:ClassI_FULL">
#            <LogNormal id="LogNormalDistributionModel.1" name="distr">
#                <parameter estimate="false" id="RealParameter.6" name="M">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.7" lower="0.0" name="S" upper="5.0">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="GammaShapePrior.s:ClassI_FULL" name="distribution">
#            <parameter id="gammaShape.s:ClassI_FULL" name="x">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter id="RealParameter.0" lower="0.0" name="mean" upper="0.0">1.0</parameter>
#            </Exponential>
#        </prior>
#        <prior id="DeathRatePrior.t:ClassI_FULL" name="distribution" x="@relativeDeathRate2.t:ClassI_FULL">
#            <LogNormal id="LogNormalDistributionModel.2" name="distr">
#                <parameter estimate="false" id="RealParameter.8" name="M">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.9" lower="0.0" name="S" upper="5.0">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="ucldStdevPrior.c:ClassI_FULL" name="distribution">
#            <parameter id="ucldStdev.c:ClassI_FULL" lower="0.0" name="x">0.1</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.2" name="alpha">0.5396</parameter>
#                <parameter estimate="false" id="RealParameter.3" name="beta">0.3819</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@ClassI_FULL" id="treeLikelihood.ClassI_FULL" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:ClassI_FULL">
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:ClassI_FULL" shape="@gammaShape.s:ClassI_FULL" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:ClassI_FULL" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:ClassI_FULL" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="WAG.s:ClassI_FULL" spec="beast.evolution.substitutionmodel.WAG"/>
#            </siteModel>
#            <branchRateModel id="RelaxedClock.c:ClassI_FULL" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:ClassI_FULL">
#                <LogNormal S="@ucldStdev.c:ClassI_FULL" id="LogNormalDistributionModel.c:ClassI_FULL" meanInRealSpace="true" name="distr">
#                    <parameter estimate="false" id="RealParameter.1" lower="0.0" name="M" upper="1.0">1.0</parameter>
#                </LogNormal>
#                <rateCategories dimension="100" id="rateCategories.c:ClassI_FULL" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#                <parameter estimate="false" id="ucldMean.c:ClassI_FULL" name="clock.rate">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	gammaShape	mutationRate	ucldStdev	rate.mean	rate.variance	rate.coefficientOfVariation	BirthDeath	birthRate2	relativeDeathRate2
0	-15014.515013971824	-15028.398443951015	13.883429979190087	-15028.398443951015	1.1397250842272002	1.0	1.0	0.1	1.0005332113431247	0.0094790822011377	0.09727223846295364	16.892441982559294	1.0	0.5
10000	-7333.3111386928895	-7299.14095990815	-34.170178784739626	-7299.14095990815	1.8740638256941589	0.8388889940947033	1.0	0.7995592640896567	0.6734417807684677	0.38648350138813026	0.7778198174177785	-27.680782396443927	1.643755768020985	0.14487006397628574
20000	-7191.708488271089	-7166.847486850432	-24.861001420657086	-7166.847486850432	1.3768993314275655	0.8388889940947033	1.0	0.5353852190205722	0.8282966461835913	0.2587143855188146	0.5299082009138215	-19.948320115981332	1.2000386272578962	0.3440491392074753
30000	-7171.109520518662	-7157.859827362005	-13.249693156657766	-7157.859827362005	1.1998921757252374	1.1571244169046782	1.0	0.4969609389665995	0.9211305853906495	0.27191459953827507	0.5276999427118955	-7.977341794025354	1.7433516270793887	0.4091146328671568
40000	-7150.716928820498	-7126.0340093879895	-24.682919432508466	-7126.0340093879895	1.4127975744405468	1.0990369238858642	1.0	0.5292425611975694	0.8203918723546594	0.3316806000608515	0.5972120190755973	-17.472169815996985	1.4443043019822213	0.045580614635888445
50000	-7151.987682072418	-7124.0672649585	-27.920417113917235	-7124.0672649585	1.5439690452066268	0.9064050965084073	1.0	0.5859556091450624	0.7847016036579522	0.24133891052837872	0.5276223625664751	-22.426152391580167	1.5632400137421605	0.22619816778427007
60000	-7156.797432817065	-7134.91697687595	-21.880455941114466	-7134.91697687595	1.580030655401174	0.963890947018151	1.0	0.46706387311711395	0.9124901049244928	0.19608190455970267	0.45210644783424364	-16.970550988832624	1.438883469876199	0.3273071705253526
70000	-7158.983097972999	-7141.604202747437	-17.378895225562232	-7141.604202747437	1.4569686496423766	0.9229544997720394	1.0	0.42558425833761204	0.9307954845187701	0.14895350636396978	0.3954661907496513	-12.39943638481332	1.875671625564702	0.26880898629801925
80000	-7165.997216580659	-7150.689951201632	-15.307265379028044	-7150.689951201632	1.3083591626217759	0.857356773546775	1.0	0.4745258610564037	0.9146783958524284	0.2615152769578044	0.5025171902021741	-9.83235739489916	2.4280098524874743	0.20165432336089453
90000	-7165.767716372545	-7149.6111071939185	-16.15660917862588	-7149.6111071939185	1.488502761309554	0.8683147785363209	1.0	0.42065618142665345	0.9607755745240455	0.2103158929573295	0.4569848236692664	-11.120134095630101	1.338610473142115	0.15706723011418683
100000	-7158.885753052736	-7142.639328759367	-16.246424293368513	-7142.639328759367	1.3351566476647236	0.8915487168703068	1.0	0.39204840953517917	0.8788155469315876	0.16513921334740952	0.4203844925521651	-11.127063378166099	1.6168756558974928	0.14762980367526402
110000	-7175.4517854271635	-7155.131008973478	-20.32077645368582	-7155.131008973478	1.8276931142565485	0.797009994169479	1.0	0.31317329648287684	0.9140826579396939	0.11950558580041673	0.3506856407689972	-16.074645410324525	1.4934267249763253	0.2773167922895463
120000	-7150.520064718417	-7131.185881188473	-19.334183529944315	-7131.185881188473	1.346617037640254	0.797009994169479	1.0	0.4846002989715495	0.873669949512017	0.35747466209409884	0.576370135493569	-13.397274033252675	2.4835460668182234	0.11603282066247861
130000	-7156.608256335394	-7138.221168836029	-18.387087499364057	-7138.221168836029	1.5282992654925478	0.9034612845958107	1.0	0.5168066878066981	0.8454951484708958	0.4197448931330692	0.6307882769847284	-13.215819731450372	1.5504371606216538	0.25986776642620396
140000	-7158.827354928042	-7141.142026096342	-17.6853288316994	-7141.142026096342	1.5890700408739322	0.8548691993524128	1.0	0.48733353121447465	0.9338030953665609	0.4010311322705388	0.6016597852473741	-12.964267215086238	1.3013455124823072	0.5242638977345724
