#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BirthDeath.t:ClassII_CUT_withGaps" spec="beast.evolution.speciation.BirthDeathGernhard08Model">
#            <parameter id="relativeDeathRate2.t:ClassII_CUT_withGaps" lower="0.0" name="relativeDeathRate" upper="1.0">0.5</parameter>
#            <parameter id="birthRate2.t:ClassII_CUT_withGaps" lower="0.0" name="birthDiffRate" upper="10000.0">1.0</parameter>
#            <tree id="Tree.t:ClassII_CUT_withGaps">
#                <taxonset id="TaxonSet.ClassII_CUT_withGaps" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="BirthRatePrior.t:ClassII_CUT_withGaps" name="distribution" x="@birthRate2.t:ClassII_CUT_withGaps">
#            <LogNormal id="LogNormalDistributionModel.0" name="distr">
#                <parameter estimate="false" id="RealParameter.4" name="M">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.5" lower="0.0" name="S" upper="5.0">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="GammaShapePrior.s:ClassII_CUT_withGaps" name="distribution">
#            <parameter id="gammaShape.s:ClassII_CUT_withGaps" name="x">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter id="RealParameter.0" lower="0.0" name="mean" upper="0.0">1.0</parameter>
#            </Exponential>
#        </prior>
#        <prior id="DeathRatePrior.t:ClassII_CUT_withGaps" name="distribution" x="@relativeDeathRate2.t:ClassII_CUT_withGaps">
#            <LogNormal id="LogNormalDistributionModel.1" name="distr">
#                <parameter estimate="false" id="RealParameter.6" name="M">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.7" lower="0.0" name="S" upper="5.0">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="ucldStdevPrior.c:ClassII_CUT_withGaps" name="distribution">
#            <parameter id="ucldStdev.c:ClassII_CUT_withGaps" lower="0.0" name="x">0.1</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.2" name="alpha">0.5396</parameter>
#                <parameter estimate="false" id="RealParameter.3" name="beta">0.3819</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@ClassII_CUT_withGaps" id="treeLikelihood.ClassII_CUT_withGaps" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:ClassII_CUT_withGaps">
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:ClassII_CUT_withGaps" shape="@gammaShape.s:ClassII_CUT_withGaps" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:ClassII_CUT_withGaps" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:ClassII_CUT_withGaps" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="WAG.s:ClassII_CUT_withGaps" spec="beast.evolution.substitutionmodel.WAG"/>
#            </siteModel>
#            <branchRateModel id="RelaxedClock.c:ClassII_CUT_withGaps" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:ClassII_CUT_withGaps">
#                <LogNormal S="@ucldStdev.c:ClassII_CUT_withGaps" id="LogNormalDistributionModel.c:ClassII_CUT_withGaps" meanInRealSpace="true" name="distr">
#                    <parameter estimate="false" id="RealParameter.1" lower="0.0" name="M" upper="1.0">1.0</parameter>
#                </LogNormal>
#                <rateCategories dimension="108" id="rateCategories.c:ClassII_CUT_withGaps" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#                <parameter estimate="false" id="ucldMean.c:ClassII_CUT_withGaps" name="clock.rate">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	gammaShape	mutationRate	ucldStdev	rate.mean	rate.variance	rate.coefficientOfVariation	BirthDeath	birthRate2	relativeDeathRate2
0	-12299.456779262046	-12317.538341860542	18.08156259849668	-12317.538341860542	1.6188045280884933	1.0	1.0	0.18309790005987683	0.9924499328330759	0.032367437251310686	0.17721464229877562	21.586638639432234	1.0	0.5
10000	-6713.835641916397	-6701.715146919515	-12.120494996882597	-6701.715146919515	1.1176282617147313	0.7090284596597947	1.0	0.5437255156165461	1.0315103799546224	0.361962990467832	0.5569735389808464	-5.800645838606004	2.470149654608167	0.09086183387280028
20000	-6616.7959106861035	-6608.458580720058	-8.337329966045106	-6608.458580720058	1.263592193017941	0.7933592548357129	1.0	0.5054967785058924	0.9284794415968721	0.2123784977308743	0.47805116451267426	-2.4350979644705113	2.5113019902675005	0.13056058149558705
30000	-6607.6356039992625	-6597.815933948963	-9.819670050299107	-6597.815933948963	0.9594028032235941	0.7933592548357129	1.0	0.4294544729473276	0.9395058709446082	0.200597653952399	0.47943773516614646	-4.282281647734269	2.1846003404384637	0.12580648344673756
40000	-6589.004134712129	-6591.2940922340385	2.2899575219098147	-6591.2940922340385	0.8193840580065865	0.7128013109732094	1.0	0.3863016617184858	0.9968227834261101	0.1624456547462076	0.4042921134628472	7.5254473523838605	2.642524916088582	0.1642170851052647
50000	-6622.301525758287	-6617.003801271172	-5.297724487114958	-6617.003801271172	1.0979162569285588	0.7128013109732094	1.0	0.3418440454249443	1.0382679369212815	0.13712807421008885	0.358080863046264	0.01777461053383078	2.6294529485953095	0.12290744603372397
60000	-6584.048422536383	-6586.415083717887	2.3666611815037837	-6586.415083717887	0.9809933696999662	0.6615321067547137	1.0	0.36321962418678966	1.044331646673904	0.13485263444684498	0.34792653275510993	8.020401464623827	2.863565306629624	0.09966700269174024
70000	-6603.529660112588	-6603.349905615024	-0.1797544975645793	-6603.349905615024	0.9641092566943353	0.7029292710920247	1.0	0.26315710856590746	0.9992559743446662	0.06402167681170241	0.2539402319865193	4.313434505433434	2.4482183860687785	0.20476495245758738
80000	-6592.550053206277	-6597.003103112222	4.453049905944467	-6597.003103112222	0.7348834070724352	0.6375104162223962	1.0	0.35394071729406934	1.020784991602251	0.12177524985857088	0.3478991457516158	9.30508953335507	2.7895153337822105	0.23212796726182625
90000	-6610.739573766287	-6604.048669196367	-6.690904569920373	-6604.048669196367	1.044718092880024	0.7393132045751225	1.0	0.43900654097190467	0.976969759133479	0.19852604007123106	0.453544344194379	-1.899907658634035	1.8423959898123061	0.2941486689949189
100000	-6620.22084953351	-6620.636210396465	0.41536086295472696	-6620.636210396465	0.9009112870204504	0.7589590481966435	1.0	0.10356241009528556	1.0106192793427133	0.01174454792363086	0.10847059364942477	5.725940633153447	2.9262327610939303	0.054340726430232536
110000	-6609.1551840571	-6607.194053038965	-1.9611310181350352	-6607.194053038965	0.8981034259363534	0.852469472043325	1.0	0.24535955778589266	0.99708018071792	0.0693409178492502	0.2640622641474848	2.5098515806121826	2.20927235770779	0.20490852438067422
120000	-6600.152438481175	-6602.818003624769	2.665565143594414	-6602.818003624769	1.0162054391982211	0.6789066884718418	1.0	0.2964192885082553	0.991961186459988	0.12056953944090819	0.3438630997607905	9.311644025139618	2.6768073072775382	0.039387703048021805
130000	-6606.558333067845	-6601.170680996112	-5.387652071732399	-6601.170680996112	1.1820315161179957	0.7558909586226772	1.0	0.3554634664716063	1.0156459349150835	0.16551160434824738	0.3951787378529447	0.35239306558955086	3.2459439203936746	0.11056614207924298
140000	-6600.147338806164	-6599.540073506608	-0.6072652995558463	-6599.540073506608	0.8218391742994678	0.6518069218684464	1.0	0.3770361189804613	0.9891768567335592	0.1272787117579734	0.3586315878800247	5.030443706267623	2.3381497190690848	0.08853487086769603
150000	-6600.002910683688	-6597.922602228195	-2.0803084554936357	-6597.922602228195	0.8435630004081982	0.7306771948756758	1.0	0.29977323473102024	1.0396558630997998	0.09764092720868071	0.3024321125626421	3.157688684107118	3.4447792755931124	0.15535847560995833
160000	-6628.691415627528	-6614.794125041243	-13.89729058628449	-6614.794125041243	1.2029446048169614	0.8695498592009093	1.0	0.28076599386216994	0.9512820872511178	0.08022635606229626	0.2921565643198413	-8.848840691862435	2.0476265142133654	0.11672480329483646
170000	-6597.637451166533	-6591.750920371067	-5.886530795465535	-6591.750920371067	0.9233811684504444	0.8686329226877669	1.0	0.2955456216354111	0.9914343253575731	0.07365418142736917	0.27588599793096286	-1.0038989697680623	1.9456834426482035	0.1419450739102503
180000	-6593.518475866186	-6591.412155955353	-2.1063199108334616	-6591.412155955353	0.8815237694886537	0.6807640345153	1.0	0.3021105589890669	1.0197453977507194	0.08067978845763138	0.27925929615166006	4.243948097409151	3.453145234019636	0.057230939524513684
190000	-6608.087739995128	-6604.193798268797	-3.8939417263312577	-6604.193798268797	1.0381677952729607	0.8155355413776417	1.0	0.2982675377626421	1.0311521258131688	0.0966611297584827	0.3063744380664559	0.934834693250556	3.0879988114642147	0.2721753970809194
200000	-6601.85844128079	-6599.439975100648	-2.4184661801428313	-6599.439975100648	0.861021551577345	0.8021963124997781	1.0	0.35525021416848657	1.0400184646256692	0.14000655744985366	0.36133107555251603	3.163302004918476	2.874135799869679	0.11871646657359602
210000	-6617.496422523366	-6610.9720424347715	-6.52438008859502	-6610.9720424347715	0.9459270035465613	0.837550368039418	1.0	0.32871267189683717	0.9578219687157381	0.09919333023506614	0.3224984770971678	-1.6580766843400596	1.8812329817276585	0.15863939922912126
220000	-6607.456397685992	-6602.184254110665	-5.272143575326387	-6602.184254110665	0.907254056396982	0.7881837987131646	1.0	0.5513400209518655	0.9329372045364591	0.1779557973782089	0.4391645629673237	1.0114944991365578	2.937826657539825	0.12146261891138772
230000	-6609.775906397487	-6605.814459003877	-3.961447393609515	-6605.814459003877	0.9348925096812275	0.7787670026343527	1.0	0.3000489071854626	0.9357498501857122	0.09443467350458291	0.3212002486922491	1.1141020299748652	2.47066293386261	0.13317667705330688
240000	-6589.212773338323	-6589.551826489524	0.3390531512000723	-6589.551826489524	0.9445244061260967	0.7787670026343527	1.0	0.33685722957153375	1.0500532878553004	0.142692221126001	0.37908581427004	5.289900087877099	2.4528930867820216	0.18407959487994793
250000	-6611.975998076054	-6599.427416543678	-12.548581532375717	-6599.427416543678	1.2922122163443976	0.7925253288474343	1.0	0.4124979666776483	0.9054696306552728	0.1271765901776042	0.38425938804535387	-4.761452223909687	2.066857854226931	0.025473643464427268
260000	-6607.499710728085	-6600.489062188958	-7.010648539126863	-6600.489062188958	1.0753470473179794	0.7925253288474343	1.0	0.32324840621642	0.9858660413513084	0.11485990674105945	0.3421213973729187	-1.382669792726988	2.9799348636341345	0.10335155657153804
270000	-6610.813680055151	-6608.067015440447	-2.7466646147042018	-6608.067015440447	0.8669637758740225	0.6958315560939751	1.0	0.39240743034939124	0.9881904790187646	0.23022681331437686	0.46029218386679627	2.4551156866618156	2.777690714510351	0.18484341428719855
280000	-6613.176788332253	-6603.107709711975	-10.069078620277793	-6603.107709711975	0.968115716044772	0.8712381940145063	1.0	0.4027638024502956	0.9188762243273155	0.14169463469128257	0.3923334287604859	-4.389478069875717	1.9476603612058605	0.09827368921767422
290000	-6619.727646045726	-6612.873275803139	-6.854370242586675	-6612.873275803139	1.1477991600494306	0.7797080608468101	1.0	0.3752535690291802	1.0470176246057354	0.11098360124922169	0.3195133284666234	-1.6954196867424605	2.228179380050074	0.15317013461843285
300000	-6611.284893334873	-6610.474886583876	-0.8100067509972964	-6610.474886583876	0.9080983548263732	0.7115225125564706	1.0	0.2282553280341571	1.0073716140599622	0.056843318438631975	0.23164767203488584	4.025245522906132	2.7820709711402056	0.12969261932903106
310000	-6588.287955416642	-6590.378493074196	2.090537657554168	-6590.378493074196	0.8724271252716296	0.8116798451082964	1.0	0.33071168812683965	0.9976887055409484	0.13340158626121812	0.36005687363229993	7.784337705293256	3.2565557842058754	0.11137481583064363
320000	-6609.154940216001	-6596.232757666628	-12.922182549373334	-6596.232757666628	1.1195506948259364	0.8374894525480846	1.0	0.38706584713799114	0.898385310914389	0.11568551289866434	0.3542469146376701	-7.69527694872814	2.5865178636317747	0.1916316898384003
330000	-6591.487070566245	-6586.40517353493	-5.081897031315064	-6586.40517353493	0.9688737308564173	0.7812434244330531	1.0	0.33378400377662865	0.9626078127374735	0.13760761477975658	0.3647981056670079	-0.442373731043916	2.245757981323416	0.26532641873176305
340000	-6597.490556484926	-6594.765318947836	-2.7252375370896496	-6594.765318947836	0.8452585532807606	0.7812434244330531	1.0	0.4381174582632092	0.9370149641852934	0.295066590358608	0.5290390290025967	2.1713558990719246	2.1523131404226605	0.3431295154189829
350000	-6596.988575392067	-6593.618967499457	-3.369607892610444	-6593.618967499457	0.8958608061339782	0.8339500630917855	1.0	0.2993988297193501	1.0186266640634494	0.11759387979450875	0.3242501203048162	1.276189887809731	2.681744928256715	0.3130535625758451
