#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BirthDeath.t:ClassII_CUT_withGaps" spec="beast.evolution.speciation.BirthDeathGernhard08Model">
#            <parameter id="relativeDeathRate2.t:ClassII_CUT_withGaps" lower="0.0" name="relativeDeathRate" upper="1.0">0.5</parameter>
#            <parameter id="birthRate2.t:ClassII_CUT_withGaps" lower="0.0" name="birthDiffRate" upper="10000.0">1.0</parameter>
#            <tree id="Tree.t:ClassII_CUT_withGaps">
#                <taxonset id="TaxonSet.ClassII_CUT_withGaps" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="BirthRatePrior.t:ClassII_CUT_withGaps" name="distribution" x="@birthRate2.t:ClassII_CUT_withGaps">
#            <LogNormal id="LogNormalDistributionModel.0" name="distr">
#                <parameter estimate="false" id="RealParameter.4" name="M">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.5" lower="0.0" name="S" upper="5.0">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="GammaShapePrior.s:ClassII_CUT_withGaps" name="distribution">
#            <parameter id="gammaShape.s:ClassII_CUT_withGaps" name="x">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter id="RealParameter.0" lower="0.0" name="mean" upper="0.0">1.0</parameter>
#            </Exponential>
#        </prior>
#        <prior id="DeathRatePrior.t:ClassII_CUT_withGaps" name="distribution" x="@relativeDeathRate2.t:ClassII_CUT_withGaps">
#            <LogNormal id="LogNormalDistributionModel.1" name="distr">
#                <parameter estimate="false" id="RealParameter.6" name="M">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.7" lower="0.0" name="S" upper="5.0">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="ucldStdevPrior.c:ClassII_CUT_withGaps" name="distribution">
#            <parameter id="ucldStdev.c:ClassII_CUT_withGaps" lower="0.0" name="x">0.1</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.2" name="alpha">0.5396</parameter>
#                <parameter estimate="false" id="RealParameter.3" name="beta">0.3819</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@ClassII_CUT_withGaps" id="treeLikelihood.ClassII_CUT_withGaps" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:ClassII_CUT_withGaps">
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:ClassII_CUT_withGaps" shape="@gammaShape.s:ClassII_CUT_withGaps" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:ClassII_CUT_withGaps" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:ClassII_CUT_withGaps" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="WAG.s:ClassII_CUT_withGaps" spec="beast.evolution.substitutionmodel.WAG"/>
#            </siteModel>
#            <branchRateModel id="RelaxedClock.c:ClassII_CUT_withGaps" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:ClassII_CUT_withGaps">
#                <LogNormal S="@ucldStdev.c:ClassII_CUT_withGaps" id="LogNormalDistributionModel.c:ClassII_CUT_withGaps" meanInRealSpace="true" name="distr">
#                    <parameter estimate="false" id="RealParameter.1" lower="0.0" name="M" upper="1.0">1.0</parameter>
#                </LogNormal>
#                <rateCategories dimension="68" id="rateCategories.c:ClassII_CUT_withGaps" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#                <parameter estimate="false" id="ucldMean.c:ClassII_CUT_withGaps" name="clock.rate">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	gammaShape	mutationRate	ucldStdev	rate.mean	rate.variance	rate.coefficientOfVariation	BirthDeath	birthRate2	relativeDeathRate2
0	-7566.56203067261	-7561.863888610235	-4.698142062374237	-7561.863888610235	5.160664357478818	1.0	1.0	0.1	1.00358868086591	0.009001650705534192	0.09411590819030735	-1.6891300590050307	1.0	0.5
10000	-4483.030060533063	-4477.309361466876	-5.7206990661870964	-4477.309361466876	0.6370677716127187	1.0	1.0	0.32061458925150216	0.9732122504752888	0.08749732589534309	0.29918023104977987	-0.2575564294823689	2.285432644031225	0.11390752599099942
20000	-4391.780511426207	-4383.039023358545	-8.741488067662571	-4383.039023358545	0.8195862697513512	0.6786830938283198	1.0	0.15206261589537787	0.9623005796788685	0.028756711384387214	0.173376825373744	-4.761440448611394	2.032697295442459	0.15319418112329744
30000	-4393.973366826403	-4386.737190689207	-7.236176137196365	-4386.737190689207	0.6743971791884644	0.6292160759253795	1.0	0.23709335899346146	1.0629601193457805	0.056878906138991304	0.22952252573869203	-3.2927113900419087	1.9419408614758251	0.2723391622811229
40000	-4397.759755832973	-4388.93671637187	-8.823039461102868	-4388.93671637187	0.7423012563850644	0.581785116480661	1.0	0.3126348198648689	1.0019158168421418	0.13770952618714374	0.35681256468590805	-3.6423907196041574	2.0566767419408385	0.09015721741012249
50000	-4405.758984974919	-4397.092395906758	-8.666589068161716	-4397.092395906758	0.6996211386878831	0.6384915715876011	1.0	0.18107899699747387	0.9430887142313769	0.03698903587941902	0.20046715523379138	-5.172532527067206	1.5665785772771024	0.29389051294586244
60000	-4418.157614688568	-4404.937210508414	-13.220404180154013	-4404.937210508414	0.9246512124818355	0.70496924635522	1.0	0.3080109037903049	0.9381598630197004	0.11802003300936215	0.3645867416449683	-9.190004758347712	1.53070427617024	0.3867998432489097
70000	-4403.945320579256	-4394.643512778453	-9.301807800802857	-4394.643512778453	0.8871350579690525	0.5805521756309832	1.0	0.16659937668829633	1.0160263001108347	0.031242626284199566	0.17475111950821862	-4.924262774276915	2.9900416696072685	0.1439226222337212
80000	-4394.42241841268	-4384.376780961026	-10.045637451653027	-4384.376780961026	0.7867820432592091	0.6272507134271245	1.0	0.3295336368014299	0.9898049954485278	0.12456205281670482	0.3411105431294405	-4.675378103315886	2.0021884722677075	0.08315530221526224
90000	-4409.585994879735	-4392.035564375061	-17.55043050467413	-4392.035564375061	0.9563766289051792	0.6272507134271245	1.0	0.28756908157866584	0.9231803584287743	0.10265800459757515	0.33419457704894723	-12.953733762928564	3.104535050051924	0.27494208287582683
100000	-4391.851517485521	-4388.7406435044495	-3.1108739810712107	-4388.7406435044495	0.5912913236054542	0.6272507134271245	1.0	0.38815212522991543	0.9777241647632294	0.16310774918127383	0.405198227374087	2.5505260865365886	2.905969764728156	0.10616225583139004
110000	-4395.446884032335	-4391.492111592508	-3.9547724398275355	-4391.492111592508	0.7219680031167252	0.6272507134271245	1.0	0.2978457271901664	0.9483948951907786	0.07231101921851375	0.27437792208024325	0.9447422649517301	2.3990207961086067	0.13147818534946787
120000	-4397.169680626713	-4389.243607238136	-7.926073388576824	-4389.243607238136	0.6530832466070073	0.6637370505196285	1.0	0.25055913384640854	1.0358425036536296	0.07110714052459416	0.26253198581820275	-4.169926149309635	1.4998225503221052	0.3531433802320092
130000	-4397.538047124684	-4388.497124311922	-9.040922812763085	-4388.497124311922	0.7713656426152188	0.6637370505196285	1.0	0.13021702027406545	1.0015372042592587	0.018744010596478254	0.13601883860559058	-5.77241456261147	1.5560297173338307	0.26981387174607685
140000	-4418.232784798901	-4405.990398545488	-12.242386253413228	-4405.990398545488	0.8753470158331518	0.6971911718624156	1.0	0.2757765748722953	1.014758063733992	0.07124026088621312	0.2683710571402381	-8.088988128023765	1.8549320077653186	0.2687164586008252
150000	-4395.632791994341	-4385.786773168457	-9.846018825882803	-4385.786773168457	0.7360851803953832	0.6971911718624156	1.0	0.3494099261158982	0.9319802742303368	0.13451443984142036	0.3653618820586676	-3.5284064586610953	3.1049959556707756	0.062231831115804534
