#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BirthDeath.t:ClassI_FULL" spec="beast.evolution.speciation.BirthDeathGernhard08Model">
#            <parameter id="relativeDeathRate2.t:ClassI_FULL" lower="0.0" name="relativeDeathRate" upper="1.0">0.5</parameter>
#            <parameter id="birthRate2.t:ClassI_FULL" lower="0.0" name="birthDiffRate" upper="10000.0">1.0</parameter>
#            <tree id="Tree.t:ClassI_FULL">
#                <taxonset id="TaxonSet.ClassI_FULL" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="BirthRatePrior.t:ClassI_FULL" name="distribution" x="@birthRate2.t:ClassI_FULL">
#            <LogNormal id="LogNormalDistributionModel.1" name="distr">
#                <parameter estimate="false" id="RealParameter.6" name="M">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.7" lower="0.0" name="S" upper="5.0">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="GammaShapePrior.s:ClassI_FULL" name="distribution">
#            <parameter id="gammaShape.s:ClassI_FULL" name="x">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter id="RealParameter.0" lower="0.0" name="mean" upper="0.0">1.0</parameter>
#            </Exponential>
#        </prior>
#        <prior id="DeathRatePrior.t:ClassI_FULL" name="distribution" x="@relativeDeathRate2.t:ClassI_FULL">
#            <LogNormal id="LogNormalDistributionModel.2" name="distr">
#                <parameter estimate="false" id="RealParameter.8" name="M">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.9" lower="0.0" name="S" upper="5.0">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="ucldStdevPrior.c:ClassI_FULL" name="distribution">
#            <parameter id="ucldStdev.c:ClassI_FULL" lower="0.0" name="x">0.1</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.2" name="alpha">0.5396</parameter>
#                <parameter estimate="false" id="RealParameter.3" name="beta">0.3819</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@ClassI_FULL" id="treeLikelihood.ClassI_FULL" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:ClassI_FULL">
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:ClassI_FULL" shape="@gammaShape.s:ClassI_FULL" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:ClassI_FULL" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:ClassI_FULL" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="WAG.s:ClassI_FULL" spec="beast.evolution.substitutionmodel.WAG"/>
#            </siteModel>
#            <branchRateModel id="RelaxedClock.c:ClassI_FULL" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:ClassI_FULL">
#                <LogNormal S="@ucldStdev.c:ClassI_FULL" id="LogNormalDistributionModel.c:ClassI_FULL" meanInRealSpace="true" name="distr">
#                    <parameter estimate="false" id="RealParameter.1" lower="0.0" name="M" upper="1.0">1.0</parameter>
#                </LogNormal>
#                <rateCategories dimension="108" id="rateCategories.c:ClassI_FULL" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#                <parameter estimate="false" id="ucldMean.c:ClassI_FULL" name="clock.rate">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	gammaShape	mutationRate	ucldStdev	rate.mean	rate.variance	rate.coefficientOfVariation	BirthDeath	birthRate2	relativeDeathRate2
0	-13903.163315418582	-13923.834115250655	20.670799832073154	-13923.834115250655	1.3584116233850776	1.0	1.0	0.1	1.0411061810781288	0.011099014050479944	0.10380592565666319	23.67981183544236	1.0	0.5
10000	-7484.797376788164	-7467.554158724926	-17.243218063238032	-7467.554158724926	1.6680569645621024	0.9056825703390543	1.0	0.8628030795329273	0.9243206949063197	1.2576318517244287	0.9362612958593814	-10.477379952007237	1.955009433225157	0.16701867624731365
20000	-6986.308727951297	-6968.290333278471	-18.01839467282617	-6968.290333278471	1.2851210100205002	0.8537872898674372	1.0	0.6567241712054853	0.8903266922849533	0.3801257201711679	0.621778015954368	-11.59049275978936	1.5581333730066125	0.09526673628187306
30000	-6823.681036134663	-6806.956405815135	-16.72463031952829	-6806.956405815135	1.1259882414310665	0.9606659587278017	1.0	0.5358436691911608	0.8912105403751626	0.22780002127218046	0.4867077775836288	-11.198835115922817	1.8224134601857676	0.21088082351260728
40000	-6769.771685268801	-6755.172115490493	-14.599569778308656	-6755.172115490493	1.5703186405942078	0.8945352731254552	1.0	0.42849558716856645	0.9567110251054824	0.13517521654102482	0.36572526940699146	-9.435668446785483	1.9735409087367473	0.2023109649197512
50000	-6773.322067520157	-6747.14886480335	-26.17320271680687	-6747.14886480335	1.5331076044995795	0.8063387451851108	1.0	0.43234038474621855	0.8554023381908313	0.12160532542645579	0.37747352204750534	-20.558599135491576	2.1698351340333435	0.11844965491229693
60000	-6747.329145660049	-6732.76071859271	-14.56842706733877	-6732.76071859271	0.9547291719523316	0.794395023567182	1.0	0.6268700478295408	0.8438207623655274	0.2959573216379691	0.5885701850683356	-9.016359889861658	1.7745765628623202	0.2497601097773738
70000	-6748.692883812851	-6732.580779678629	-16.112104134221394	-6732.580779678629	1.1834185606042185	0.8795309698015435	1.0	0.35686107141253126	0.9983335735067039	0.1311754234214978	0.34884974184166495	-11.627574559230938	1.830842807890401	0.48460278532454304
80000	-6753.90309069282	-6720.617577492097	-33.28551320072368	-6720.617577492097	1.6432667535073353	0.8452796136056077	1.0	0.6473186171151706	0.7970647448854805	0.24328433083185508	0.553956190226624	-27.967985487378574	1.361604911709353	0.41114968186117856
90000	-6757.474895876567	-6746.538600714093	-10.936295162473417	-6746.538600714093	1.173733807417103	0.8696777570688093	1.0	0.4580698511595877	0.8678063343998083	0.17966540923209676	0.44171051153532287	-5.176843472178183	2.168459991695853	0.11986980601280316
100000	-6726.025334883668	-6714.749580284584	-11.27575459908372	-6714.749580284584	1.001832478249077	0.8696777570688093	1.0	0.4272277605907303	0.979023230395749	0.1798113217784581	0.4204533681698	-4.591765979115029	2.5093937721287736	0.05749757981602995
110000	-6725.94335724363	-6716.4129639061775	-9.530393337452459	-6716.4129639061775	0.9734741586472893	0.8160260140661062	1.0	0.5714365868618998	0.8975938726976034	0.31389861931875723	0.5739344444220462	-4.00909968012668	2.414876980870048	0.3270052677153534
120000	-6731.387510998207	-6722.0655892274635	-9.321921770743886	-6722.0655892274635	1.0613642682138902	0.951852348931942	1.0	0.5947806609718043	0.9823989157596432	0.36587502431279467	0.5669225639911049	-3.4487900132686846	2.380082100329489	0.23606067748519707
130000	-6749.099506045231	-6738.039491664766	-11.060014380464951	-6738.039491664766	1.2789231529121636	0.962337326779024	1.0	0.6102597107504987	0.9135688218278203	0.36989247249616236	0.6233500826035193	-3.7178161279465645	2.5662400362631463	0.061584963800806705
140000	-6741.632964310467	-6729.603874842094	-12.029089468372968	-6729.603874842094	1.137865226650282	0.962337326779024	1.0	0.5139295880639864	0.9528121439597779	0.296953986528973	0.5447601299049091	-6.767080387867514	1.772050477643857	0.28870815531824723
