#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BirthDeath.t:ClassI_FULL" spec="beast.evolution.speciation.BirthDeathGernhard08Model">
#            <parameter id="relativeDeathRate2.t:ClassI_FULL" lower="0.0" name="relativeDeathRate" upper="1.0">0.5</parameter>
#            <parameter id="birthRate2.t:ClassI_FULL" lower="0.0" name="birthDiffRate" upper="10000.0">1.0</parameter>
#            <tree id="Tree.t:ClassI_FULL">
#                <taxonset id="TaxonSet.ClassI_FULL" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="BirthRatePrior.t:ClassI_FULL" name="distribution" x="@birthRate2.t:ClassI_FULL">
#            <LogNormal id="LogNormalDistributionModel.1" name="distr">
#                <parameter estimate="false" id="RealParameter.6" name="M">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.7" lower="0.0" name="S" upper="5.0">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="GammaShapePrior.s:ClassI_FULL" name="distribution">
#            <parameter id="gammaShape.s:ClassI_FULL" name="x">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter id="RealParameter.0" lower="0.0" name="mean" upper="0.0">1.0</parameter>
#            </Exponential>
#        </prior>
#        <prior id="DeathRatePrior.t:ClassI_FULL" name="distribution" x="@relativeDeathRate2.t:ClassI_FULL">
#            <LogNormal id="LogNormalDistributionModel.2" name="distr">
#                <parameter estimate="false" id="RealParameter.8" name="M">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.9" lower="0.0" name="S" upper="5.0">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="ucldStdevPrior.c:ClassI_FULL" name="distribution">
#            <parameter id="ucldStdev.c:ClassI_FULL" lower="0.0" name="x">0.1</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.2" name="alpha">0.5396</parameter>
#                <parameter estimate="false" id="RealParameter.3" name="beta">0.3819</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@ClassI_FULL" id="treeLikelihood.ClassI_FULL" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:ClassI_FULL">
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:ClassI_FULL" shape="@gammaShape.s:ClassI_FULL" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:ClassI_FULL" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:ClassI_FULL" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="WAG.s:ClassI_FULL" spec="beast.evolution.substitutionmodel.WAG"/>
#            </siteModel>
#            <branchRateModel id="RelaxedClock.c:ClassI_FULL" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:ClassI_FULL">
#                <LogNormal S="@ucldStdev.c:ClassI_FULL" id="LogNormalDistributionModel.c:ClassI_FULL" meanInRealSpace="true" name="distr">
#                    <parameter estimate="false" id="RealParameter.1" lower="0.0" name="M" upper="1.0">1.0</parameter>
#                </LogNormal>
#                <rateCategories dimension="110" id="rateCategories.c:ClassI_FULL" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#                <parameter estimate="false" id="ucldMean.c:ClassI_FULL" name="clock.rate">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	gammaShape	mutationRate	ucldStdev	rate.mean	rate.variance	rate.coefficientOfVariation	BirthDeath	birthRate2	relativeDeathRate2
0	-15695.299230474477	-15708.752363590766	13.453133116289408	-15708.752363590766	3.070939773657848	1.0	1.0	0.1	1.011124531946412	0.008471459683163157	0.09134503889556538	16.462145119658615	1.0	0.5
10000	-7031.862025838015	-7000.858104198712	-31.003921639303208	-7000.858104198712	2.75539750032001	0.765965904768495	1.0	1.0506070174035744	0.6254104189901646	0.7185450727369833	0.9997038583404655	-23.964695823140197	1.818172668084521	0.1949386003428928
20000	-6937.846804052058	-6913.940377460558	-23.90642659150078	-6913.940377460558	2.302249423325922	0.6590675053886124	1.0	0.9153725812988978	0.6940790251047563	0.7616266133783502	0.9880134693326431	-18.011630955516647	1.2036348153857683	0.5654416733562143
30000	-6883.301722243633	-6873.16677264134	-10.13494960229344	-6873.16677264134	1.8956400249040617	0.8248982730115171	1.0	0.5339903262718178	0.8008886022337002	0.30268179554791197	0.6183986832085436	-4.955661934102558	1.922910086821444	0.35575660809503856
40000	-6859.393806677611	-6848.860900451581	-10.53290622603003	-6848.860900451581	1.6857808973599102	0.8248982730115171	1.0	0.5892390502486837	0.8840422558057656	0.390739815366373	0.5988915777548902	-5.122606161870707	1.7362446861237253	0.26465767133550683
50000	-6861.085509432912	-6859.302697295659	-1.7828121372532615	-6859.302697295659	1.3188892197718152	0.8187369061903733	1.0	0.5291331253384922	0.9045821386104259	0.24607191891604574	0.5204635972579257	3.709443330800335	2.1294250580012646	0.20821115176886304
60000	-6849.284298485493	-6837.402624594244	-11.881673891249363	-6837.402624594244	1.720254041800507	0.8614328268295628	1.0	0.6925963702283987	0.8318731298815507	0.44444942365890927	0.6999680699755578	-5.227360783188959	2.2289626368580224	0.11139431612906804
70000	-6850.752907506815	-6838.422768217771	-12.330139289044231	-6838.422768217771	1.3285236619867986	0.8614328268295628	1.0	0.6983991719808034	0.7895735986441674	0.43640834367280634	0.7196054526258867	-6.670793253195991	1.7037496267616274	0.38381830531143474
80000	-6864.420629349479	-6848.750605097574	-15.670024251904893	-6848.750605097574	1.5070475154254988	0.8614328268295628	1.0	0.6635423873435959	0.8567455868148205	0.31300379540880136	0.616514809049952	-10.194985235556091	1.4097506292902622	0.32416676625446195
90000	-6875.671879745479	-6856.785007580673	-18.88687216480632	-6856.785007580673	1.890205914236807	0.8772161534851486	1.0	0.7045577653374107	0.7367293578477658	0.4532313922001491	0.7147078678639743	-13.183166492452326	1.7382479052175077	0.3929577317351289
100000	-6851.550457683206	-6840.987852865582	-10.562604817624887	-6840.987852865582	1.3139375601196306	0.794016926831109	1.0	0.5296636278615072	0.8101240741369522	0.4137353109219059	0.650297960688042	-4.947973534227762	2.463969113938725	0.20337725928725253
110000	-6843.797220443348	-6835.430170330827	-8.367050112520609	-6835.430170330827	1.672762490347677	0.8430697935604056	1.0	0.5815035445388799	0.9690920074930778	0.42830811936046537	0.5985177708292397	-2.863773122828297	2.2379285370598274	0.337574008300676
120000	-6861.3543100277975	-6854.04287116508	-7.311438862716967	-6854.04287116508	1.279425065994601	0.87603283361905	1.0	0.5293588175512465	0.8862578437190479	0.23309717042139785	0.5036731651188802	-1.6970211925602108	2.1968124674008385	0.19675682991856186
130000	-6831.341741668922	-6822.057692995186	-9.284048673735999	-6822.057692995186	1.4314856163348113	0.805664635497759	1.0	0.5711806726054903	0.9138224295380648	0.37828613431854036	0.592095171317252	-4.0927044752523525	1.629753886287494	0.33146544851546317
140000	-6840.8797222507355	-6836.998774449242	-3.8809478014934404	-6836.998774449242	1.4024643511139332	0.7895629033139913	1.0	0.7218217556014753	0.9075959827561175	0.5115698737679641	0.6821739822560062	2.354702229723017	2.2465649303051753	0.18543262621808004
