#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BirthDeath.t:ClassI_FULL" spec="beast.evolution.speciation.BirthDeathGernhard08Model">
#            <parameter id="relativeDeathRate2.t:ClassI_FULL" lower="0.0" name="relativeDeathRate" upper="1.0">0.5</parameter>
#            <parameter id="birthRate2.t:ClassI_FULL" lower="0.0" name="birthDiffRate" upper="10000.0">1.0</parameter>
#            <tree id="Tree.t:ClassI_FULL">
#                <taxonset id="TaxonSet.ClassI_FULL" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="BirthRatePrior.t:ClassI_FULL" name="distribution" x="@birthRate2.t:ClassI_FULL">
#            <LogNormal id="LogNormalDistributionModel.1" name="distr">
#                <parameter estimate="false" id="RealParameter.6" name="M">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.7" lower="0.0" name="S" upper="5.0">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="GammaShapePrior.s:ClassI_FULL" name="distribution">
#            <parameter id="gammaShape.s:ClassI_FULL" name="x">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter id="RealParameter.0" lower="0.0" name="mean" upper="0.0">1.0</parameter>
#            </Exponential>
#        </prior>
#        <prior id="DeathRatePrior.t:ClassI_FULL" name="distribution" x="@relativeDeathRate2.t:ClassI_FULL">
#            <LogNormal id="LogNormalDistributionModel.2" name="distr">
#                <parameter estimate="false" id="RealParameter.8" name="M">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.9" lower="0.0" name="S" upper="5.0">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="ucldStdevPrior.c:ClassI_FULL" name="distribution">
#            <parameter id="ucldStdev.c:ClassI_FULL" lower="0.0" name="x">0.1</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.2" name="alpha">0.5396</parameter>
#                <parameter estimate="false" id="RealParameter.3" name="beta">0.3819</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@ClassI_FULL" id="treeLikelihood.ClassI_FULL" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:ClassI_FULL">
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:ClassI_FULL" shape="@gammaShape.s:ClassI_FULL" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:ClassI_FULL" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:ClassI_FULL" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="WAG.s:ClassI_FULL" spec="beast.evolution.substitutionmodel.WAG"/>
#            </siteModel>
#            <branchRateModel id="RelaxedClock.c:ClassI_FULL" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:ClassI_FULL">
#                <LogNormal S="@ucldStdev.c:ClassI_FULL" id="LogNormalDistributionModel.c:ClassI_FULL" meanInRealSpace="true" name="distr">
#                    <parameter estimate="false" id="RealParameter.1" lower="0.0" name="M" upper="1.0">1.0</parameter>
#                </LogNormal>
#                <rateCategories dimension="46" id="rateCategories.c:ClassI_FULL" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#                <parameter estimate="false" id="ucldMean.c:ClassI_FULL" name="clock.rate">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	gammaShape	mutationRate	ucldStdev	rate.mean	rate.variance	rate.coefficientOfVariation	BirthDeath	birthRate2	relativeDeathRate2
0	-5609.127823187109	-5606.606184478174	-2.521638708934919	-5606.606184478174	1.6689782220211242	1.0	1.0	0.1	0.9857877069678345	0.007912420837557228	0.08942681697433372	0.48737329443428834	1.0	0.5
10000	-3160.1272935077204	-3143.977735779174	-16.149557728546505	-3143.977735779174	2.058306318867206	0.667437417941793	1.0	0.6830086952957535	1.0549799141978016	0.5891633211554645	0.7890060005671344	-10.948476815441449	1.245642332985153	0.43231066153532133
20000	-3146.5598906005416	-3132.517297707363	-14.042592893178467	-3132.517297707363	2.8507828034946674	0.6322623532834154	1.0	0.38805677259452453	0.8802261329611438	0.20292048364979864	0.4680917270947748	-10.067859832757904	0.8724466458156374	0.5130572854556542
30000	-3149.268536494272	-3133.585876010633	-15.682660483639031	-3133.585876010633	1.813738282979956	0.641342697189334	1.0	0.5440736261871959	1.1700004306284209	0.41794500217912217	0.6152914057920049	-10.723860456584461	1.0924023903698095	0.20421432569637063
40000	-3144.7621621115645	-3127.378280835552	-17.38388127601262	-3127.378280835552	2.6104008970958517	0.6484762152585662	1.0	0.591082053783663	1.0150136865376223	0.3054516523395334	0.5445711643795821	-12.489777844688017	1.266135558313715	0.4085908573905733
50000	-3149.4753455833534	-3131.381824677043	-18.09352090631026	-3131.381824677043	1.969763911212068	0.7769255461815077	1.0	0.5938359836133362	1.0417786859938494	0.27591587498826875	0.5633522947849403	-12.919081857364144	1.0446041258626249	0.2295966768559854
60000	-3138.487515758667	-3124.6596821816274	-13.827833577039616	-3124.6596821816274	1.7564634058047293	0.6453957896660584	1.0	0.6160705954283412	1.2298940126407467	0.5648643420217708	0.6303142813671659	-8.967494645297094	1.0322372482188304	0.687171818917538
70000	-3145.0814554199283	-3133.7330854348925	-11.348369985035658	-3133.7330854348925	1.5907389321195007	0.7226330075629304	1.0	0.4328689590566155	1.1002087588758929	0.34088196475159055	0.5488882495679597	-6.998844725997814	1.1763557449384734	0.47658700678173
80000	-3143.1981786298093	-3121.131153741747	-22.067024888062598	-3121.131153741747	2.7890337430546914	0.5793346652262561	1.0	0.7468949392970434	0.7712984799623445	0.17763834280045449	0.5552069968225308	-16.626688657383017	1.2604515530504488	0.29593226442508397
90000	-3156.024465648178	-3130.835519598707	-25.188946049471213	-3130.835519598707	4.14266295087217	0.6588877340690942	1.0	0.6572219643356862	0.7763984419849044	0.48245789705572983	0.8119543617818268	-20.053705912418316	0.7676177423132532	0.24881081593262264
100000	-3140.3363403593517	-3125.3979564396623	-14.938383919689308	-3125.3979564396623	2.7512939432780863	0.6185902074203286	1.0	0.35978259154850684	1.0544757606072348	0.1630678382482442	0.39353168925483656	-11.07563011815831	0.7990191409253095	0.7952737350117062
110000	-3152.44328164429	-3134.499407081827	-17.943874562463158	-3134.499407081827	2.344838125774555	0.6923997462757853	1.0	0.41842914103116713	1.0239646774345283	0.17541115471948815	0.4397953883148658	-13.374327867349727	1.7645641986133804	0.3532296634382623
120000	-3156.965334351613	-3143.4262910302045	-13.53904332140845	-3143.4262910302045	2.084939255374751	0.8683821352147897	1.0	0.19096569024435336	0.9752049328446883	0.02992412991684815	0.17610206507023907	-9.486693498672253	1.317406718054389	0.1590931173474267
130000	-3141.909084942127	-3124.982375005579	-16.92670993654813	-3124.982375005579	3.603512430876284	0.6169318028142845	1.0	0.5297199331899457	0.8791487135582328	0.22542174649605393	0.4466858528383741	-12.448472590763426	0.5300711714234345	0.8928232889413431
140000	-3145.508598843106	-3133.051251015919	-12.457347827186721	-3133.051251015919	1.8139054972935809	0.7779936582652043	1.0	0.5376358896866754	0.9372780897946347	0.24054705629169737	0.45889949186954854	-7.690870832925887	1.159316171741777	0.5068771869308354
