#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BirthDeath.t:ClassII_CUT_withGaps" spec="beast.evolution.speciation.BirthDeathGernhard08Model">
#            <parameter id="relativeDeathRate2.t:ClassII_CUT_withGaps" lower="0.0" name="relativeDeathRate" upper="1.0">0.5</parameter>
#            <parameter id="birthRate2.t:ClassII_CUT_withGaps" lower="0.0" name="birthDiffRate" upper="10000.0">1.0</parameter>
#            <tree id="Tree.t:ClassII_CUT_withGaps">
#                <taxonset id="TaxonSet.ClassII_CUT_withGaps" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="BirthRatePrior.t:ClassII_CUT_withGaps" name="distribution" x="@birthRate2.t:ClassII_CUT_withGaps">
#            <LogNormal id="LogNormalDistributionModel.0" name="distr">
#                <parameter estimate="false" id="RealParameter.4" name="M">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.5" lower="0.0" name="S" upper="5.0">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="GammaShapePrior.s:ClassII_CUT_withGaps" name="distribution">
#            <parameter id="gammaShape.s:ClassII_CUT_withGaps" name="x">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter id="RealParameter.0" lower="0.0" name="mean" upper="0.0">1.0</parameter>
#            </Exponential>
#        </prior>
#        <prior id="DeathRatePrior.t:ClassII_CUT_withGaps" name="distribution" x="@relativeDeathRate2.t:ClassII_CUT_withGaps">
#            <LogNormal id="LogNormalDistributionModel.1" name="distr">
#                <parameter estimate="false" id="RealParameter.6" name="M">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.7" lower="0.0" name="S" upper="5.0">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="ucldStdevPrior.c:ClassII_CUT_withGaps" name="distribution">
#            <parameter id="ucldStdev.c:ClassII_CUT_withGaps" lower="0.0" name="x">0.1</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.2" name="alpha">0.5396</parameter>
#                <parameter estimate="false" id="RealParameter.3" name="beta">0.3819</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@ClassII_CUT_withGaps" id="treeLikelihood.ClassII_CUT_withGaps" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:ClassII_CUT_withGaps">
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:ClassII_CUT_withGaps" shape="@gammaShape.s:ClassII_CUT_withGaps" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:ClassII_CUT_withGaps" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:ClassII_CUT_withGaps" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="WAG.s:ClassII_CUT_withGaps" spec="beast.evolution.substitutionmodel.WAG"/>
#            </siteModel>
#            <branchRateModel id="RelaxedClock.c:ClassII_CUT_withGaps" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:ClassII_CUT_withGaps">
#                <LogNormal S="@ucldStdev.c:ClassII_CUT_withGaps" id="LogNormalDistributionModel.c:ClassII_CUT_withGaps" meanInRealSpace="true" name="distr">
#                    <parameter estimate="false" id="RealParameter.1" lower="0.0" name="M" upper="1.0">1.0</parameter>
#                </LogNormal>
#                <rateCategories dimension="90" id="rateCategories.c:ClassII_CUT_withGaps" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#                <parameter estimate="false" id="ucldMean.c:ClassII_CUT_withGaps" name="clock.rate">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	gammaShape	mutationRate	ucldStdev	rate.mean	rate.variance	rate.coefficientOfVariation	BirthDeath	birthRate2	relativeDeathRate2
0	-9932.315363260881	-9939.236463018136	6.921099757254686	-9939.236463018136	2.055253820651375	1.0	1.0	0.1	0.9696318181529111	0.008967967362377632	0.09695096420020649	9.930111760623895	1.0	0.5
10000	-5410.926644413669	-5385.098667361644	-25.827977052024483	-5385.098667361644	1.1853880767926215	0.5403966315043809	1.0	0.6789904440459992	0.7873394707281272	0.4058169470239127	0.6789343883741543	-20.823013202367207	1.0772223239086287	0.4102649327461899
20000	-5366.870918812804	-5355.198534405283	-11.672384407520987	-5355.198534405283	1.0862965874338186	0.6861404430046214	1.0	0.33155308280410983	0.9661580527832433	0.09675803291613919	0.315795118298669	-6.9045101009651075	2.5264687030404676	0.21243773391282347
30000	-5347.4553562932115	-5351.358504993498	3.90314870028668	-5351.358504993498	0.7176109710349536	0.6880510915384009	1.0	0.3413044481731567	0.9774568586336683	0.09330294992562789	0.29776602019709125	9.353006933247674	3.1323463417074544	0.12543325439231523
40000	-5353.531017157257	-5341.6547492342415	-11.87626792301535	-5341.6547492342415	1.2002292944315092	0.6128905736389375	1.0	0.36746682820127696	0.8861667785806329	0.12937485427813397	0.3721220755771962	-6.107867575929438	3.0691268032100045	0.09341278256615307
50000	-5348.476458223138	-5341.601466521932	-6.874991701206504	-5341.601466521932	1.000775552129621	0.5738826153192398	1.0	0.40655877687297526	0.9811383782104836	0.16053811177915445	0.39675767360250147	-1.796224791789184	2.101137807197571	0.14338281354602894
60000	-5340.626780704193	-5333.77379282695	-6.8529878772430965	-5333.77379282695	0.8835973622931581	0.6047354007655776	1.0	0.39837382777259933	0.968762059776433	0.15475186303710473	0.3831610699397233	0.6665325548414032	2.270947218250264	0.026898354742833013
70000	-5353.990736552715	-5347.454501618601	-6.536234934114385	-5347.454501618601	1.0710400686608132	0.7317311720503074	1.0	0.33743314780173383	0.9874189623433977	0.1146241009502335	0.3231458017694021	-1.9983083259678196	1.937116777309367	0.23834636437308646
80000	-5347.903908593784	-5335.707860381496	-12.196048212287412	-5335.707860381496	1.099675094416015	0.5885552226388787	1.0	0.25521188712025805	0.9885790809745159	0.07975412238169605	0.2672236406382785	-8.332572167421102	1.4347270416452704	0.23055871269477693
90000	-5329.208574952005	-5331.82063217844	2.612057226435088	-5331.82063217844	0.8820427016032784	0.5886139818987721	1.0	0.37268506882321445	0.9637874392333514	0.16511829606057374	0.37629456207815803	7.161797108536977	2.6026446032478656	0.5431122124672707
100000	-5359.753549434648	-5351.346722601133	-8.406826833515593	-5351.346722601133	1.0930036268586867	0.5524342219452784	1.0	0.3267754818198587	0.9028283427392233	0.10649008454307646	0.34022719367530735	-3.422846835391586	2.7784937409331145	0.14706965415846238
110000	-5329.180409482894	-5329.0656792799755	-0.11473020291824518	-5329.0656792799755	0.8293141671238968	0.6838416536725481	1.0	0.28318403224308025	0.9045017262150292	0.06944873495772509	0.2767921743846624	5.082416354321163	3.464102272896031	0.14331674612020265
120000	-5323.716488469648	-5317.970957369012	-5.745531100636122	-5317.970957369012	1.034420768248695	0.6838416536725481	1.0	0.4546471974665805	0.8358952600494753	0.20292763971617142	0.47952478407415133	-0.8942914365628134	2.000332797547214	0.2978897249502018
130000	-5330.252782026035	-5326.3485919384375	-3.904190087597408	-5326.3485919384375	0.950098416296249	0.6449021403062521	1.0	0.46244152033070723	0.910014148520611	0.20678080376189703	0.45308628704478804	1.0826674559952751	2.0572223556274305	0.23209103201178122
140000	-5333.585833892037	-5325.453025321203	-8.132808570833985	-5325.453025321203	0.9843488268942097	0.6449021403062521	1.0	0.4023924852564757	0.9681482046962896	0.1789015716248407	0.4186018018348818	-2.981677455212222	2.05347963101851	0.13773694809887937
150000	-5330.714219963369	-5324.127916218034	-6.586303745334612	-5324.127916218034	0.8670665748478702	0.6217733734574494	1.0	0.4760629900156495	0.8163112667881642	0.3044883367694296	0.5697716160792335	-1.580414606734306	1.90611623176339	0.21224107631021116
