#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BirthDeath.t:ClassII_CUT_withGaps" spec="beast.evolution.speciation.BirthDeathGernhard08Model">
#            <parameter id="relativeDeathRate2.t:ClassII_CUT_withGaps" lower="0.0" name="relativeDeathRate" upper="1.0">0.5</parameter>
#            <parameter id="birthRate2.t:ClassII_CUT_withGaps" lower="0.0" name="birthDiffRate" upper="10000.0">1.0</parameter>
#            <tree id="Tree.t:ClassII_CUT_withGaps">
#                <taxonset id="TaxonSet.ClassII_CUT_withGaps" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="BirthRatePrior.t:ClassII_CUT_withGaps" name="distribution" x="@birthRate2.t:ClassII_CUT_withGaps">
#            <LogNormal id="LogNormalDistributionModel.0" name="distr">
#                <parameter estimate="false" id="RealParameter.4" name="M">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.5" lower="0.0" name="S" upper="5.0">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="GammaShapePrior.s:ClassII_CUT_withGaps" name="distribution">
#            <parameter id="gammaShape.s:ClassII_CUT_withGaps" name="x">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter id="RealParameter.0" lower="0.0" name="mean" upper="0.0">1.0</parameter>
#            </Exponential>
#        </prior>
#        <prior id="DeathRatePrior.t:ClassII_CUT_withGaps" name="distribution" x="@relativeDeathRate2.t:ClassII_CUT_withGaps">
#            <LogNormal id="LogNormalDistributionModel.1" name="distr">
#                <parameter estimate="false" id="RealParameter.6" name="M">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.7" lower="0.0" name="S" upper="5.0">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="ucldStdevPrior.c:ClassII_CUT_withGaps" name="distribution">
#            <parameter id="ucldStdev.c:ClassII_CUT_withGaps" lower="0.0" name="x">0.1</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.2" name="alpha">0.5396</parameter>
#                <parameter estimate="false" id="RealParameter.3" name="beta">0.3819</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@ClassII_CUT_withGaps" id="treeLikelihood.ClassII_CUT_withGaps" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:ClassII_CUT_withGaps">
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:ClassII_CUT_withGaps" shape="@gammaShape.s:ClassII_CUT_withGaps" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:ClassII_CUT_withGaps" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:ClassII_CUT_withGaps" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="WAG.s:ClassII_CUT_withGaps" spec="beast.evolution.substitutionmodel.WAG"/>
#            </siteModel>
#            <branchRateModel id="RelaxedClock.c:ClassII_CUT_withGaps" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:ClassII_CUT_withGaps">
#                <LogNormal S="@ucldStdev.c:ClassII_CUT_withGaps" id="LogNormalDistributionModel.c:ClassII_CUT_withGaps" meanInRealSpace="true" name="distr">
#                    <parameter estimate="false" id="RealParameter.1" lower="0.0" name="M" upper="1.0">1.0</parameter>
#                </LogNormal>
#                <rateCategories dimension="106" id="rateCategories.c:ClassII_CUT_withGaps" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#                <parameter estimate="false" id="ucldMean.c:ClassII_CUT_withGaps" name="clock.rate">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	gammaShape	mutationRate	ucldStdev	rate.mean	rate.variance	rate.coefficientOfVariation	BirthDeath	birthRate2	relativeDeathRate2
0	-14362.142734525089	-14371.608551907022	9.465817381933064	-14371.608551907022	3.020862390834277	1.0	1.0	0.1	0.9832880763798264	0.010958423854048991	0.10398367348086976	12.474829385302272	1.0	0.5
10000	-8426.752991802923	-8368.450891336955	-58.30210046596815	-8368.450891336955	3.763268165088844	0.8570352099003967	1.0	1.216201659558807	0.5147229454236465	0.6918728729532698	1.0951391793237772	-51.34908284053657	0.8127633331071461	0.3452371115146383
20000	-7881.449299886545	-7833.824945731547	-47.62435415499824	-7833.824945731547	2.913227874408974	0.6825708908795347	1.0	1.0065931904735845	0.6951308272953856	1.139897537694364	1.0604223619728992	-41.1096363704087	1.021354506223766	0.19058186676670674
30000	-7792.810012444148	-7760.998643479031	-31.811368965117467	-7760.998643479031	1.695366322687467	0.7512122781424023	1.0	0.7109082904071569	0.8675000172754476	0.5160638719793627	0.7207011299165675	-26.198610878374257	1.466200243855621	0.27448179725031047
40000	-7681.589553025369	-7655.632242289123	-25.95731073624635	-7655.632242289123	1.5204347138253043	0.8159485555400605	1.0	0.41234498083699306	0.9288518724244113	0.14946673846304115	0.39227884498024057	-20.15499385198608	1.6948686314068964	0.0799794842262066
50000	-7645.852658526852	-7617.848180198683	-28.004478328169547	-7617.848180198683	1.3737519233213455	0.9103494295644661	1.0	0.4328962837507641	0.8330956691279153	0.14067524676608295	0.42917609813372504	-22.574500536771076	1.6061583190820394	0.12617201458829527
60000	-7663.583231772663	-7636.021493248155	-27.561738524507597	-7636.021493248155	1.3957120750814656	0.8109543931140508	1.0	0.24864861368238017	0.8980921669806029	0.05399786339307527	0.24242207245743333	-23.97411145903356	0.893119461107293	0.6046272735522632
70000	-7673.178772714135	-7642.862377635715	-30.31639507842019	-7642.862377635715	1.7132088229606464	0.7378439391018055	1.0	0.34975212713185116	0.9199129179185764	0.12029255315397902	0.35252279215760957	-26.040423495201388	1.2003096545023622	0.24508291158054799
80000	-7651.898039147886	-7634.983528847952	-16.914510299934282	-7634.983528847952	1.0227291631588726	0.8906995969571744	1.0	0.32423768968226935	0.9965906856759	0.08990317139695517	0.2977614323955332	-12.64172229413161	1.5480107768007236	0.41656635114211715
90000	-7653.798821727217	-7634.292509277887	-19.506312449329474	-7634.292509277887	1.1463428838035257	0.949897705566336	1.0	0.30799784615968273	0.9588584161159744	0.09160322674278112	0.31179652787458506	-15.188358261026748	1.5715482981480522	0.35247182948859945
100000	-7663.165248707832	-7638.185106398769	-24.98014230906286	-7638.185106398769	1.1377375623857608	0.8405598940263975	1.0	0.3349780694172581	0.9582924736018189	0.101991233078601	0.31708915969205137	-19.665081432311332	1.57628501120854	0.0916083212401402
110000	-7646.265429885073	-7628.067656055593	-18.19777382948002	-7628.067656055593	1.2051157601609634	0.7447234243714218	1.0	0.4757939636325782	0.9960488718684424	0.24525239148493647	0.4758226540106154	-12.642908513051388	1.7322907329272046	0.11607408326655234
120000	-7637.084227022241	-7613.944824378168	-23.139402644073115	-7613.944824378168	1.2848587304956878	0.7668087930520201	1.0	0.3297465512313111	0.9245229578641506	0.08097765948877668	0.30159978505956253	-18.964516088923386	1.5299792518387392	0.3955097309485097
130000	-7650.666443629665	-7620.418036911636	-30.248406718029845	-7620.418036911636	1.438401157195562	0.7441393797354283	1.0	0.4982561127879727	0.8806225758299692	0.24724512125191128	0.5129873037979228	-25.170258320664153	1.2233352513238511	0.17119572948885614
140000	-7646.22302247988	-7626.13618686565	-20.0868356142294	-7626.13618686565	1.1595923559964552	0.8609625053086015	1.0	0.2758665018127534	0.9602818680153948	0.08334815026075773	0.29158282389249884	-15.953901435328284	1.5748339405862835	0.31597879979259913
150000	-7660.156159594047	-7636.8255265673315	-23.330633026715113	-7636.8255265673315	1.2500939158163964	0.7785832068450041	1.0	0.4367075863348461	1.030888877303062	0.2113453863673966	0.42540009330510775	-18.70200100261042	1.5452178256812907	0.35824683834301435
160000	-7656.849378643641	-7629.913668100325	-26.935710543316652	-7629.913668100325	1.4814481327498283	0.8553251761039984	1.0	0.3845429100679953	0.92046856820384	0.11532615359394402	0.3568435284037731	-21.662232918963465	1.5997954734157014	0.11612177906914085
170000	-7662.118078675895	-7640.351655544154	-21.76642313174087	-7640.351655544154	1.2072034914410836	0.8089710764800613	1.0	0.46359875271683193	0.9606844812166487	0.2477261981025296	0.4869407813720676	-16.507706224420055	2.1389898136876866	0.20663486062428757
180000	-7663.215315403298	-7640.367289753629	-22.848025649668845	-7640.367289753629	1.1732328249483595	0.7481642428181795	1.0	0.4027379692042915	0.9531081841397498	0.13415391920075545	0.36020330599481426	-16.92279233404993	2.16695091956287	0.07773907889679645
190000	-7661.287665044605	-7639.0156520244345	-22.272013020170295	-7639.0156520244345	1.1239837243042181	0.7833083974924034	1.0	0.31160089984203054	0.9899217668142927	0.11896856156637048	0.3281284065497672	-17.554738842053403	1.9491843897564556	0.16952393225548112
200000	-7640.786658881529	-7625.671077658118	-15.115581223411292	-7625.671077658118	1.082935831710017	0.8249908769274431	1.0	0.2830946899004495	0.9556589910274061	0.08131530004823215	0.28971902945843975	-9.594912524321902	2.1128250231321766	0.07679602958604537
210000	-7634.425122321253	-7612.4169809292935	-22.00814139195999	-7612.4169809292935	1.2676359805254633	0.78165316156029	1.0	0.3573993079892275	0.9623864359967442	0.13178895438123173	0.3599332750591124	-16.853037006801618	1.7341023513491238	0.11558392098945328
220000	-7655.622996232001	-7629.905872491576	-25.717123740425816	-7629.905872491576	1.5047101085452756	0.7735963379850427	1.0	0.4333501174521195	0.8875294708407176	0.21868934715259153	0.47573036089681436	-20.50636227594003	2.0479382416583447	0.17109591897424295
230000	-7639.152269866109	-7617.4431534852165	-21.709116380892553	-7617.4431534852165	1.283097794914598	0.8468140786412163	1.0	0.45451424003513435	0.9594018728923652	0.19514413211623954	0.4287982311286112	-16.180953977664025	1.9997239306709687	0.13711761012768084
240000	-7649.33676875207	-7628.816314786686	-20.520453965384267	-7628.816314786686	1.2676457305836515	0.7400645053109265	1.0	0.3692288489484097	0.9767080933769093	0.13429802758585113	0.3630446994932517	-14.439163942920676	1.9855892575124412	0.059482109122259604
250000	-7648.121208555227	-7626.541540594939	-21.57966796028826	-7626.541540594939	1.1843341400513945	0.7878191568782047	1.0	0.34456522897212244	0.9107003821961405	0.14272061850827056	0.37753595463732176	-16.558558043248034	1.9050560840411173	0.13628493442565187
260000	-7636.51159521613	-7614.285058394258	-22.226536821872003	-7614.285058394258	1.2418508886015929	0.7878191568782047	1.0	0.44893623119545895	0.934600196263159	0.16497105410301124	0.41425129939729927	-17.335297832058956	1.8938667981027602	0.29803596535076454
270000	-7635.186594486545	-7616.291059020367	-18.8955354661774	-7616.291059020367	1.2060988633372351	0.9455927503576708	1.0	0.2883989107151212	1.0283058541874175	0.0911317998510446	0.29189099674638436	-14.528754235940298	1.3708777543905204	0.21946723923260958
280000	-7648.561642960179	-7627.716454103259	-20.845188856919794	-7627.716454103259	1.0712804297244065	0.7792350734444866	1.0	0.35809132122684517	0.9245495321142051	0.14302009291941808	0.38804455042787905	-15.895754656619342	1.6665001716861445	0.13910499702936355
290000	-7660.435156429942	-7631.353066642809	-29.082089787133338	-7631.353066642809	1.2470504240541953	0.8898641676731819	1.0	0.3837670527484315	0.9316234233652675	0.129461651751026	0.37022973394742315	-24.176791142192663	2.0429173090552095	0.2444399014937345
300000	-7661.764860931577	-7636.70345134015	-25.061409591426134	-7636.70345134015	1.1704328806313145	0.8543886166462054	1.0	0.35064087548494394	0.9371096745316727	0.09982276998889553	0.32492783675967923	-20.885642761065228	1.1892628106449668	0.4698515029252288
310000	-7643.940774506923	-7622.292425845567	-21.64834866135594	-7622.292425845567	1.0786698724583603	0.8101757014413566	1.0	0.34054738638935994	0.9937983681718614	0.09434429096185076	0.3082916969004597	-16.905526320090292	1.4618968576315268	0.15317958324957442
320000	-7642.281576679221	-7616.336803268184	-25.944773411037048	-7616.336803268184	1.2774257283395853	0.729914209096978	1.0	0.4541049079407125	0.8870592480335865	0.16823987754006228	0.43318226273254656	-20.027919756495656	1.71414004027755	0.07756139711330746
330000	-7647.108009142162	-7620.725697847043	-26.38231129511831	-7620.725697847043	1.217019888806458	0.8201984309770709	1.0	0.3683827540472459	0.879255218099677	0.13576977271420396	0.38937451014248164	-21.270121406250883	1.6274086251265916	0.12528601712126788
340000	-7661.214873840769	-7633.328269184779	-27.886604655989235	-7633.328269184779	1.2888113232803464	0.868238448184093	1.0	0.45663397093324465	0.8249684268520672	0.15372887661970025	0.4400362794310826	-22.96533186019027	1.5825329511912425	0.26706108846605314
350000	-7637.333914396233	-7619.432774090452	-17.901140305781215	-7619.432774090452	1.0571970663225023	0.8240587675897042	1.0	0.4139225072616501	0.9329570180567351	0.14449595374690122	0.37157020053529016	-12.488397151687176	1.8564300960948696	0.1215302047385968
360000	-7649.014525038155	-7627.148671280012	-21.865853758142535	-7627.148671280012	1.2318341763964642	0.8047733049406666	1.0	0.3870969052357579	0.9503244143756833	0.15782888239129492	0.4025587991260133	-17.576714047989515	1.2462993083780673	0.4728566487863107
370000	-7654.733162734975	-7633.492208093803	-21.240954641171765	-7633.492208093803	1.1991304288180475	0.7882758482449618	1.0	0.27761025074714657	0.9374902052289631	0.06468869113421061	0.26027290364417843	-16.559276723719712	2.114213277774867	0.16207016761226292
380000	-7651.027717663793	-7629.184706210523	-21.843011453270478	-7629.184706210523	1.1135856032000464	0.7551856565302848	1.0	0.30787514601140586	0.9999035400051256	0.12529359096689638	0.35437003109539034	-17.389350252844068	2.0289867301829627	0.24961904179972574
