#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BirthDeath.t:ClassI_FULL" spec="beast.evolution.speciation.BirthDeathGernhard08Model">
#            <parameter id="relativeDeathRate2.t:ClassI_FULL" lower="0.0" name="relativeDeathRate" upper="1.0">0.5</parameter>
#            <parameter id="birthRate2.t:ClassI_FULL" lower="0.0" name="birthDiffRate" upper="10000.0">1.0</parameter>
#            <tree id="Tree.t:ClassI_FULL">
#                <taxonset id="TaxonSet.ClassI_FULL" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="BirthRatePrior.t:ClassI_FULL" name="distribution" x="@birthRate2.t:ClassI_FULL">
#            <LogNormal id="LogNormalDistributionModel.1" name="distr">
#                <parameter estimate="false" id="RealParameter.6" name="M">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.7" lower="0.0" name="S" upper="5.0">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="GammaShapePrior.s:ClassI_FULL" name="distribution">
#            <parameter id="gammaShape.s:ClassI_FULL" name="x">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter id="RealParameter.0" lower="0.0" name="mean" upper="0.0">1.0</parameter>
#            </Exponential>
#        </prior>
#        <prior id="DeathRatePrior.t:ClassI_FULL" name="distribution" x="@relativeDeathRate2.t:ClassI_FULL">
#            <LogNormal id="LogNormalDistributionModel.2" name="distr">
#                <parameter estimate="false" id="RealParameter.8" name="M">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.9" lower="0.0" name="S" upper="5.0">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="ucldStdevPrior.c:ClassI_FULL" name="distribution">
#            <parameter id="ucldStdev.c:ClassI_FULL" lower="0.0" name="x">0.1</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.2" name="alpha">0.5396</parameter>
#                <parameter estimate="false" id="RealParameter.3" name="beta">0.3819</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@ClassI_FULL" id="treeLikelihood.ClassI_FULL" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:ClassI_FULL">
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:ClassI_FULL" shape="@gammaShape.s:ClassI_FULL" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:ClassI_FULL" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:ClassI_FULL" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="WAG.s:ClassI_FULL" spec="beast.evolution.substitutionmodel.WAG"/>
#            </siteModel>
#            <branchRateModel id="RelaxedClock.c:ClassI_FULL" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:ClassI_FULL">
#                <LogNormal S="@ucldStdev.c:ClassI_FULL" id="LogNormalDistributionModel.c:ClassI_FULL" meanInRealSpace="true" name="distr">
#                    <parameter estimate="false" id="RealParameter.1" lower="0.0" name="M" upper="1.0">1.0</parameter>
#                </LogNormal>
#                <rateCategories dimension="108" id="rateCategories.c:ClassI_FULL" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#                <parameter estimate="false" id="ucldMean.c:ClassI_FULL" name="clock.rate">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	gammaShape	mutationRate	ucldStdev	rate.mean	rate.variance	rate.coefficientOfVariation	BirthDeath	birthRate2	relativeDeathRate2
0	-14009.375536252057	-14012.268164615443	2.8926283633864687	-14012.268164615443	7.163996375726953	1.0	1.0	0.1	0.9723399648490811	0.010890464177906652	0.10423314793971655	5.901640366755675	1.0	0.5
10000	-6594.165173238727	-6563.865614975459	-30.299558263268576	-6563.865614975459	1.626196571101649	0.7363565285975311	1.0	0.7944947444383008	0.8234762271541693	0.7087612070861153	0.8322887454209374	-24.865773669024257	0.7325764466682024	0.6190023569186324
20000	-6124.05311106321	-6105.3933337599565	-18.659777303253154	-6105.3933337599565	1.6552158736380431	0.7645306560893664	1.0	0.38205308202184535	0.9145661158030524	0.11378104571586602	0.35624774176637203	-14.171064719334716	1.8314944639305906	0.41963599632236875
30000	-6094.3949839083025	-6067.2347315153165	-27.16025239298562	-6067.2347315153165	1.7363802361691814	0.7645306560893664	1.0	0.5583350101943215	0.7971681452884908	0.19473441737743713	0.4947707571345731	-21.354110271439993	1.498124869184037	0.11183911863336923
40000	-6096.211057455223	-6087.242463191459	-8.968594263763933	-6087.242463191459	1.5639372320093383	0.7843039919332843	1.0	0.4032722172352633	0.9480970646970468	0.20204777597670442	0.4313233586157683	-4.29824081859469	1.974867385237518	0.37896736806654313
50000	-6084.046692207144	-6073.30894021154	-10.737751995603498	-6073.30894021154	1.4816458879863896	0.7540623640186248	1.0	0.36159066518443417	0.9172974292060103	0.14471906122090564	0.3761581212566788	-6.4569692731075	1.4836514076857874	0.3769761483667848
60000	-6097.534753018742	-6087.499156407888	-10.035596610853805	-6087.499156407888	1.2123338860428583	0.702454309450739	1.0	0.3038182856261868	0.9982885751611497	0.10113931576752323	0.30387299426591086	-4.394526527766173	2.9200856772633466	0.08654830124989431
70000	-6098.440977302177	-6081.8021330598785	-16.638844242298163	-6081.8021330598785	1.4401570180772902	0.702454309450739	1.0	0.33165535517474276	0.9128725700265788	0.14661714418949873	0.3862565976429449	-12.686487628333714	1.2204988301605357	0.6310848306404186
80000	-6089.782122185328	-6076.712501165062	-13.069621020265728	-6076.712501165062	1.288426218771368	0.6621210091361878	1.0	0.335900690414672	0.9588252293937253	0.0978788703314728	0.3122099545836934	-8.652630398906862	2.3058625463407063	0.3812579916608979
90000	-6087.768605247547	-6069.691389684942	-18.07721556260585	-6069.691389684942	1.3640611186510414	0.7966958201606166	1.0	0.4972445287409962	0.7989465311655684	0.13261313688829915	0.4214632959255065	-13.473546639737808	1.0662238450169497	0.5499288038554827
100000	-6087.905440492777	-6083.543588801205	-4.361851691571778	-6083.543588801205	1.1519940389559045	0.8653555697415947	1.0	0.2942942464308238	0.959104075958712	0.08397088679079283	0.2877094183348676	1.0753080207908416	2.5778694477771182	0.10315208253076266
110000	-6081.088061107773	-6073.162782284161	-7.925278823611283	-6073.162782284161	1.235731760972467	0.8266553780160252	1.0	0.41505380771869643	0.9114024925546311	0.15600589390839714	0.40832569951478237	-3.3274554203079725	1.701635419247169	0.4992117952549238
120000	-6082.4356997169425	-6073.52937553485	-8.906324182092154	-6073.52937553485	1.2764534114909947	1.011303428487319	1.0	0.3852026148026845	0.9398546820818954	0.13624009285746755	0.37940811520687817	-3.775701923385683	2.4566895208702397	0.27728562988400823
130000	-6073.92203095546	-6059.4959197355265	-14.426111219933334	-6059.4959197355265	1.5750909165106923	0.7834829864095953	1.0	0.42648104570848666	0.8011017724225696	0.1168316724513363	0.40303055518073966	-9.664763574109633	1.877805035182313	0.3278260446250204
140000	-6082.404169450833	-6064.184155435388	-18.22001401544573	-6064.184155435388	1.9333606255603004	0.7604716377749848	1.0	0.5222204053328745	0.7960109970822201	0.24129761776879954	0.528806901512442	-12.784707407107021	2.1011810732191867	0.19698853391202803
