#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BirthDeath.t:ClassII_CUT_withGaps" spec="beast.evolution.speciation.BirthDeathGernhard08Model">
#            <parameter id="relativeDeathRate2.t:ClassII_CUT_withGaps" lower="0.0" name="relativeDeathRate" upper="1.0">0.5</parameter>
#            <parameter id="birthRate2.t:ClassII_CUT_withGaps" lower="0.0" name="birthDiffRate" upper="10000.0">1.0</parameter>
#            <tree id="Tree.t:ClassII_CUT_withGaps">
#                <taxonset id="TaxonSet.ClassII_CUT_withGaps" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="BirthRatePrior.t:ClassII_CUT_withGaps" name="distribution" x="@birthRate2.t:ClassII_CUT_withGaps">
#            <LogNormal id="LogNormalDistributionModel.0" name="distr">
#                <parameter estimate="false" id="RealParameter.4" name="M">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.5" lower="0.0" name="S" upper="5.0">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="GammaShapePrior.s:ClassII_CUT_withGaps" name="distribution">
#            <parameter id="gammaShape.s:ClassII_CUT_withGaps" name="x">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter id="RealParameter.0" lower="0.0" name="mean" upper="0.0">1.0</parameter>
#            </Exponential>
#        </prior>
#        <prior id="DeathRatePrior.t:ClassII_CUT_withGaps" name="distribution" x="@relativeDeathRate2.t:ClassII_CUT_withGaps">
#            <LogNormal id="LogNormalDistributionModel.1" name="distr">
#                <parameter estimate="false" id="RealParameter.6" name="M">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.7" lower="0.0" name="S" upper="5.0">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="ucldStdevPrior.c:ClassII_CUT_withGaps" name="distribution">
#            <parameter id="ucldStdev.c:ClassII_CUT_withGaps" lower="0.0" name="x">0.1</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.2" name="alpha">0.5396</parameter>
#                <parameter estimate="false" id="RealParameter.3" name="beta">0.3819</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@ClassII_CUT_withGaps" id="treeLikelihood.ClassII_CUT_withGaps" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:ClassII_CUT_withGaps">
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:ClassII_CUT_withGaps" shape="@gammaShape.s:ClassII_CUT_withGaps" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:ClassII_CUT_withGaps" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:ClassII_CUT_withGaps" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="WAG.s:ClassII_CUT_withGaps" spec="beast.evolution.substitutionmodel.WAG"/>
#            </siteModel>
#            <branchRateModel id="RelaxedClock.c:ClassII_CUT_withGaps" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:ClassII_CUT_withGaps">
#                <LogNormal S="@ucldStdev.c:ClassII_CUT_withGaps" id="LogNormalDistributionModel.c:ClassII_CUT_withGaps" meanInRealSpace="true" name="distr">
#                    <parameter estimate="false" id="RealParameter.1" lower="0.0" name="M" upper="1.0">1.0</parameter>
#                </LogNormal>
#                <rateCategories dimension="106" id="rateCategories.c:ClassII_CUT_withGaps" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#                <parameter estimate="false" id="ucldMean.c:ClassII_CUT_withGaps" name="clock.rate">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	gammaShape	mutationRate	ucldStdev	rate.mean	rate.variance	rate.coefficientOfVariation	BirthDeath	birthRate2	relativeDeathRate2
0	-16439.310456713276	-16454.532237718275	15.221781004998164	-16454.532237718275	2.517990439935783	1.0	1.0	0.1	0.9766474576318129	0.006317692443727808	0.08035929035290117	18.23079300836737	1.0	0.5
10000	-7007.70235201142	-6985.037202030677	-22.665149980743273	-6985.037202030677	1.506717636518959	1.0751887746359647	1.0	0.9981934795594481	0.7508482483453266	0.6471661033869229	0.9422945235307449	-14.772799106600266	1.7423586197420275	0.0889373731152733
20000	-6728.650785925655	-6720.9624763815145	-7.688309544140821	-6720.9624763815145	1.2347718186273595	1.0525957558557888	1.0	0.5264279286840599	0.8998706127278946	0.2435249874086731	0.5036868935021992	-2.427226168819706	1.7748219248780146	0.47027479300833197
30000	-6715.51884831857	-6708.328092966515	-7.190755352055189	-6708.328092966515	1.2190464383806727	0.8429435884017402	1.0	0.4415964991632968	0.9551601519417297	0.17385401374852869	0.41811059282886986	-1.8131092623475578	2.3576192203670403	0.18402215863125038
40000	-6728.444373001135	-6724.664301724296	-3.7800712768390614	-6724.664301724296	1.1575506839028307	0.9894131384855589	1.0	0.37767958516644345	0.9391945718372557	0.13177383970643158	0.35558207278307213	0.9917322217227822	1.9296484361399147	0.3630396872600379
50000	-6712.096918855591	-6711.77604698175	-0.3208718738407583	-6711.77604698175	1.180346368962086	0.9894131384855589	1.0	0.3128381008205268	0.9493212658161501	0.10741168607205276	0.3371892738933905	4.671666531672756	2.754974531986361	0.24694142649041437
60000	-6714.675446569019	-6714.628279428613	-0.0471671404069578	-6714.628279428613	1.185945742214448	0.8724466623969428	1.0	0.3903576761265155	0.9711459269099806	0.1568973174955184	0.38953774161875276	6.187367184103909	2.681414586995085	0.075637910741975
70000	-6710.775439087827	-6708.081247333223	-2.694191754604696	-6708.081247333223	1.1023103588477088	0.9706777736176525	1.0	0.35056010833138845	0.9411368758057683	0.11359350199612722	0.35078143261147643	2.5621690299749442	3.0047855227970817	0.22930215292304018
80000	-6710.29920727176	-6707.045316928235	-3.2538903435247937	-6707.045316928235	1.4763015592957887	0.9706777736176525	1.0	0.40469098408286747	0.9740481643038797	0.19528712152069921	0.4363139640342298	1.952443388648872	2.2931577058274213	0.22682836878799367
90000	-6724.222810708758	-6715.878365060607	-8.344445648150195	-6715.878365060607	1.212597160204615	0.952667414000333	1.0	0.43439196561728466	0.9704374107923596	0.26454578556739783	0.5311450807888518	-2.1859082788648863	2.559381339155179	0.09477867701281181
100000	-6706.743499321792	-6709.543649320077	2.8001499982844655	-6709.543649320077	0.995154208082099	0.952667414000333	1.0	0.3850043206121674	1.0429818792766656	0.2543458091231564	0.48489247196088375	8.415426957661165	3.168220879006712	0.1737296508674267
110000	-6704.6110458156145	-6702.531764639213	-2.0792811764012065	-6702.531764639213	1.2544115450147024	0.7671127687110779	1.0	0.3967247344497916	0.9933245175508066	0.16440648055900953	0.3929290296951335	3.1208648404845682	2.8274350911283435	0.217010583951246
120000	-6712.8771025048945	-6710.08503864867	-2.792063856224804	-6710.08503864867	1.287161134132923	1.0042035730212513	1.0	0.4065945048751093	0.9678300977318647	0.19105236104712794	0.42684606164733097	3.503930441265748	3.138691920069755	0.0964816852820133
130000	-6702.8883262494255	-6702.252890190514	-0.6354360589112771	-6702.252890190514	1.1891565454385438	0.793755170230067	1.0	0.5213887052883791	0.9182938907548949	0.2814428784297419	0.5597015283190477	5.1618707580539755	2.4936549901462333	0.15539587397410312
140000	-6699.845383932093	-6698.4314725106715	-1.41391142142106	-6698.4314725106715	1.0505522644168013	0.793755170230067	1.0	0.44041693780399405	0.9455246813850193	0.19695669472981361	0.46562088214090364	4.206331057517241	2.639816327411633	0.1452159825403279
150000	-6703.913138931491	-6698.508343616746	-5.404795314744784	-6698.508343616746	1.3528730026260507	0.9810595902783474	1.0	0.4559161709125879	0.9473760927928632	0.2510216173875326	0.5044112788759199	1.3032213396921195	2.322527367535754	0.06252922147895949
