#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BirthDeath.t:Ala_ArchBact" spec="beast.evolution.speciation.BirthDeathGernhard08Model">
#            <parameter id="relativeDeathRate2.t:Ala_ArchBact" lower="0.0" name="relativeDeathRate" upper="1.0">0.5</parameter>
#            <parameter id="birthRate2.t:Ala_ArchBact" lower="0.0" name="birthDiffRate" upper="10000.0">1.0</parameter>
#            <tree id="Tree.t:Ala_ArchBact">
#                <taxonset id="TaxonSet.Ala_ArchBact" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="BirthRatePrior.t:Ala_ArchBact" name="distribution" x="@birthRate2.t:Ala_ArchBact">
#            <Uniform id="Uniform.4" name="distr" upper="1000.0"/>
#        </prior>
#        <prior id="GammaShapePrior.s:Ala_ArchBact" name="distribution">
#            <parameter id="gammaShape.s:Ala_ArchBact" name="x">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter id="RealParameter.0" lower="0.0" name="mean" upper="0.0">1.0</parameter>
#            </Exponential>
#        </prior>
#        <prior id="DeathRatePrior.t:Ala_ArchBact" name="distribution" x="@relativeDeathRate2.t:Ala_ArchBact">
#            <Uniform id="Uniform.5" name="distr"/>
#        </prior>
#        <prior id="ucldStdevPrior.c:Ala_ArchBact" name="distribution">
#            <parameter id="ucldStdev.c:Ala_ArchBact" lower="0.0" name="x">0.1</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.2" name="alpha">0.5396</parameter>
#                <parameter estimate="false" id="RealParameter.3" name="beta">0.3819</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@Ala_ArchBact" id="treeLikelihood.Ala_ArchBact" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:Ala_ArchBact">
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:Ala_ArchBact" shape="@gammaShape.s:Ala_ArchBact" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:Ala_ArchBact" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:Ala_ArchBact" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="WAG.s:Ala_ArchBact" spec="beast.evolution.substitutionmodel.WAG"/>
#            </siteModel>
#            <branchRateModel id="RelaxedClock.c:Ala_ArchBact" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:Ala_ArchBact">
#                <LogNormal S="@ucldStdev.c:Ala_ArchBact" id="LogNormalDistributionModel.c:Ala_ArchBact" meanInRealSpace="true" name="distr">
#                    <parameter estimate="false" id="RealParameter.1" lower="0.0" name="M" upper="1.0">1.0</parameter>
#                </LogNormal>
#                <rateCategories dimension="62" id="rateCategories.c:Ala_ArchBact" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#                <parameter estimate="false" id="ucldMean.c:Ala_ArchBact" name="clock.rate">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	gammaShape	mutationRate	ucldStdev	rate.mean	rate.variance	rate.coefficientOfVariation	BirthDeath	birthRate2	relativeDeathRate2
0	-7034.895067347367	-7032.67180172229	-2.223265625077423	-7032.67180172229	1.3648744005387405	1.0	1.0	0.1	1.010261600710459	0.00924343365258899	0.09642732496763312	4.865125508783912	1.0	0.5
10000	-3817.675275392985	-3812.609852268907	-5.065423124077601	-3812.609852268907	1.0403779608624701	0.6801777011935821	1.0	0.18569423297215595	1.0006103113443692	0.034254116938337624	0.17986863626152444	2.212490840986459	2.718251343471506	0.0852667019845314
20000	-3813.760472988635	-3805.4987609246696	-8.261712063965065	-3805.4987609246696	1.2170044166548524	0.7226828100782859	1.0	0.2594607359992684	0.9425612765144834	0.058483316018973344	0.2473406691059882	-0.5941307676406424	1.965355247158805	0.30057916726312256
30000	-3817.7340033747887	-3814.6957007144015	-3.0383026603874375	-3814.6957007144015	0.8034146555410943	0.823795709948861	1.0	0.17461942957712126	1.0300254413794063	0.034968114990355056	0.1822483253850247	4.325918945603647	2.5093666558153216	0.38484254990195504
40000	-3829.240691223441	-3827.117698042023	-2.1229931814178826	-3827.117698042023	0.8916894294773208	0.7102750984574351	1.0	0.024206450811906432	0.9966007300822827	6.539884480549684E-4	0.025550338920491317	3.8241077721322423	5.19144936160564	0.11468654973336415
50000	-3817.873997461921	-3804.487835581189	-13.386161880732303	-3804.487835581189	1.3398000761024669	0.5884118791567347	1.0	0.43929490779174707	0.8984534292545563	0.10419152699957096	0.34700107419554765	-5.139527371102872	3.613060825871476	0.1843762243493653
60000	-3824.284263542515	-3813.515053543446	-10.769209999068893	-3813.515053543446	1.0377591021927304	0.811477186804749	1.0	0.32182179475374184	0.9873725140895503	0.10106711550000179	0.3146846161514715	-2.7503759930425082	3.189303291478622	0.25332973697182193
70000	-3817.4786164386483	-3807.6837760799626	-9.79484035868581	-3807.6837760799626	1.3442163669354816	0.8083325046736686	1.0	0.28688271118994146	1.0319018155639892	0.08108767889836305	0.26324405571747894	-1.9235497935039665	1.484448812912079	0.3276336185614739
80000	-3822.0827393956542	-3818.317877903333	-3.7648614923212524	-3818.317877903333	0.9959395097125788	0.5936311979457446	1.0	0.38659042392100446	1.0351603432797916	0.1183044973428284	0.3302785525451474	4.290144858860476	2.6878519894103228	0.28615578181115314
90000	-3821.3643701352503	-3817.3673522625386	-3.9970178727117385	-3817.3673522625386	1.014108977988885	0.7173942055316316	1.0	0.21920517590941735	0.9615419423292192	0.03894066631476828	0.1989255632312493	3.4822440189912713	2.5764500918561586	0.1515392851076253
100000	-3808.2181018296205	-3803.3407058615767	-4.877395968043995	-3803.3407058615767	1.0635576777909068	0.75803489923166	1.0	0.2852930273681625	0.947856265808494	0.08339409362755203	0.29494210232533546	2.936876148001428	2.9016642563695605	0.03129592326391426
110000	-3810.5799718472895	-3804.0923507268617	-6.487621120427767	-3804.0923507268617	0.9837119972690677	0.6928736769890709	1.0	0.2879750080931007	0.9273198640805199	0.10950873096852443	0.342874566479586	1.272820411584834	2.891697758172905	0.24951045761871019
120000	-3819.278689088598	-3814.352321673449	-4.926367415149466	-3814.352321673449	0.9500353339896778	0.7348167691023256	1.0	0.36784848908564266	0.9496214452157525	0.11835730614102204	0.3680024666877635	3.1978695832367183	2.672509645302597	0.044342976947924655
130000	-3819.5431844144678	-3809.696831670223	-9.84635274424443	-3809.696831670223	1.2145784346706838	0.7840764725419848	1.0	0.23865941450982922	0.933322829283128	0.057847085511102125	0.24735934785983585	-2.210320423248585	1.4007999151396313	0.5609473497249174
