#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BirthDeath.t:Ala_BactEuk" spec="beast.evolution.speciation.BirthDeathGernhard08Model">
#            <parameter id="relativeDeathRate2.t:Ala_BactEuk" lower="0.0" name="relativeDeathRate" upper="1.0">0.5</parameter>
#            <parameter id="birthRate2.t:Ala_BactEuk" lower="0.0" name="birthDiffRate" upper="10000.0">1.0</parameter>
#            <tree id="Tree.t:Ala_BactEuk">
#                <taxonset id="TaxonSet.Ala_BactEuk" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="BirthRatePrior.t:Ala_BactEuk" name="distribution" x="@birthRate2.t:Ala_BactEuk">
#            <Uniform id="Uniform.5" name="distr" upper="1000.0"/>
#        </prior>
#        <prior id="GammaShapePrior.s:Ala_BactEuk" name="distribution">
#            <parameter id="gammaShape.s:Ala_BactEuk" name="x">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter id="RealParameter.0" lower="0.0" name="mean" upper="0.0">1.0</parameter>
#            </Exponential>
#        </prior>
#        <prior id="DeathRatePrior.t:Ala_BactEuk" name="distribution" x="@relativeDeathRate2.t:Ala_BactEuk">
#            <Uniform id="Uniform.6" name="distr"/>
#        </prior>
#        <prior id="ucldStdevPrior.c:Ala_BactEuk" name="distribution">
#            <parameter id="ucldStdev.c:Ala_BactEuk" lower="0.0" name="x">0.1</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.2" name="alpha">0.5396</parameter>
#                <parameter estimate="false" id="RealParameter.3" name="beta">0.3819</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@Ala_BactEuk" id="treeLikelihood.Ala_BactEuk" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:Ala_BactEuk">
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:Ala_BactEuk" shape="@gammaShape.s:Ala_BactEuk" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:Ala_BactEuk" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:Ala_BactEuk" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="WAG.s:Ala_BactEuk" spec="beast.evolution.substitutionmodel.WAG"/>
#            </siteModel>
#            <branchRateModel id="RelaxedClock.c:Ala_BactEuk" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:Ala_BactEuk">
#                <LogNormal S="@ucldStdev.c:Ala_BactEuk" id="LogNormalDistributionModel.c:Ala_BactEuk" meanInRealSpace="true" name="distr">
#                    <parameter estimate="false" id="RealParameter.1" lower="0.0" name="M" upper="1.0">1.0</parameter>
#                </LogNormal>
#                <rateCategories dimension="66" id="rateCategories.c:Ala_BactEuk" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#                <parameter estimate="false" id="ucldMean.c:Ala_BactEuk" name="clock.rate">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	gammaShape	mutationRate	ucldStdev	rate.mean	rate.variance	rate.coefficientOfVariation	BirthDeath	birthRate2	relativeDeathRate2
0	-5913.417749613749	-5912.933334127638	-0.48441548611131124	-5912.933334127638	2.13997157428629	1.0	1.0	0.1	0.993703985392433	0.010463660624200052	0.10287433245643914	6.6039756477500235	1.0	0.5
10000	-3809.7092764073677	-3807.826600178778	-1.8826762285897154	-3807.826600178778	0.6113838983623374	0.6345955164971673	1.0	0.36012427471534336	0.9847053294790861	0.10746941716761722	0.32908971062890774	6.111343175858738	3.1378644851385014	0.3514747903595248
20000	-3793.9665556747414	-3788.006725006101	-5.959830668640114	-3788.006725006101	0.69024293047964	0.5974845402812338	1.0	0.4099002543234846	0.9226155342812519	0.18655686813768818	0.43564515981433094	2.187021024352938	2.496344602303642	0.05207816328856269
30000	-3778.964422541845	-3773.5783784446535	-5.386044097191866	-3773.5783784446535	0.5328963021417047	0.6607605400231494	1.0	0.45695329915234645	1.0223211258825962	0.24529050830179236	0.45686001804754084	2.997321805775319	4.585163313631659	0.008148556871481007
40000	-3783.549008215675	-3776.5710450198926	-6.977963195782305	-3776.5710450198926	0.7608939127984999	0.5381485987109811	1.0	0.48572980519322395	0.9900651645369629	0.3414327512146646	0.5502056213268104	1.3862588933561737	2.119052159995376	0.17228231149070738
50000	-3788.6530268067836	-3784.857920105968	-3.795106700815828	-3784.857920105968	0.6534959592696119	0.7121027357047541	1.0	0.16142875684285024	1.0056211875265104	0.03632048358478974	0.19255623631185306	3.3867202112672707	3.627877962657542	0.00960456305828707
60000	-3772.054721714721	-3769.9619801153294	-2.0927415993914584	-3769.9619801153294	0.5318150928295549	0.7121027357047541	1.0	0.43519026548178774	1.0054090869506058	0.27276510211889526	0.49923169497166714	6.26251375052262	3.2975671596117198	0.014448118544990122
70000	-3786.3958899297486	-3777.4788378575895	-8.917052072159166	-3777.4788378575895	0.6303140271660853	0.7121027357047541	1.0	0.5094603834811675	0.9624951889188323	0.37731730925046575	0.5895616997079103	-0.2947767596748543	2.0988985000738993	0.1226707359740865
80000	-3784.0590860232087	-3778.3448739033747	-5.714212119834056	-3778.3448739033747	0.6119869751883631	0.5834906514309648	1.0	0.3479568175647236	0.9959622445185751	0.17188722851030533	0.38657344699715795	2.1810177831517064	1.9161791972266693	0.1886620561999553
90000	-3806.135513728183	-3797.8150293271588	-8.320484401024276	-3797.8150293271588	0.6554995801573268	0.6954470656695206	1.0	0.25030023645786914	1.0091738413266222	0.058003724388680414	0.23539390831354132	-0.7206742224875802	2.8337221640027033	0.566139451361161
100000	-3784.9620248375236	-3779.5847482223926	-5.377276615131211	-3779.5847482223926	0.6388057494528206	0.73589798546447	1.0	0.32172306674167295	0.9304936525034484	0.09910418411358203	0.31586303774554925	2.5655784090894116	4.863274506112941	0.06760756597522623
110000	-3778.670785698369	-3774.4128695616414	-4.257916136727503	-3774.4128695616414	0.6486332946751724	0.5903312623084312	1.0	0.43422533955669335	0.9832889697278205	0.17046535608751404	0.40419647889100263	3.9720191386557193	2.7976109467366506	0.017804757616612658
120000	-3802.280235546007	-3788.7809241005743	-13.499311445432804	-3788.7809241005743	0.9583454617236502	0.6772347545275442	1.0	0.5430217644653644	0.9234022816140658	0.26975405830160315	0.5243835776566474	-4.79465181043069	2.261650664970504	0.024650796009207526
130000	-3785.1599313713355	-3778.06402324191	-7.0959081294254815	-3778.06402324191	0.6265028792869268	0.6772347545275442	1.0	0.45145415444409737	0.9365061762508874	0.14790571913076545	0.3781723505166349	1.2839583193378319	3.962333386787401	0.040075505457014785
