Sample	posterior	likelihood	prior	Tree.t:Ala.CFheight	Tree.t:Ala.CFlength	Tree.t:Ala.nConv	Tree.t:Ala.nUselessConvs	Tree.t:Ala.meanEdgeLength	Tree.t:Ala.meanDepartureHeight	Tree.t:Ala.locus.Ala.meanTractLength	Tree.t:Ala.locus.Ala.meanRegionLength	Tree.t:Ala.locus.Ala.meanStartSite	Tree.t:Ala.locus.Ala.meanEndSite	Tree.t:Ala.locus.Ala.randomStartSite	Tree.t:Ala.locus.Ala.randomEndSite	rho.t:Ala	delta.t:Ala	popSize.t:Ala	gammaShape.s:Ala	mutationRate.s:Ala
0	-11151.69610555217	-11098.244830727132	-53.45127482503886	2.130811423642951	10.13559879360377	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.001	1000.0	1.0	1.0	1.0
1000	-7009.070426595004	-6841.933406235373	-167.13702035963132	3.653908273516278	18.173577841902723	12	4	0.11773760251163852	0.9007458195748271	94.58333333333333	52.0	9.416666666666666	103.0	0.0	103.0	9.804432812098207E-4	414.5691947905084	1.1684617237923958	0.9085315730507455	1.0
2000	-6021.865330603359	-5832.855278679508	-189.01005192385102	2.818119969460246	20.83266936035991	11	3	1.3091126289732946	0.7313146684265664	89.0	34.666666666666664	10.090909090909092	98.0909090909091	0.0	49.0	9.195014875342124E-4	381.0977590987814	3.1320458398219744	0.9085315730507455	1.0
3000	-5773.533593621433	-5601.697382138927	-171.83621148250612	3.518306116687926	19.48788158516268	9	2	0.35181795218798695	0.5869882902081166	89.77777777777777	52.0	0.3333333333333333	89.11111111111111	0.0	103.0	0.0012623581961346778	353.68636389601915	2.8927946459312044	0.9085315730507455	1.0
4000	-5653.221101871903	-5485.135525637824	-168.08557623407864	1.7163170699618817	16.954818472900193	9	1	0.2790993081250488	0.45763878394544855	95.77777777777777	52.0	8.222222222222221	103.0	0.0	103.0	9.990745639646538E-4	720.576346003691	3.772850318794155	0.5707449894375209	1.0
5000	-5639.4297721325565	-5451.583851588407	-187.84592054414927	6.837302376537374	28.845360904849755	14	7	1.2305913459341908	1.8407208910561892	104.0	104.0	0.0	103.0	0.0	103.0	6.488918468087699E-4	626.9291392567005	4.918043923439921	0.5707449894375209	1.0
6000	-5542.62890025506	-5350.5892427839835	-192.03965747107694	3.904947885635023	23.2289814436692	10	3	1.301187175057352	0.8003307170141838	81.5	52.0	9.1	89.6	91.0	103.0	4.6249820915741436E-4	457.00871490985105	6.407382579991585	0.5707449894375209	1.0
7000	-5507.567238164969	-5340.491485671504	-167.07575249346485	2.2638014060228207	18.560884751747036	8	0	0.15163835531009812	0.14919857819058643	82.0	34.666666666666664	12.0	93.0	0.0	103.0	6.136876898411732E-4	600.391729633673	5.183413067152928	0.5707449894375209	1.0
8000	-5473.157676174068	-5320.951928627449	-152.20574754661914	2.229465605956808	20.364164441167986	5	0	0.17260315105605306	0.14416178401435292	104.0	104.0	0.0	103.0	0.0	103.0	5.945084036529057E-4	406.1211656034061	4.501685590346391	0.5707449894375209	1.0
9000	-5581.855186105664	-5315.064704417377	-266.79048168828785	14.719372961648741	50.23857722722439	17	12	2.7589398655426214	5.068653489800396	95.29411764705883	104.0	7.823529411764706	102.11764705882354	0.0	101.0	5.56315637274251E-4	414.87368361473506	6.103858504440051	0.5658572707537143	1.0
10000	-5590.444383566682	-5306.093584825841	-284.3507987408403	31.0341640716685	83.86500717953521	24	20	2.3264544091672144	11.437806388792739	94.04166666666667	104.0	3.6666666666666665	96.70833333333333	0.0	103.0	5.168133245506755E-4	416.85159039546414	5.6385632094737606	0.5658572707537143	1.0
11000	-5477.772000040002	-5306.726305677294	-171.04569436270867	4.387323050703297	25.31772639724342	7	4	1.0785521947405876	1.0377319837285648	89.57142857142857	104.0	0.0	88.57142857142857	0.0	103.0	5.674417619349482E-4	461.2567555287386	5.581193508287751	0.5658572707537143	1.0
12000	-5478.883574415302	-5303.7559361452995	-175.1276382700024	4.939524461911268	23.364299272572257	9	4	1.7628337838975598	1.245317968850788	93.88888888888889	104.0	10.11111111111111	103.0	0.0	103.0	9.018988325870785E-4	317.07656549322337	4.894880777818611	0.5658572707537143	1.0
13000	-5460.387962196756	-5297.497779941668	-162.89018225508786	5.463709214489271	26.195489701335973	6	1	0.2161832999214668	0.6502224173370791	89.16666666666667	104.0	0.0	88.16666666666667	0.0	103.0	7.077929000950398E-4	314.73338910481925	5.418594924101159	0.5658572707537143	1.0
14000	-5493.947024777571	-5304.9374561016575	-189.0095686759135	5.05048309653865	23.9963328600479	10	3	1.2925332670842695	1.689374263904126	75.5	26.0	0.0	74.5	0.0	103.0	7.398329976156354E-4	377.2623953365447	4.893291449022218	0.5658572707537143	1.0
15000	-5571.11339583646	-5304.930458630939	-266.18293720552066	19.130302400332685	54.69739136557741	19	11	3.0066941350377148	6.037816726882259	85.15789473684211	26.0	1.736842105263158	85.89473684210526	0.0	103.0	7.685271065256024E-4	338.4367732401237	5.584003733874162	0.5658572707537143	1.0
16000	-5548.8940719419725	-5305.981371572493	-242.9127003694793	10.389514780581388	35.28755021353751	13	9	4.424824672759698	3.869702048755729	72.61538461538461	52.0	15.384615384615385	87.0	0.0	103.0	9.168367517470114E-4	312.8255888989996	6.486446296504827	0.5658572707537143	1.0
17000	-5498.776480289078	-5293.027736769957	-205.74874351912047	10.037708395215242	35.954720084002254	9	5	5.5581677111181635	4.128312888781016	69.66666666666667	52.0	9.88888888888889	78.55555555555556	0.0	103.0	5.614393030627559E-4	360.3646262787811	6.107924457500822	0.6609431207084878	1.0
18000	-5437.126536318928	-5287.217867247389	-149.9086690715388	1.5883189252978536	17.904427098322742	4	0	0.1699069099581218	0.1331037161225529	80.5	52.0	0.0	79.5	0.0	9.0	4.491303540092863E-4	345.28242392903854	5.656215508012317	0.6609431207084878	1.0
19000	-5435.120443530174	-5290.414525246379	-144.70591828379568	1.689879983507481	17.683023157188263	3	0	0.18722242747362683	0.14681878880222987	74.66666666666667	52.0	0.0	73.66666666666667	0.0	103.0	3.247902168719799E-4	270.240628881932	5.223518009879646	0.6609431207084878	1.0
20000	-5489.737110376246	-5284.13844087573	-205.59866950051605	8.739481590719969	30.684969007097145	10	6	1.9210707391709332	2.0582013787792635	66.8	34.666666666666664	0.0	65.8	0.0	15.0	6.403234234015219E-4	296.6578153927814	4.161248575640263	0.6609431207084878	1.0
21000	-5422.547162547864	-5277.763584676405	-144.78357787145902	1.311477505657928	16.52953191532208	3	0	0.2137790125412052	0.1434731894632902	74.66666666666667	52.0	0.0	73.66666666666667	0.0	103.0	4.8476617916788607E-4	524.5815288027213	5.488599848520801	0.6609431207084878	1.0
22000	-5430.124446452327	-5276.312774046143	-153.81167240618404	7.737818883532968	31.170199565158814	3	0	0.24942200765350497	0.14639791894263895	74.66666666666667	52.0	0.0	73.66666666666667	0.0	103.0	3.899290245174667E-4	447.36940508361573	6.047999291408969	0.6609431207084878	1.0
23000	-5437.507531251611	-5272.1108903768345	-165.39664087477678	6.22943325271726	25.569307114754128	8	5	2.0705814890714054	2.2154298517865176	93.0	52.0	0.0	92.0	0.0	15.0	3.0306851565865573E-4	653.8956454462767	4.779253562408877	0.6609431207084878	1.0
24000	-5421.448658126031	-5264.5345382169435	-156.91411990908767	1.778970429470572	19.055881696617554	3	0	0.2717258184223782	0.1214873289585668	41.0	34.666666666666664	0.0	40.0	0.0	15.0	2.726518301340056E-4	462.31815601437717	5.5872616979031315	0.6609431207084878	1.0
25000	-5417.374239566003	-5275.206139736219	-142.16809982978424	1.4042448950403328	15.837224337407735	3	0	0.10684628267839842	0.10659208646683949	100.66666666666667	52.0	3.3333333333333335	103.0	0.0	103.0	2.5803575380645903E-4	518.3512687154521	5.9921141150006125	0.6609431207084878	1.0
