#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BayesianSkyline.t:Arg" spec="beast.evolution.tree.coalescent.BayesianSkyline">
#            <parameter dimension="5" id="bPopSizes.t:Arg" lower="0.0" name="popSizes" upper="380000.0">380.0</parameter>
#            <groupSizes dimension="5" id="bGroupSizes.t:Arg" spec="beast.core.parameter.IntegerParameter">1</groupSizes>
#            <treeIntervals id="BSPTreeIntervals.t:Arg" spec="beast.evolution.tree.coalescent.TreeIntervals">
#                <tree id="Tree.t:Arg">
#                    <taxonset id="TaxonSet.Arg" spec="beast.evolution.alignment.TaxonSet">
#                    </taxonset>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <distribution id="MarkovChainedPopSizes.t:Arg" jeffreys="true" parameter="@bPopSizes.t:Arg" spec="beast.math.distributions.MarkovChainDistribution"/>
#        <prior id="GammaShapePrior.s:Arg" name="distribution">
#            <parameter id="gammaShape.s:Arg" name="x">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter id="RealParameter.0" lower="0.0" name="mean" upper="0.0">1.0</parameter>
#            </Exponential>
#        </prior>
#        <prior id="ucldStdevPrior.c:Arg" name="distribution">
#            <parameter id="ucldStdev.c:Arg" lower="0.0" name="x">0.1</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.2" name="alpha">0.5396</parameter>
#                <parameter estimate="false" id="RealParameter.3" name="beta">0.3819</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@Arg" id="treeLikelihood.Arg" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:Arg">
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:Arg" shape="@gammaShape.s:Arg" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:Arg" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:Arg" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="WAG.s:Arg" spec="beast.evolution.substitutionmodel.WAG"/>
#            </siteModel>
#            <branchRateModel id="RelaxedClock.c:Arg" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:Arg">
#                <LogNormal S="@ucldStdev.c:Arg" id="LogNormalDistributionModel.c:Arg" meanInRealSpace="true" name="distr">
#                    <parameter estimate="false" id="RealParameter.1" lower="0.0" name="M" upper="1.0">1.0</parameter>
#                </LogNormal>
#                <rateCategories dimension="100" id="rateCategories.c:Arg" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#                <parameter estimate="false" id="ucldMean.c:Arg" name="clock.rate">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	gammaShape	mutationRate	ucldStdev	rate.mean	rate.variance	rate.coefficientOfVariation	BayesianSkyline	bPopSizes.1	bPopSizes.2	bPopSizes.3	bPopSizes.4	bPopSizes.5	bGroupSizes.1	bGroupSizes.2	bGroupSizes.3	bGroupSizes.4	bGroupSizes.5
0	-14693.795148979387	-14362.782093512333	-331.0130554670536	-14362.782093512333	1.4352341997921054	1.0	1.0	0.1	1.0040628103174318	0.009977041312335311	0.10070356189149166	-297.1315633485723	380.0	380.0	380.0	380.0	380.0	10	10	10	10	10
10000	-7283.9242193789305	-7125.193347572296	-158.73087180663458	-7125.193347572296	2.0978353565936456	0.9423799597732776	1.0	0.8191451298241558	0.7934395692837325	0.5276284148795091	0.8028384710512615	-138.7846541819824	41.52139843029378	2.606459899345255	2.950136750456944	2.915004841585371	12.32176027373679	13	32	3	1	1
20000	-7059.147664118935	-6928.464137528933	-130.68352659000132	-6928.464137528933	1.4283053750458616	0.9765963845570829	1.0	0.6217033705301989	0.8570674731620165	0.3378908671554929	0.5743197297100449	-117.98082944133652	22.72356518007129	4.3600831727590545	2.5438275151262073	1.031011571064021	0.4886889513954498	6	32	4	3	5
30000	-7052.609782854583	-6911.275081410036	-141.33470144454634	-6911.275081410036	1.5539350253469173	0.9194924357790448	1.0	0.5354510873712727	0.851631099962366	0.32591174968365455	0.5851487160198857	-127.47438406630181	28.38792999770401	4.132442562068449	4.265520953308838	1.768705277795541	0.21827370790573847	8	33	2	2	5
40000	-7036.4910828717075	-6894.051377801612	-142.43970507009527	-6894.051377801612	1.7615316227659716	0.8226271440065052	1.0	0.5604221318022338	0.8335489384835801	0.3559324884353621	0.6146878843904288	-124.40819314595785	19.275106137530543	4.399380245455857	10.711644827023038	0.23467742708702105	1.1788533894267454	16	18	4	2	10
50000	-7029.10835193009	-6896.704583516132	-132.40376841395866	-6896.704583516132	1.806298458208591	0.8226271440065052	1.0	0.551139673420919	0.9340424132064665	0.3448091051674082	0.5595259252378137	-116.85071969583919	38.08281965235028	3.9003407148175677	4.506414291175415	2.6099915849759268	1.6710327942523204	10	18	2	4	16
60000	-7032.9643319533525	-6898.362007500394	-134.6023244529589	-6898.362007500394	1.8205276721846009	0.9151875619701347	1.0	0.5001543675976651	0.8984443851324865	0.36819953271417627	0.5888505181905174	-120.29489464692237	21.463356077307584	5.819428102690198	2.1629603080733153	3.4656313768738434	0.9334191958627392	5	10	16	3	16
70000	-7046.207157847466	-6916.7459651185745	-129.461192728892	-6916.7459651185745	1.634517363106613	0.8952325945935395	1.0	0.5199258777654302	0.8695641900283605	0.2911382217364073	0.548604139646993	-112.78351340477757	78.92040053235849	5.28821769095969	3.3783659854729695	2.344138960497819	2.043785199101703	4	3	20	11	12
80000	-7038.957031539126	-6911.981440915872	-126.97559062325425	-6911.981440915872	1.252841202527964	0.935092010364314	1.0	0.32915668308008467	0.9138978263894492	0.1436188894398446	0.384229027640745	-112.2240703773605	22.564933320690784	6.3717348553507005	1.0421214417616815	3.520996197476903	0.9787246039195148	6	17	12	3	12
90000	-7041.645240080312	-6914.931585314095	-126.71365476621688	-6914.931585314095	1.5281495418809183	0.9244184880400027	1.0	0.43912434410115914	0.8832412649499063	0.22350018878820915	0.48485546080047887	-111.28560731921348	42.763882378240304	5.991419821642015	4.205384347726058	1.6033810616719175	2.1169699509713706	5	14	12	17	2
100000	-7044.599619052602	-6930.119753771826	-114.4798652807762	-6930.119753771826	1.1766543549549546	0.9562729949879633	1.0	0.44717594257913335	0.9207674086577319	0.24290747231982512	0.49089723280577763	-103.47733910699904	19.867307976673434	8.571230269086465	1.5192463896139292	0.6940033939431928	0.015256681845247547	8	9	28	4	1
110000	-7069.618992599281	-6915.790021641403	-153.8289709578781	-6915.790021641403	1.9310394350213667	1.039763571919652	1.0	0.49852273121656937	0.8266598522152746	0.23766910609888817	0.5193293191003477	-130.41179564797045	168.82621056816882	208.51210640206034	12.855758153735318	3.4274056298402527	1.6004797923813763	2	1	11	30	6
120000	-7057.0341279239765	-6918.632373856825	-138.40175406715142	-6918.632373856825	1.5936590828901342	0.918255571845878	1.0	0.48896017440836653	0.8515019288769812	0.29280753034672585	0.5489964993548243	-124.86748053629131	21.99448418479415	9.20721438603661	2.8118321980704306	1.7304083328404871	0.6281611684549604	7	12	8	20	3
130000	-7035.458964695237	-6898.140411636008	-137.31855305922892	-6898.140411636008	1.4586508254866128	0.918255571845878	1.0	0.5331679755344508	0.8944846006653632	0.3762996842021056	0.620476905284154	-122.22584500834728	26.864641246716698	9.586997064401702	1.3494244871143173	2.260382572544046	2.167896622438481	10	13	12	5	10
140000	-7045.44571083097	-6919.9247640655385	-125.52094676543148	-6919.9247640655385	1.1997156658012549	0.6793960686034951	1.0	0.4964973633796864	0.9088668199317197	0.3009987563218107	0.5583260370154424	-115.16837476862548	19.125110800111845	3.3151108504622644	1.009263406068509	0.6990843269908924	0.5553433927471573	11	29	7	1	2
150000	-7055.142295882974	-6920.008167266817	-135.1341286161578	-6920.008167266817	1.315474313490897	0.6793960686034951	1.0	0.4678519129145766	0.9705672906613254	0.2581527495213904	0.490169403711802	-123.11626940696603	23.193666214837858	6.248383578191619	3.046990257776954	0.8075236660837273	0.3566850142381289	6	4	30	8	2
160000	-7047.065973449968	-6908.869051481913	-138.1969219680548	-6908.869051481913	1.3724795204527909	0.8761327824948142	1.0	0.6070634872291126	0.8272128623208171	0.35502128360673996	0.6197187040990898	-123.29402508234013	19.575003455762914	6.785829464108185	6.5166527056505315	2.898143244311833	0.3900354888029887	8	3	10	25	4
170000	-7062.161625094947	-6928.398845030461	-133.76278006448624	-6928.398845030461	1.5837963626435207	0.8761327824948142	1.0	0.35471290870724526	0.9168714390274474	0.11694088804255098	0.35571445015190123	-122.73856748484212	17.888074850517704	3.530760874476237	2.7652929215694946	1.2211782510352942	0.05936970165294908	15	5	20	9	1
180000	-7034.608519865266	-6918.469299511213	-116.13922035405322	-6918.469299511213	1.155549892261173	0.9166660546241602	1.0	0.3252739760001969	0.9769705217552547	0.11401731897650134	0.3374229162949457	-102.80933724266417	33.62680490156439	3.0805468724778287	1.194750504277891	2.5628830709353885	0.5132746236005463	5	25	7	7	6
190000	-7030.919102161904	-6904.00479082692	-126.91431133498459	-6904.00479082692	1.5397421438633812	0.867848028669113	1.0	0.42867840496930554	0.9231271771296713	0.22007547178507653	0.4468473981200344	-110.0640530921642	46.30641137799455	13.382553341975326	7.868732732186532	4.0203406094465715	0.6606158808186776	4	2	6	23	15
200000	-7050.765864342024	-6908.073321821516	-142.69254252050766	-6908.073321821516	1.7260567024192737	0.7550926698892805	1.0	0.4941654028084509	0.8881388224352387	0.2608977620253247	0.5218478651663864	-123.42210993949789	41.49314299180552	10.223791516677656	21.53727648501152	6.511272075483481	1.2541054288065479	4	12	1	18	15
210000	-7030.689126520261	-6904.737022436166	-125.95210408409547	-6904.737022436166	1.2502669146978667	0.8213075801716001	1.0	0.46083057722136117	0.9062323306505121	0.21172816272552836	0.48584447247494544	-112.94588339005473	20.69593491848163	12.776519473194657	2.715915951609913	1.246217835913652	0.2997423743201594	7	2	23	15	3
220000	-7050.006710668657	-6911.535602573882	-138.4711080947756	-6911.535602573882	1.8589869459496726	0.8213075801716001	1.0	0.6827569307457183	0.7438037634764586	0.6509236958855678	0.860485983858011	-116.44290665331368	121.51361712678276	157.0176772612845	7.49031497553911	2.779768222132291	0.590736897624413	3	1	20	19	7
230000	-7034.665694612265	-6894.353426078512	-140.31226853375304	-6894.353426078512	1.3219912384931798	1.1141606568357199	1.0	0.5446342636147047	0.8658133946053724	0.22965356262567999	0.520864194794605	-114.03038673493258	186.02420103065106	305.59159071948386	75.78828152989651	3.3281400758269544	1.3426819904385674	1	3	2	30	14
240000	-7030.571298267709	-6911.05376306865	-119.517535199058	-6911.05376306865	1.157833861041347	0.734171397058254	1.0	0.3816917865325225	0.9620805689690193	0.152981807740422	0.388643084810867	-104.19953005978847	56.27857750602099	16.589568645474795	3.1378203451491338	1.9852058681905342	0.4638802840317084	5	4	24	10	7
250000	-7035.257230729861	-6901.774299228014	-133.48293150184713	-6901.774299228014	1.6459893447510836	0.8989108987197224	1.0	0.5815869686249814	0.9141793577298766	0.3847590143876712	0.5960887379681488	-112.37111317994881	57.78913130089867	87.66194197339794	14.14270508806245	3.3729849053677348	1.9962129782453442	1	3	4	27	15
260000	-7034.650104539232	-6925.69483267213	-108.95527186710231	-6925.69483267213	1.282991463133275	0.8989108987197224	1.0	0.3814533921283959	0.9519053033718939	0.17657330270351496	0.4258781354884064	-93.2528664742551	58.223801952954176	6.620986780429939	2.3949393003085	3.5605753245054625	0.5170961846221095	6	1	22	11	10
270000	-7048.802101731569	-6911.604219138801	-137.19788259276694	-6911.604219138801	1.6859736783740127	0.8989108987197224	1.0	0.5227877601973964	0.9345473652830948	0.26346339925869694	0.5003575935290691	-121.64905215553703	30.125043309707884	12.550218488628635	5.806772110096194	2.511724111667162	0.6742261720079001	8	3	6	22	11
280000	-7029.317406823824	-6902.187994985011	-127.1294118388135	-6902.187994985011	1.5390423858444169	0.7564801962403717	1.0	0.6390561003519966	0.9196154184462905	0.4656525461991803	0.6447513389919336	-116.32598458542617	14.88067915326142	3.666306016619952	0.8044319516896097	0.9605654790615449	0.4797986235017541	15	11	8	14	2
290000	-7041.69040970825	-6904.291973709962	-137.39843599828737	-6904.291973709962	1.2421894546171763	0.7455801874156052	1.0	0.5895502929935612	0.9340981080810462	0.4368196325654504	0.6386185142767575	-117.54954603170656	16.83628601154952	49.18068284090827	22.34622049757691	4.0629044924406665	0.8756720168353836	3	7	5	19	16
300000	-7037.1476850379995	-6908.450362431029	-128.6973226069703	-6908.450362431029	1.6976869877568492	0.891994261444997	1.0	0.4560705931580587	0.9819402550326332	0.2400334354604235	0.48422204222889764	-113.78357410148891	39.05193755167067	10.852484993374121	3.267980165311523	2.1584451799923063	0.6537009913857181	6	7	7	21	9
