#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BirthDeath.t:Arg_ArchBact" spec="beast.evolution.speciation.BirthDeathGernhard08Model">
#            <parameter id="relativeDeathRate2.t:Arg_ArchBact" lower="0.0" name="relativeDeathRate" upper="1.0">0.5</parameter>
#            <parameter id="birthRate2.t:Arg_ArchBact" lower="0.0" name="birthDiffRate" upper="10000.0">1.0</parameter>
#            <tree id="Tree.t:Arg_ArchBact">
#                <taxonset id="TaxonSet.Arg_ArchBact" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="BirthRatePrior.t:Arg_ArchBact" name="distribution" x="@birthRate2.t:Arg_ArchBact">
#            <Uniform id="Uniform.4" name="distr" upper="1000.0"/>
#        </prior>
#        <prior id="GammaShapePrior.s:Arg_ArchBact" name="distribution">
#            <parameter id="gammaShape.s:Arg_ArchBact" name="x">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter id="RealParameter.0" lower="0.0" name="mean" upper="0.0">1.0</parameter>
#            </Exponential>
#        </prior>
#        <prior id="DeathRatePrior.t:Arg_ArchBact" name="distribution" x="@relativeDeathRate2.t:Arg_ArchBact">
#            <Uniform id="Uniform.5" name="distr"/>
#        </prior>
#        <prior id="ucldStdevPrior.c:Arg_ArchBact" name="distribution">
#            <parameter id="ucldStdev.c:Arg_ArchBact" lower="0.0" name="x">0.1</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.2" name="alpha">0.5396</parameter>
#                <parameter estimate="false" id="RealParameter.3" name="beta">0.3819</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@Arg_ArchBact" id="treeLikelihood.Arg_ArchBact" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:Arg_ArchBact">
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:Arg_ArchBact" shape="@gammaShape.s:Arg_ArchBact" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:Arg_ArchBact" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:Arg_ArchBact" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="WAG.s:Arg_ArchBact" spec="beast.evolution.substitutionmodel.WAG"/>
#            </siteModel>
#            <branchRateModel id="RelaxedClock.c:Arg_ArchBact" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:Arg_ArchBact">
#                <LogNormal S="@ucldStdev.c:Arg_ArchBact" id="LogNormalDistributionModel.c:Arg_ArchBact" meanInRealSpace="true" name="distr">
#                    <parameter estimate="false" id="RealParameter.1" lower="0.0" name="M" upper="1.0">1.0</parameter>
#                </LogNormal>
#                <rateCategories dimension="70" id="rateCategories.c:Arg_ArchBact" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#                <parameter estimate="false" id="ucldMean.c:Arg_ArchBact" name="clock.rate">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	gammaShape	mutationRate	ucldStdev	rate.mean	rate.variance	rate.coefficientOfVariation	BirthDeath	birthRate2	relativeDeathRate2
0	-9260.26714744113	-9264.487450173738	4.220302732606604	-9264.487450173738	1.3533716376310996	1.0	1.0	0.1	0.9563260228863919	0.005935547571855061	0.07857241705276669	11.308693866467939	1.0	0.5
10000	-5255.614805232193	-5245.117752708492	-10.497052523701457	-5245.117752708492	0.9181383973428908	0.8734334942154169	1.0	0.3018529254630812	1.0088782828099774	0.10670518651001469	0.32101519566877645	-2.498042757390314	2.018320093787848	0.028526209617749067
20000	-5247.892978243674	-5228.533631041363	-19.359347202311604	-5228.533631041363	1.2658795808644052	1.051679171914103	1.0	0.3485041753469425	0.9215244320944391	0.12544730367988322	0.36344003928789276	-10.993771860986985	1.6701322800283116	0.03893123068125269
30000	-5259.827260698237	-5233.889824857069	-25.937435841168625	-5233.889824857069	1.4584183591170419	1.051679171914103	1.0	0.5236178619624783	0.8199293705989326	0.2672841359731006	0.5677676390267798	-16.92589333747201	1.2978168685287776	0.31917991133310125
40000	-5260.760341592964	-5241.985051134247	-18.77529045871662	-5241.985051134247	1.3878550111740564	0.8812184172039523	1.0	0.4332904484043734	1.04842138679383	0.15966991669315922	0.3702028921531273	-10.257908342364546	1.5480768340518498	0.3335857466858141
50000	-5240.616542750282	-5225.244652551913	-15.371890198369575	-5225.244652551913	1.1367733362034267	0.8182793179397858	1.0	0.47615825769365294	0.9704273098921528	0.2795944980884402	0.5055788596276756	-6.761763349253304	1.9680982131976337	0.017929794920188338
60000	-5251.719413335238	-5235.628103717721	-16.091309617516725	-5235.628103717721	1.2154661721869553	0.8460586734480964	1.0	0.38650959917649114	0.9124517021558015	0.2556327909591389	0.5046630837035552	-7.78418369556671	2.1387576441209037	0.12160946993858225
70000	-5248.675516857491	-5222.437555477384	-26.23796138010671	-5222.437555477384	1.694443872055197	0.8209173422737153	1.0	0.543186287757343	0.8651105827073333	0.33762230173418517	0.6066485476897802	-17.3890488856948	1.9531702570846503	0.09446376041807775
80000	-5254.440422752971	-5229.81955567519	-24.620867077781885	-5229.81955567519	1.6297203120937738	0.8397717618547185	1.0	0.500251378714746	0.8453204339111304	0.31303695952380756	0.5742999522831942	-15.903434718135202	2.0300523818812213	0.2835360462878203
90000	-5252.903318473387	-5235.6710695978845	-17.232248875502957	-5235.6710695978845	1.2983053052187727	1.0114661575798434	1.0	0.42409659226515495	0.9496039786543916	0.1806759406452226	0.4043924980748848	-8.618567225889937	2.271868038745713	0.09691380251633186
100000	-5252.301488492252	-5234.774716291156	-17.52677220109621	-5234.774716291156	1.0418311429020115	1.0114661575798434	1.0	0.4957955969529178	0.9606876857147829	0.2606376670350124	0.5000998504430926	-8.653432044672114	1.921839650409762	0.07272331043428451
110000	-5257.4636462153385	-5234.290164205635	-23.173482009703577	-5234.290164205635	1.3186698113460886	0.9105017926831981	1.0	0.5536699824804119	0.8697795689365122	0.1680100907553879	0.4457069592955936	-14.198732425485225	1.1701299163120369	0.34682746955894334
120000	-5240.987834060483	-5217.578577477225	-23.40925658325823	-5217.578577477225	1.4488569782065488	0.8618320804024078	1.0	0.52625950324071	0.8116829613125984	0.15624668582747078	0.4430994972198112	-14.578327199913158	1.8481135723346094	0.18851689092362456
130000	-5258.315708461049	-5236.502201602545	-21.813506858504034	-5236.502201602545	1.2352013555407997	0.9525467228732133	1.0	0.47816193853240985	0.9149245065339837	0.18943467892503474	0.4480146817149311	-13.061932688176677	1.9447883867763176	0.2945883092868693
