#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BirthDeath.t:Arg_ArchEuk" spec="beast.evolution.speciation.BirthDeathGernhard08Model">
#            <parameter id="relativeDeathRate2.t:Arg_ArchEuk" lower="0.0" name="relativeDeathRate" upper="1.0">0.5</parameter>
#            <parameter id="birthRate2.t:Arg_ArchEuk" lower="0.0" name="birthDiffRate" upper="10000.0">1.0</parameter>
#            <tree id="Tree.t:Arg_ArchEuk">
#                <taxonset id="TaxonSet.Arg_ArchEuk" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="BirthRatePrior.t:Arg_ArchEuk" name="distribution" x="@birthRate2.t:Arg_ArchEuk">
#            <Uniform id="Uniform.4" name="distr" upper="1000.0"/>
#        </prior>
#        <prior id="GammaShapePrior.s:Arg_ArchEuk" name="distribution">
#            <parameter id="gammaShape.s:Arg_ArchEuk" name="x">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter id="RealParameter.0" lower="0.0" name="mean" upper="0.0">1.0</parameter>
#            </Exponential>
#        </prior>
#        <prior id="DeathRatePrior.t:Arg_ArchEuk" name="distribution" x="@relativeDeathRate2.t:Arg_ArchEuk">
#            <Uniform id="Uniform.5" name="distr"/>
#        </prior>
#        <prior id="ucldStdevPrior.c:Arg_ArchEuk" name="distribution">
#            <parameter id="ucldStdev.c:Arg_ArchEuk" lower="0.0" name="x">0.1</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.2" name="alpha">0.5396</parameter>
#                <parameter estimate="false" id="RealParameter.3" name="beta">0.3819</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@Arg_ArchEuk" id="treeLikelihood.Arg_ArchEuk" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:Arg_ArchEuk">
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:Arg_ArchEuk" shape="@gammaShape.s:Arg_ArchEuk" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:Arg_ArchEuk" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:Arg_ArchEuk" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="WAG.s:Arg_ArchEuk" spec="beast.evolution.substitutionmodel.WAG"/>
#            </siteModel>
#            <branchRateModel id="RelaxedClock.c:Arg_ArchEuk" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:Arg_ArchEuk">
#                <LogNormal S="@ucldStdev.c:Arg_ArchEuk" id="LogNormalDistributionModel.c:Arg_ArchEuk" meanInRealSpace="true" name="distr">
#                    <parameter estimate="false" id="RealParameter.1" lower="0.0" name="M" upper="1.0">1.0</parameter>
#                </LogNormal>
#                <rateCategories dimension="62" id="rateCategories.c:Arg_ArchEuk" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#                <parameter estimate="false" id="ucldMean.c:Arg_ArchEuk" name="clock.rate">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	gammaShape	mutationRate	ucldStdev	rate.mean	rate.variance	rate.coefficientOfVariation	BirthDeath	birthRate2	relativeDeathRate2
0	-8453.842781317131	-8449.982031493673	-3.860749823458522	-8449.982031493673	2.6836100173270703	1.0	1.0	0.1	1.0019363400444181	0.009640940282468466	0.0988860923980268	3.227641310402813	1.0	0.5
10000	-4330.630299075111	-4322.491183464125	-8.13911561098598	-4322.491183464125	1.189722523531434	0.9771372374715932	1.0	0.040375125745079454	1.0062077653054573	0.0015067889526299012	0.03880676952113421	-1.6472768447615023	2.41257198192242	0.1606950392803117
20000	-4331.24882739971	-4313.449786315485	-17.79904108422519	-4313.449786315485	1.6792301941936172	0.8705554377385039	1.0	0.17225886891997527	0.9751368438994349	0.03426032454319579	0.18564186308453653	-10.40050713033369	1.6538093075387286	0.2505276559880138
30000	-4331.484083669447	-4319.39296548916	-12.091118180287108	-4319.39296548916	1.3389070444414348	0.8298550945415033	1.0	0.06267484160396151	1.0025185821240425	0.003693096536653913	0.06059095013545658	-5.485710891669863	2.734210023139151	0.12438414438430281
40000	-4329.432491400024	-4317.224978278842	-12.207513121182407	-4317.224978278842	1.2989384839246945	0.9196301148984785	1.0	0.2264831016908164	1.028946860348225	0.04774678446549058	0.2154076693338775	-4.4919205072679285	2.2547563926925163	0.33001384301742787
50000	-4325.972476023638	-4314.276971681452	-11.695504342186032	-4314.276971681452	1.085023224344693	0.9196301148984785	1.0	0.2194863051891065	0.9587741372469613	0.043658345741571146	0.21213289358580717	-4.012680326048818	2.6476176342991318	0.021925315693347616
60000	-4339.704701067223	-4324.172547048769	-15.53215401845411	-4324.172547048769	1.6446783507707816	0.9196301148984785	1.0	0.04387887455636404	0.9836455723722445	0.002051948305167687	0.04562588534949154	-9.050333786340286	1.9608283556903965	0.042115227306691407
70000	-4327.746569178402	-4316.110416426593	-11.63615275180903	-4316.110416426593	1.3567845626638104	0.9838961022669249	1.0	0.003162441139994255	0.9997319109958371	1.0114602310892102E-5	0.003180094833403241	-6.407574822283799	1.8861245905576536	0.2765502984244586
80000	-4310.496362613106	-4297.270376948203	-13.225985664902668	-4297.270376948203	1.3747839677173155	0.9061477090296018	1.0	0.44140663164586236	0.9889962024603283	0.23749063716188634	0.4842075814637966	-4.65387792980647	2.1597161104467966	0.2730523859774967
90000	-4323.179867033935	-4303.218083700261	-19.96178333367413	-4303.218083700261	1.7861301496602613	0.9061477090296018	1.0	0.31195630223197685	0.9967035543274065	0.10675153526341949	0.3323073613041711	-11.888445944359738	2.521483500890377	0.10345938102723731
100000	-4326.748041345417	-4310.747863402009	-16.000177943407884	-4310.747863402009	1.4463097158079001	0.9270463065307044	1.0	0.2888053513878219	0.9519567010716696	0.11138045905504848	0.33577712944230487	-8.002063938111808	2.91620369199815	0.20883567293241947
110000	-4325.157609452608	-4307.895149471855	-17.262459980752887	-4307.895149471855	1.9996025669748358	0.8041419592866623	1.0	0.35172560482131754	0.9748352193242905	0.1280161198804444	0.3605154794457685	-9.131750382714873	1.1149647462083272	0.5158906643286353
120000	-4320.921198329121	-4305.317340826066	-15.603857503054364	-4305.317340826066	1.3913739441344668	0.8377776430501935	1.0	0.3993566884876554	0.9532923285426421	0.12939933259195024	0.40255756876972937	-7.256318397980936	1.7781711546630812	0.36031018176614277
130000	-4323.125326708134	-4305.245264069445	-17.880062638689214	-4305.245264069445	1.706594463771752	0.7602517748591835	1.0	0.4788644851111716	0.8523877781273149	0.19129898885264973	0.472867382636427	-9.318267854504036	2.009065310737481	0.2194820089049583
140000	-4326.88404659058	-4312.65827809959	-14.225768490989713	-4312.65827809959	1.6609792677417594	0.974621228371985	1.0	0.23018914037705124	1.0091553107016902	0.0411326752986558	0.19966796616754354	-6.438007806002638	1.8129253482850753	0.22548825317899635
150000	-4320.522335967404	-4307.022081970684	-13.500253996719886	-4307.022081970684	1.435080709131324	0.974621228371985	1.0	0.3842094270644903	0.9951801938040928	0.1889729120465249	0.44032931240154755	-5.073336578880474	1.8938422261780001	0.2379890477426829
160000	-4330.011345980067	-4310.861647674058	-19.149698306008403	-4310.861647674058	1.5375472513030393	0.9555267367315353	1.0	0.23542789366834144	1.0030737082238226	0.08354976501917248	0.2942298801647571	-11.356953959889797	1.5114790642061782	0.10552510115710566
170000	-4322.473652033771	-4311.90047344631	-10.573178587461564	-4311.90047344631	1.1617349585166399	0.8670103269772833	1.0	0.3164078456578075	1.061525597881043	0.1054901703110146	0.3060473812437416	-2.520798907062968	1.9810372075277356	0.1901997862115587
180000	-4311.846412723537	-4302.495108487756	-9.351304235780553	-4302.495108487756	1.2119528216493745	0.8662206856252215	1.0	0.3219094486065934	0.9844442636463848	0.10446031809371235	0.32991643015916194	-1.2773718295002015	3.2502192031843116	0.03822508073621317
190000	-4319.343720583188	-4305.326330569813	-14.01739001337488	-4305.326330569813	1.303921452326569	0.9415866713992334	1.0	0.45079242622547105	1.0146753436590212	0.26036714025564606	0.4937561382008258	-5.375579709997385	2.4163859511915953	0.25958204882649105
200000	-4327.052754992745	-4313.655651306622	-13.397103686122705	-4313.655651306622	1.3608689058995247	0.8992213095714607	1.0	0.2036737046458393	0.9790729364566778	0.03548265596209903	0.19050630315536166	-5.810517946990677	2.2050017362063534	0.3882258521557251
210000	-4315.299088083717	-4301.060094927361	-14.238993156355885	-4301.060094927361	1.4500790957710785	0.8992213095714607	1.0	0.2793687798765559	0.9883892239547849	0.08139358646647907	0.28805821254009367	-6.308708279869667	3.031190844076252	0.020575498160957998
220000	-4309.725251924142	-4296.705924242145	-13.019327681997497	-4296.705924242145	1.4659162335693312	0.8182754517719791	1.0	0.5371494880773198	1.1426778362407255	0.3027618732733512	0.5117739514321596	-4.194009741184987	1.8280070810371956	0.12410925230647464
230000	-4323.204897618267	-4311.475313667294	-11.72958395097284	-4311.475313667294	1.1076049277584856	0.9043267921507366	1.0	0.257180628781452	0.9817446351771894	0.06464582462266988	0.2608701148796065	-3.8903929203452594	2.6008677352415734	0.23773977289783224
240000	-4317.713576154949	-4300.035134739136	-17.678441415812944	-4300.035134739136	1.3290913942237348	0.9043267921507366	1.0	0.523996150685097	0.9397892784400853	0.2616619760435868	0.5456419228496516	-8.812928251195105	1.0605033138060826	0.524558894621475
250000	-4326.370977663983	-4307.585704723757	-18.78527294022582	-4307.585704723757	1.4604268830157887	0.8443960328830996	1.0	0.31548954497349563	0.9881661721429299	0.0966804747659358	0.3169236320294032	-10.759250259303595	1.8237920832220156	0.10687203157548036
260000	-4318.834743974819	-4304.473795176279	-14.360948798539713	-4304.473795176279	1.3016929449017858	0.8443960328830996	1.0	0.28386528537904077	0.940514416489338	0.07547924617446512	0.2777974463610433	-6.466363917160612	2.0242630413084046	0.1490147116757255
270000	-4324.637195559074	-4303.977527593893	-20.65966796518123	-4303.977527593893	1.4278600024526977	0.896048555491706	1.0	0.38446498212961344	0.9716692000021305	0.1362882466817014	0.3755175945746752	-12.310347921669045	1.9475158366854761	0.2225509950822884
280000	-4328.825607910353	-4309.370906734666	-19.454701175686306	-4309.370906734666	1.6086124279869436	1.019888735733478	1.0	0.24015798866091112	0.9805173384922279	0.059302541974479615	0.2489393228676317	-11.576050720961177	0.4839352996125767	0.8435049525342853
290000	-4328.925343999652	-4310.679153801575	-18.246190198076697	-4310.679153801575	1.565367755065881	1.019888735733478	1.0	0.3157240778593767	1.0181851069203198	0.10279038009688236	0.3162027014566647	-10.043718561878173	2.3058882494183877	0.2312021703464194
300000	-4314.129029437928	-4302.873623726003	-11.25540571192519	-4302.873623726003	1.240402896485666	0.9803667348504511	1.0	0.3193523296650669	1.022402214152837	0.1357614075852869	0.36990808835926825	-3.077694873134522	2.100313453555663	0.08435899025986766
310000	-4334.843544845286	-4312.451888922806	-22.391655922479618	-4312.451888922806	1.625956319823716	0.7874213238690507	1.0	0.4711849389576028	0.8551526481281154	0.26007219001686094	0.5469201192129605	-13.830243653370161	1.240783693371317	0.17158065234277137
320000	-4328.354220677405	-4313.789531216345	-14.564689461059963	-4313.789531216345	1.4907250029721575	0.7874213238690507	1.0	0.26892779870392997	1.0167466469115023	0.06483458847837852	0.24361954251416965	-6.791080665759544	1.9950919777379417	0.025785753853214945
330000	-4334.42269888612	-4320.145224160428	-14.277474725691468	-4320.145224160428	1.207691834970079	0.7308002714241505	1.0	0.39566801232001825	1.029714036950817	0.15143673475285016	0.37750139987452624	-6.050844007536073	1.8546197633235657	0.1403344804187314
340000	-4325.246173914675	-4314.922861823258	-10.323312091416701	-4314.922861823258	1.3513402816930549	0.8219724654746298	1.0	0.24953500622452687	1.024951041451252	0.07477955205481518	0.26321655390499293	-2.6003899717416354	2.7945943200202135	0.04600228931437837
350000	-4325.714895211967	-4305.193103742542	-20.521791469424844	-4305.193103742542	1.7390933429440483	0.9302996179552926	1.0	0.5136756917466029	0.9154784319404164	0.22316668896835334	0.492445621789751	-11.666487840503766	1.849877512628048	0.254174999295815
360000	-4327.429565503572	-4312.06420551577	-15.365359987802133	-4312.06420551577	1.37062161927561	0.8555637114342816	1.0	0.32232276317783726	0.9820768852963799	0.1527689152894285	0.37027810042834874	-7.300411547189732	1.8447726697510607	0.05068165509359052
370000	-4322.85507247134	-4311.09761165061	-11.757460820729468	-4311.09761165061	1.5197940741304232	0.8890882086952279	1.0	0.2947149725597093	0.9800238565917571	0.09436698034780122	0.3126579348952123	-3.7725048989502383	2.048484725002184	0.3263417763234366
380000	-4331.630801347602	-4314.80844686263	-16.82235448497171	-4314.80844686263	1.5915481546986918	0.9163625169080187	1.0	0.14205562016770545	1.0211410913172143	0.021504465996567093	0.14871625800740876	-9.545856036855158	2.0055121412969124	0.11052656652010426
390000	-4317.48141743881	-4304.327192100304	-13.154225338505517	-4304.327192100304	1.3814088478968416	0.9163534702669733	1.0	0.3235135369552772	0.9893421563655987	0.12362093172291032	0.35974460108733775	-5.023671368382229	2.3664256118795666	0.3481978234443502
