#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BayesianSkyline.t:Arg" spec="beast.evolution.tree.coalescent.BayesianSkyline">
#            <parameter dimension="5" id="bPopSizes.t:Arg" lower="0.0" name="popSizes" upper="380000.0">380.0</parameter>
#            <groupSizes dimension="5" id="bGroupSizes.t:Arg" spec="beast.core.parameter.IntegerParameter">1</groupSizes>
#            <treeIntervals id="BSPTreeIntervals.t:Arg" spec="beast.evolution.tree.coalescent.TreeIntervals">
#                <tree id="Tree.t:Arg">
#                    <taxonset id="TaxonSet.Arg" spec="beast.evolution.alignment.TaxonSet">
#                    </taxonset>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <distribution id="MarkovChainedPopSizes.t:Arg" jeffreys="true" parameter="@bPopSizes.t:Arg" spec="beast.math.distributions.MarkovChainDistribution"/>
#        <prior id="GammaShapePrior.s:Arg" name="distribution">
#            <parameter id="gammaShape.s:Arg" name="x">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter id="RealParameter.0" lower="0.0" name="mean" upper="0.0">1.0</parameter>
#            </Exponential>
#        </prior>
#        <prior id="ucldStdevPrior.c:Arg" name="distribution">
#            <parameter id="ucldStdev.c:Arg" lower="0.0" name="x">0.1</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.2" name="alpha">0.5396</parameter>
#                <parameter estimate="false" id="RealParameter.3" name="beta">0.3819</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@Arg" id="treeLikelihood.Arg" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:Arg">
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:Arg" shape="@gammaShape.s:Arg" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:Arg" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:Arg" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="WAG.s:Arg" spec="beast.evolution.substitutionmodel.WAG"/>
#            </siteModel>
#            <branchRateModel id="RelaxedClock.c:Arg" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:Arg">
#                <LogNormal S="@ucldStdev.c:Arg" id="LogNormalDistributionModel.c:Arg" meanInRealSpace="true" name="distr">
#                    <parameter estimate="false" id="RealParameter.1" lower="0.0" name="M" upper="1.0">1.0</parameter>
#                </LogNormal>
#                <rateCategories dimension="100" id="rateCategories.c:Arg" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#                <parameter estimate="false" id="ucldMean.c:Arg" name="clock.rate">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	gammaShape	mutationRate	ucldStdev	rate.mean	rate.variance	rate.coefficientOfVariation	BayesianSkyline	bPopSizes.1	bPopSizes.2	bPopSizes.3	bPopSizes.4	bPopSizes.5	bGroupSizes.1	bGroupSizes.2	bGroupSizes.3	bGroupSizes.4	bGroupSizes.5
0	-15271.405138558725	-14940.39711416011	-331.0080243986135	-14940.39711416011	4.51620411315713	1.0	1.0	0.1	1.0352294060089393	0.007623130331656947	0.08805874729302791	-297.12653228013215	380.0	380.0	380.0	380.0	380.0	10	10	10	10	10
10000	-7274.216342223459	-7144.49683050009	-129.7195117233685	-7144.49683050009	1.8661381228813192	0.9831415444278868	1.0	0.4789862147343566	0.9064187229337615	0.30955719576105895	0.5514582625550307	-110.97911262407328	70.2050993671684	65.4825588092966	3.9477803448347677	2.2840170137655584	0.9312898902984458	2	1	17	23	7
20000	-7074.565764014636	-6941.6651588188815	-132.9006051957548	-6941.6651588188815	1.3009494211955213	0.9094976994121117	1.0	0.4160222774765983	0.9608393686725833	0.19109078055086806	0.4296728929766755	-110.30075921091886	984.8629886910895	60.64131003148068	4.6606986874281215	2.0071911060427583	0.6641879447175236	1	4	16	23	6
30000	-7056.219657762508	-6913.102399339104	-143.1172584234047	-6913.102399339104	1.560574110686892	0.9094976994121117	1.0	0.4602171123479371	0.898893359364865	0.20481277822281252	0.48157041147292295	-118.63844476607521	391.0262226209555	378.0381341134875	9.33620516139294	1.5355442080320072	1.614410952502849	1	3	19	14	13
40000	-7047.167218049263	-6926.7751298113335	-120.39208823792967	-6926.7751298113335	1.2417451080862592	1.0300707123133337	1.0	0.4445984990265972	0.9901644434313462	0.20237868579015345	0.42275951305537385	-107.22042808745975	25.285618339885225	4.883705475534843	1.2694771641641256	2.105286421666814	0.4859117394746212	10	15	9	10	6
50000	-7039.9559396090945	-6913.774946402143	-126.1809932069521	-6913.774946402143	1.2406555684965779	1.0300707123133337	1.0	0.3994385753319229	0.9799594387917652	0.2056170590923647	0.4414196989260387	-111.25474255316082	18.83931782677952	10.955704863705916	1.2388110678536366	3.0667534711094055	1.604434771739847	4	16	19	2	9
60000	-7038.527268801672	-6906.802682321593	-131.72458648007864	-6906.802682321593	1.3077634080704004	0.8543069742191399	1.0	0.402365655973729	0.9136878639737397	0.21551790436599366	0.48076034569360004	-116.03213041181995	55.4334283596611	18.094141426463896	5.195377780202443	1.6026250121695402	0.4125608553208761	7	6	14	18	5
70000	-7046.6564340361665	-6913.786485286154	-132.86994875001238	-6913.786485286154	1.3985352378779028	0.9615011014385119	1.0	0.4492206902182064	0.902561097425743	0.21089384253247792	0.4482056243531228	-116.92566729530802	32.24654017656075	9.668303098815786	13.2955661915835	1.4944848245883655	0.30450017738398943	4	12	5	26	3
80000	-7044.924253759924	-6908.27781700077	-136.64643675915443	-6908.27781700077	1.8841658459064188	0.9054550296439394	1.0	0.5401372962248775	0.9384876787589348	0.27186139080522576	0.5100924338263891	-117.14058049394109	60.34425503751455	17.02419701154676	20.026840497012383	4.575167689605292	1.1497761032072322	2	9	3	10	26
90000	-7057.344450971109	-6923.483893642749	-133.86055732835996	-6923.483893642749	1.5539053308528512	0.7950549465198212	1.0	0.43080340132418515	0.9481084323022488	0.13777802101929285	0.3676401248957693	-115.08738396221177	61.35383721321278	45.68826585519125	5.223161490831888	3.8963809724178136	2.281693832199298	5	2	5	14	24
