#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BirthDeath.t:Asp_ArchBact" spec="beast.evolution.speciation.BirthDeathGernhard08Model">
#            <parameter id="relativeDeathRate2.t:Asp_ArchBact" lower="0.0" name="relativeDeathRate" upper="1.0">0.5</parameter>
#            <parameter id="birthRate2.t:Asp_ArchBact" lower="0.0" name="birthDiffRate" upper="10000.0">1.0</parameter>
#            <tree id="Tree.t:Asp_ArchBact">
#                <taxonset id="TaxonSet.Asp_ArchBact" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="BirthRatePrior.t:Asp_ArchBact" name="distribution" x="@birthRate2.t:Asp_ArchBact">
#            <Uniform id="Uniform.4" name="distr" upper="1000.0"/>
#        </prior>
#        <prior id="GammaShapePrior.s:Asp_ArchBact" name="distribution">
#            <parameter id="gammaShape.s:Asp_ArchBact" name="x">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter id="RealParameter.0" lower="0.0" name="mean" upper="0.0">1.0</parameter>
#            </Exponential>
#        </prior>
#        <prior id="DeathRatePrior.t:Asp_ArchBact" name="distribution" x="@relativeDeathRate2.t:Asp_ArchBact">
#            <Uniform id="Uniform.5" name="distr"/>
#        </prior>
#        <prior id="ucldStdevPrior.c:Asp_ArchBact" name="distribution">
#            <parameter id="ucldStdev.c:Asp_ArchBact" lower="0.0" name="x">0.1</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.2" name="alpha">0.5396</parameter>
#                <parameter estimate="false" id="RealParameter.3" name="beta">0.3819</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@Asp_ArchBact" id="treeLikelihood.Asp_ArchBact" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:Asp_ArchBact">
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:Asp_ArchBact" shape="@gammaShape.s:Asp_ArchBact" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:Asp_ArchBact" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:Asp_ArchBact" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="WAG.s:Asp_ArchBact" spec="beast.evolution.substitutionmodel.WAG"/>
#            </siteModel>
#            <branchRateModel id="RelaxedClock.c:Asp_ArchBact" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:Asp_ArchBact">
#                <LogNormal S="@ucldStdev.c:Asp_ArchBact" id="LogNormalDistributionModel.c:Asp_ArchBact" meanInRealSpace="true" name="distr">
#                    <parameter estimate="false" id="RealParameter.1" lower="0.0" name="M" upper="1.0">1.0</parameter>
#                </LogNormal>
#                <rateCategories dimension="74" id="rateCategories.c:Asp_ArchBact" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#                <parameter estimate="false" id="ucldMean.c:Asp_ArchBact" name="clock.rate">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	gammaShape	mutationRate	ucldStdev	rate.mean	rate.variance	rate.coefficientOfVariation	BirthDeath	birthRate2	relativeDeathRate2
0	-8263.703046403612	-8257.61853319692	-6.0845132066920575	-8257.61853319692	1.2929962823784709	1.0	1.0	0.1	0.9911185163067913	0.007803140722834343	0.08870133836460176	1.003877927169278	1.0	0.5
10000	-4611.807535442412	-4606.032025455768	-5.775509986643155	-4606.032025455768	0.8302989776610564	0.777512066189289	1.0	0.3378559841392733	1.0177221654337427	0.14596174991924307	0.3794515402683352	2.2737296668370277	2.1522428373333673	0.21319039044456978
20000	-4614.693543072647	-4603.660127131512	-11.033415941135416	-4603.660127131512	0.8621726504708159	0.7280804232065865	1.0	0.48203858530909705	0.9988076204532703	0.18519902248577366	0.4265090778223276	-2.492439529124721	2.3343225808832475	0.01860212600092862
30000	-4605.677424740915	-4596.559567748905	-9.117856992010614	-4596.559567748905	1.072521412723109	0.859847576119826	1.0	0.39535093483341516	1.0215654935641874	0.21936002445456257	0.4377486159114303	-0.7633783321204257	3.475507856468509	0.024249763978354773
40000	-4616.4992616870295	-4601.436250642789	-15.063011044241044	-4601.436250642789	1.0304713287472163	0.859847576119826	1.0	0.5374551006957812	0.8302911199202074	0.16197386783171794	0.456107094580552	-6.195058865254895	3.108582591901874	0.04566246321484291
50000	-4600.627132048894	-4593.152198741926	-7.4749333069672375	-4593.152198741926	0.9589452743524643	0.8403160893961219	1.0	0.3211130956634111	0.9670923659331467	0.10874161975493825	0.31919755547339357	0.5698688959022125	2.7322267293667366	0.2706156199458941
60000	-4602.771569414798	-4595.424308188295	-7.347261226503177	-4595.424308188295	0.7478667872772372	0.7380215779620478	1.0	0.34032423087054253	1.001042949204157	0.13629938786100987	0.33651279371071424	0.6723022892864847	2.5256835047582897	0.048903664695848406
70000	-4611.985844309601	-4600.059988048093	-11.925856261507398	-4600.059988048093	1.1122126018637721	0.6685336824089211	1.0	0.48726517348266357	0.9168282362060028	0.2136720468807467	0.47210107050836336	-3.4257757407365856	2.152740804786462	0.21815375483019958
80000	-4608.410418104994	-4600.722055705445	-7.688362399549266	-4600.722055705445	0.908546814718662	0.6685336824089211	1.0	0.3549209414666149	0.9428998533662876	0.11126515365792981	0.3569319303686858	0.3192695983937526	3.3639132066415836	0.18560909789213917
90000	-4607.091870928182	-4606.2100455633645	-0.8818253648174661	-4606.2100455633645	0.6629781383483818	0.6318872875901237	1.0	0.19948337566856905	1.0235534330781384	0.039740849124329465	0.19601061975345785	6.416883088323413	2.31901278966918	0.03711677074864314
100000	-4604.772741681428	-4597.321201490201	-7.451540191226702	-4597.321201490201	0.9013032791290936	0.80349183056118	1.0	0.24047938607282943	0.9660143728051124	0.05722232827128079	0.2414990421594354	0.21217066297002685	1.9392616623880896	0.007622903350904139
110000	-4599.3908836246255	-4596.469276555952	-2.9216070686737066	-4596.469276555952	0.8319241824035956	0.6846612843319829	1.0	0.29551531364623973	1.0340005013047098	0.09424657656285552	0.29848146975209144	4.862266199205836	3.1780317883315443	0.16162699641265282
120000	-4598.7340142472	-4594.41254095029	-4.321473296909987	-4594.41254095029	0.8586992713881442	0.6006310972895902	1.0	0.36847801053715007	0.9614417522880503	0.1646248343355443	0.391264829948349	3.67101366013466	3.152790233284666	0.11453050614080053
130000	-4604.388911258223	-4598.288473681536	-6.100437576687229	-4598.288473681536	0.7835864996852658	0.5439923609676279	1.0	0.49683730273953586	0.9620303033205868	0.28814038800978486	0.5228779595697094	2.309122797711078	2.9861031230709667	0.07502885885928419
