#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BirthDeath.t:Asp_BactEuk" spec="beast.evolution.speciation.BirthDeathGernhard08Model">
#            <parameter id="relativeDeathRate2.t:Asp_BactEuk" lower="0.0" name="relativeDeathRate" upper="1.0">0.5</parameter>
#            <parameter id="birthRate2.t:Asp_BactEuk" lower="0.0" name="birthDiffRate" upper="10000.0">1.0</parameter>
#            <tree id="Tree.t:Asp_BactEuk">
#                <taxonset id="TaxonSet.Asp_BactEuk" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="BirthRatePrior.t:Asp_BactEuk" name="distribution" x="@birthRate2.t:Asp_BactEuk">
#            <Uniform id="Uniform.4" name="distr" upper="1000.0"/>
#        </prior>
#        <prior id="GammaShapePrior.s:Asp_BactEuk" name="distribution">
#            <parameter id="gammaShape.s:Asp_BactEuk" name="x">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter id="RealParameter.0" lower="0.0" name="mean" upper="0.0">1.0</parameter>
#            </Exponential>
#        </prior>
#        <prior id="DeathRatePrior.t:Asp_BactEuk" name="distribution" x="@relativeDeathRate2.t:Asp_BactEuk">
#            <Uniform id="Uniform.5" name="distr"/>
#        </prior>
#        <prior id="ucldStdevPrior.c:Asp_BactEuk" name="distribution">
#            <parameter id="ucldStdev.c:Asp_BactEuk" lower="0.0" name="x">0.1</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.2" name="alpha">0.5396</parameter>
#                <parameter estimate="false" id="RealParameter.3" name="beta">0.3819</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@Asp_BactEuk" id="treeLikelihood.Asp_BactEuk" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:Asp_BactEuk">
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:Asp_BactEuk" shape="@gammaShape.s:Asp_BactEuk" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:Asp_BactEuk" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:Asp_BactEuk" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="WAG.s:Asp_BactEuk" spec="beast.evolution.substitutionmodel.WAG"/>
#            </siteModel>
#            <branchRateModel id="RelaxedClock.c:Asp_BactEuk" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:Asp_BactEuk">
#                <LogNormal S="@ucldStdev.c:Asp_BactEuk" id="LogNormalDistributionModel.c:Asp_BactEuk" meanInRealSpace="true" name="distr">
#                    <parameter estimate="false" id="RealParameter.1" lower="0.0" name="M" upper="1.0">1.0</parameter>
#                </LogNormal>
#                <rateCategories dimension="72" id="rateCategories.c:Asp_BactEuk" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#                <parameter estimate="false" id="ucldMean.c:Asp_BactEuk" name="clock.rate">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	gammaShape	mutationRate	ucldStdev	rate.mean	rate.variance	rate.coefficientOfVariation	BirthDeath	birthRate2	relativeDeathRate2
0	-8906.828252062367	-8905.774148674456	-1.0541033879112802	-8905.774148674456	2.381699428868915	1.0	1.0	0.1	0.9897039395986572	0.00892158165532058	0.09366838940283526	6.034287745950055	1.0	0.5
10000	-4691.357961236838	-4670.827141100414	-20.530820136423365	-4670.827141100414	1.222312051757661	0.9003792094786004	1.0	0.8668271318346564	0.8039684628361392	0.3685157787767136	0.7359740805081801	-10.539811504649542	1.6092813458832809	0.15954437693846776
20000	-4699.016984898699	-4679.025572812789	-19.99141208590994	-4679.025572812789	1.1022752030766552	0.7483166695693498	1.0	0.46679184803100227	0.9735931746972493	0.19533256365308926	0.4585667829873013	-11.484920394025297	1.7194385853394285	0.32761133498814077
30000	-4681.507098660653	-4668.446708960636	-13.06038970001757	-4668.446708960636	0.9146052680028055	0.732853464410602	1.0	0.5775109435890475	1.0934120176235573	0.36759630490269374	0.5758955795685456	-4.181451397572086	3.184395548833735	0.14383594392892932
40000	-4646.503689178447	-4640.4581707585	-6.045518419946052	-4640.4581707585	0.9374624240244313	0.9670306399113133	1.0	0.5602730081091792	1.1278946885631635	0.3925230173095942	0.54658393172992	3.0085081572573227	2.8857736512973466	0.12007950479018616
50000	-4654.506274220314	-4637.398384320529	-17.107889899784862	-4637.398384320529	1.289098598190579	0.9670306399113133	1.0	0.46031643500915803	1.0617807591053388	0.2585710078999825	0.47642306489073183	-8.406071476465646	3.359148693971104	0.17879162587727576
60000	-4652.020767382365	-4636.116773345368	-15.90399403699768	-4636.116773345368	1.3306442184101166	0.8809038157730392	1.0	0.5163741045726977	1.0522831937843302	0.31187069521972216	0.5603386795905775	-7.088608235094689	2.7370999135388154	0.08261637681149747
70000	-4656.464707725095	-4644.466931973743	-11.997775751351814	-4644.466931973743	1.0827631324361628	0.8791281390737565	1.0	0.36056842044320453	0.9935379197893897	0.11296154913237909	0.3393887465323972	-3.7574932675663266	1.8431540112972	0.12820258025314837
80000	-4650.600744822552	-4632.38317747223	-18.217567350321506	-4632.38317747223	1.3104422866693604	0.8736125969510768	1.0	0.41445938213804145	0.9672295578244308	0.1833001816532826	0.4221959276806275	-9.777557041989574	1.3994464275396017	0.0885486230528952
90000	-4653.792312146744	-4636.622216447672	-17.17009569907176	-4636.622216447672	1.1488931841576864	0.7793575369699977	1.0	0.46899967629564154	0.9155114099797854	0.19322313479539246	0.4600942915325226	-8.624609508701761	1.9064296218587353	0.009076264515683094
100000	-4663.898132476731	-4643.579103429719	-20.319029047012062	-4643.579103429719	1.4484404573792704	0.8262491177732576	1.0	0.5014263246154315	0.9535806025990201	0.2574551127405024	0.5048463141541931	-11.61096267282026	2.2312648808876774	0.028096590288383485
110000	-4652.709141227581	-4636.420657384313	-16.28848384326829	-4636.420657384313	1.3578721300653407	0.8262491177732576	1.0	0.4882479708008486	1.0013954527941877	0.3297298729559844	0.5014394999482819	-7.6271867696649505	2.1576812605080877	0.19975496859165706
120000	-4650.840103549709	-4637.449563082935	-13.390540466773917	-4637.449563082935	0.8464039181135018	0.8262491177732576	1.0	0.43273890933904535	0.9426674001259396	0.13771192613841965	0.41651956238001353	-4.930158267808562	3.0543446216605634	0.02661101365422348
130000	-4673.9731802426895	-4652.929046276041	-21.04413396664896	-4652.929046276041	1.2816527162071978	0.8365800238620458	1.0	0.33264890379269724	0.9764888536991412	0.10591242273099746	0.3365400703272009	-12.956612018484972	2.073930725678897	0.20259616898603783
140000	-4667.63121420422	-4655.764709491011	-11.866504713209197	-4655.764709491011	0.9250202379470422	0.8440120693722076	1.0	0.2302299711164934	0.9823396229577058	0.05691592322900894	0.24179265381639994	-4.209164614391864	2.241490790433102	0.06314507993973997
150000	-4655.9827879012855	-4639.767635803413	-16.21515209787241	-4639.767635803413	1.1537407170055969	0.8088718644511563	1.0	0.40921864215392834	1.034892079043083	0.210766525159409	0.4591926443238301	-7.859464097073171	3.2135415057406624	0.04986074249267482
160000	-4666.555068645888	-4650.389782203334	-16.165286442554322	-4650.389782203334	1.2629202551802423	0.7101553288472964	1.0	0.5592198330847591	0.9429538374481187	0.18858305240108275	0.4428817720013812	-7.371759153850135	2.0012057055678705	0.1549395896025132
170000	-4673.535613089045	-4658.87664870862	-14.658964380424472	-4658.87664870862	1.1322126567702855	0.7233034459313425	1.0	0.09918252994734375	1.0095172798191934	0.008146158273856	0.09048712673477534	-7.853189434699304	1.4099482086503368	0.47303984552446876
180000	-4677.416150016357	-4665.918478433001	-11.49767158335637	-4665.918478433001	1.169096365505433	0.7660730448096462	1.0	0.2873251298427776	1.0010755004177916	0.07362226209952641	0.2726686418252208	-3.666772547834264	2.4636940009866977	0.05163906074737134
190000	-4654.792339864533	-4632.088960704287	-22.703379160245127	-4632.088960704287	1.3226074991841823	0.8391766261514295	1.0	0.5095507422046588	0.9200991897781415	0.17449268424976028	0.45165624928300957	-13.953711704161806	1.784042298610019	0.03407969249610951
200000	-4662.752053704756	-4649.589112374223	-13.162941330533055	-4649.589112374223	1.1542851820655704	0.6981920164201748	1.0	0.34958227030837224	1.0119859529381954	0.11542386128141598	0.3360973609177127	-5.146608122168642	2.334565775447082	0.2580882189889716
210000	-4656.6233856860945	-4641.481991832692	-15.141393853402633	-4641.481991832692	1.067206429283508	0.7765716834596424	1.0	0.357299869259547	0.9750964257425782	0.12605843989051527	0.3690431542965056	-7.016419038042591	1.5397893264089095	0.15955868778560062
220000	-4662.835470394485	-4650.928289431048	-11.907180963437426	-4650.928289431048	1.1351243594062959	0.7765716834596424	1.0	0.3441349481941725	1.1026620416613886	0.13864251077850293	0.3663156476014389	-3.833962435573862	1.8614009379487897	0.04683349739107487
230000	-4673.964174029157	-4659.871349360847	-14.092824668310506	-4659.871349360847	1.1941829630093725	0.7499942866373112	1.0	0.27933009197863096	0.9683951230993947	0.08512213562265776	0.2964769713647304	-6.311931880603039	2.0659306434985596	0.02820627367785419
240000	-4654.567396953203	-4641.852867939064	-12.714529014138476	-4641.852867939064	1.2058296916255937	0.7514993413515589	1.0	0.4204498892690201	0.9057026838913731	0.15947616787638438	0.4238316923320132	-4.374339009373735	2.1861849742292945	0.008544288333365308
250000	-4663.823457843209	-4649.964305809322	-13.859152033887433	-4649.964305809322	1.222649581722933	0.8335374056113791	1.0	0.26097023031468924	1.0725693566966132	0.09071306681806335	0.2914920682995428	-6.074092791413609	2.4589734471982596	0.04470577876976295
260000	-4669.942397952007	-4653.567312486864	-16.37508546514305	-4653.567312486864	1.1004235464724477	0.831082810923135	1.0	0.4961397449178714	0.8792304265175083	0.13104625076104928	0.38794327506692095	-7.680908040712438	1.655975721384431	0.1420669202421024
270000	-4659.057714188845	-4645.312848672122	-13.74486551672378	-4645.312848672122	1.2006716213368587	0.9907454738681857	1.0	0.3143325446249413	1.028370693773231	0.08776611622726149	0.2852047411184055	-5.577214521232053	2.8154873059325682	0.07135771453251159
280000	-4674.657979839805	-4650.883059867258	-23.77491997254702	-4650.883059867258	1.3626485943995421	0.7024952467401698	1.0	0.4588447967364758	0.9736812124704075	0.18192209541338134	0.4219985878688013	-15.342964670680004	0.8538222775373318	0.5682893052830215
