#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BayesianSkyline.t:Asp" spec="beast.evolution.tree.coalescent.BayesianSkyline">
#            <parameter dimension="5" id="bPopSizes.t:Asp" lower="0.0" name="popSizes" upper="380000.0">380.0</parameter>
#            <groupSizes dimension="5" id="bGroupSizes.t:Asp" spec="beast.core.parameter.IntegerParameter">1</groupSizes>
#            <treeIntervals id="BSPTreeIntervals.t:Asp" spec="beast.evolution.tree.coalescent.TreeIntervals">
#                <tree id="Tree.t:Asp">
#                    <taxonset id="TaxonSet.Asp" spec="beast.evolution.alignment.TaxonSet">
#                    </taxonset>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <distribution id="MarkovChainedPopSizes.t:Asp" jeffreys="true" parameter="@bPopSizes.t:Asp" spec="beast.math.distributions.MarkovChainDistribution"/>
#        <prior id="GammaShapePrior.s:Asp" name="distribution">
#            <parameter id="gammaShape.s:Asp" name="x">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter id="RealParameter.0" lower="0.0" name="mean" upper="0.0">1.0</parameter>
#            </Exponential>
#        </prior>
#        <prior id="ucldStdevPrior.c:Asp" name="distribution">
#            <parameter id="ucldStdev.c:Asp" lower="0.0" name="x">0.1</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.2" name="alpha">0.5396</parameter>
#                <parameter estimate="false" id="RealParameter.3" name="beta">0.3819</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@Asp" id="treeLikelihood.Asp" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:Asp">
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:Asp" shape="@gammaShape.s:Asp" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:Asp" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:Asp" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="WAG.s:Asp" spec="beast.evolution.substitutionmodel.WAG"/>
#            </siteModel>
#            <branchRateModel id="RelaxedClock.c:Asp" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:Asp">
#                <LogNormal S="@ucldStdev.c:Asp" id="LogNormalDistributionModel.c:Asp" meanInRealSpace="true" name="distr">
#                    <parameter estimate="false" id="RealParameter.1" lower="0.0" name="M" upper="1.0">1.0</parameter>
#                </LogNormal>
#                <rateCategories dimension="108" id="rateCategories.c:Asp" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#                <parameter estimate="false" id="ucldMean.c:Asp" name="clock.rate">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	gammaShape	mutationRate	ucldStdev	rate.mean	rate.variance	rate.coefficientOfVariation	BayesianSkyline	bPopSizes.1	bPopSizes.2	bPopSizes.3	bPopSizes.4	bPopSizes.5	bGroupSizes.1	bGroupSizes.2	bGroupSizes.3	bGroupSizes.4	bGroupSizes.5
0	-13634.286145440898	-13279.510505001886	-354.77564043901157	-13279.510505001886	2.0391233205062123	1.0	1.0	0.1	1.0094078256330101	0.01081362925102737	0.10471621568634647	-320.89414832053023	380.0	380.0	380.0	380.0	380.0	11	11	11	11	10
10000	-6801.033853203815	-6662.917568253902	-138.11628494991285	-6662.917568253902	1.2372501624460428	0.7598880908288054	1.0	0.40168729229194217	0.9095795021502558	0.12401116136655103	0.381296283944649	-120.82450490358362	46.76694020676455	30.43196853661577	5.677047316413942	3.7882333266507753	0.9181644339699075	13	2	9	3	27
20000	-6768.282253670297	-6649.633257306634	-118.6489963636636	-6649.633257306634	0.9911973298417458	0.87388259623968	1.0	0.4554418315829483	0.9645183774019466	0.2572354984340928	0.49224729967723824	-103.34349757884657	29.297116046442238	9.200534304864107	4.439377256608367	3.8240937500902348	0.6050305664625774	7	4	5	15	23
30000	-6738.44025104302	-6627.085863018677	-111.35438802434297	-6627.085863018677	0.7584490072979365	0.87388259623968	1.0	0.44854328500476964	1.0222656508403583	0.22617705238385746	0.4772449325953829	-93.09542546819999	132.94293779113977	11.14226256620575	10.624583442793096	1.8641541333777463	0.3941425268549607	1	4	11	18	20
40000	-6711.134555654985	-6601.6076268373145	-109.52692881767042	-6601.6076268373145	1.1735540307115968	0.8230906134843651	1.0	0.4543010854945268	0.9483840493252114	0.1980355641739459	0.45953516630492103	-88.93679612336693	68.76686497830384	9.715787169926127	34.305247046792445	2.1318883831646485	0.4263923289130217	1	7	3	24	19
50000	-6719.265024752839	-6616.542860115592	-102.722164637247	-6616.542860115592	0.7430707547525094	0.6937350372491977	1.0	0.36483375956532693	0.9738271176243884	0.14994271965726752	0.3808952621358788	-86.17831099323396	57.21042774164004	15.381040104040839	13.19793925540126	1.7865274203395218	0.23388180561402663	3	1	15	20	15
60000	-6720.013534498	-6623.286058233177	-96.72747626482301	-6623.286058233177	0.8084856772502166	0.6333303884955545	1.0	0.3643592029802979	1.0707661712170937	0.15169077287989058	0.37221083912043756	-86.00402955847181	19.95644975023411	4.453422461826938	0.5485847383439829	1.0959363556867348	0.3352588079084833	9	14	10	7	14
70000	-6716.160517369973	-6611.39696870278	-104.76354866719272	-6611.39696870278	1.0502065308937516	0.735309917685983	1.0	0.5151288027764266	0.979464432536882	0.2868833410418988	0.5335260635371837	-92.03346575999909	66.66021805255139	7.648764781983184	1.1692220291421698	0.4293887682418951	0.25456827035275326	8	10	18	7	11
80000	-6715.080759204886	-6602.5163288566055	-112.56443034828037	-6602.5163288566055	0.9393951305912013	0.8904867836057311	1.0	0.3257392129184099	1.0177923764182426	0.09577645396822464	0.31300968289111764	-100.45493373895489	29.469515971929745	8.222018672180734	2.152757525763631	0.45144173075702054	0.5905209627153905	6	13	15	8	12
90000	-6723.07352999764	-6608.945535425418	-114.12799457222236	-6608.945535425418	0.8092570911984496	0.7130392911146991	1.0	0.26213042950349774	1.0056823912427377	0.0548567027504251	0.23143041033514522	-100.87827669539753	30.178716625671314	12.502209934812774	2.9824326378417383	1.6506488727483255	0.5735388832118754	3	17	8	5	21
