#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BayesianSkyline.t:Cys" spec="beast.evolution.tree.coalescent.BayesianSkyline">
#            <parameter dimension="5" id="bPopSizes.t:Cys" lower="0.0" name="popSizes" upper="380000.0">380.0</parameter>
#            <groupSizes dimension="5" id="bGroupSizes.t:Cys" spec="beast.core.parameter.IntegerParameter">1</groupSizes>
#            <treeIntervals id="BSPTreeIntervals.t:Cys" spec="beast.evolution.tree.coalescent.TreeIntervals">
#                <tree id="Tree.t:Cys">
#                    <taxonset id="TaxonSet.Cys" spec="beast.evolution.alignment.TaxonSet">
#                    </taxonset>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <distribution id="MarkovChainedPopSizes.t:Cys" jeffreys="true" parameter="@bPopSizes.t:Cys" spec="beast.math.distributions.MarkovChainDistribution"/>
#        <prior id="GammaShapePrior.s:Cys" name="distribution">
#            <parameter id="gammaShape.s:Cys" name="x">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter id="RealParameter.0" lower="0.0" name="mean" upper="0.0">1.0</parameter>
#            </Exponential>
#        </prior>
#        <prior id="ucldStdevPrior.c:Cys" name="distribution">
#            <parameter id="ucldStdev.c:Cys" lower="0.0" name="x">0.1</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.2" name="alpha">0.5396</parameter>
#                <parameter estimate="false" id="RealParameter.3" name="beta">0.3819</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@Cys" id="treeLikelihood.Cys" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:Cys">
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:Cys" shape="@gammaShape.s:Cys" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:Cys" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:Cys" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="WAG.s:Cys" spec="beast.evolution.substitutionmodel.WAG"/>
#            </siteModel>
#            <branchRateModel id="RelaxedClock.c:Cys" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:Cys">
#                <LogNormal S="@ucldStdev.c:Cys" id="LogNormalDistributionModel.c:Cys" meanInRealSpace="true" name="distr">
#                    <parameter estimate="false" id="RealParameter.1" lower="0.0" name="M" upper="1.0">1.0</parameter>
#                </LogNormal>
#                <rateCategories dimension="92" id="rateCategories.c:Cys" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#                <parameter estimate="false" id="ucldMean.c:Cys" name="clock.rate">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	gammaShape	mutationRate	ucldStdev	rate.mean	rate.variance	rate.coefficientOfVariation	BayesianSkyline	bPopSizes.1	bPopSizes.2	bPopSizes.3	bPopSizes.4	bPopSizes.5	bGroupSizes.1	bGroupSizes.2	bGroupSizes.3	bGroupSizes.4	bGroupSizes.5
0	-10071.3749134795	-9764.143586255452	-307.2313272240488	-9764.143586255452	1.3068260087976669	1.0	1.0	0.1	1.0219982421549259	0.010689411635949178	0.10248163671517674	-273.3498351055675	380.0	380.0	380.0	380.0	380.0	10	9	9	9	9
10000	-6286.2327507349655	-6164.267123569334	-121.9656271656314	-6164.267123569334	1.3780973682805928	0.5934747362559459	1.0	0.7420521485823458	1.0474941622864957	0.5809841302154306	0.7025984718530768	-101.48610123534418	223.34181367719083	17.560377717782433	4.90906735958511	4.109616938896575	0.8986127689969916	2	1	19	11	13
20000	-6124.376235514485	-6019.149066747316	-105.2271687671695	-6019.149066747316	0.8925904324743281	0.5963776180507381	1.0	0.6570053853240296	0.9479906877129803	0.35330001080973567	0.6181816802543654	-87.6046281208669	228.60449527208783	6.723070242274434	2.1627812963643858	1.8758571605561802	0.2473696758223897	2	9	4	22	9
30000	-6071.484639879284	-5966.376689356548	-105.10795052273663	-5966.376689356548	0.6924238840253023	0.7162537667190383	1.0	0.5036045776206457	0.9601440102789554	0.2909561156562627	0.5226489597500321	-86.96499873814753	94.86454938240502	32.28086770885177	5.841521177889483	2.5936802451794967	0.47267744989523625	3	2	16	10	15
40000	-6068.356464455441	-5963.801342939585	-104.55512151585553	-5963.801342939585	0.7883391796646491	0.7150363403814818	1.0	0.4973631933734112	1.003316856398147	0.21803850761071453	0.46123126876879694	-92.94128682953742	31.877292852565073	3.1635925473534106	2.069844334385177	0.7710771831570425	0.208249967663454	11	10	15	1	9
50000	-6086.626290679154	-5982.114225275436	-104.5120654037184	-5982.114225275436	0.7869400086254857	0.6196810650335153	1.0	0.42371030940386906	1.0096955961559513	0.20593743540542037	0.4556036466069573	-90.52253802988125	32.52034838437728	8.84875409562903	6.077409339261689	1.3454822441557444	0.33795565434393526	4	7	11	10	14
60000	-6050.914951067246	-5962.886242396766	-88.02870867048046	-5962.886242396766	0.7165500258488009	0.6639127784022851	1.0	0.5222697602206428	0.899491865202137	0.24391279076592365	0.5245284192180858	-72.06144636757995	58.03936320998472	13.15082638732165	2.936641755445745	2.8334165387527426	0.06727192565304807	2	6	19	7	12
70000	-6032.695529162571	-5944.552409220942	-88.14311994162897	-5944.552409220942	0.6848058935725247	0.6639127784022851	1.0	0.4560672317158655	0.9183332590524543	0.2979517258680985	0.5303693814262248	-75.43438462837611	13.888537466361816	1.9508756729718006	4.058835095681954	2.64850863488836	0.14400469959561088	12	17	3	3	11
80000	-6053.146673730943	-5954.280167237277	-98.86650649366591	-5954.280167237277	0.7292060992631008	0.6639127784022851	1.0	0.5862519669398133	0.9052912870304419	0.3094478588506235	0.5613957190632074	-87.52160218399744	19.79238047202151	1.7780065250459893	1.02448170122334	1.5098140695707747	0.43910375688439424	12	5	9	11	9
90000	-6021.687549408707	-5923.3290436147245	-98.35850579398297	-5923.3290436147245	0.6551685240122512	0.6639127784022851	1.0	0.5708365075171421	0.9337177310451258	0.30840694749941044	0.5596027293779489	-84.41400924336328	15.315925658531302	2.2710935841059405	4.194288068031098	3.8952868722666296	0.2716362293353405	14	18	3	1	10
