#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BirthDeath.t:Cys_ArchEuk" spec="beast.evolution.speciation.BirthDeathGernhard08Model">
#            <parameter id="relativeDeathRate2.t:Cys_ArchEuk" lower="0.0" name="relativeDeathRate" upper="1.0">0.5</parameter>
#            <parameter id="birthRate2.t:Cys_ArchEuk" lower="0.0" name="birthDiffRate" upper="10000.0">1.0</parameter>
#            <tree id="Tree.t:Cys_ArchEuk">
#                <taxonset id="TaxonSet.Cys_ArchEuk" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="BirthRatePrior.t:Cys_ArchEuk" name="distribution" x="@birthRate2.t:Cys_ArchEuk">
#            <Uniform id="Uniform.4" name="distr" upper="1000.0"/>
#        </prior>
#        <prior id="GammaShapePrior.s:Cys_ArchEuk" name="distribution">
#            <parameter id="gammaShape.s:Cys_ArchEuk" name="x">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter id="RealParameter.0" lower="0.0" name="mean" upper="0.0">1.0</parameter>
#            </Exponential>
#        </prior>
#        <prior id="DeathRatePrior.t:Cys_ArchEuk" name="distribution" x="@relativeDeathRate2.t:Cys_ArchEuk">
#            <Uniform id="Uniform.5" name="distr"/>
#        </prior>
#        <prior id="ucldStdevPrior.c:Cys_ArchEuk" name="distribution">
#            <parameter id="ucldStdev.c:Cys_ArchEuk" lower="0.0" name="x">0.1</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.2" name="alpha">0.5396</parameter>
#                <parameter estimate="false" id="RealParameter.3" name="beta">0.3819</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@Cys_ArchEuk" id="treeLikelihood.Cys_ArchEuk" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:Cys_ArchEuk">
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:Cys_ArchEuk" shape="@gammaShape.s:Cys_ArchEuk" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:Cys_ArchEuk" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:Cys_ArchEuk" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="WAG.s:Cys_ArchEuk" spec="beast.evolution.substitutionmodel.WAG"/>
#            </siteModel>
#            <branchRateModel id="RelaxedClock.c:Cys_ArchEuk" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:Cys_ArchEuk">
#                <LogNormal S="@ucldStdev.c:Cys_ArchEuk" id="LogNormalDistributionModel.c:Cys_ArchEuk" meanInRealSpace="true" name="distr">
#                    <parameter estimate="false" id="RealParameter.1" lower="0.0" name="M" upper="1.0">1.0</parameter>
#                </LogNormal>
#                <rateCategories dimension="52" id="rateCategories.c:Cys_ArchEuk" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#                <parameter estimate="false" id="ucldMean.c:Cys_ArchEuk" name="clock.rate">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	gammaShape	mutationRate	ucldStdev	rate.mean	rate.variance	rate.coefficientOfVariation	BirthDeath	birthRate2	relativeDeathRate2
0	-5214.672515767443	-5212.789861257193	-1.8826545102501864	-5212.789861257193	2.5435602070531083	1.0	1.0	0.1	1.0394361718644312	0.008867245206496307	0.09501332677643548	5.205736623611148	1.0	0.5
10000	-3431.5422742138508	-3421.5644960380887	-9.977778175761916	-3421.5644960380887	0.6880258094694081	0.6245840031726855	1.0	0.5451890506148986	0.9914986178897878	0.3479084703503763	0.5694778580976271	-1.3182604102081208	1.829293683790996	0.2089537140162334
20000	-3433.2757111895853	-3421.783452517786	-11.492258671799313	-3421.783452517786	0.7195683545446565	0.5759127485989195	1.0	0.7026396317588738	0.9032107205002473	0.4212147658602015	0.6872650772308034	-2.3523211493262672	2.3746434426152296	0.15781836877391847
30000	-3444.039744359292	-3421.002674451361	-23.037069907930867	-3421.002674451361	1.0581219358913942	0.8218648233511824	1.0	0.9404978375435321	0.8012157202948882	0.5499750686565731	0.7828400956718204	-12.894115186526953	1.1254858880508598	0.59155102510214
40000	-3438.6908734523813	-3432.240121378105	-6.450752074276266	-3432.240121378105	0.5927137731519341	0.5417017960688354	1.0	0.6264993463153765	1.2657057530423754	0.5708380238960419	0.610077134979426	2.4027959557266576	3.2488928569875815	0.05908173778746748
50000	-3432.622376752946	-3429.094952100212	-3.5274246527339463	-3429.094952100212	0.5223201697408992	0.5410444237606735	1.0	0.5142666822717351	1.180213094775227	0.36212660452421447	0.496745548749345	4.940700674388251	2.051595443382203	0.21428657610554552
60000	-3429.3092226325507	-3418.5425009799756	-10.766721652575054	-3418.5425009799756	0.8323637600001873	0.7397442763700406	1.0	0.5451914951890691	1.104529355846099	0.39347464835057694	0.5683725780248581	-1.9920351483556389	2.7113490905338815	0.16019767616233246
70000	-3439.4870732870986	-3427.34027092845	-12.146802358648351	-3427.34027092845	0.7471892322164756	0.5667848964268232	1.0	0.3221167799711268	1.016208910865977	0.13648098435222838	0.36171169121082825	-4.371466414028934	2.6905372718158964	0.12171816542007657
80000	-3430.651126377921	-3418.8070474298625	-11.84407894805855	-3418.8070474298625	0.8083912024921344	0.5845274911138892	1.0	0.44247952603413004	0.9350706565325874	0.12946621341394798	0.3790286532182642	-3.5896643690379317	2.1908809215758946	0.004032715546414679
90000	-3431.9454935212493	-3422.595660413153	-9.349833108096398	-3422.595660413153	0.5736937801356529	0.7792927264927054	1.0	0.4003960596861469	0.9603943904710389	0.15889676297766483	0.4303032662009832	-1.056860653336612	1.6118198199897116	0.19940362062540992
100000	-3441.3241406204716	-3426.2384656258923	-15.085674994579211	-3426.2384656258923	0.7388297279582252	0.7392708496034245	1.0	0.3858958497015647	0.9844831129330434	0.10363116214920487	0.3432381561273352	-6.8876756543883975	1.5025081035174668	0.14730760240210558
110000	-3435.086977966052	-3419.685449017446	-15.401528948606206	-3419.685449017446	0.6936437958987312	0.6238703900806997	1.0	0.5942349434328916	0.9820679254096422	0.4440556162762069	0.6760931587637055	-6.574638940205913	1.8027640598205494	0.3659855159547151
120000	-3444.6026765980473	-3430.5816181951946	-14.021058402852859	-3430.5816181951946	0.8124188792085365	0.7422695401032323	1.0	0.361112311393228	0.9696335362731873	0.11379380672414256	0.36113562339498184	-5.915516390632001	1.860290559796938	0.3327236436197109
130000	-3427.303490410454	-3421.115260668182	-6.188229742271703	-3421.115260668182	0.6181504254729936	0.7422695401032323	1.0	0.5814829997815129	1.1825844511852057	0.2762178997442301	0.4651659813293937	2.713681151541412	2.8952501477155828	0.00991528009229013
