#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BayesianSkyline.t:Glx" spec="beast.evolution.tree.coalescent.BayesianSkyline">
#            <parameter dimension="5" id="bPopSizes.t:Glx" lower="0.0" name="popSizes" upper="380000.0">380.0</parameter>
#            <groupSizes dimension="5" id="bGroupSizes.t:Glx" spec="beast.core.parameter.IntegerParameter">1</groupSizes>
#            <treeIntervals id="BSPTreeIntervals.t:Glx" spec="beast.evolution.tree.coalescent.TreeIntervals">
#                <tree id="Tree.t:Glx">
#                    <taxonset id="TaxonSet.Glx" spec="beast.evolution.alignment.TaxonSet">
#                    </taxonset>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <distribution id="MarkovChainedPopSizes.t:Glx" jeffreys="true" parameter="@bPopSizes.t:Glx" spec="beast.math.distributions.MarkovChainDistribution"/>
#        <prior id="GammaShapePrior.s:Glx" name="distribution">
#            <parameter id="gammaShape.s:Glx" name="x">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter id="RealParameter.0" lower="0.0" name="mean" upper="0.0">1.0</parameter>
#            </Exponential>
#        </prior>
#        <prior id="ucldStdevPrior.c:Glx" name="distribution">
#            <parameter id="ucldStdev.c:Glx" lower="0.0" name="x">0.1</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.2" name="alpha">0.5396</parameter>
#                <parameter estimate="false" id="RealParameter.3" name="beta">0.3819</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@Glx" id="treeLikelihood.Glx" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:Glx">
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:Glx" shape="@gammaShape.s:Glx" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:Glx" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:Glx" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="WAG.s:Glx" spec="beast.evolution.substitutionmodel.WAG"/>
#            </siteModel>
#            <branchRateModel id="RelaxedClock.c:Glx" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:Glx">
#                <LogNormal S="@ucldStdev.c:Glx" id="LogNormalDistributionModel.c:Glx" meanInRealSpace="true" name="distr">
#                    <parameter estimate="false" id="RealParameter.1" lower="0.0" name="M" upper="1.0">1.0</parameter>
#                </LogNormal>
#                <rateCategories dimension="142" id="rateCategories.c:Glx" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#                <parameter estimate="false" id="ucldMean.c:Glx" name="clock.rate">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	gammaShape	mutationRate	ucldStdev	rate.mean	rate.variance	rate.coefficientOfVariation	BayesianSkyline	bPopSizes.1	bPopSizes.2	bPopSizes.3	bPopSizes.4	bPopSizes.5	bGroupSizes.1	bGroupSizes.2	bGroupSizes.3	bGroupSizes.4	bGroupSizes.5
0	-20320.20316621983	-19864.339471026076	-455.8636951937543	-19864.339471026076	2.0505484786780843	1.0	1.0	0.1	1.0547564999698609	0.01061833609318015	0.10116854591111815	-421.982203075273	380.0	380.0	380.0	380.0	380.0	15	14	14	14	14
10000	-8946.919292146215	-8739.084139575772	-207.83515257044183	-8739.084139575772	1.9875575789900979	0.8495278272631346	1.0	0.652095388348287	0.9304063010440198	0.3175148463166641	0.6180948345879999	-189.78865827234543	37.874346194678104	7.110294847487859	14.69923187307931	2.876956194010702	0.8113731260927795	13	21	5	20	12
20000	-8070.248919971385	-7900.219317173029	-170.029602798356	-7900.219317173029	1.3012942530378886	0.9158572636781106	1.0	0.4427921440470556	0.9935096788410248	0.2155651119621048	0.4397999903020338	-158.35936576343954	15.664359345266918	2.536245350368919	1.7848722521402807	1.803321580613172	0.9245124979441472	27	2	6	18	18
30000	-8034.080359298814	-7872.534874498014	-161.54548480080066	-7872.534874498014	1.0399360046474067	0.9158572636781106	1.0	0.4796964368112224	0.9496677089206743	0.25649050303146936	0.5128154784224518	-149.5418299696892	18.921902147365113	0.42548678566321013	1.246358555330086	1.581306161596023	0.4205568577975668	26	8	8	14	15
40000	-8044.692371219731	-7862.420096144004	-182.2722750757272	-7862.420096144004	1.4768530189442537	0.87822724188577	1.0	0.4389194100847342	0.9330091309618679	0.21702228753003347	0.46953192069843624	-168.63995963715897	21.803019821788983	9.951492567116539	2.4185518660560588	1.8636940945977036	1.057468856721515	25	6	2	23	15
50000	-8026.659444169808	-7861.336246297457	-165.32319787235068	-7861.336246297457	0.9405757851202596	0.87822724188577	1.0	0.33906961382999656	1.0399000766414586	0.13426176234689466	0.3555826744943434	-154.03745863247534	13.10068163212248	4.531428471398123	2.2691585449987013	1.9178585237762715	0.42171667475060015	25	1	7	27	11
60000	-8036.137731717858	-7861.077847228345	-175.05988448951268	-7861.077847228345	1.2082022884182944	0.9322491514459745	1.0	0.3670716655973086	1.010486236548825	0.10611936704574854	0.32416564882878307	-161.73624436640742	16.222777523178152	9.294381561807612	3.8237450067943177	2.389909193480833	0.689874871760494	23	6	13	16	13
70000	-8049.878825361369	-7866.866125335219	-183.01270002615001	-7866.866125335219	1.2696464369211948	0.8990464327209335	1.0	0.4454748135960354	0.9731497542184445	0.17550925144688526	0.42471112358576363	-167.72859794291736	15.539256174550514	6.2050445325531705	4.820577651689809	6.675517204345883	1.7859808976325668	18	12	3	4	34
80000	-8045.121823151007	-7864.046272264774	-181.07555088623272	-7864.046272264774	1.1246181068747676	1.2292320668945655	1.0	0.3753653042445338	0.9614460661765226	0.1542794699539175	0.3889673374715349	-168.5092199114897	12.43745418373443	2.025358398369539	3.8082359718733407	2.139986200123093	0.8051562742788178	20	3	27	5	16
90000	-8025.853362623382	-7859.368538950007	-166.4848236733753	-7859.368538950007	1.0728535291733665	1.2399092083412755	1.0	0.3853835438636822	0.9988662440752187	0.16081405584327724	0.3978275018580107	-152.6830828966649	13.963482473804689	19.528349404503764	3.5786478599230205	1.379670725627011	0.2813297099200357	16	12	9	21	13
