#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BirthDeath.t:Met_ArchBact" spec="beast.evolution.speciation.BirthDeathGernhard08Model">
#            <parameter id="relativeDeathRate2.t:Met_ArchBact" lower="0.0" name="relativeDeathRate" upper="1.0">0.5</parameter>
#            <parameter id="birthRate2.t:Met_ArchBact" lower="0.0" name="birthDiffRate" upper="10000.0">1.0</parameter>
#            <tree id="Tree.t:Met_ArchBact">
#                <taxonset id="TaxonSet.Met_ArchBact" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="BirthRatePrior.t:Met_ArchBact" name="distribution" x="@birthRate2.t:Met_ArchBact">
#            <Uniform id="Uniform.4" name="distr" upper="1000.0"/>
#        </prior>
#        <prior id="GammaShapePrior.s:Met_ArchBact" name="distribution">
#            <parameter id="gammaShape.s:Met_ArchBact" name="x">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter id="RealParameter.0" lower="0.0" name="mean" upper="0.0">1.0</parameter>
#            </Exponential>
#        </prior>
#        <prior id="DeathRatePrior.t:Met_ArchBact" name="distribution" x="@relativeDeathRate2.t:Met_ArchBact">
#            <Uniform id="Uniform.5" name="distr"/>
#        </prior>
#        <prior id="ucldStdevPrior.c:Met_ArchBact" name="distribution">
#            <parameter id="ucldStdev.c:Met_ArchBact" lower="0.0" name="x">0.1</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.2" name="alpha">0.5396</parameter>
#                <parameter estimate="false" id="RealParameter.3" name="beta">0.3819</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@Met_ArchBact" id="treeLikelihood.Met_ArchBact" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:Met_ArchBact">
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:Met_ArchBact" shape="@gammaShape.s:Met_ArchBact" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:Met_ArchBact" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:Met_ArchBact" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="WAG.s:Met_ArchBact" spec="beast.evolution.substitutionmodel.WAG"/>
#            </siteModel>
#            <branchRateModel id="RelaxedClock.c:Met_ArchBact" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:Met_ArchBact">
#                <LogNormal S="@ucldStdev.c:Met_ArchBact" id="LogNormalDistributionModel.c:Met_ArchBact" meanInRealSpace="true" name="distr">
#                    <parameter estimate="false" id="RealParameter.1" lower="0.0" name="M" upper="1.0">1.0</parameter>
#                </LogNormal>
#                <rateCategories dimension="76" id="rateCategories.c:Met_ArchBact" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#                <parameter estimate="false" id="ucldMean.c:Met_ArchBact" name="clock.rate">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	gammaShape	mutationRate	ucldStdev	rate.mean	rate.variance	rate.coefficientOfVariation	BirthDeath	birthRate2	relativeDeathRate2
0	-8990.526532990983	-8988.554954778756	-1.9715782122271832	-8988.554954778756	2.2513914292473185	1.0	1.0	0.1	0.9860992294350361	0.009089247703473708	0.09581715473108793	5.116812921634152	1.0	0.5
10000	-4745.171482257063	-4739.453896498215	-5.717585758848221	-4739.453896498215	0.9837364127362559	0.7305303508094741	1.0	0.4379317129631825	1.1203660397677115	0.31959583791778345	0.4956848838491329	2.6661668069085573	2.8298951779483366	0.06413498960425841
20000	-4705.570457349825	-4691.565164376916	-14.005292972909409	-4691.565164376916	1.0274123799695656	1.0666527799870449	1.0	0.4267813382642878	0.9601231011909612	0.16531863261042454	0.38754408673655777	-5.32648935134237	1.9727515405382396	0.16613519076010252
30000	-4706.930671712175	-4690.223672900727	-16.706998811447846	-4690.223672900727	1.1876696638668558	0.7261585499215729	1.0	0.6250334619916459	0.8021673268365612	0.24294436052235202	0.5391023140397909	-7.673910932932554	1.3304807636075855	0.27473968675416294
40000	-4696.5693255153765	-4680.594705734236	-15.974619781140314	-4680.594705734236	1.0881256749912176	0.7426645996609033	1.0	0.5684446552198444	0.8453421384735721	0.32417443027378934	0.5710566748206991	-7.116895407212183	1.9325684610059282	0.003059189969806044
50000	-4689.171860026483	-4673.591362881653	-15.580497144829954	-4673.591362881653	1.29615870209147	0.7756613466320218	1.0	0.5865480542015187	0.9277783919906546	0.4963317983755931	0.6390293020977847	-6.627938682051025	2.3544830791565245	0.26673618636766216
60000	-4695.829067902445	-4688.231966609269	-7.597101293175802	-4688.231966609269	1.0256529652360675	0.8111657605992437	1.0	0.4717722864040353	0.9006476579749011	0.22859078672451208	0.4818862450818683	0.9901669203010259	2.486090803240354	0.09775982331081136
70000	-4694.097248793354	-4684.4057496199275	-9.691499173426513	-4684.4057496199275	0.9477172708497344	0.9423875179127296	1.0	0.47048756700515343	0.9977514753239867	0.39387350597432763	0.5710785461585867	-0.9776286839064561	1.8370963086168193	0.40914851071557057
80000	-4687.148604596827	-4679.00526625306	-8.143338343767244	-4679.00526625306	0.9569543387900709	0.949958938748935	1.0	0.6383877563781118	1.0848824246849937	0.7025978805258483	0.6838735493773512	1.1582511323467202	1.9825364537541679	0.18639835964996307
90000	-4696.850836341174	-4682.202146082476	-14.648690258697915	-4682.202146082476	1.3152966973968223	0.8469786942953587	1.0	0.5253054243425295	0.908051150339356	0.33418001010902576	0.5725116956247357	-5.835947941038667	2.418682501001166	0.10726181788559422
100000	-4695.100293669258	-4679.410475799328	-15.689817869929588	-4679.410475799328	1.1753889694068727	0.9423857687954562	1.0	0.5374093431499868	0.8903975904122806	0.3728251360354069	0.6014514761958577	-6.739486512725677	2.023623595109104	0.26724114924166825
110000	-4709.044621998706	-4693.379635336414	-15.664986662292161	-4693.379635336414	1.1430971054388157	0.9423857687954562	1.0	0.4519312986817422	0.9715563041836782	0.25800887733210487	0.4915208132070756	-7.018233461324375	1.8551313398490779	0.10540442636712562
120000	-4707.055101790266	-4699.715292277672	-7.339809512594294	-4699.715292277672	0.9234363629389434	0.7965405491888741	1.0	0.5435545249033934	1.0021436916005888	0.31566086540205024	0.5207398190966881	1.4860024216077479	3.4368536311297806	0.0011297057968310458
130000	-4685.874681521323	-4673.299837153151	-12.574844368171057	-4673.299837153151	0.9837518320789996	0.729850818160574	1.0	0.513154626899149	0.9463788845113051	0.35953078014089657	0.5363563531300445	-3.9218212001438717	1.9382668687103572	0.05478710567329516
