#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="ExtendedBayesianSkyline.t:Arg" spec="beast.evolution.tree.coalescent.Coalescent">
#            <populationModel id="scaledDemo.t:Arg" spec="beast.evolution.tree.coalescent.ScaledPopulationFunction">
#                <population id="demographic.alltrees" spec="beast.evolution.tree.coalescent.CompoundPopulationFunction">
#                    <parameter id="popSizes.alltrees" name="populationSizes">1.0</parameter>
#                    <populationIndicators id="indicators.alltrees" spec="beast.core.parameter.BooleanParameter">false</populationIndicators>
#                    <itree id="treeIntervals.t:Arg" spec="beast.evolution.tree.coalescent.TreeIntervals">
#                        <tree id="Tree.t:Arg">
#                            <taxonset id="TaxonSet.Arg" spec="beast.evolution.alignment.TaxonSet">
#                            </taxonset>
#                        </tree>
#                    </itree>
#                </population>
#                <parameter id="RealParameter.4" lower="0.0" name="factor" upper="0.0">1.0</parameter>
#            </populationModel>
#            <treeIntervals idref="treeIntervals.t:Arg"/>
#        </distribution>
#        <prior id="GammaShapePrior.s:Arg" name="distribution">
#            <parameter id="gammaShape.s:Arg" name="x">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter id="RealParameter.0" lower="0.0" name="mean" upper="0.0">1.0</parameter>
#            </Exponential>
#        </prior>
#        <prior id="indicatorsPrior.alltrees" name="distribution">
#            <x id="indsSun.alltrees" spec="beast.core.util.Sum">
#                <arg idref="indicators.alltrees"/>
#            </x>
#            <distr id="Poisson.EBSP" spec="beast.math.distributions.Poisson">
#                <parameter estimate="false" id="RealParameter.5" name="lambda" upper="0.0">0.69314718056</parameter>
#            </distr>
#        </prior>
#        <prior id="popSizePrior.alltrees" name="distribution" x="@popSizes.alltrees">
#            <Exponential id="popPriorDist.EBSP" name="distr">
#                <parameter id="populationMean.alltrees" name="mean">1.0</parameter>
#            </Exponential>
#        </prior>
#        <prior id="populationMeanPrior.alltrees" name="distribution" x="@populationMean.alltrees">
#            <OneOnX id="OneOnX.EBSP" name="distr"/>
#        </prior>
#        <prior id="ucldStdevPrior.c:Arg" name="distribution">
#            <parameter id="ucldStdev.c:Arg" lower="0.0" name="x">0.1</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.2" name="alpha">0.5396</parameter>
#                <parameter estimate="false" id="RealParameter.3" name="beta">0.3819</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@Arg" id="treeLikelihood.Arg" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:Arg">
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:Arg" shape="@gammaShape.s:Arg" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:Arg" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:Arg" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="WAG.s:Arg" spec="beast.evolution.substitutionmodel.WAG"/>
#            </siteModel>
#            <branchRateModel id="RelaxedClock.c:Arg" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:Arg">
#                <LogNormal S="@ucldStdev.c:Arg" id="LogNormalDistributionModel.c:Arg" meanInRealSpace="true" name="distr">
#                    <parameter estimate="false" id="RealParameter.1" lower="0.0" name="M" upper="1.0">1.0</parameter>
#                </LogNormal>
#                <rateCategories dimension="100" id="rateCategories.c:Arg" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#                <parameter estimate="false" id="ucldMean.c:Arg" name="clock.rate">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood.Arg	TreeHeight	gammaShape	mutationRate	ucldStdev	rate.mean	rate.variance	rate.coefficientOfVariation	ExtendedBayesianSkyline	indicators.alltrees1	indicators.alltrees2	indicators.alltrees3	indicators.alltrees4	indicators.alltrees5	indicators.alltrees6	indicators.alltrees7	indicators.alltrees8	indicators.alltrees9	indicators.alltrees10	indicators.alltrees11	indicators.alltrees12	indicators.alltrees13	indicators.alltrees14	indicators.alltrees15	indicators.alltrees16	indicators.alltrees17	indicators.alltrees18	indicators.alltrees19	indicators.alltrees20	indicators.alltrees21	indicators.alltrees22	indicators.alltrees23	indicators.alltrees24	indicators.alltrees25	indicators.alltrees26	indicators.alltrees27	indicators.alltrees28	indicators.alltrees29	indicators.alltrees30	indicators.alltrees31	indicators.alltrees32	indicators.alltrees33	indicators.alltrees34	indicators.alltrees35	indicators.alltrees36	indicators.alltrees37	indicators.alltrees38	indicators.alltrees39	indicators.alltrees40	indicators.alltrees41	indicators.alltrees42	indicators.alltrees43	indicators.alltrees44	indicators.alltrees45	indicators.alltrees46	indicators.alltrees47	indicators.alltrees48	indicators.alltrees49	indicators.alltrees50	populationMean.alltrees	popSizes.alltrees1	popSizes.alltrees2	popSizes.alltrees3	popSizes.alltrees4	popSizes.alltrees5	popSizes.alltrees6	popSizes.alltrees7	popSizes.alltrees8	popSizes.alltrees9	popSizes.alltrees10	popSizes.alltrees11	popSizes.alltrees12	popSizes.alltrees13	popSizes.alltrees14	popSizes.alltrees15	popSizes.alltrees16	popSizes.alltrees17	popSizes.alltrees18	popSizes.alltrees19	popSizes.alltrees20	popSizes.alltrees21	popSizes.alltrees22	popSizes.alltrees23	popSizes.alltrees24	popSizes.alltrees25	popSizes.alltrees26	popSizes.alltrees27	popSizes.alltrees28	popSizes.alltrees29	popSizes.alltrees30	popSizes.alltrees31	popSizes.alltrees32	popSizes.alltrees33	popSizes.alltrees34	popSizes.alltrees35	popSizes.alltrees36	popSizes.alltrees37	popSizes.alltrees38	popSizes.alltrees39	popSizes.alltrees40	popSizes.alltrees41	popSizes.alltrees42	popSizes.alltrees43	popSizes.alltrees44	popSizes.alltrees45	popSizes.alltrees46	popSizes.alltrees47	popSizes.alltrees48	popSizes.alltrees49	popSizes.alltrees50	popSizes.alltrees51	sum(indicators.alltrees)
0	-14586.036779679042	-14471.90473690768	-114.13204277136177	-14471.90473690768	3.2335974058717873	1.0	1.0	0.1	0.9862677110642211	0.007251329583456184	0.08511668218003672	-62.258259735922564	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0
10000	-7987.155659773349	-7599.656042395136	-387.4996173782125	-7599.656042395136	3.495368379995056	1.0	1.0	1.0873845460442255	0.6415000719600753	0.6978093739356395	1.0486106755073192	-157.92144727375805	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	36.84745304802715	99.33851317717071	9.053266196240097	82.08453283754501	23.53414510677364	36.84745304802715	4.836414722637024	14.658483942538291	36.84745304802715	20.569128851112684	1.1459658003631876	4.370495103498152	8.354598167568748	36.84745304802715	0.8215577486863692	36.84745304802715	17.8653287474563	36.84745304802715	13.74639455502287	36.84745304802715	15.76398590717986	36.84745304802715	80.89186293208508	29.863811771364873	49.97797676851639	8.18823402605995	40.879421495032844	76.32221160009718	35.58007884597181	2.4643611060315216	10.395255089438137	22.719140361515215	5.619418528799594	25.263418196498453	13.908144487928766	8.907976216737334	3.769914017017659	12.893329290978333	3.849175076001734	5.817947555848769	3.957057423890321	2.329069500036723	36.84745304802715	0.7740382522204834	27.369674986851486	51.30766701720063	36.84745304802715	36.84745304802715	9.816899464894234	36.84745304802715	36.84745304802715	36.84745304802715	2
20000	-7384.352735280084	-7057.121220464916	-327.23151481516754	-7057.121220464916	0.9834992565997999	1.0	1.0	0.29395250690513025	1.0009483385951337	0.09692105020655406	0.3100699150456608	-101.45201334886077	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	38.7492768114823	45.975043795928215	12.040084626046147	3.5143288691103267	11.327997142666263	30.233098876334576	5.086038718017294	15.41505870665588	38.7492768114823	21.630772324587745	6.905973497215747	5.45012688281739	4.371847851676066	38.7492768114823	1.6305626781902558	38.7492768114823	18.787419799707994	38.7492768114823	14.45589324934234	38.7492768114823	22.868340668010955	38.7492768114823	85.0669701503201	17.629273764243173	52.55751201465367	7.623238090519403	42.9893490152394	80.26146339889382	37.41648906859099	2.7688426134721422	10.931789951983541	12.862260917253085	2.591546167643491	28.983006473138193	6.704138931246491	9.36774750218284	64.54095601409772	2.588214847889261	0.9259762216659209	0.8330348213053662	4.1612947651334755	2.4492807861773183	38.7492768114823	0.8139890281934522	28.7823180322254	53.95583214963382	38.7492768114823	38.7492768114823	10.323583404797795	38.7492768114823	38.7492768114823	38.7492768114823	2
30000	-7294.96354217259	-6940.676455484152	-354.28708668843785	-6940.676455484152	1.508563183975727	1.0220452563837106	1.0	0.40721812279222735	0.9351849011619638	0.1661768461968733	0.41654278354663016	-118.94204764941654	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	47.568497865311954	96.41945902792918	14.78037235684714	3.0272402480334497	13.906215863608168	37.114062963222366	6.243606121423376	18.923480578711942	47.568497865311954	58.346756091508276	9.827860711104059	6.690559678113918	5.366867521468107	47.568497865311954	2.0016739319833374	56.46722634065631	23.063381104761877	47.568497865311954	17.746011893794968	47.568497865311954	28.073107519961823	47.568497865311954	104.42796152533566	21.64164444929474	64.51944665285541	9.35826458387431	11.57767686015491	10.218550959691687	45.93237156517279	3.399023021490449	13.419833085526838	15.7896735457044	6.494811224158892	47.2741212469121	8.229981168197035	11.499819189614428	79.23028714363141	3.1772849094904	1.2099420138477277	10.9544027442134	5.108393173767034	25.237935405494614	47.568497865311954	0.4993151702038231	16.091992383183474	66.23602032413791	26.08572451366461	15.816918782350843	12.673200523008886	47.568497865311954	47.568497865311954	47.568497865311954	2
40000	-7275.089913016177	-6920.475304585136	-354.61460843104135	-6920.475304585136	1.5897208841812889	1.0309518314413084	1.0	0.43084055727162884	0.9160753979189538	0.21742664589692548	0.46166638617840117	-129.36867528579845	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	41.100858610479094	62.57273725092629	12.770762620444243	2.6156422632194536	12.015460602420097	32.067858409802625	38.656904723299554	6.859798538703738	41.100858610479094	50.413653575677465	23.518758293983698	5.780879357043138	4.637162682866365	41.100858610479094	1.7295168221555808	48.78967363074238	15.998048626299749	41.100858610479094	15.333179698294092	41.100858610479094	24.25615427675985	15.577860757999009	25.716854219945425	18.69914351988314	55.74707576459155	10.636197025423238	10.003520838820629	8.829188161195454	39.71681298702725	2.936875682213138	11.59520874058718	37.60431333640461	10.066555233476363	40.84650683747713	7.110993778250842	9.936249067538578	68.4577604022413	2.7452861387368372	2.209698766807809	9.464990036620033	4.41383173705055	8.801985499758235	41.100858610479094	0.4219977010166702	13.904048548575988	57.23025591372351	22.538985318051658	13.666375263047621	10.950091893027293	41.100858610479094	18.794406096015653	13.447583234922796	2
50000	-7262.721381561622	-6922.015372316278	-340.7060092453443	-6922.015372316278	1.23585147126846	0.8006870218916046	1.0	0.36537502481240375	0.996318748229121	0.1790843182023613	0.4070733945417448	-111.57204862924594	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	43.77242178273337	69.67834935557319	13.60086447845461	2.785659478879936	12.796467693958418	16.35343071674906	5.509627716654079	18.207000693054347	43.77242178273337	41.79158073804695	13.892106914916104	8.018978231659826	5.274468359179181	21.854769060201093	1.8419357254114614	51.96101115664414	17.037924652808307	43.77242178273337	16.32983912538147	10.878536467386706	25.832808649858215	16.590424497797958	27.388454351012296	19.914591198333337	59.37064567550283	11.327551737383342	10.72340101570109	9.403086973283509	167.03126461234191	4.4698834153265565	12.348899385824836	124.37046783938295	10.720883126917549	43.50153709892314	5.2505792038041	10.582107036851502	72.90752709151928	5.7888049540911135	1.8525945416702938	10.0802160845046	4.700731590627451	9.37411613397995	0.632048162245502	0.5815923551830093	14.80781419492529	60.95023280001678	24.004023401230146	14.554692103262132	11.661849827611007	43.77242178273337	20.01604585897926	9.759601640000346	2
60000	-7218.2205520406305	-6915.813531747511	-302.40702029311944	-6915.813531747511	1.4172218890923303	0.9738912654617171	1.0	0.4781341434223847	0.9309547373037181	0.23064110973579585	0.4658502968723576	-123.53997777034856	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	16.48677779277474	43.38290173009503	5.122733020323237	1.0492119687274548	4.819758898648235	7.064588021095662	2.0751880792947173	6.8576231899897016	16.48677779277474	15.740698759070577	5.232428786246359	3.320164666785852	7.702994147468167	7.83346894028762	0.6937606779940845	19.570990361913367	6.417293500349444	16.48677779277474	6.150594782903318	4.097374697215159	9.729865486708889	6.248743639103287	5.442425043940482	15.138815308208487	22.361811451147318	4.266495222890926	4.038943301017392	2.6429240151556552	6.157536455909972	1.6835708792600448	4.6511833676915	46.84383874003926	4.037994944239527	16.384749725613812	1.9776180775684	9.046971785212829	27.460445404296372	14.835558015683043	3.8310107520739245	3.796689237650024	8.267743141714714	3.5307383829869816	0.2380594260238924	0.8325266131968754	5.577327739374257	22.95675915715848	9.041057904288834	5.481989909989207	6.272638552834025	16.48677779277474	7.538995717553677	3.675930575268206	2
70000	-7215.930263102101	-6912.9079363753235	-303.0223267267775	-6912.9079363753235	1.6667911447115447	0.966970549716467	1.0	0.4671653712673256	0.8560431849860434	0.1484497656343735	0.41474667601629295	-121.4974439764649	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	18.561070073280046	34.35157813816751	4.670971183375058	11.40269161267719	4.572324399424068	7.953422733451096	2.336278916302548	4.650875354279745	9.463556856772595	7.893307124343023	5.890749458485969	15.619250961126982	8.67215024926709	3.968969111226195	10.675347909895763	0.0944109903134764	6.616898041929081	18.561070073280046	3.5277199540076696	4.612887965580787	10.954033430446207	15.438369063494084	6.127166501475131	17.043513007450503	25.17527406065479	0.24171689309388794	4.547104993738849	2.9754448358706633	0.6508884856031445	7.347473752580154	0.9326183262166778	52.73751998624866	0.5384595524673972	18.446205293283715	2.226433095496622	9.012571841603563	2.6107242326430424	16.70210124539808	4.313011306059817	4.2743716129523905	9.307953423651988	3.974960017096908	3.8232907273755554	1.1303819375779194	6.279042047715463	3.7715855823137843	44.23957469110033	11.263891749997416	2.8694698269302017	18.561070073280046	0.8833789353058762	2.925334163257141	2
80000	-7151.131654870956	-6922.938549413195	-228.19310545776037	-6922.938549413195	1.2477895594496413	0.966970549716467	1.0	0.3831521301926751	0.9147758837032157	0.14758446128891267	0.3898001976555534	-121.63594256006607	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4.12006738764567	15.800192067409133	1.3089523060049149	0.9295519699638991	1.014935268787262	1.7654498094603015	0.5185922219731854	3.970193806860903	2.7483935016141188	12.52273136390768	1.3075908143700299	3.4670612335563717	1.924988337509927	2.1504225008121542	5.833471969117436	2.4547806286557776	1.9929745171380138	0.6331885360153013	0.44488753953505294	1.1889156840264432	1.6250346638683095	3.4269102290878557	2.2908147234609033	1.8252704018298882	3.982828396733238	1.5740859955339954	3.4518194199193912	0.957779751712884	1.9735174745288722	0.9626665368673877	0.20701663943920462	0.7373566381005302	0.5588819547982364	4.2395631293006915	2.4329981389773474	7.240925194452301	1.6392624210777929	3.7074254002942992	0.9573746101107138	0.9487976186542921	0.5309823139689981	1.3704135649957754	0.03205922916652339	1.3633510661588313	1.3937815149833503	0.8371923976395828	0.17135163714834883	3.033315299778067	0.47362890268424906	1.8772084080237872	5.7385654200659	1.5656248808079476	1
90000	-7222.3270541097445	-6913.752823075202	-308.5742310345425	-6913.752823075202	1.5680347174206728	1.0823663485561008	1.0	0.48086919697134095	0.9118045410552581	0.1868546865957675	0.4510955844255925	-114.0381376881164	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	21.546817527655453	62.94589884222987	6.845459997684207	23.254441528985932	5.307831882681281	9.232816194400229	6.274734671649419	20.763019984181042	14.373340943656997	65.49043553390823	4.707607536331011	3.583951174413344	10.067158749772936	11.246117325969529	4.279288626472751	12.837826496399586	24.47256689064732	3.3114016258654244	2.3266392834819785	6.217701529907247	11.553329349506889	23.525402218498755	0.9054159833845971	5.101533062243556	0.7068231071974096	39.44174221332051	18.052064731378376	5.008924272385097	2.476693599338956	1.20832148854284	6.4004926954517	3.8561721057276945	14.128804012172933	7.84454425516013	20.11049867231693	37.86804418881619	8.572890912614248	19.38881359976588	5.006805493405652	32.45059635966881	11.137185480077349	6.649916373661629	4.4019269224422715	7.129950528659949	14.132267728922855	4.378285627456297	0.27087197177030187	3.9353486187280096	2.2586468388013325	9.817282879973046	30.011116407328817	7.976217868670302	2
