#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="ExtendedBayesianSkyline.t:Asn" spec="beast.evolution.tree.coalescent.Coalescent">
#            <populationModel id="scaledDemo.t:Asn" spec="beast.evolution.tree.coalescent.ScaledPopulationFunction">
#                <population id="demographic.alltrees" spec="beast.evolution.tree.coalescent.CompoundPopulationFunction">
#                    <parameter id="popSizes.alltrees" name="populationSizes">1.0</parameter>
#                    <populationIndicators id="indicators.alltrees" spec="beast.core.parameter.BooleanParameter">false</populationIndicators>
#                    <itree id="treeIntervals.t:Asn" spec="beast.evolution.tree.coalescent.TreeIntervals">
#                        <tree id="Tree.t:Asn">
#                            <taxonset id="TaxonSet.Asn" spec="beast.evolution.alignment.TaxonSet">
#                            </taxonset>
#                        </tree>
#                    </itree>
#                </population>
#                <parameter id="RealParameter.4" lower="0.0" name="factor" upper="0.0">1.0</parameter>
#            </populationModel>
#            <treeIntervals idref="treeIntervals.t:Asn"/>
#        </distribution>
#        <prior id="GammaShapePrior.s:Asn" name="distribution">
#            <parameter id="gammaShape.s:Asn" name="x">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter id="RealParameter.0" lower="0.0" name="mean" upper="0.0">1.0</parameter>
#            </Exponential>
#        </prior>
#        <prior id="indicatorsPrior.alltrees" name="distribution">
#            <x id="indsSun.alltrees" spec="beast.core.util.Sum">
#                <arg idref="indicators.alltrees"/>
#            </x>
#            <distr id="Poisson.EBSP" spec="beast.math.distributions.Poisson">
#                <parameter estimate="false" id="RealParameter.5" name="lambda" upper="0.0">0.69314718056</parameter>
#            </distr>
#        </prior>
#        <prior id="popSizePrior.alltrees" name="distribution" x="@popSizes.alltrees">
#            <Exponential id="popPriorDist.EBSP" name="distr">
#                <parameter id="populationMean.alltrees" name="mean">1.0</parameter>
#            </Exponential>
#        </prior>
#        <prior id="populationMeanPrior.alltrees" name="distribution" x="@populationMean.alltrees">
#            <OneOnX id="OneOnX.EBSP" name="distr"/>
#        </prior>
#        <prior id="ucldStdevPrior.c:Asn" name="distribution">
#            <parameter id="ucldStdev.c:Asn" lower="0.0" name="x">0.1</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.2" name="alpha">0.5396</parameter>
#                <parameter estimate="false" id="RealParameter.3" name="beta">0.3819</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@Asn" id="treeLikelihood.Asn" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:Asn">
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:Asn" shape="@gammaShape.s:Asn" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:Asn" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:Asn" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="WAG.s:Asn" spec="beast.evolution.substitutionmodel.WAG"/>
#            </siteModel>
#            <branchRateModel id="RelaxedClock.c:Asn" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:Asn">
#                <LogNormal S="@ucldStdev.c:Asn" id="LogNormalDistributionModel.c:Asn" meanInRealSpace="true" name="distr">
#                    <parameter estimate="false" id="RealParameter.1" lower="0.0" name="M" upper="1.0">1.0</parameter>
#                </LogNormal>
#                <rateCategories dimension="72" id="rateCategories.c:Asn" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#                <parameter estimate="false" id="ucldMean.c:Asn" name="clock.rate">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood.Asn	TreeHeight	gammaShape	mutationRate	ucldStdev	rate.mean	rate.variance	rate.coefficientOfVariation	ExtendedBayesianSkyline	indicators.alltrees1	indicators.alltrees2	indicators.alltrees3	indicators.alltrees4	indicators.alltrees5	indicators.alltrees6	indicators.alltrees7	indicators.alltrees8	indicators.alltrees9	indicators.alltrees10	indicators.alltrees11	indicators.alltrees12	indicators.alltrees13	indicators.alltrees14	indicators.alltrees15	indicators.alltrees16	indicators.alltrees17	indicators.alltrees18	indicators.alltrees19	indicators.alltrees20	indicators.alltrees21	indicators.alltrees22	indicators.alltrees23	indicators.alltrees24	indicators.alltrees25	indicators.alltrees26	indicators.alltrees27	indicators.alltrees28	indicators.alltrees29	indicators.alltrees30	indicators.alltrees31	indicators.alltrees32	indicators.alltrees33	indicators.alltrees34	indicators.alltrees35	indicators.alltrees36	populationMean.alltrees	popSizes.alltrees1	popSizes.alltrees2	popSizes.alltrees3	popSizes.alltrees4	popSizes.alltrees5	popSizes.alltrees6	popSizes.alltrees7	popSizes.alltrees8	popSizes.alltrees9	popSizes.alltrees10	popSizes.alltrees11	popSizes.alltrees12	popSizes.alltrees13	popSizes.alltrees14	popSizes.alltrees15	popSizes.alltrees16	popSizes.alltrees17	popSizes.alltrees18	popSizes.alltrees19	popSizes.alltrees20	popSizes.alltrees21	popSizes.alltrees22	popSizes.alltrees23	popSizes.alltrees24	popSizes.alltrees25	popSizes.alltrees26	popSizes.alltrees27	popSizes.alltrees28	popSizes.alltrees29	popSizes.alltrees30	popSizes.alltrees31	popSizes.alltrees32	popSizes.alltrees33	popSizes.alltrees34	popSizes.alltrees35	popSizes.alltrees36	popSizes.alltrees37	sum(indicators.alltrees)
0	-8474.196976597566	-8399.245039329579	-74.9519372679878	-8399.245039329579	4.087672189600641	1.0	1.0	0.1	1.0370098860995314	0.011224554942254649	0.10549337831941956	-37.0781542325486	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0
10000	-5220.74753305571	-5041.331350325598	-179.41618273011215	-5041.331350325598	0.9576221618219855	1.029078374726053	1.0	0.48500193992186585	1.0702927735891532	0.3000206153950327	0.5141909408579709	-59.757224408535905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	9.22714591740083	14.279902329873263	6.3749111965928975	9.22714591740083	0.18183927388670262	9.22714591740083	14.733762880579956	9.885201343642658	3.0858559731421282	5.794434029352882	4.188475405419281	9.22714591740083	1.0342216130044062	9.22714591740083	1.2981820927826682	12.628922184417762	11.614109490172705	3.37097662190478	0.03865335324127496	1.2753640515851838	10.14474727865261	9.602421715104581	20.25171379907701	0.513145274262735	7.361811126785797	0.34114383690289835	0.5562474186597769	10.323693517728753	38.24554914273589	2.8048658456733317	6.526323699257178	15.365211054181955	9.22714591740083	0.5428467934637611	4.699313771422297	2.0613663462453844	18.4701923153058	3.7234907097917618	2
20000	-4938.48753429341	-4802.232108603407	-136.25542569000342	-4802.232108603407	0.6832077726443222	1.1568517258701503	1.0	0.2265575077131999	1.0250926674644745	0.06558344440789736	0.2512493728125742	-51.73254101381035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.062485518517441	21.390785472098873	3.431040003509668	0.5272713034690009	1.4369330925494426	1.8477653616658418	0.5034833238963419	0.6403575362976698	8.348288481164927	1.9277485969654862	1.535613777519272	5.062485518517441	3.4048488732229574	0.6837361212864206	0.9982761817249071	1.4254419572981005	1.3487155307492604	0.6565626420114149	0.5584036244429991	0.15739219770943672	5.565928689861333	0.7069822168876082	3.473702462174306	11.191383473745304	5.145024563075764	0.019544964312515446	0.3381769135344776	0.32078577286845483	2.4881188143400097	2.2489216455155976	3.016380004127752	2.102118669595468	3.216624654396955	0.40825380136727496	5.688035306712853	1.1309713067988494	0.24605930398754047	2.0428979844251645	1
30000	-4981.906889633787	-4779.518402770589	-202.38848686319727	-4779.518402770589	0.9015614671800251	0.9166648028905295	1.0	0.468365916856112	0.9529060570972882	0.15769716157776387	0.4082796345513488	-65.51827280401058	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	22.14031674300632	13.556158027358526	3.331741803142866	0.7191174978476002	6.2842952717954805	7.190704484589232	2.2019382031044605	6.679396564517681	17.44128337589429	0.3005619391359949	29.66477727797317	22.14031674300632	5.266305069312082	3.341767715350003	35.620239565710385	18.720610481272267	0.41058909671715843	16.344973224314803	0.6400919282562413	1.3037004481027457	7.800176149628344	3.3158017889649414	3.1377886652561475	2.979674776522279	22.501293694644435	0.6717594568004739	17.071805117950593	2.741682899743886	1.4103510851319865	9.835452838292753	20.55017927131433	21.287913117201768	1.2395569045266048	0.7423574011527515	24.87610144767502	4.946199424805731	0.5773504960746283	1.3920304520230506	2
40000	-4939.893257646398	-4777.1672019382195	-162.72605570817822	-4777.1672019382195	0.9351694547395631	1.0246077674684513	1.0	0.4297029964788905	0.8891542641526933	0.22208826176029617	0.4644947592234221	-68.72761234340662	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	6.41095489258996	10.417143545192168	3.7079505908047197	0.20822781781698757	2.477282736064861	2.1737164248303618	0.6375937011304238	3.5535504958330795	1.0628190762145544	0.08703077993854343	2.5663746987897142	6.41095489258996	0.905375274812549	0.9676429805996193	0.2829414320802059	1.0398476992464019	7.886195001308102	4.73285397304774	2.945265696327318	0.8079482075543782	5.600817315422176	2.3404832202639803	0.11633734783547293	2.6937958800431168	6.51547945658237	5.54145775374164	4.943315572973437	1.106235049993111	1.7811128708904649	2.8479558457269327	5.950514343235372	6.164132714807013	0.6274299833674428	6.5972735543716245	7.203129301883748	1.432222572524869	0.15859934235640036	1.3542459618214	3
50000	-4944.020177344026	-4785.783499401344	-158.2366779426818	-4785.783499401344	0.7950319120630942	0.9606567143548898	1.0	0.3257414690712268	1.028507670352913	0.13489267853224943	0.3518625355343323	-61.961513334514315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.426594338920867	13.339272442229717	4.392842818846958	2.5419700917356916	3.1741408136069045	4.471998178342402	0.738602883763835	8.282563051611016	1.2311935221748802	3.4700436465771882	4.377015966621087	6.773626994727579	4.603482342471565	1.120939392370995	1.0495776959165757	5.116998780272588	1.0093178518606694	0.19094230776048696	11.51819151163874	0.9359453755165248	1.9218825092381056	2.711268403095827	3.9124495420397243	3.120553734679994	0.6484594975060836	6.419349297071868	1.7782711793559773	1.281487562685951	2.063281209359814	0.10694384155532011	6.8932096505963845	7.140669976801019	0.7268290045109661	3.806070278264762	2.2411392850481184	2.1947387984270343	0.009837491658061985	6.483536061034004	1
60000	-4954.38511697247	-4791.661118404932	-162.7239985675384	-4791.661118404932	0.8287257078043134	1.3090964011298223	1.0	0.4142920554469026	0.9924352169858932	0.18735972663886652	0.4119667233242275	-63.540189087688795	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	7.6678718983445435	16.939632065792935	1.3197688187243308	1.1189817005968308	5.660705468803968	11.881701295073311	1.0410105124263396	8.551649594872485	1.2711929289893584	4.104352388811651	4.519217853756645	6.993690743351777	0.238757793166983	2.0913283609406323	0.5887665966615969	3.7169021374402265	0.5712250525158494	7.079107473336105	11.89239818162449	1.6530587134350585	1.9843212395855878	2.799352953481615	6.3133983442454715	3.2219352771197327	0.6695268559483524	3.08939125867476	1.8360442191327546	1.3231209382880424	2.1303137456584635	4.096486699523788	0.2372849516752827	3.8335219712492514	0.068069866026186	2.8794166613326864	0.2494781294376991	2.2660421706984573	0.7184666812106885	6.6941752431209345	2
70000	-4978.658802641572	-4792.363587225354	-186.2952154162173	-4792.363587225354	0.7864518832965441	0.9055312111445507	1.0	0.3070742209685386	0.9819103844941129	0.10386369078531671	0.3177045250016053	-61.216966437620336	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.235127838952994	18.086468030789558	6.243135492743132	7.050293649828821	15.483024150224077	0.580966936071254	2.336105816801179	8.382116112212593	15.190388460498983	12.103255699787246	20.23788907043286	1.201657639335299	3.834985953695094	5.047140973372471	3.7907755257404214	5.826499099875775	5.479617388818114	7.315601293282575	25.17968575245624	3.500008854309034	1.2968861375264034	5.927049078106874	10.324471170258843	1.060257203622721	1.4175842061577097	4.420518304879091	3.887442697370361	15.946378224318249	9.754400324418793	0.9151851775885395	0.3736188279993704	2.871914372081755	0.4576520813317906	6.096567368116824	1.9085573230571125	4.797874145196746	1.3141973155068871	18.51902002300367	2
80000	-4981.260803268243	-4791.366774014904	-189.8940292533385	-4791.366774014904	1.2333415448639535	0.8955845665612271	1.0	0.46332921286261736	0.822995026827866	0.24035519710971667	0.5159689816083872	-69.75601157823716	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.675130699486994	21.30853373282701	8.860779022062612	1.2441248016590591	1.2210105027657527	0.5251431219697736	1.1841062448680528	15.034523500522111	5.299505849212351	0.567663867265839	4.775053960372125	2.3561390363640498	3.716715361145208	3.0362486262715502	5.758419204821462	6.7029825103064855	1.9478957511301844	6.612661519466136	4.018778233626512	3.8027126341281017	2.560608611800824	5.3575321824568825	9.332415816468561	0.7891525372040828	1.2813717088805203	1.7669149919875695	3.513907019185838	1.773797750718032	8.817121803778523	5.826419799496931	2.858420412588973	5.715176352478589	17.448518229687444	5.5107618389478406	1.7251683165762148	16.694403290675655	15.977792427606868	19.18123113904696	1
90000	-4982.838053897735	-4793.850515713773	-188.98753818396185	-4793.850515713773	0.8797277721672548	0.8834482179072911	1.0	0.5181668486386863	0.896733688863861	0.2519236988747491	0.487333081438697	-69.91650575471142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	12.115325283490716	19.585425638558977	0.6593945748614154	10.260647785874317	3.5141958004492877	0.7688789853392957	7.4675547079992235	12.724436018111764	2.8436994831859623	6.589507633268339	1.8836385809614367	12.41266535347204	3.2047777472516326	17.982911877711953	5.407682656422494	4.470459193633322	11.576509844038524	8.471701019111485	0.2535653075569542	8.766443975203236	6.3214624094076735	7.112555964236461	5.751602531894962	2.674185746783691	9.931158376245898	1.153569311518096	16.63998740085216	1.6820043063102366	9.181795196251365	4.562452265793225	0.9327786122581583	10.258872442285732	0.829663894647243	22.00938286219699	0.2593243004196831	13.782373078788593	0.8677882692349361	5.3219731716502565	1
