#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="ExtendedBayesianSkyline.t:Cys" spec="beast.evolution.tree.coalescent.Coalescent">
#            <populationModel id="scaledDemo.t:Cys" spec="beast.evolution.tree.coalescent.ScaledPopulationFunction">
#                <population id="demographic.alltrees" spec="beast.evolution.tree.coalescent.CompoundPopulationFunction">
#                    <parameter id="popSizes.alltrees" name="populationSizes">1.0</parameter>
#                    <populationIndicators id="indicators.alltrees" spec="beast.core.parameter.BooleanParameter">false</populationIndicators>
#                    <itree id="treeIntervals.t:Cys" spec="beast.evolution.tree.coalescent.TreeIntervals">
#                        <tree id="Tree.t:Cys">
#                            <taxonset id="TaxonSet.Cys" spec="beast.evolution.alignment.TaxonSet">
#                            </taxonset>
#                        </tree>
#                    </itree>
#                </population>
#                <parameter id="RealParameter.4" lower="0.0" name="factor" upper="0.0">1.0</parameter>
#            </populationModel>
#            <treeIntervals idref="treeIntervals.t:Cys"/>
#        </distribution>
#        <prior id="GammaShapePrior.s:Cys" name="distribution">
#            <parameter id="gammaShape.s:Cys" name="x">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter id="RealParameter.0" lower="0.0" name="mean" upper="0.0">1.0</parameter>
#            </Exponential>
#        </prior>
#        <prior id="indicatorsPrior.alltrees" name="distribution">
#            <x id="indsSun.alltrees" spec="beast.core.util.Sum">
#                <arg idref="indicators.alltrees"/>
#            </x>
#            <distr id="Poisson.EBSP" spec="beast.math.distributions.Poisson">
#                <parameter estimate="false" id="RealParameter.5" name="lambda" upper="0.0">0.69314718056</parameter>
#            </distr>
#        </prior>
#        <prior id="popSizePrior.alltrees" name="distribution" x="@popSizes.alltrees">
#            <Exponential id="popPriorDist.EBSP" name="distr">
#                <parameter id="populationMean.alltrees" name="mean">1.0</parameter>
#            </Exponential>
#        </prior>
#        <prior id="populationMeanPrior.alltrees" name="distribution" x="@populationMean.alltrees">
#            <OneOnX id="OneOnX.EBSP" name="distr"/>
#        </prior>
#        <prior id="ucldStdevPrior.c:Cys" name="distribution">
#            <parameter id="ucldStdev.c:Cys" lower="0.0" name="x">0.1</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.2" name="alpha">0.5396</parameter>
#                <parameter estimate="false" id="RealParameter.3" name="beta">0.3819</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@Cys" id="treeLikelihood.Cys" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:Cys">
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:Cys" shape="@gammaShape.s:Cys" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:Cys" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:Cys" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="WAG.s:Cys" spec="beast.evolution.substitutionmodel.WAG"/>
#            </siteModel>
#            <branchRateModel id="RelaxedClock.c:Cys" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:Cys">
#                <LogNormal S="@ucldStdev.c:Cys" id="LogNormalDistributionModel.c:Cys" meanInRealSpace="true" name="distr">
#                    <parameter estimate="false" id="RealParameter.1" lower="0.0" name="M" upper="1.0">1.0</parameter>
#                </LogNormal>
#                <rateCategories dimension="92" id="rateCategories.c:Cys" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#                <parameter estimate="false" id="ucldMean.c:Cys" name="clock.rate">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood.Cys	TreeHeight	gammaShape	mutationRate	ucldStdev	rate.mean	rate.variance	rate.coefficientOfVariation	ExtendedBayesianSkyline	indicators.alltrees1	indicators.alltrees2	indicators.alltrees3	indicators.alltrees4	indicators.alltrees5	indicators.alltrees6	indicators.alltrees7	indicators.alltrees8	indicators.alltrees9	indicators.alltrees10	indicators.alltrees11	indicators.alltrees12	indicators.alltrees13	indicators.alltrees14	indicators.alltrees15	indicators.alltrees16	indicators.alltrees17	indicators.alltrees18	indicators.alltrees19	indicators.alltrees20	indicators.alltrees21	indicators.alltrees22	indicators.alltrees23	indicators.alltrees24	indicators.alltrees25	indicators.alltrees26	indicators.alltrees27	indicators.alltrees28	indicators.alltrees29	indicators.alltrees30	indicators.alltrees31	indicators.alltrees32	indicators.alltrees33	indicators.alltrees34	indicators.alltrees35	indicators.alltrees36	indicators.alltrees37	indicators.alltrees38	indicators.alltrees39	indicators.alltrees40	indicators.alltrees41	indicators.alltrees42	indicators.alltrees43	indicators.alltrees44	indicators.alltrees45	indicators.alltrees46	populationMean.alltrees	popSizes.alltrees1	popSizes.alltrees2	popSizes.alltrees3	popSizes.alltrees4	popSizes.alltrees5	popSizes.alltrees6	popSizes.alltrees7	popSizes.alltrees8	popSizes.alltrees9	popSizes.alltrees10	popSizes.alltrees11	popSizes.alltrees12	popSizes.alltrees13	popSizes.alltrees14	popSizes.alltrees15	popSizes.alltrees16	popSizes.alltrees17	popSizes.alltrees18	popSizes.alltrees19	popSizes.alltrees20	popSizes.alltrees21	popSizes.alltrees22	popSizes.alltrees23	popSizes.alltrees24	popSizes.alltrees25	popSizes.alltrees26	popSizes.alltrees27	popSizes.alltrees28	popSizes.alltrees29	popSizes.alltrees30	popSizes.alltrees31	popSizes.alltrees32	popSizes.alltrees33	popSizes.alltrees34	popSizes.alltrees35	popSizes.alltrees36	popSizes.alltrees37	popSizes.alltrees38	popSizes.alltrees39	popSizes.alltrees40	popSizes.alltrees41	popSizes.alltrees42	popSizes.alltrees43	popSizes.alltrees44	popSizes.alltrees45	popSizes.alltrees46	popSizes.alltrees47	sum(indicators.alltrees)
0	-9805.243861178174	-9718.057767172553	-87.1860940056215	-9718.057767172553	2.8932258006351845	1.0	1.0	0.1	1.010209212983207	0.009335656364997261	0.09655876332670867	-39.31231097018231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0
10000	-6505.099887758668	-6171.862411314415	-333.2374764442525	-6171.862411314415	1.431282873000476	0.8550877815402737	1.0	0.7227805103848745	0.8616762830437882	0.5559679965725665	0.7511781769658292	-116.03146088608915	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45.05428620645314	59.70472327825291	45.05428620645314	67.70975414796551	11.628406298819321	27.456172011713875	45.05428620645314	32.02352595645889	37.98948737152731	54.633572539465	15.657048319829446	54.08066590855264	91.50515592528076	45.05428620645314	23.84543956654961	6.124711476699217	21.228411374479386	48.3196607505141	81.26886747197203	7.655308108512214	19.996160503036656	13.690668850623407	40.51587243505846	16.13366273395969	16.296905078976508	11.918380655465644	3.71763187615466	1.3572169212510186	7.379479757166556	42.10258094665959	29.301538972729187	45.05428620645314	17.444286353611503	45.05428620645314	34.1552510806677	2.0760481346821607	0.2397289948147865	45.05428620645314	16.930916109397018	7.220338201497907	13.683324970884689	45.05428620645314	10.21343569532397	34.569124014576886	16.18371059950153	18.61918830733718	12.281920838677308	45.05428620645314	1
20000	-6259.491603741471	-6042.17488709839	-217.31671664308124	-6042.17488709839	0.7086866002640325	0.8550877815402737	1.0	0.5069431903228057	1.0723285149598591	0.3316744940572092	0.5278498421866747	-84.41416215217444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	7.918878387451606	29.54281554975494	7.918878387451606	13.376891082704507	2.0438440617673637	4.825780307547597	0.5291068796336034	5.628552329617778	1.6564029822081365	4.742371021634091	2.751930437495741	9.505382339869113	16.08322454109391	7.918878387451606	0.012606980407457806	1.0764979189763184	3.731170154665971	0.11086486389381611	3.0413085806270397	1.1890050737062596	1.173130133324125	3.1318626897321367	1.2934921776256216	5.087001522756674	5.160556320157451	2.930381815522925	2.651934411404807	0.3624984646855379	1.2970398086407349	7.400077692645383	1.2797781039598397	5.572194734849115	3.066060830641802	7.568818126588895	0.48333522458683054	5.939998304942302	7.5299057105779434	7.918878387451606	0.5504455759711284	4.694953244086993	4.099041696542489	7.918878387451606	1.795144524512375	0.6658757287461311	0.9954369010562868	3.2725651717848243	2.158707765119645	22.799402354959945	2
30000	-6185.537332794232	-5990.455582339545	-195.08175045468712	-5990.455582339545	0.6809283762096429	0.6017107386337326	1.0	0.5230805235365793	0.9708759596330544	0.30902676082639524	0.5311445002916402	-76.76492904576693	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	6.609702253664909	21.495366676022755	2.549353249811684	1.2604944427092886	4.294548071424513	2.025328142184366	2.2569994752883558	2.07732562317686	1.8263383876434744	2.3697664462940393	2.2969718594830284	3.91677262289895	1.6669158486410378	7.624621911746839	2.1069192815473463	1.9510237033382658	1.322364171407173	1.7718319398100866	2.5385090155337102	1.1250834405047283	2.6926866941948338	5.280996408458445	2.9338121282794742	3.2778705107268853	1.7661305426799006	7.323775136373717	2.2135075193741884	0.3044198213337729	8.774163803259968	6.176671469015226	1.8476978190141677	4.075538232375476	0.727871099269088	2.168013047470923	1.0669249011834219	0.19948615120381616	1.2480628737760626	1.043000031970546	0.3257249303674355	6.8802142660935415	2.766781656329061	6.609702253664909	0.9519890264517569	0.5557908695666236	0.2250265540390906	4.9273267605083895	3.0777132803280867	19.030126964266735	1
40000	-6281.043584570835	-5944.694723897738	-336.34886067309685	-5944.694723897738	0.6420380225040958	0.6017107386337326	1.0	0.5016151680014304	0.9759380827688479	0.17839737102202363	0.4169685463766332	-77.13222759784414	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	135.18724398725172	134.498498551591	52.141537782718	25.780702856415594	87.83574443534691	5.222905304748697	46.16207009562739	6.006135947948331	37.14945634654177	48.468475957494505	46.97961924496786	26.60871776549178	41.76827986933039	44.924748804108155	13.094461910927604	39.903993748259545	19.50252836014235	3.5570021259089732	33.56807057549398	27.53123760280455	55.07311511762959	94.72161212383934	60.00481727880614	67.04179151890706	36.122401800205125	149.79206903302608	6.408307590840075	113.1289038153287	179.4566498358871	126.3305306147291	5.618409323677106	83.3563692061957	14.887037889429859	44.34204409941268	21.810789949757066	0.19336486166875166	25.526441850696546	21.33232245409128	6.6620029079067	140.71998540618557	56.58856821065079	23.152417333606483	140.24594611335385	11.367506887065774	4.6024341940101055	22.542458378382698	62.948005853035085	389.22031860062197	2
50000	-6212.032278005403	-5943.036285897927	-268.995992107476	-5943.036285897927	0.8504920053138094	0.7135404429756349	1.0	0.6089625408504499	0.901142152741119	0.2631516634337778	0.5511471237866217	-77.13632894872018	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	31.50316096760178	58.46384239852598	12.150726721096236	6.007768247869305	25.5522456407347	1.2171120712362127	10.757310245613148	8.07957594456205	2.31825059980284	11.294780150169167	14.366925315301485	4.095010754054421	17.393075518975316	10.468972894649408	3.051448710671133	9.298968609938823	4.544743069565949	0.8289007692558568	7.822486053575637	6.415701542966816	12.833882542213521	10.932354791341696	13.983134516330724	15.622985479130683	8.417730881144099	34.90657493441125	0.4021776762966781	26.362828044032927	41.81941697856955	29.439249767187004	6.1400567393846375	4.394065065927922	3.4691790225838304	10.333183159115421	5.082645420913696	0.21314340072434995	5.948516907619285	4.971146450381051	1.5524700688047706	32.792475242913326	13.18703392928372	5.39528958899761	32.6820081921282	2.6490102816011603	1.0725214967054706	5.2531486991969585	14.668996145558728	90.7013856269822	3
60000	-6182.583140901264	-5934.923861731104	-247.65927917016072	-5934.923861731104	0.7682627050336199	0.6836193704172949	1.0	0.5665420549103438	0.8983714188161228	0.2923607784463677	0.5678614203381803	-94.22294836160842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	15.095659544457222	24.812223452921106	0.4002244105921262	2.9066772476012486	0.21734002403151859	0.5832147914847705	5.154679343094494	3.8715647565692515	5.047332830994922	14.799482041438916	6.884331813035364	9.026255700996954	2.2023497544078947	4.206459667493538	12.97980546919397	9.918593221336327	11.954133565936782	0.3971920094524302	7.6681988107145225	4.865600005618876	6.1497295998344095	5.493356618593557	10.747892147451498	7.924926991632859	4.033601569356702	3.911078798504727	0.19271517813717826	9.075506727418194	3.015090321421905	17.964855179974307	8.518520320249305	2.1055445934348236	1.1022951744756795	4.951446464084775	14.061826953363665	0.3815164736140952	13.237053024534632	2.382069990937235	8.009055027446749	8.699490107684936	6.318952399805083	0.17061849484114197	4.282934076513727	1.2693506337964813	24.90154765159045	2.517199603590205	0.6539073942963914	4.975512919393415	1
70000	-6223.116221945287	-5942.550729530572	-280.56549241471447	-5942.550729530572	0.8484168667188027	0.6658057470696673	1.0	0.5247353509871249	0.9528645022065448	0.19161653584968444	0.45712186268009225	-84.12430969132734	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	30.829455326504803	69.92082187118642	0.8173674393350477	36.68166599353926	10.016750678891594	1.1910837222371289	3.1738821897496674	7.906791508831278	70.18962207144003	67.41181423391401	14.05968380896211	12.33364625054001	2.0191710413088173	4.560182129650846	12.582705306814963	18.941914778897573	29.017931163093298	0.8111744488802102	11.116073664492642	9.217663689399197	12.559425668671315	6.013788299494033	26.118234831836727	4.74430170593635	5.941392501876659	7.987489963047977	0.5086698430586146	11.908362659747247	6.505975804980081	36.68913561458175	17.397142595036712	2.3620771383007466	19.981602695159197	8.086877288455534	28.718087115772573	0.2102225591614694	12.291095759967863	14.33609850669616	2.5895863759564652	14.28422603743932	35.80356097565359	48.59067229524821	29.14085035448019	3.7296383073515984	36.21867521615726	6.764616367558483	12.550679036556483	25.08465798511039	3
80000	-6179.411806507117	-5945.371540674887	-234.04026583222986	-5945.371540674887	0.889883759268795	0.6656446334288485	1.0	0.47456959219875194	0.934371560526507	0.20616315280641956	0.45796712365697323	-94.63409960811406	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	10.046350684893369	22.69478444089828	0.2663543629625376	11.366341987439071	9.83047778624075	5.666640637872798	8.457365504640999	2.5765748842719463	4.467737309451761	21.967391863603442	4.581609132163816	6.597651650327326	0.657984390542572	0.7230752273240414	1.723828167113164	4.134226219909081	5.579961040681472	0.26433626198609905	5.895975323470916	5.262312370309424	5.157537263927435	1.0376725906780617	8.511111974315146	1.5460188377638162	2.1119112127271618	2.30627217581504	8.989118107743192	4.420468116909488	8.118373745127776	11.955836352152888	2.377815179476935	0.7697267118351336	1.5532823112985754	2.635259180712057	9.358322134102997	0.6778533879629793	4.005281864324211	4.099368008601723	0.8438648229803247	2.5798113960401396	11.66725540623291	2.0647255696287403	9.49608738839494	1.2153719216457615	2.3424757686931375	7.963835474616002	10.490649489678532	0.11622137771187116	2
90000	-6209.670512875349	-5936.581232648177	-273.08928022717197	-5936.581232648177	0.8149627627606583	0.6656446334288485	1.0	0.45008999040791114	0.877280098481097	0.2484959917732707	0.5131903834407426	-93.91521798894674	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	20.806243302265564	24.783029987350314	17.254148073017443	23.53997827320758	3.356996474182946	13.062117946346149	17.515415289090747	0.6664675844360053	6.951693303603647	33.401554291633836	25.355743784574983	0.8286500007766079	1.378325801009114	4.345653681861368	8.073398923890288	8.56208580568248	11.556238744896431	0.547447003693019	12.21071222098113	5.686159106600242	24.09166990397033	8.68688270513679	17.62672557077935	0.5277843405205898	18.30296071681765	1.6655703847064112	18.616688217318664	8.744334821107406	23.593342927018714	12.593072625047583	42.297056781028274	1.594123253807621	47.773948076797645	45.24028940607877	2.836284421116375	0.3054389448075389	8.295038823260613	8.918906512602137	16.56108573342218	6.9395839334055935	4.790128323181549	9.916009695157062	19.666634265476848	2.517065618914551	7.29140890472124	16.49330226479475	21.726397228921368	27.613094143693758	1
