#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="ExtendedBayesianSkyline.t:Gln_CUT" spec="beast.evolution.tree.coalescent.Coalescent">
#            <populationModel id="scaledDemo.t:Gln_CUT" spec="beast.evolution.tree.coalescent.ScaledPopulationFunction">
#                <population id="demographic.alltrees" spec="beast.evolution.tree.coalescent.CompoundPopulationFunction">
#                    <parameter id="popSizes.alltrees" name="populationSizes">1.0</parameter>
#                    <populationIndicators id="indicators.alltrees" spec="beast.core.parameter.BooleanParameter">false</populationIndicators>
#                    <itree id="treeIntervals.t:Gln_CUT" spec="beast.evolution.tree.coalescent.TreeIntervals">
#                        <tree id="Tree.t:Gln_CUT">
#                            <taxonset id="TaxonSet.Gln_CUT" spec="beast.evolution.alignment.TaxonSet">
#                            </taxonset>
#                        </tree>
#                    </itree>
#                </population>
#                <parameter id="RealParameter.4" lower="0.0" name="factor" upper="0.0">1.0</parameter>
#            </populationModel>
#            <treeIntervals idref="treeIntervals.t:Gln_CUT"/>
#        </distribution>
#        <prior id="GammaShapePrior.s:Gln_CUT" name="distribution">
#            <parameter id="gammaShape.s:Gln_CUT" name="x">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter id="RealParameter.0" lower="0.0" name="mean" upper="0.0">1.0</parameter>
#            </Exponential>
#        </prior>
#        <prior id="indicatorsPrior.alltrees" name="distribution">
#            <x id="indsSun.alltrees" spec="beast.core.util.Sum">
#                <arg idref="indicators.alltrees"/>
#            </x>
#            <distr id="Poisson.EBSP" spec="beast.math.distributions.Poisson">
#                <parameter estimate="false" id="RealParameter.5" name="lambda" upper="0.0">0.69314718056</parameter>
#            </distr>
#        </prior>
#        <prior id="popSizePrior.alltrees" name="distribution" x="@popSizes.alltrees">
#            <Exponential id="popPriorDist.EBSP" name="distr">
#                <parameter id="populationMean.alltrees" name="mean">1.0</parameter>
#            </Exponential>
#        </prior>
#        <prior id="populationMeanPrior.alltrees" name="distribution" x="@populationMean.alltrees">
#            <OneOnX id="OneOnX.EBSP" name="distr"/>
#        </prior>
#        <prior id="ucldStdevPrior.c:Gln_CUT" name="distribution">
#            <parameter id="ucldStdev.c:Gln_CUT" lower="0.0" name="x">0.1</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.2" name="alpha">0.5396</parameter>
#                <parameter estimate="false" id="RealParameter.3" name="beta">0.3819</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@Gln_CUT" id="treeLikelihood.Gln_CUT" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:Gln_CUT">
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:Gln_CUT" shape="@gammaShape.s:Gln_CUT" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:Gln_CUT" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:Gln_CUT" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="WAG.s:Gln_CUT" spec="beast.evolution.substitutionmodel.WAG"/>
#            </siteModel>
#            <branchRateModel id="RelaxedClock.c:Gln_CUT" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:Gln_CUT">
#                <LogNormal S="@ucldStdev.c:Gln_CUT" id="LogNormalDistributionModel.c:Gln_CUT" meanInRealSpace="true" name="distr">
#                    <parameter estimate="false" id="RealParameter.1" lower="0.0" name="M" upper="1.0">1.0</parameter>
#                </LogNormal>
#                <rateCategories dimension="40" id="rateCategories.c:Gln_CUT" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#                <parameter estimate="false" id="ucldMean.c:Gln_CUT" name="clock.rate">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood.Gln_CUT	TreeHeight	gammaShape	mutationRate	ucldStdev	rate.mean	rate.variance	rate.coefficientOfVariation	ExtendedBayesianSkyline	indicators.alltrees1	indicators.alltrees2	indicators.alltrees3	indicators.alltrees4	indicators.alltrees5	indicators.alltrees6	indicators.alltrees7	indicators.alltrees8	indicators.alltrees9	indicators.alltrees10	indicators.alltrees11	indicators.alltrees12	indicators.alltrees13	indicators.alltrees14	indicators.alltrees15	indicators.alltrees16	indicators.alltrees17	indicators.alltrees18	indicators.alltrees19	indicators.alltrees20	populationMean.alltrees	popSizes.alltrees1	popSizes.alltrees2	popSizes.alltrees3	popSizes.alltrees4	popSizes.alltrees5	popSizes.alltrees6	popSizes.alltrees7	popSizes.alltrees8	popSizes.alltrees9	popSizes.alltrees10	popSizes.alltrees11	popSizes.alltrees12	popSizes.alltrees13	popSizes.alltrees14	popSizes.alltrees15	popSizes.alltrees16	popSizes.alltrees17	popSizes.alltrees18	popSizes.alltrees19	popSizes.alltrees20	popSizes.alltrees21	sum(indicators.alltrees)
0	-3476.103088209171	-3431.7895702265146	-44.313517982656386	-3431.7895702265146	1.100255108627433	1.0	1.0	0.1	0.9673465245299883	0.00762553763202128	0.08775985520485136	-22.439734947217186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0
10000	-2470.130511086908	-2396.5981960189656	-73.53231506794238	-2396.5981960189656	0.608766722069331	0.5756522914211355	1.0	0.035462601554434814	1.0035676275872836	0.001420078100959671	0.03753095629561729	-18.206088656640354	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	7.176664024308287	7.161384046266258	3.2901347385855853	6.819001625889428	1.5530087109212187	3.9407532674274752	11.88712245891295	2.3365306151886407	3.0506139960611005	1.206627726775294	0.04163362377731251	0.07776917912804168	4.667420534393756	1.2643043622698755	10.512926449990212	0.11954210593141955	0.551170030348614	0.16865125298155606	10.299270396451668	2.3437043119193315	0.07708543816291788	5.698229832075557	2
20000	-2430.158522570333	-2385.7613878092648	-44.39713476106804	-2385.7613878092648	0.669821071992891	0.5553970869031294	1.0	0.49686151040817716	0.9622540565284012	0.4032747982693213	0.6095612078098619	-22.740347990755506	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1.4827737150362335	4.517133871611022	2.7180068519695104	0.5965357801904789	0.3271980058944446	0.396940419769816	0.061625932042934595	0.19030044250782704	0.29476002499416065	0.11723009336085383	0.8695130120043232	0.0636884021820564	1.918054423609401	0.16765141877991255	0.19786710756226958	0.8173224444853067	0.02075893807932591	0.05605702686470651	1.2561167393038113	0.14351669770854458	0.12450576264353269	0.5923272946127509	1
30000	-2463.482264013351	-2387.887933876789	-75.59433013656228	-2387.887933876789	0.7725898401257725	0.38511012023809543	1.0	0.3378109433037974	1.06445231715851	0.17672062818672396	0.3882599366327133	-26.443323527221064	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	5.277389640063907	7.9475936487878	12.189053520536646	0.8852334489126227	1.3319291476012967	2.4760320091930152	1.9767539557781544	0.6771188942890387	1.3869209867177208	0.3953263973430945	0.33059500886776644	8.28173238642003	0.6655811693424816	0.24305815143884466	2.7666554030176975	0.2600688059857027	1.9709021686451402	0.9131930839695865	6.190345695225913	1.6586006906308437	1.532727830716945	2.6364119541038358	1
40000	-2464.9260834116467	-2396.144348031497	-68.7817353801498	-2396.144348031497	0.7978819545170858	0.7421174464734626	1.0	0.15187016337850381	1.0177740825301558	0.017768812692709933	0.13069500564562817	-24.138761605140374	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	4.366240983587422	6.103511698114814	3.347200181691866	1.4847463299474812	2.6709238450891144	1.5692238780897247	5.586165528635205	1.179410267015675	0.9614881636011879	3.239394359779264	3.2643953782212907	0.05289795701950307	0.31014029403429927	0.9409241159326743	1.971643571798601	0.30306032344492634	1.6306231698434024	3.4559912067347187	0.3033895948785797	2.3549926112376176	2.267929412932982	4.622374178209259	1
50000	-2517.4149791043606	-2401.5103005913907	-115.9046785129701	-2401.5103005913907	0.7843938880204269	0.7421174464734626	1.0	0.0017136083147641843	0.9996354034877715	3.0772927965366473E-6	0.0017546649604525688	-22.97465096921438	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	47.311687260895795	9.65046394397309	19.675663109374632	1.2137607131209598	4.8937585755524	10.745090429201811	30.419434150468255	18.126056119708004	40.21066823809015	11.518508325919353	42.89400928233486	55.17208899430645	6.798092211067806	11.69094533062937	0.33680999904911973	32.299575198924956	7.2070079931867985	1.7056734330456353	67.94970956441931	1.3809985583680422	32.79167860847481	29.938860402123833	1
60000	-2510.3708912086167	-2384.1936864989716	-126.17720470964534	-2384.1936864989716	0.6541330995838511	0.49100585357952514	1.0	0.5020615858425744	1.025514083785919	0.22031928276413515	0.45406785848585285	-23.021989365926565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	61.01405836463292	6.330458653268837	135.60611545973802	26.095496543900595	5.046922527943964	35.16184209173752	142.17821035947156	22.562347353783988	51.85644818014191	15.262637037282172	41.604525416238396	20.11016708238635	0.7363779099956503	24.540943129410476	0.42171346839118257	41.654151023459924	9.294295591400763	0.27978622426613	4.603522630965499	5.996050862978523	27.566602015797404	4.4552874230133925	1
70000	-2497.4108883438066	-2385.714147359308	-111.69674098449893	-2385.714147359308	0.9439151639117132	0.6028735062222387	1.0	0.5728167506373285	0.8614555971765716	0.279182916932351	0.5380597593256335	-21.498832336892193	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	36.86404086486599	10.636015402692168	43.86176855400518	13.064901354966882	26.825358348051836	0.6286316640947766	3.8876868575251184	2.4797037063198144	8.357039917999403	30.94773591707067	10.009070367176129	0.629117076983323	2.4581532828234876	15.332572510926353	1.706855698072714	18.665808418721475	17.080233393369028	23.432034561056902	2.7813990896337026	3.121567047747736	24.981607448952918	32.32526953789273	1
80000	-2468.2227195501227	-2384.9994827149944	-83.22323683512815	-2384.9994827149944	0.685883870182717	0.5979459193567839	1.0	0.3907662657231446	0.9507197552068712	0.10947556283363105	0.32150664057997164	-19.64299442757089	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	10.097881612352337	8.744663949191477	0.5200400856145707	6.671898384371611	3.0437330764274635	5.17496350477035	7.760417417238311	7.01579348872299	1.3627926297490316	1.5881343891286261	0.8038610696778282	0.012426802896341585	6.86303350529216	2.513806855580222	4.7058966883705455	5.511372420368524	4.863505563881517	6.418556006962622	1.3353732050322098	6.346670569952651	13.887890790177304	5.510969772784052E-4	2
90000	-2458.1644779500907	-2377.5439776069597	-80.62050034313114	-2377.5439776069597	0.8643885132287883	0.5071952433803592	1.0	0.425720772900078	0.9254856343963994	0.16787205419553997	0.42229661769030946	-25.45590032003768	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	4.852652613105534	12.159340038999083	1.8213425341084697	5.412283534666947	5.502689531378576	4.7639009173908935	2.9537554090973326	7.119837311555318	7.6336626635077165	0.4130283267411873	0.020309129948999204	3.120595113780361	0.35706116362282075	1.929271302298379	2.775206293187005	0.1769124049879568	3.864341645030722	0.9467502312762791	0.9167975721570639	2.9579067756876554	10.5514198509903	0.41621958365153006	3
