#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="ExtendedBayesianSkyline.t:Gly" spec="beast.evolution.tree.coalescent.Coalescent">
#            <populationModel id="scaledDemo.t:Gly" spec="beast.evolution.tree.coalescent.ScaledPopulationFunction">
#                <population id="demographic.alltrees" spec="beast.evolution.tree.coalescent.CompoundPopulationFunction">
#                    <parameter id="popSizes.alltrees" name="populationSizes">1.0</parameter>
#                    <populationIndicators id="indicators.alltrees" spec="beast.core.parameter.BooleanParameter">false</populationIndicators>
#                    <itree id="treeIntervals.t:Gly" spec="beast.evolution.tree.coalescent.TreeIntervals">
#                        <tree id="Tree.t:Gly">
#                            <taxonset id="TaxonSet.Gly" spec="beast.evolution.alignment.TaxonSet">
#                            </taxonset>
#                        </tree>
#                    </itree>
#                </population>
#                <parameter id="RealParameter.4" lower="0.0" name="factor" upper="0.0">1.0</parameter>
#            </populationModel>
#            <treeIntervals idref="treeIntervals.t:Gly"/>
#        </distribution>
#        <prior id="GammaShapePrior.s:Gly" name="distribution">
#            <parameter id="gammaShape.s:Gly" name="x">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter id="RealParameter.0" lower="0.0" name="mean" upper="0.0">1.0</parameter>
#            </Exponential>
#        </prior>
#        <prior id="indicatorsPrior.alltrees" name="distribution">
#            <x id="indsSun.alltrees" spec="beast.core.util.Sum">
#                <arg idref="indicators.alltrees"/>
#            </x>
#            <distr id="Poisson.EBSP" spec="beast.math.distributions.Poisson">
#                <parameter estimate="false" id="RealParameter.5" name="lambda" upper="0.0">0.69314718056</parameter>
#            </distr>
#        </prior>
#        <prior id="popSizePrior.alltrees" name="distribution" x="@popSizes.alltrees">
#            <Exponential id="popPriorDist.EBSP" name="distr">
#                <parameter id="populationMean.alltrees" name="mean">1.0</parameter>
#            </Exponential>
#        </prior>
#        <prior id="populationMeanPrior.alltrees" name="distribution" x="@populationMean.alltrees">
#            <OneOnX id="OneOnX.EBSP" name="distr"/>
#        </prior>
#        <prior id="ucldStdevPrior.c:Gly" name="distribution">
#            <parameter id="ucldStdev.c:Gly" lower="0.0" name="x">0.1</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.2" name="alpha">0.5396</parameter>
#                <parameter estimate="false" id="RealParameter.3" name="beta">0.3819</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@Gly" id="treeLikelihood.Gly" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:Gly">
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:Gly" shape="@gammaShape.s:Gly" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:Gly" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:Gly" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="WAG.s:Gly" spec="beast.evolution.substitutionmodel.WAG"/>
#            </siteModel>
#            <branchRateModel id="RelaxedClock.c:Gly" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:Gly">
#                <LogNormal S="@ucldStdev.c:Gly" id="LogNormalDistributionModel.c:Gly" meanInRealSpace="true" name="distr">
#                    <parameter estimate="false" id="RealParameter.1" lower="0.0" name="M" upper="1.0">1.0</parameter>
#                </LogNormal>
#                <rateCategories dimension="98" id="rateCategories.c:Gly" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#                <parameter estimate="false" id="ucldMean.c:Gly" name="clock.rate">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood.Gly	TreeHeight	gammaShape	mutationRate	ucldStdev	rate.mean	rate.variance	rate.coefficientOfVariation	ExtendedBayesianSkyline	indicators.alltrees1	indicators.alltrees2	indicators.alltrees3	indicators.alltrees4	indicators.alltrees5	indicators.alltrees6	indicators.alltrees7	indicators.alltrees8	indicators.alltrees9	indicators.alltrees10	indicators.alltrees11	indicators.alltrees12	indicators.alltrees13	indicators.alltrees14	indicators.alltrees15	indicators.alltrees16	indicators.alltrees17	indicators.alltrees18	indicators.alltrees19	indicators.alltrees20	indicators.alltrees21	indicators.alltrees22	indicators.alltrees23	indicators.alltrees24	indicators.alltrees25	indicators.alltrees26	indicators.alltrees27	indicators.alltrees28	indicators.alltrees29	indicators.alltrees30	indicators.alltrees31	indicators.alltrees32	indicators.alltrees33	indicators.alltrees34	indicators.alltrees35	indicators.alltrees36	indicators.alltrees37	indicators.alltrees38	indicators.alltrees39	indicators.alltrees40	indicators.alltrees41	indicators.alltrees42	indicators.alltrees43	indicators.alltrees44	indicators.alltrees45	indicators.alltrees46	indicators.alltrees47	indicators.alltrees48	indicators.alltrees49	populationMean.alltrees	popSizes.alltrees1	popSizes.alltrees2	popSizes.alltrees3	popSizes.alltrees4	popSizes.alltrees5	popSizes.alltrees6	popSizes.alltrees7	popSizes.alltrees8	popSizes.alltrees9	popSizes.alltrees10	popSizes.alltrees11	popSizes.alltrees12	popSizes.alltrees13	popSizes.alltrees14	popSizes.alltrees15	popSizes.alltrees16	popSizes.alltrees17	popSizes.alltrees18	popSizes.alltrees19	popSizes.alltrees20	popSizes.alltrees21	popSizes.alltrees22	popSizes.alltrees23	popSizes.alltrees24	popSizes.alltrees25	popSizes.alltrees26	popSizes.alltrees27	popSizes.alltrees28	popSizes.alltrees29	popSizes.alltrees30	popSizes.alltrees31	popSizes.alltrees32	popSizes.alltrees33	popSizes.alltrees34	popSizes.alltrees35	popSizes.alltrees36	popSizes.alltrees37	popSizes.alltrees38	popSizes.alltrees39	popSizes.alltrees40	popSizes.alltrees41	popSizes.alltrees42	popSizes.alltrees43	popSizes.alltrees44	popSizes.alltrees45	popSizes.alltrees46	popSizes.alltrees47	popSizes.alltrees48	popSizes.alltrees49	popSizes.alltrees50	sum(indicators.alltrees)
0	-12311.419444581421	-12214.889535946913	-96.52990863450734	-12214.889535946913	0.8095751753804863	1.0	1.0	0.1	1.0110705838744876	0.009718043329825744	0.09805018128892136	-45.65612559906813	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0
10000	-6823.794781882961	-6565.83082973627	-257.96395214669104	-6565.83082973627	11.537243567982287	0.618383940007953	1.0	1.2094830272355832	1.1464730943505606	3.0418537426412864	1.620677430725534	-145.11127064573313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.592256790431082	14.507975324072516	1.8023376368414052	0.6320527582154594	4.592256790431082	0.6047280249526853	3.9779535621990534	0.22471492510774868	2.436150845549476	2.1805450398835133	4.930137194655862	1.0173016016968095	0.2318100233803216	2.3866572888028164	0.1059334426707961	2.792557120980751	4.718566647619054	0.5369982342516151	1.1161858129051576	3.913126094698765	0.9374346142636311	0.9117341326152665	4.592256790431082	4.140966200400538	7.507884399685598	2.44877835446076	3.7515397900803005	4.592256790431082	0.2656405753938999	4.592256790431082	4.592256790431082	1.634514625025252	1.0399994836582218	0.6392832491140509	1.8695911455001408	0.027385306982037807	4.129191936555896	0.6607697198931081	4.592256790431082	1.6275938916894108	0.04258395598459647	0.4377248759544459	1.1143775439158783	5.309377664451826	11.117724175413647	1.528544943527717	0.6063877688116937	1.2420479624928191	0.4009150978838904	4.592256790431082	5.024413041828839	1
20000	-6509.857505033909	-6281.744422823966	-228.11308220994334	-6281.744422823966	2.9475252850769977	0.8286596580223258	1.0	0.9706407330093348	1.2035534868399629	1.0579914570765372	0.9629087517437429	-116.49989288720572	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.998175686057414	14.869666858677368	1.8514868583736899	0.6879211839809775	4.998175686057414	0.24145127816493817	1.1868440084839136	0.24457793329591404	1.7317471136518625	1.031875495677775	5.365922024787972	1.6772812933073862	0.18259795933783746	0.3596197050496736	2.2151184864792897	0.37205752262821573	5.135650327811292	0.5844645977735566	5.863155940799314	1.5358606999043916	0.2825823153116858	2.0870402235765373	7.32746492965318	2.0444076191840406	4.8293491848091685	5.417398036039916	0.859305834919704	0.9624110513162943	1.5262312235578985	1.4127751190462041	0.6845609852130182	0.23184270762972842	1.1492284749048793	0.09612554644952725	1.8047414296606834	5.277634946114941	1.9424087146120832	0.10277281259526308	0.8698550223302636	0.7628913720721798	1.3285467582748012	0.2795198121897315	4.104410878291378	0.5008000169568345	6.453782876307364	5.282292508805977	10.395173827159626	0.6809770083957805	0.8308093641580406	4.998175686057414	1.0699163635175912	1
30000	-6330.836211087498	-6058.339796819099	-272.49641426839827	-6058.339796819099	5.367509859610973	0.6454726213052177	1.0	0.5389836401721194	1.2082480005662724	0.3857052242095681	0.5641875722549944	-96.8323205372672	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.976742629850772	31.531314746944183	13.206665613264791	2.3365847108266538	5.168437769757309	12.59091041432328	12.107229501574755	0.8307304279215459	28.19525267821546	21.08033086797215	1.6591633770491823	27.26830176834457	0.38815327383916004	5.284557581685468	1.18542187562442	1.2637260476414842	7.851347582798688	8.294980444523457	19.91472402286562	5.216685738021056	1.7064465939531401	9.156275085705477	21.46726897643173	14.243396702693358	20.813419913519265	13.741147691745168	6.781536868153235	2.3578102011379474	1.1453673065445682	5.714013407866988	2.3251715006372	7.760450390424865	3.9034554339056804	0.32649885972988685	16.787212967119153	17.925950547203417	2.7257596574846863	3.063389674648406	3.4116619952553986	1.6598699682581384	36.20517578864642	1.0520471538191107	18.790897000177317	2.038553303518312	21.920840274910983	17.941770367884935	3.6292850524217104	5.16546263723829	2.6044248515231363	6.9561855822565795	3.940643845915748	1
40000	-6297.604306834855	-6023.306304374999	-274.2980024598568	-6023.306304374999	7.7368842668903355	0.6185645081599932	1.0	0.4437780219473373	1.1288280401072892	0.19595636884756992	0.439152613242276	-105.69315612120975	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.69720661317152	37.52081333290539	12.211280062523233	2.1604764691744633	2.4977919327013156	11.641934293923075	11.194708380931319	0.7681183281888231	26.07017826978838	16.021998504749064	24.773672114790333	25.213091591279973	0.35889818617611896	2.5400039966176693	1.096076703945025	3.8955993830909494	7.235843810422819	1.727835052780613	3.3243756210476127	2.8871794995641333	1.5778318222558039	5.484089317105612	19.84928227344741	2.291265362413219	13.09156805843627	12.705478260603453	1.639588657217688	8.08213917493739	5.9627987764042345	5.283348579250322	0.5270908206002275	0.12018089602361011	2.0277527453035353	0.3018906613529777	15.521961789114881	2.1710977878959854	2.5203193247538125	2.832502188909897	3.154525246772836	1.6737611884977461	33.47639398274683	3.307579943356885	17.37462828351784	2.5071719505955827	20.268667931890167	16.58950027171635	1.1456475953952752	0.4161614591708659	1.6138511165436504	3.6208037895413354	3.6436377688554273	1
50000	-6316.687679483416	-6020.982635318908	-295.7050441645075	-6020.982635318908	4.217601166541313	0.7910386788433271	1.0	0.6547376954609374	1.195121646115048	0.3777032001956161	0.6327815276229258	-113.73475115809893	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	20.5972346733264	31.261425443054158	41.77822806930294	5.0223962651376794	35.07255089834838	1.5381486577215482	7.652056845203505	1.8316571286166543	0.9071508287727792	21.023413354392055	8.524360511935225	33.083591058163485	2.120535740667199	1.351727626204932	0.1809514364326372	8.083287795413838	13.591829203415692	2.267194726803126	6.514289273894691	3.788439253047738	35.42197953908627	19.177591889481906	2.727014260509871	7.186037671060575	4.504356666787712	16.671610676953566	23.985064794431075	10.605053583800412	6.029701177780467	6.93259464754014	6.622268957894128	0.15769647298722797	13.795988599385815	0.3961286202575287	1.6299013763169858	0.3833657104623389	3.3070602854978546	17.90461398705949	2.9010048607610526	2.5944258846705797	2.6479015217630106	4.340071579165181	18.955368138054023	1.6456567176149126	6.750395097179616	8.237275632801403	14.16774709599806	3.0322097002693487	2.117629651849458	3.126636960337361	5.927316306205613	2
60000	-6322.129239453746	-6024.810239998011	-297.3189994557353	-6024.810239998011	6.998580493571549	0.7427860012834552	1.0	0.47947685893645636	1.0608876715789366	0.28775197206245373	0.5312839949025273	-102.29039337226627	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29.602727950064956	38.45447881227031	60.044444770682844	19.29357073842312	28.983371250895598	2.2106557983851483	10.997678117458134	2.6324916201714164	1.3037740075182473	26.450677069433148	8.401414019621782	6.93511221505816	1.1956893457053563	24.653694254305076	0.8316098536962713	11.617451242597895	2.558674297726329	1.9077928724350168	0.24181588976238422	5.444815206604039	3.2559178582304202	27.562390993043984	3.680060380704084	10.327906711225033	1.4466978687483794	1.9992974531742524	15.739928396965103	15.241779836768966	12.789961512157175	5.685338662732457	16.657124294803666	0.22664429776930664	19.827850863819904	0.5693234050444703	44.670410516529785	0.5509803142116263	2.148863718992008	21.636604847768364	23.642037811718247	2.5024387537351607	2.574629316890685	10.993350307119243	27.243006893095792	3.571725695714959	0.7966343501441675	11.838765420452356	15.069726649866572	16.246110297547062	0.8106862290729429	4.493660668698748	0.7443070837283268	1
70000	-6386.864247465592	-6024.875621821823	-361.98862564376856	-6024.875621821823	13.479432690819033	0.7427860012834552	1.0	0.35108714380707146	1.0739608045850575	0.11914377114589474	0.3410409329174745	-111.22438384642837	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92.18223434792998	62.12381488947908	186.97706131945438	83.86903387977695	90.25357140564635	6.883932832578782	25.547182753544735	14.648788515871312	4.059923169936204	82.36681823340373	26.161815806879357	21.595784703222908	12.061269269922246	76.77105384092064	2.078908909604652	8.590208690204838	7.967654674626553	3.334597432514632	0.7530092853851453	16.955033070026392	10.138855565314485	85.82867058724825	11.459625916936874	32.16087106511459	4.5049848849258245	6.225767661365952	37.84564037124554	47.46256234096514	39.827654782473836	17.70401774591182	51.8699134044779	0.7057652864234218	61.74348519594595	1.7728603807087846	139.10266167358228	2.603098345370063	6.6915136760377765	73.18888627588026	22.553578711116696	7.792538445351286	8.017338248320014	34.23304757552015	84.8341156260268	11.12227412501681	2.4807015920449764	36.86565137575143	46.926792555758205	2.3914563476185813	6.55360920638973	13.993159060908594	2.317755651938772	1
80000	-6310.068054608429	-5979.333650746061	-330.7344038623681	-5979.333650746061	8.982514055700829	0.7427860012834552	1.0	0.5044422430599664	0.9067874230798683	0.20597316847933322	0.44867612762638265	-94.99648420253419	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66.01905776224966	54.03397905514705	133.90920168927266	1.9359144147313494	33.82100398063804	4.930133908342079	18.296377233634406	34.846162898040326	2.9076351225623442	58.989454628747616	93.21479712585622	15.466465613774709	8.111980935555733	54.98188098655407	2.9363640055982803	6.152134277499721	1.4003384341573486	2.3881714526479847	0.539290068840348	12.142852855855748	7.261243947322849	61.46876349047713	8.207153045222508	24.269455787446788	23.09828919983269	64.26674600408442	27.10428463133354	33.991730260147634	28.523763393440912	12.679260580512189	26.077798278737802	0.5054548692659766	3.3505901672630003	1.2696868621849093	99.62252185436562	28.371277512268232	5.652848790785807	52.41640479623028	16.152418372229363	5.58085892989369	5.741856016611281	24.517018504193558	84.84886227737748	7.9655484931685026	1.7766284670208756	26.402436270230712	33.6080227415889	1.2507779691721816	3.0998020273694187	10.02161840460115	1.6599298698552591	1
90000	-6299.772176254737	-5975.243280714046	-324.52889554069094	-5975.243280714046	8.617301272883465	0.7742916247052023	1.0	0.3819229112370954	0.9433567397556013	0.13512572647190707	0.3666352335893249	-98.49079961370083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52.18086650645085	50.54778538694763	105.84062260471782	1.5301292545979563	24.958841904641798	3.896733277481396	14.46129118379907	35.104669351196165	10.527210860373087	46.62473173058697	73.67613307609933	12.224554619143184	108.24225051270051	43.45718174841124	2.320875568116407	8.877534475617836	2.641303369466569	1.7910177803645955	0.42624999574749994	9.597601137549054	5.7392215812974685	48.58435504432874	7.9759244518077	19.18235848184298	18.25667899721314	50.79585513201115	21.422981575922897	3.9373435079111294	22.544924758768765	10.021572954507208	20.61165604128126	0.3995069598416021	2.6482761820898113	1.421834291398745	78.74074078184012	22.424401296615702	4.467960587916977	41.42945255701838	12.766725479072088	4.411060452587005	18.830886049437925	19.37802981543059	12.715170855072865	6.29589752809769	1.5210883532394217	20.868246975341833	26.563477390726902	0.988603601002973	2.45005550320168	26.07515213226046	1.31199356496293	2
