#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="ExtendedBayesianSkyline.t:Phe" spec="beast.evolution.tree.coalescent.Coalescent">
#            <populationModel id="scaledDemo.t:Phe" spec="beast.evolution.tree.coalescent.ScaledPopulationFunction">
#                <population id="demographic.alltrees" spec="beast.evolution.tree.coalescent.CompoundPopulationFunction">
#                    <parameter id="popSizes.alltrees" name="populationSizes">1.0</parameter>
#                    <populationIndicators id="indicators.alltrees" spec="beast.core.parameter.BooleanParameter">false</populationIndicators>
#                    <itree id="treeIntervals.t:Phe" spec="beast.evolution.tree.coalescent.TreeIntervals">
#                        <tree id="Tree.t:Phe">
#                            <taxonset id="TaxonSet.Phe" spec="beast.evolution.alignment.TaxonSet">
#                            </taxonset>
#                        </tree>
#                    </itree>
#                </population>
#                <parameter id="RealParameter.4" lower="0.0" name="factor" upper="0.0">1.0</parameter>
#            </populationModel>
#            <treeIntervals idref="treeIntervals.t:Phe"/>
#        </distribution>
#        <prior id="GammaShapePrior.s:Phe" name="distribution">
#            <parameter id="gammaShape.s:Phe" name="x">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter id="RealParameter.0" lower="0.0" name="mean" upper="0.0">1.0</parameter>
#            </Exponential>
#        </prior>
#        <prior id="indicatorsPrior.alltrees" name="distribution">
#            <x id="indsSun.alltrees" spec="beast.core.util.Sum">
#                <arg idref="indicators.alltrees"/>
#            </x>
#            <distr id="Poisson.EBSP" spec="beast.math.distributions.Poisson">
#                <parameter estimate="false" id="RealParameter.5" name="lambda" upper="0.0">0.69314718056</parameter>
#            </distr>
#        </prior>
#        <prior id="popSizePrior.alltrees" name="distribution" x="@popSizes.alltrees">
#            <Exponential id="popPriorDist.EBSP" name="distr">
#                <parameter id="populationMean.alltrees" name="mean">1.0</parameter>
#            </Exponential>
#        </prior>
#        <prior id="populationMeanPrior.alltrees" name="distribution" x="@populationMean.alltrees">
#            <OneOnX id="OneOnX.EBSP" name="distr"/>
#        </prior>
#        <prior id="ucldStdevPrior.c:Phe" name="distribution">
#            <parameter id="ucldStdev.c:Phe" lower="0.0" name="x">0.1</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.2" name="alpha">0.5396</parameter>
#                <parameter estimate="false" id="RealParameter.3" name="beta">0.3819</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@Phe" id="treeLikelihood.Phe" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:Phe">
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:Phe" shape="@gammaShape.s:Phe" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:Phe" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:Phe" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="WAG.s:Phe" spec="beast.evolution.substitutionmodel.WAG"/>
#            </siteModel>
#            <branchRateModel id="RelaxedClock.c:Phe" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:Phe">
#                <LogNormal S="@ucldStdev.c:Phe" id="LogNormalDistributionModel.c:Phe" meanInRealSpace="true" name="distr">
#                    <parameter estimate="false" id="RealParameter.1" lower="0.0" name="M" upper="1.0">1.0</parameter>
#                </LogNormal>
#                <rateCategories dimension="94" id="rateCategories.c:Phe" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#                <parameter estimate="false" id="ucldMean.c:Phe" name="clock.rate">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood.Phe	TreeHeight	gammaShape	mutationRate	ucldStdev	rate.mean	rate.variance	rate.coefficientOfVariation	ExtendedBayesianSkyline	indicators.alltrees1	indicators.alltrees2	indicators.alltrees3	indicators.alltrees4	indicators.alltrees5	indicators.alltrees6	indicators.alltrees7	indicators.alltrees8	indicators.alltrees9	indicators.alltrees10	indicators.alltrees11	indicators.alltrees12	indicators.alltrees13	indicators.alltrees14	indicators.alltrees15	indicators.alltrees16	indicators.alltrees17	indicators.alltrees18	indicators.alltrees19	indicators.alltrees20	indicators.alltrees21	indicators.alltrees22	indicators.alltrees23	indicators.alltrees24	indicators.alltrees25	indicators.alltrees26	indicators.alltrees27	indicators.alltrees28	indicators.alltrees29	indicators.alltrees30	indicators.alltrees31	indicators.alltrees32	indicators.alltrees33	indicators.alltrees34	indicators.alltrees35	indicators.alltrees36	indicators.alltrees37	indicators.alltrees38	indicators.alltrees39	indicators.alltrees40	indicators.alltrees41	indicators.alltrees42	indicators.alltrees43	indicators.alltrees44	indicators.alltrees45	indicators.alltrees46	indicators.alltrees47	populationMean.alltrees	popSizes.alltrees1	popSizes.alltrees2	popSizes.alltrees3	popSizes.alltrees4	popSizes.alltrees5	popSizes.alltrees6	popSizes.alltrees7	popSizes.alltrees8	popSizes.alltrees9	popSizes.alltrees10	popSizes.alltrees11	popSizes.alltrees12	popSizes.alltrees13	popSizes.alltrees14	popSizes.alltrees15	popSizes.alltrees16	popSizes.alltrees17	popSizes.alltrees18	popSizes.alltrees19	popSizes.alltrees20	popSizes.alltrees21	popSizes.alltrees22	popSizes.alltrees23	popSizes.alltrees24	popSizes.alltrees25	popSizes.alltrees26	popSizes.alltrees27	popSizes.alltrees28	popSizes.alltrees29	popSizes.alltrees30	popSizes.alltrees31	popSizes.alltrees32	popSizes.alltrees33	popSizes.alltrees34	popSizes.alltrees35	popSizes.alltrees36	popSizes.alltrees37	popSizes.alltrees38	popSizes.alltrees39	popSizes.alltrees40	popSizes.alltrees41	popSizes.alltrees42	popSizes.alltrees43	popSizes.alltrees44	popSizes.alltrees45	popSizes.alltrees46	popSizes.alltrees47	popSizes.alltrees48	sum(indicators.alltrees)
0	-11793.559698246772	-11692.916435312782	-100.64326293398989	-11692.916435312782	2.1054055969294945	1.0	1.0	0.1	1.005998034411139	0.011561054504347985	0.10649413874351003	-51.7694798985507	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0
10000	-6748.438514038998	-6460.476600861507	-287.96191317749077	-6460.476600861507	2.5668662867633625	1.0	1.0	0.9067935767218039	0.7084856629900205	1.540534941505249	1.1536929148551978	-110.4485781377593	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.415312028439914	64.43752693858124	14.73932464116539	4.936478828221571	3.3870270642036133	18.415312028439914	17.624816856814913	18.415312028439914	3.166373829158495	18.415312028439914	18.415312028439914	12.871709087142426	12.880392341571515	2.2357378507451555	0.1917276899179203	18.415312028439914	12.749641657791313	6.1400694261759865	8.350314357958913	36.73192927115483	18.415312028439914	0.4208793395895558	0.317653123661968	2.5919415126522	11.217736855688303	2.4111735982319784	11.234121717220834	26.63646537347636	18.415312028439914	0.9321777373867421	17.306092280557657	13.089395168456958	2.089639684254643	13.302487134384114	4.23150604802683	18.415312028439914	2.353654610447131	18.415312028439914	0.5730883183139058	7.881420852980681	5.182298406304123	13.213218186666575	4.133899653705701	18.415312028439914	10.606686821985928	2.5394935367862455	4.989594691902666	9.78210875058318	8.182513637030903	1
20000	-6555.965304788344	-6336.785218370285	-219.18008641805852	-6336.785218370285	1.9758471647179405	1.0	1.0	0.803739251242548	0.7186619006727876	0.7844357506710842	0.956280827831775	-112.16108470656138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.473540973191014	11.527758309495184	7.834529838285768	1.0026040863992927	1.729636894330834	4.473540973191014	10.072562941719632	4.473540973191014	1.5832330628770421	0.7539518114642835	2.16069087653488	2.713929988942835	3.1289702179256196	0.34805921856578265	0.45673285359430427	4.718096247603712	0.5620581619960421	1.4915767983629815	2.1425897556588667	5.23424391027224	4.473540973191014	0.1022421432509909	9.64642006730141	0.6218082834597073	0.31327873308252724	0.350065238573195	5.393982145223211	6.470665229305089	4.473540973191014	0.22644934259359195	4.204083687712464	0.1662196259659874	4.70840477262253	2.0794368434452033	1.027938905130639	4.473540973191014	0.8503207516559335	2.285262640044616	0.13921752014166552	1.4677849996635928	1.2068444423575904	0.5962547075309683	0.9669695123871963	4.473540973191014	1.3062982998955819	0.476544480237336	1.0678539154256168	0.2984554785141031	1.9877377023218967	1
30000	-6441.389397895675	-6206.467008838466	-234.92238905720797	-6206.467008838466	1.1620942847078823	0.7539755863554798	1.0	0.6934581214155502	0.9131907583331403	0.44881497362127276	0.7237127743415201	-88.08943732920466	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	10.032993717234511	14.677576198703767	13.57623116542513	4.491063059432647	1.4456885753689335	20.809711715831252	2.219960106960801	6.42581482246948	10.007024739465072	13.225535778565732	4.194183977273556	6.086642033962476	8.898181496006334	5.706489189559502	2.7112467835992167	14.390051554902632	0.6667274918290159	5.0934070402355	4.80527387274666	11.739053376496726	2.9248064457973566	2.5465270134968705	2.0390552858678066	0.7205824771231968	0.7026030564146527	6.867995659368601	12.097304863913422	8.964426593583964	10.032993717234511	0.507867223107779	21.16319192172932	5.593008330298943	10.55973238761299	2.5248426018231234	10.160574225173141	2.842317819201006	9.890411395889249	1.4318183882502618	0.3122288391412616	4.400494273740277	2.706639501105585	0.8166903966514852	0.14350622239070612	10.032993717234511	2.929688744157817	1.7153776735997288	2.394919748940463	1.7718841687127853	4.457980825127054	2
40000	-6411.55029119986	-6138.658250036271	-272.8920411635892	-6138.658250036271	1.439601345255944	0.8919688527112277	1.0	0.5406417785186978	0.8555441966826127	0.3104586607293557	0.5548752483341277	-92.0889306341974	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	19.09335996069958	41.67811724013757	21.07230081827945	45.91179090562421	2.7512279124797963	39.602069697923845	13.196093346718815	3.866190091783116	19.043939513090653	13.686617572783895	6.66802849516479	11.583227357826301	3.626830758799395	19.097062565769225	6.817232815081285	5.108622213280693	0.3888325138206975	6.087252497145282	9.144710576713742	4.808173784623445	5.566073682380039	4.846186321717649	3.880438645741774	11.132874806189648	9.833040432966389	13.070187924825333	17.696982639516452	17.059815705709944	19.09335996069958	0.9665003264559595	0.7392711555543325	10.643814231653316	9.650775886415788	49.735935175942664	21.860300230710045	5.409093115596429	9.838642532162293	4.653573889512017	0.8181165568489872	8.37439188556372	34.50964198478158	2.795969335611074	0.27310053588483774	19.09335996069958	4.086074819757981	2.436582809280534	4.5576690399954405	10.87625186358759	8.483792075523118	3
50000	-6375.1395592091385	-6134.481453153259	-240.6581060558794	-6134.481453153259	0.9066707124250712	0.9673488058238323	1.0	0.5141313866096754	0.9146785901751827	0.309758353789557	0.559393579698782	-94.61798046674748	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	8.263796149166897	32.59902527467327	9.120301440637787	6.558361483411375	3.2538187971449597	3.925046883650293	5.711400487243855	8.33499739739667	8.242406487762022	8.123406569934929	0.42132273054977687	5.013336040987852	1.0638440046187332	8.265398673477936	4.959875346041425	4.77842934367222	4.807541476086612	1.9168336066531233	0.1273533579955007	2.081025450087446	6.345193056460182	6.887526119838048	1.6794924520233228	21.6004238045257	10.9399202611486	5.656907368026273	7.814843552286795	7.383657964052613	8.263796149166897	0.4183109569177507	11.863291979963908	3.615127181330976	5.238597523518544	21.52620756263741	9.461355426075304	9.394705098612658	5.339148087607136	6.620067862120217	0.5237081351713997	2.290597346980061	14.936116384437407	1.210123345307996	0.11820062898441519	8.263796149166897	1.7684938339939318	3.889809094088945	1.9726045043625482	4.707350013443695	8.728766375470256	2
60000	-6337.04254471861	-6131.528663430668	-205.51388128794247	-6131.528663430668	0.8660365872859994	1.1042476953956024	1.0	0.4714859441558871	0.9798292602607684	0.24038109243268202	0.44689188247452327	-90.19944164626179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5.658491869022541	8.240736343963453	4.558334339265725	0.5889749576003713	3.651272919139652	3.7003280724587118	0.37530329781391386	1.1790700979752466	0.594556165118239	0.44842561575559386	0.2884934722513252	3.270607941958164	2.0440158879689467	0.597844729480463	0.9141755487050744	0.23769058272364077	2.8164851062104725	0.8893557800175517	3.243858222048624	10.312436064337321	4.344761495717418	5.355330677998994	9.64588972071255	0.4512787745841006	1.531435564711393	0.4743209796786838	5.980874255284221	3.193145457008023	5.658491869022541	7.530134983260214	1.075258039739171	0.10495929569996074	3.587039292456371	11.011513968248158	1.5013022951111086	0.4654975472542616	4.395079673755646	0.40604180233374976	1.2367746745071535	1.5684470223043874	0.7473169603089994	3.7425437941326583	0.0809358418272565	8.943006456842822	3.4639764680649217	0.19554987304368554	4.104812051212822	4.087222660272988	5.976872211105444	2
70000	-6407.067375616501	-6136.994156838961	-270.0732187775397	-6136.994156838961	0.9226202991483949	0.8636023415379593	1.0	0.5885555945614874	0.8768835972805507	0.4783880018422228	0.6843570925904026	-96.284453028414	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	15.814445324973843	37.95856305302984	12.73970712512858	10.955522142119815	38.786103110683975	0.47851467138779696	15.528137414137031	2.933150194153957	14.491808451971089	18.588293529807206	2.010838010950091	9.14074839634917	4.270848160805985	0.5709617692845657	2.5382024380400985	0.6643015156251368	1.7781295385140121	4.279895575339416	7.67666657783007	28.821364434499504	1.2160223133328851	8.856792314250747	26.95848984674544	8.535549857229114	5.656065205375825	0.9720752083031221	4.80401100626911	5.935305868501373	15.814445324973843	21.045344013724343	3.005148699211806	35.98459243403903	18.020744621378295	6.4765784419541665	4.195864129852262	0.5178350073643717	12.283440324447977	1.1348122487927432	1.0306991078231988	2.6307057787184616	2.0886136240527726	10.459722409896294	2.7627865151243527	24.994060241896122	9.325644974853333	20.678132652041867	11.472195640781669	20.61761564966443	16.704259895527652	3
80000	-6298.727355483681	-6117.733053846336	-180.99430163734587	-6117.733053846336	1.0741302243793904	0.955384356920431	1.0	0.3783705398651566	0.9275506007294918	0.16634180742939203	0.42021437820389645	-101.5198457675916	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2.6242798633689945	14.564897687427445	0.017861994755855964	1.1728380272690304	0.23278190615276179	0.07940565670466886	0.9647875969561925	0.6146182155888854	0.45854673336017454	0.4234484681157203	0.3541248077371293	1.5168335948387912	0.708712863309241	2.384985656904519	2.067145081557252	0.11023548754552563	0.06940304626202981	2.405078217895648	1.1092458010178918	0.87083511567204	1.0191444217500143	2.864972866343494	0.3241955493801327	0.9833125199345282	1.5610839567112416	2.821729864128882	0.598390939536686	1.7876429610167708	0.21902297322799108	3.4066217520238937	1.7720243076447102	1.6656093556833738	1.1530167772495534	0.40787115394206147	4.511963407612153	3.005978566013394	0.4573535643529215	0.18831295515046534	2.3356008378785136	0.43654444146941523	0.38640967599580284	1.7762068942578986	0.4584621761585703	0.5471787825447111	3.5421260284002036	1.3906564655475904	0.27627826731159844	2.264297617042266	2.7719374265431598	2
90000	-6391.310705152873	-6119.604430067657	-271.70627508521636	-6119.604430067657	0.8086284491280216	0.955384356920431	1.0	0.37365901190645584	0.9572194134341951	0.24813140065487216	0.4805943880661427	-92.16565150154628	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	23.12593166550648	15.204319015775647	7.940283266999332	10.10375486259082	6.739236585420257	1.4301495418264587	8.501994147184417	5.416197812011162	3.349643207846855	2.609443015684425	15.86927616904803	7.374700294487347	0.11718291162001038	8.372608926916289	8.90663083528134	6.881816188449535	12.751096644862129	34.25581568254171	26.505019727458585	9.288907961853525	19.704121982256236	2.6278101659336484	0.36398159426286697	6.298403188640968	17.56946812093926	13.861373140010171	17.822671514028546	34.652175587767694	0.682910783267336	11.402813040088747	15.592549124030652	3.169982572111763	13.984640497100402	15.284680181899029	39.76075833152588	26.489573721134946	5.983568157241834	0.3546262637593569	4.033808731917696	3.8469589555963033	1.1823250424962983	13.598422618426488	4.710111875573325	2.74424385132175	31.2142640069776	12.254876791670288	3.0646985588931974	19.953661457000575	0.7216427822055614	1
