#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="ExtendedBayesianSkyline.t:Ser" spec="beast.evolution.tree.coalescent.Coalescent">
#            <populationModel id="scaledDemo.t:Ser" spec="beast.evolution.tree.coalescent.ScaledPopulationFunction">
#                <population id="demographic.alltrees" spec="beast.evolution.tree.coalescent.CompoundPopulationFunction">
#                    <parameter id="popSizes.alltrees" name="populationSizes">1.0</parameter>
#                    <populationIndicators id="indicators.alltrees" spec="beast.core.parameter.BooleanParameter">false</populationIndicators>
#                    <itree id="treeIntervals.t:Ser" spec="beast.evolution.tree.coalescent.TreeIntervals">
#                        <tree id="Tree.t:Ser">
#                            <taxonset id="TaxonSet.Ser" spec="beast.evolution.alignment.TaxonSet">
#                            </taxonset>
#                        </tree>
#                    </itree>
#                </population>
#                <parameter id="RealParameter.4" lower="0.0" name="factor" upper="0.0">1.0</parameter>
#            </populationModel>
#            <treeIntervals idref="treeIntervals.t:Ser"/>
#        </distribution>
#        <prior id="GammaShapePrior.s:Ser" name="distribution">
#            <parameter id="gammaShape.s:Ser" name="x">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter id="RealParameter.0" lower="0.0" name="mean" upper="0.0">1.0</parameter>
#            </Exponential>
#        </prior>
#        <prior id="indicatorsPrior.alltrees" name="distribution">
#            <x id="indsSun.alltrees" spec="beast.core.util.Sum">
#                <arg idref="indicators.alltrees"/>
#            </x>
#            <distr id="Poisson.EBSP" spec="beast.math.distributions.Poisson">
#                <parameter estimate="false" id="RealParameter.5" name="lambda" upper="0.0">0.69314718056</parameter>
#            </distr>
#        </prior>
#        <prior id="popSizePrior.alltrees" name="distribution" x="@popSizes.alltrees">
#            <Exponential id="popPriorDist.EBSP" name="distr">
#                <parameter id="populationMean.alltrees" name="mean">1.0</parameter>
#            </Exponential>
#        </prior>
#        <prior id="populationMeanPrior.alltrees" name="distribution" x="@populationMean.alltrees">
#            <OneOnX id="OneOnX.EBSP" name="distr"/>
#        </prior>
#        <prior id="ucldStdevPrior.c:Ser" name="distribution">
#            <parameter id="ucldStdev.c:Ser" lower="0.0" name="x">0.1</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.2" name="alpha">0.5396</parameter>
#                <parameter estimate="false" id="RealParameter.3" name="beta">0.3819</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@Ser" id="treeLikelihood.Ser" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:Ser">
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:Ser" shape="@gammaShape.s:Ser" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:Ser" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:Ser" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="WAG.s:Ser" spec="beast.evolution.substitutionmodel.WAG"/>
#            </siteModel>
#            <branchRateModel id="RelaxedClock.c:Ser" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:Ser">
#                <LogNormal S="@ucldStdev.c:Ser" id="LogNormalDistributionModel.c:Ser" meanInRealSpace="true" name="distr">
#                    <parameter estimate="false" id="RealParameter.1" lower="0.0" name="M" upper="1.0">1.0</parameter>
#                </LogNormal>
#                <rateCategories dimension="110" id="rateCategories.c:Ser" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#                <parameter estimate="false" id="ucldMean.c:Ser" name="clock.rate">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood.Ser	TreeHeight	gammaShape	mutationRate	ucldStdev	rate.mean	rate.variance	rate.coefficientOfVariation	ExtendedBayesianSkyline	indicators.alltrees1	indicators.alltrees2	indicators.alltrees3	indicators.alltrees4	indicators.alltrees5	indicators.alltrees6	indicators.alltrees7	indicators.alltrees8	indicators.alltrees9	indicators.alltrees10	indicators.alltrees11	indicators.alltrees12	indicators.alltrees13	indicators.alltrees14	indicators.alltrees15	indicators.alltrees16	indicators.alltrees17	indicators.alltrees18	indicators.alltrees19	indicators.alltrees20	indicators.alltrees21	indicators.alltrees22	indicators.alltrees23	indicators.alltrees24	indicators.alltrees25	indicators.alltrees26	indicators.alltrees27	indicators.alltrees28	indicators.alltrees29	indicators.alltrees30	indicators.alltrees31	indicators.alltrees32	indicators.alltrees33	indicators.alltrees34	indicators.alltrees35	indicators.alltrees36	indicators.alltrees37	indicators.alltrees38	indicators.alltrees39	indicators.alltrees40	indicators.alltrees41	indicators.alltrees42	indicators.alltrees43	indicators.alltrees44	indicators.alltrees45	indicators.alltrees46	indicators.alltrees47	indicators.alltrees48	indicators.alltrees49	indicators.alltrees50	indicators.alltrees51	indicators.alltrees52	indicators.alltrees53	indicators.alltrees54	indicators.alltrees55	populationMean.alltrees	popSizes.alltrees1	popSizes.alltrees2	popSizes.alltrees3	popSizes.alltrees4	popSizes.alltrees5	popSizes.alltrees6	popSizes.alltrees7	popSizes.alltrees8	popSizes.alltrees9	popSizes.alltrees10	popSizes.alltrees11	popSizes.alltrees12	popSizes.alltrees13	popSizes.alltrees14	popSizes.alltrees15	popSizes.alltrees16	popSizes.alltrees17	popSizes.alltrees18	popSizes.alltrees19	popSizes.alltrees20	popSizes.alltrees21	popSizes.alltrees22	popSizes.alltrees23	popSizes.alltrees24	popSizes.alltrees25	popSizes.alltrees26	popSizes.alltrees27	popSizes.alltrees28	popSizes.alltrees29	popSizes.alltrees30	popSizes.alltrees31	popSizes.alltrees32	popSizes.alltrees33	popSizes.alltrees34	popSizes.alltrees35	popSizes.alltrees36	popSizes.alltrees37	popSizes.alltrees38	popSizes.alltrees39	popSizes.alltrees40	popSizes.alltrees41	popSizes.alltrees42	popSizes.alltrees43	popSizes.alltrees44	popSizes.alltrees45	popSizes.alltrees46	popSizes.alltrees47	popSizes.alltrees48	popSizes.alltrees49	popSizes.alltrees50	popSizes.alltrees51	popSizes.alltrees52	popSizes.alltrees53	popSizes.alltrees54	popSizes.alltrees55	popSizes.alltrees56	sum(indicators.alltrees)
0	-14857.209581478366	-14738.865874066661	-118.34370741170387	-14738.865874066661	3.806287116161581	1.0	1.0	0.1	1.03589459328618	0.012332065216993484	0.11108856761008211	-61.46992437626468	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0
10000	-8725.725015393682	-8390.432150404442	-335.2928649892397	-8390.432150404442	3.7739581936540834	1.0	1.0	1.1553260311863771	0.5551066735818149	2.462872732991311	1.628551006662846	-178.8023562228189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.031001820911542	36.53619966556053	0.990404302294144	1.1605191523125098	7.698759676570747	7.031001820911542	0.7272724869863715	7.031001820911542	6.009367773005096	0.4008477241435992	4.036036671424993	0.9664338322503322	5.492677813054346	4.844054067683304	17.783474016353853	4.847596008899317	1.9167974028415768	0.3479519612907824	4.179083318561724	0.07625491328017774	0.19568841113071878	12.962553447671791	7.031001820911542	5.761605606610731	7.031001820911542	1.3228498545596832	7.031001820911542	0.21139705535108616	7.664755551556767	4.414594866064275	3.9687812704094454	2.1991163335761743	1.2773414667539549	7.031001820911542	4.659069568014871	7.031001820911542	6.4842495417461485	7.031001820911542	0.4131439205744841	0.767122892081201	3.9765526624246395	15.535306385993014	3.817624657960392	1.1718285566150892	11.675849833027806	5.30821528984607	0.9001789807103096	7.031001820911542	1.9213745948234788	7.031001820911542	2.0066427851253805	0.8389553495673502	1.670757580226182	6.742239987240099	2.1370254531872552	1.7934976261026478	2.464493091146221	1
20000	-8096.554182311659	-7640.003361633239	-456.55082067841994	-7640.003361633239	5.75504785480129	0.8867359301572608	1.0	1.121324689727996	0.6632122401603858	1.4460952603471382	1.4177277178049816	-187.78836346533654	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56.805779008772795	78.93911666225787	13.246292335392045	9.376216388629244	62.200814616235	56.805779008772795	5.875873912026993	73.88789656855499	76.53459895997219	3.2385807618691147	35.800200890645	7.808137175862142	44.3771527816648	39.1367079520526	0.9443030955260239	41.93183579304623	96.60232084499204	2.811218475291294	8.121950408832108	0.6160885550112573	1.581031113405163	104.72873785181095	57.74044975253854	46.54990898329814	26.967633336301677	10.687739587324167	45.608859924036004	1.70794642289287	61.9260840927431	14.015863247659333	33.545019971203075	17.767385024445236	10.320062336402549	28.919651182423568	37.64215726413212	56.805779008772795	52.388387300746565	56.805779008772795	3.3379257819520065	6.197838457462644	32.127878432145714	125.51485604392623	30.843846749341964	11.07168116744572	94.33303563966463	19.263834347097283	30.56530109551279	56.805779008772795	20.227624335314374	30.72128803447024	16.212327845280313	6.778196535806333	4.7557824481807485	54.47277706573231	17.265732355355784	3.6729046768807563	19.911451236994495	1
30000	-7574.511678120867	-7182.561417522096	-391.950260598771	-7182.561417522096	2.446966687762145	0.8770649006673049	1.0	1.0698372348733909	0.6470566690233316	1.179838052504556	1.2617993035096318	-155.04957515723794	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	31.600266334381676	111.71217935746488	7.368728552720361	5.215859024549607	1.455980046855299	10.329048142895981	3.2686670935121387	41.10281121385551	40.088862891529566	1.801577522678879	19.915154808352142	6.116318607647634	24.686394087573117	21.771207372136924	0.8422519480581908	23.326098190558824	53.73853013704301	1.563841814925556	3.1552889796415275	0.3427215111496574	0.8795056618945665	58.25914311411468	32.12021069485582	25.89506820223828	12.917055823743757	7.55507486290911	25.371575673391703	0.9501068868351242	34.44862097699229	7.796830168703546	18.66062896731801	25.298066431546864	8.771041323619635	11.384215965812448	20.939809570493775	31.600266334381676	29.14293264557935	31.600266334381676	3.1151055469257405	3.447771500907439	0.8423306522416526	69.82217212965442	17.158003799323577	6.159022546044318	52.476158277554106	10.716203643570733	17.003052718625813	31.600266334381676	11.252346635525228	17.089826087493442	9.01869293495739	1.753121761841331	3.625975472589667	30.302449738163112	21.658002146315944	3.1962391404234003	11.076463929768632	2
40000	-7547.275613090793	-7156.103313115673	-391.17229997511964	-7156.103313115673	1.848452955264516	0.926352872785814	1.0	0.7685295275650682	0.8181492900497479	0.41462738758967543	0.7043822622546474	-126.86665086092768	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52.91287423246088	92.13377668126971	15.743531697522506	8.733663497005448	11.67692720627907	10.861473568689242	5.4731997824528955	68.82435285024862	67.12655323395012	3.0166405519759447	33.34681013583124	5.49388501168393	41.335982797952674	36.45466608986567	73.6269184906594	39.058243586642966	0.915235269590688	2.6185654385636825	5.2833544875914935	0.5738679549194255	1.4726829192553723	97.55166870647865	53.78349191215156	43.359839835756304	21.62888575125053	11.383159411225666	42.48328094706259	1.590900711991913	57.68228438170139	13.055354969575141	31.24617695300937	5.975160488269157	14.686616927005227	19.062231351474903	22.06743324499219	52.91287423246088	48.79820674684806	52.91287423246088	3.6367646067677395	5.773100070719634	1.0642522752448789	116.91331248414085	28.730115357474233	10.312937933031211	147.65298824234907	17.94368217158866	28.47065846054852	52.91287423246088	18.84142355147814	76.39135918681912	15.101295665010767	0.8221389153664385	6.071492629869926	50.739753107282354	36.265110286349966	5.3519232358521025	18.54691782197302	2
50000	-7438.332062604049	-7117.4583219526185	-320.8737406514299	-7117.4583219526185	2.068296394541143	0.926352872785814	1.0	0.6960670100884632	0.8788471795622302	0.25470251382974474	0.5922024011716307	-124.21801985789413	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.094627701232533	55.19493677190948	4.788745367733799	2.6565380257856774	3.4632256763356133	3.432519405279814	1.6647954606670305	20.934457860606315	20.41803434115109	0.917578326574973	6.175219840885975	8.933767862009068	12.573258652985102	11.08849759533932	22.39526502926554	0.5686783691626689	0.2783891659028901	0.796494925976678	1.60704979128227	0.17455470371007845	0.4479492685135348	29.672509993825926	16.359445434685693	13.188859790070667	6.578906718042418	3.4624411439563163	12.922234905741913	0.4839078398320599	17.54534988973566	3.9710766196451166	9.504219765801396	3.0718095805304153	4.467261230079954	2.858570051012504	6.712300693392764	16.094627701232533	14.843060058084586	0.49891494054837826	1.1062028519901834	1.7560168043789572	1.043811909132276	35.56178463266586	8.738903663795664	13.163165987641717	44.91194079336545	5.457970074961317	8.659984077190115	10.374368868188418	5.731038085174376	23.23613115971534	4.593394992432288	0.14511251478564097	1.8467795387419264	15.433624571714857	11.030839981186855	1.627906501321224	5.641457616507322	2
60000	-7362.431224665101	-7002.281073051548	-360.1501516135523	-7002.281073051548	2.7245465026597393	0.7901761759947009	1.0	0.5709865306572526	0.896472796629229	0.25469769155881067	0.5472099471126598	-129.0670727274982	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	30.536759362306633	132.69370363585318	9.085812213640024	5.040319287660314	6.570868929607078	13.446850647944755	0.4557476774330125	39.71949609127822	7.68833318220095	5.197138325019222	5.328476888496822	19.48497645488033	23.855573487844214	14.651511138522107	42.49112385503587	1.078968388460426	13.765591804481781	1.511210718219064	3.0490977281738325	0.7966319368971713	0.8499058986043867	6.149654587787709	2.7781100986310014	25.023569674851665	12.48233230648379	11.719199757249008	24.517695287205754	6.995860442747175	2.7419002001390287	8.003109522079612	13.301454111354508	5.828224902667484	23.806550978636064	3.862103900419017	17.729968454468427	11.961497947114887	22.192390091253603	0.9466044051841364	1.9930031878987475	18.63494490701405	1.0452671089358847	67.47230690764775	42.00630153042873	24.974820149454715	85.2126034823494	10.355549807032864	0.9426529636045091	19.683562213707784	10.87364890644736	1.3462993601091262	8.715168821779413	0.27532578116913725	0.6231683803996808	5.6302713351052125	20.929102078193356	3.0886697112834645	10.703685533200826	4
70000	-7279.144762628928	-6993.122582999289	-286.02217962963925	-6993.122582999289	2.8347296948745355	0.8654748063635187	1.0	0.46739500494880215	0.9422017339714079	0.18597814206854782	0.4313760474068251	-129.3336608607095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.42812320171828	26.639589670958536	2.805214394937165	1.5561818677693775	2.0287339948438694	4.151670551539236	0.05773733420165363	9.307880325940964	4.428464766864742	1.6045992255856643	1.6451495715772566	6.015921873686179	3.920598659530863	6.116139514172378	13.118993601503377	0.33312791237831996	2.578999755808023	0.4665812984960525	0.6868506372269254	7.509662604933028	6.948325288200184	0.6584757357716172	0.18003963010093635	0.7878615879339728	3.8538787116874995	3.6182640674463697	10.485008278262491	6.828400719783948	0.5952402947490678	1.3733394025221366	6.027246450798463	3.0594373852634607	7.350193678757592	1.2530937922761356	6.596012445181573	3.6930728301741094	6.851826856886446	0.2922609714238894	6.856312046981066	0.8316972505189467	0.3227227540691799	3.1943794445692393	5.20638439345407	7.710892911592473	26.309108783901852	3.197241666800788	0.22436396554161564	6.0772345682690565	3.357203045872615	0.4156654634797679	2.6907794766505204	0.2622031128568428	1.4679216544477447	1.640313633063135	5.09638568314418	1.7307018984560631	3.304727417933985	1
80000	-7352.402846605353	-7007.744440137165	-344.65840646818793	-7007.744440137165	2.6982348199286634	0.8654748063635187	1.0	0.3665609332860849	1.004837551161525	0.13636102306332348	0.361520789407196	-124.19230403486674	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	29.29242210190181	50.43700441046867	8.575972537706786	26.12759965326606	10.53085810654898	10.790238779743502	0.17938526345998282	28.91883713735937	21.703905725567722	4.9853610113700935	4.710760344604112	5.231741877873622	10.568723412300532	20.88404153826288	6.4011519582224725	1.0350016874549002	8.012745254968898	1.4496306473709353	2.1339898043488184	35.2929425383355	21.587889009149176	2.045831262850627	15.90577599466519	3.8910844174379893	9.418206671285288	9.76668155649246	32.57607921084707	17.77200694607443	1.8493638227672322	4.266855301649054	19.568125102344055	11.538093251877703	22.836461845307504	3.8932618413318663	20.49328128194625	11.474080883331	21.288076127864592	8.47009994871155	21.3020112535145	9.721559660240297	1.0026736956894873	8.422344280684099	16.1758184545166	8.48447304586381	23.998826115374932	8.681101948552355	0.6970808338507687	18.88148005464783	0.6375474283359496	0.7120738060046465	1.6630260980556664	0.8146440276507475	8.724410973314084	5.096322809022327	12.216104536033269	8.495118089424121	22.318229238465918	3
90000	-7313.95146884435	-6997.845932496868	-316.10553634748146	-6997.845932496868	1.9228606134022952	0.8851615837920899	1.0	0.4520243320838059	0.9592536383994386	0.2057448917017125	0.45695874558907523	-116.61732176320312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20.521117081925183	40.90682297225828	13.046962049467124	18.88492457890071	12.648623357309697	7.559216256366514	0.12567024950781733	4.7910217882009185	15.204901423994055	3.4925475487856117	2.820283209987929	3.665152278796548	6.09417623188665	8.217730662526582	4.484394917460568	0.7250814130140903	8.785473017579498	1.0155541298960924	1.4949891980367698	24.724845336289846	0.35532231967338773	11.778611413677185	36.69311331732363	1.5309970212706403	6.825289217362137	6.842152384170669	22.821517907611316	16.354259800430068	1.2955914468957193	2.8835095131332613	13.708657648794787	8.08313364119455	15.998325629550683	2.3736685266477684	14.356785625874911	8.038289097268871	14.913587587572108	5.933818382735698	14.9233499876911	6.81054176102971	3.7519813212435413	5.9003626428345095	11.332141235925652	5.943887608437316	16.812632251069406	7.1665959909741535	0.48834737384481836	1.3656395094901284	1.3891485826263672	0.6745576635791443	1.165050576895852	7.555654374721756	6.111978669138021	3.570283013381914	8.558121639681685	14.619853018112348	15.635272278630378	1
