#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BirthDeath.t:Phe_BactEuk" spec="beast.evolution.speciation.BirthDeathGernhard08Model">
#            <parameter id="relativeDeathRate2.t:Phe_BactEuk" lower="0.0" name="relativeDeathRate" upper="1.0">0.5</parameter>
#            <parameter id="birthRate2.t:Phe_BactEuk" lower="0.0" name="birthDiffRate" upper="10000.0">1.0</parameter>
#            <tree id="Tree.t:Phe_BactEuk">
#                <taxonset id="TaxonSet.Phe_BactEuk" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="BirthRatePrior.t:Phe_BactEuk" name="distribution" x="@birthRate2.t:Phe_BactEuk">
#            <Uniform id="Uniform.4" name="distr" upper="1000.0"/>
#        </prior>
#        <prior id="GammaShapePrior.s:Phe_BactEuk" name="distribution">
#            <parameter id="gammaShape.s:Phe_BactEuk" name="x">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter id="RealParameter.0" lower="0.0" name="mean" upper="0.0">1.0</parameter>
#            </Exponential>
#        </prior>
#        <prior id="DeathRatePrior.t:Phe_BactEuk" name="distribution" x="@relativeDeathRate2.t:Phe_BactEuk">
#            <Uniform id="Uniform.5" name="distr"/>
#        </prior>
#        <prior id="ucldStdevPrior.c:Phe_BactEuk" name="distribution">
#            <parameter id="ucldStdev.c:Phe_BactEuk" lower="0.0" name="x">0.1</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.2" name="alpha">0.5396</parameter>
#                <parameter estimate="false" id="RealParameter.3" name="beta">0.3819</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@Phe_BactEuk" id="treeLikelihood.Phe_BactEuk" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:Phe_BactEuk">
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:Phe_BactEuk" shape="@gammaShape.s:Phe_BactEuk" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:Phe_BactEuk" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:Phe_BactEuk" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="WAG.s:Phe_BactEuk" spec="beast.evolution.substitutionmodel.WAG"/>
#            </siteModel>
#            <branchRateModel id="RelaxedClock.c:Phe_BactEuk" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:Phe_BactEuk">
#                <LogNormal S="@ucldStdev.c:Phe_BactEuk" id="LogNormalDistributionModel.c:Phe_BactEuk" meanInRealSpace="true" name="distr">
#                    <parameter estimate="false" id="RealParameter.1" lower="0.0" name="M" upper="1.0">1.0</parameter>
#                </LogNormal>
#                <rateCategories dimension="62" id="rateCategories.c:Phe_BactEuk" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#                <parameter estimate="false" id="ucldMean.c:Phe_BactEuk" name="clock.rate">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	gammaShape	mutationRate	ucldStdev	rate.mean	rate.variance	rate.coefficientOfVariation	BirthDeath	birthRate2	relativeDeathRate2
0	-7070.688739590358	-7066.933017903613	-3.7557216867440646	-7066.933017903613	1.7827205294057864	1.0	1.0	0.1	0.9960829864611281	0.009098440956706305	0.09586434802886902	3.332669447117271	1.0	0.5
10000	-4031.751177466089	-4017.584549333706	-14.166628132382684	-4017.584549333706	1.3595232142928761	0.8869021629346412	1.0	0.33653345583624067	0.9250746527407141	0.13635819221246334	0.3889824284271449	-6.013267164902685	2.234245687207221	0.01283429494175317
20000	-4006.5373733290535	-3997.995811072368	-8.541562256685863	-3997.995811072368	1.1446211531482793	0.959743920692492	1.0	0.2864842609727355	0.9203229088044188	0.08963247356218242	0.30400831627567865	-0.5205435041461857	1.6589433463271817	0.3920799944218862
30000	-4010.239012381023	-4005.212600188237	-5.026412192785736	-4005.212600188237	0.8396655952447255	0.7689707238813825	1.0	0.40756501421359276	1.0148446893457008	0.13549545330178747	0.36027911162833615	3.283180447111808	1.722187785354579	0.2856821153621891
40000	-4002.0410912280063	-4000.1246349174266	-1.9164563105798416	-4000.1246349174266	0.91774357191778	0.7748107989385301	1.0	0.4841301534259894	0.9943680144911312	0.323965211293126	0.5180469776871389	6.678720576773605	2.5614934282730824	0.24149685213664115
50000	-4007.4690552897314	-4002.100286149752	-5.368769139979406	-4002.100286149752	0.9821582021010625	1.1128369852421214	1.0	0.2722885724649192	0.9542699650027524	0.07528307171244993	0.27343447860112413	2.744773392881614	2.244308832532163	0.31896688132664675
60000	-4022.474672440875	-4014.296710517224	-8.177961923651242	-4014.296710517224	1.1415176117322756	0.8334664652244227	1.0	0.13362035798489852	0.9880741998751005	0.01792043425747663	0.1390113678879625	-1.0346310135111692	3.1093662795825607	0.007263679745488894
70000	-4013.4962327359294	-4002.6082129058536	-10.888019830075725	-4002.6082129058536	1.0685486010734637	0.7727343753742786	1.0	0.4235783163900437	0.9155386334977834	0.14048578084178864	0.4053223139686469	-2.514990046325769	2.288811923317448	0.26551620423933114
80000	-4015.2180232159258	-4008.126831831996	-7.0911913839299645	-4008.126831831996	1.3065668560583477	0.7568191496739523	1.0	0.40410349687048663	0.8053054060874208	0.20677359572315884	0.45387253139763023	1.193258791785345	3.3464194154875786	0.24188888244991744
90000	-4010.8589604749127	-4000.88508732237	-9.973873152542849	-4000.88508732237	1.123188546182287	1.0264403967873774	1.0	0.46160094215776304	0.9234242593930619	0.25641785470285194	0.5139254891906618	-1.2079985565631972	2.7980668677563734	0.09508568288907897
100000	-3996.3198890635767	-3991.894301714369	-4.425587349208107	-3991.894301714369	0.7527740350831241	1.0495661553868074	1.0	0.37065049911021364	1.0098218893585091	0.14027868477710723	0.35476276506504084	4.024229773514729	3.922247005530085	0.13993212342704264
110000	-4008.01384165382	-4004.7914981997787	-3.222343454041008	-4004.7914981997787	0.7097088680304801	0.9670726787957052	1.0	0.31020716508415874	1.0947299999354887	0.12055717807999533	0.33328705304445483	4.90475008863686	4.45985940950356	0.027707734899581674
120000	-4011.791173715691	-4001.0003740097955	-10.7907997058957	-4001.0003740097955	0.8557747596244055	0.8613076357517271	1.0	0.3512192423915285	1.042179939769716	0.1575832753437029	0.3910647238909111	-2.60491362788459	3.641429456275925	0.3575469320252478
130000	-4004.284232220475	-4004.3116092792447	0.027377058769654204	-4004.3116092792447	0.7322316370587676	0.7560624275062907	1.0	0.24692931813216368	1.0442565687672718	0.054330339322775624	0.23282608769617066	7.672733327282246	2.706404981925018	0.37623368149820713
140000	-4002.986882075642	-3995.1983552794763	-7.7885267961657725	-3995.1983552794763	1.0939983329127796	0.7560624275062907	1.0	0.5980112189260576	0.9463907888472867	0.3050992645409146	0.5438903088851301	1.1833598930324323	1.7794720447600298	0.4311294316944345
150000	-3997.741404654995	-3994.4517167665435	-3.28968788845155	-3994.4517167665435	0.7827755212171715	1.183704627330242	1.0	0.23077283145722083	1.0609263739905204	0.06477302872983172	0.22815819451434816	4.709850542310756	2.5937864618839908	0.4436922109328112
160000	-4010.477911452549	-4001.549663425556	-8.928248026992891	-4001.549663425556	1.0507044584343421	0.9031126729205875	1.0	0.44024048815987404	0.9368453236290425	0.24075103638303305	0.503583777681876	-0.36344679021338955	2.4039426751345894	0.2775056881580815
170000	-4013.7287060510116	-3999.6804277046986	-14.048278346312888	-3999.6804277046986	1.018477802882978	0.9779450962998939	1.0	0.5199248271008302	0.9221590785725051	0.22352637420333243	0.49601077899809026	-5.12339874968004	2.2366737432199653	0.04760238630552766
180000	-4013.361206722323	-4003.465508400405	-9.895698321918129	-4003.465508400405	0.9126490373288803	0.9015676463520041	1.0	0.45506944070945354	0.8034719087369651	0.1778718387802704	0.4608327068346909	-1.278360161855686	2.0087735139129235	0.20589578088189595
190000	-3996.90194339894	-3993.8342666440053	-3.0676767549348667	-3993.8342666440053	0.9199743917505753	1.0865193970640594	1.0	0.34537107693556307	1.002499115233671	0.10906766075803856	0.3260414296054096	5.320377061396919	3.1220715260183063	0.0817501490846645
200000	-4012.2561074105283	-3999.1250699744164	-13.131037436111965	-3999.1250699744164	1.2078243537422952	0.8641510677497498	1.0	0.3621438159344387	0.9023366760390947	0.09694739242871647	0.33196640253418996	-4.899599673925	0.9499642796257511	0.6681426179480848
210000	-3998.299308445244	-3992.34395571506	-5.955352730184227	-3992.34395571506	1.0840723256532443	0.9362552323286323	1.0	0.38120966479978213	0.9348815604295108	0.1323046949580246	0.3682542197943132	2.4217351188309335	1.967497591609008	0.2943592987278127
220000	-4013.1568870208243	-3999.186081164012	-13.970805856812358	-3999.186081164012	1.276538142862701	0.9704422260827222	1.0	0.34737871692759315	0.8711208764751043	0.13698377805337014	0.3723122417497912	-5.6909036794374614	1.4216121549983716	0.3547345496778475
230000	-4009.438728716727	-3996.3725292007725	-13.066199515954471	-3996.3725292007725	1.3202063667993158	0.9704422260827222	1.0	0.2800734975742383	0.9519321290961308	0.08360367197848548	0.29769026457784964	-5.061688516117237	2.205294368656076	0.08455600179619964
240000	-4016.332797888414	-4004.577630591509	-11.755167296904894	-4004.577630591509	1.1222518541535929	0.8984292959023185	1.0	0.30406831741317203	0.9892223780819493	0.09913720310470725	0.3209842387697252	-3.7219940764991355	2.2572186055301247	0.2547033541442884
250000	-4006.95814225283	-4000.145650785708	-6.81249146712188	-4000.145650785708	0.7995608641428341	0.8554076819069156	1.0	0.3445308496119535	1.0228002310912179	0.08694522681858069	0.28255106117542916	1.3411290729114187	2.0078931652987464	0.2986873020350655
