#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BayesianSkyline.t:Phe" spec="beast.evolution.tree.coalescent.BayesianSkyline">
#            <parameter dimension="5" id="bPopSizes.t:Phe" lower="0.0" name="popSizes" upper="380000.0">380.0</parameter>
#            <groupSizes dimension="5" id="bGroupSizes.t:Phe" spec="beast.core.parameter.IntegerParameter">1</groupSizes>
#            <treeIntervals id="BSPTreeIntervals.t:Phe" spec="beast.evolution.tree.coalescent.TreeIntervals">
#                <tree id="Tree.t:Phe">
#                    <taxonset id="TaxonSet.Phe" spec="beast.evolution.alignment.TaxonSet">
#                    </taxonset>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <distribution id="MarkovChainedPopSizes.t:Phe" jeffreys="true" parameter="@bPopSizes.t:Phe" spec="beast.math.distributions.MarkovChainDistribution"/>
#        <prior id="GammaShapePrior.s:Phe" name="distribution">
#            <parameter id="gammaShape.s:Phe" name="x">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter id="RealParameter.0" lower="0.0" name="mean" upper="0.0">1.0</parameter>
#            </Exponential>
#        </prior>
#        <prior id="ucldStdevPrior.c:Phe" name="distribution">
#            <parameter id="ucldStdev.c:Phe" lower="0.0" name="x">0.1</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.2" name="alpha">0.5396</parameter>
#                <parameter estimate="false" id="RealParameter.3" name="beta">0.3819</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@Phe" id="treeLikelihood.Phe" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:Phe">
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:Phe" shape="@gammaShape.s:Phe" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:Phe" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:Phe" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="WAG.s:Phe" spec="beast.evolution.substitutionmodel.WAG"/>
#            </siteModel>
#            <branchRateModel id="RelaxedClock.c:Phe" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:Phe">
#                <LogNormal S="@ucldStdev.c:Phe" id="LogNormalDistributionModel.c:Phe" meanInRealSpace="true" name="distr">
#                    <parameter estimate="false" id="RealParameter.1" lower="0.0" name="M" upper="1.0">1.0</parameter>
#                </LogNormal>
#                <rateCategories dimension="94" id="rateCategories.c:Phe" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#                <parameter estimate="false" id="ucldMean.c:Phe" name="clock.rate">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	gammaShape	mutationRate	ucldStdev	rate.mean	rate.variance	rate.coefficientOfVariation	BayesianSkyline	bPopSizes.1	bPopSizes.2	bPopSizes.3	bPopSizes.4	bPopSizes.5	bGroupSizes.1	bGroupSizes.2	bGroupSizes.3	bGroupSizes.4	bGroupSizes.5
0	-11670.300470571428	-11357.112689077923	-313.18778149350476	-11357.112689077923	1.14506158160558	1.0	1.0	0.1	0.9837719075556313	0.010850107643123419	0.10502397418362128	-279.3062893750234	380.0	380.0	380.0	380.0	380.0	10	10	9	9	9
10000	-6472.6387317475	-6334.182818294583	-138.4559134529176	-6334.182818294583	1.35701182186503	0.9773260995903935	1.0	0.6726355128814581	0.8913563416861449	0.346772200447209	0.6098219247302697	-118.61663827466094	13.309226156578367	11.846758187101468	10.554617024195245	2.87879652963011	12.055348573278884	2	19	1	24	1
20000	-6315.664339216568	-6203.428819529832	-112.2355196867361	-6203.428819529832	1.4368548900255829	0.9773260995903935	1.0	0.6809267262405733	0.9312488584267469	0.41537024334591816	0.6721422261012141	-95.79838331135103	20.945508688172314	8.863128939293292	6.765470851363053	1.0648914494195747	2.439148852192472	1	17	6	21	2
30000	-6267.210944927051	-6160.0331691772	-107.17777574985101	-6160.0331691772	1.0352161788212397	0.9277312235886837	1.0	0.5471396601558982	0.9679533829609406	0.40081708627612916	0.5838160042374698	-92.88790011787182	25.55347846519679	5.138818570973312	4.375963171242632	1.063503055645041	1.3575245360144792	2	15	10	16	4
40000	-6258.923784360719	-6152.655898847903	-106.26788551281649	-6152.655898847903	1.3367343593740781	0.9277312235886837	1.0	0.516577322899579	0.9091169583358688	0.27289392249599365	0.5126018168241039	-91.95781906327085	14.845941067804791	5.109797739994891	9.06538052865889	1.5122393905127651	0.6428646719195326	7	4	8	10	18
50000	-6252.608993832479	-6150.132196347792	-102.47679748468722	-6150.132196347792	0.898690668572991	1.079639794683516	1.0	0.4459045094810229	1.1296137920273313	0.22806836350783366	0.4362579734408505	-90.47634999592016	11.409072663478756	4.222455359498534	0.7521785325609344	2.0133101953131023	0.39672616319663195	5	21	11	3	7
60000	-6236.965013663792	-6139.605222388981	-97.35979127481126	-6139.605222388981	0.7256238474698551	0.7985123819782516	1.0	0.627809044968887	0.9780682179470646	0.6244242210883839	0.7390708798207383	-84.64777143614107	34.01945256719692	3.2145467321861885	1.7872508538271428	1.2699617701572332	0.1305035734335304	3	23	11	7	3
70000	-6236.848259233757	-6140.351003892198	-96.49725534155897	-6140.351003892198	1.1333496531017584	0.7985123819782516	1.0	0.5092600396711444	0.9335011035214213	0.3699824123128847	0.5948655709424264	-87.61898694649382	16.907630849883947	3.729906173817519	0.7259071358612587	0.27956599237657315	0.2517860671492281	5	24	15	2	1
80000	-6229.180345069004	-6125.184891161268	-103.99545390773663	-6125.184891161268	0.9276685095433781	1.1103780854104839	1.0	0.431052680629218	0.9661122500726665	0.23986294069715175	0.47012013359759186	-91.80964440001152	23.23975325923075	6.06897399850828	2.402643036706923	1.0293209275142503	0.27733197183643704	6	4	23	10	4
90000	-6227.262865396344	-6125.452105446574	-101.8107599497702	-6125.452105446574	0.728125672067877	0.826461979573527	1.0	0.5044682980299192	0.9432485511828208	0.2430747037114606	0.4934156310905747	-89.3798051115609	11.058763960986825	12.276042428516467	3.512803280763051	1.1795869851311436	0.17927932482493453	11	2	19	4	11
