#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BirthDeath.t:Pro_ArchBact" spec="beast.evolution.speciation.BirthDeathGernhard08Model">
#            <parameter id="relativeDeathRate2.t:Pro_ArchBact" lower="0.0" name="relativeDeathRate" upper="1.0">0.5</parameter>
#            <parameter id="birthRate2.t:Pro_ArchBact" lower="0.0" name="birthDiffRate" upper="10000.0">1.0</parameter>
#            <tree id="Tree.t:Pro_ArchBact">
#                <taxonset id="TaxonSet.Pro_ArchBact" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="BirthRatePrior.t:Pro_ArchBact" name="distribution" x="@birthRate2.t:Pro_ArchBact">
#            <Uniform id="Uniform.4" name="distr" upper="1000.0"/>
#        </prior>
#        <prior id="GammaShapePrior.s:Pro_ArchBact" name="distribution">
#            <parameter id="gammaShape.s:Pro_ArchBact" name="x">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter id="RealParameter.0" lower="0.0" name="mean" upper="0.0">1.0</parameter>
#            </Exponential>
#        </prior>
#        <prior id="DeathRatePrior.t:Pro_ArchBact" name="distribution" x="@relativeDeathRate2.t:Pro_ArchBact">
#            <Uniform id="Uniform.5" name="distr"/>
#        </prior>
#        <prior id="ucldStdevPrior.c:Pro_ArchBact" name="distribution">
#            <parameter id="ucldStdev.c:Pro_ArchBact" lower="0.0" name="x">0.1</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.2" name="alpha">0.5396</parameter>
#                <parameter estimate="false" id="RealParameter.3" name="beta">0.3819</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@Pro_ArchBact" id="treeLikelihood.Pro_ArchBact" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:Pro_ArchBact">
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:Pro_ArchBact" shape="@gammaShape.s:Pro_ArchBact" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:Pro_ArchBact" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:Pro_ArchBact" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="WAG.s:Pro_ArchBact" spec="beast.evolution.substitutionmodel.WAG"/>
#            </siteModel>
#            <branchRateModel id="RelaxedClock.c:Pro_ArchBact" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:Pro_ArchBact">
#                <LogNormal S="@ucldStdev.c:Pro_ArchBact" id="LogNormalDistributionModel.c:Pro_ArchBact" meanInRealSpace="true" name="distr">
#                    <parameter estimate="false" id="RealParameter.1" lower="0.0" name="M" upper="1.0">1.0</parameter>
#                </LogNormal>
#                <rateCategories dimension="70" id="rateCategories.c:Pro_ArchBact" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#                <parameter estimate="false" id="ucldMean.c:Pro_ArchBact" name="clock.rate">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	gammaShape	mutationRate	ucldStdev	rate.mean	rate.variance	rate.coefficientOfVariation	BirthDeath	birthRate2	relativeDeathRate2
0	-9478.011594923282	-9482.55843606076	4.546841137478736	-9482.55843606076	1.194962467407831	1.0	1.0	0.1	0.9899328123006701	0.011063421113861495	0.10715193757974788	11.63523227134007	1.0	0.5
10000	-4586.277200692398	-4565.86342309486	-20.413777597537948	-4565.86342309486	1.948924898965641	1.1259246266653478	1.0	0.6219771305672052	0.8661398277789479	0.4059330841553932	0.6301594974492581	-10.991183422625316	1.7328202818883967	0.025317477748580387
20000	-4551.32088146136	-4545.185801128918	-6.135080332442458	-4545.185801128918	1.0742529855834806	1.0713849501276544	1.0	0.4205679384775526	1.1088277937917437	0.23144482742099545	0.4561243763902485	2.525433639168437	2.583116784500085	0.20356770417172135
30000	-4554.972584818152	-4547.292242035165	-7.680342782987029	-4547.292242035165	0.9014063842971858	1.0713849501276544	1.0	0.6453763915753857	1.0935103011972973	0.6587167466527333	0.7374437746829748	1.7659851094157566	2.295679744244977	0.37197119327609585
40000	-4549.095252397679	-4544.072604805292	-5.0226475923874245	-4544.072604805292	0.8820584408725998	0.9234836136692589	1.0	0.4723656392181106	0.9438293665357234	0.2994455145950692	0.5347044872968785	3.6790708464417516	2.410851333958199	0.0721926510068972
50000	-4575.124278890205	-4567.285858879226	-7.838420010978696	-4567.285858879226	0.7870193511848066	1.0425155035817528	1.0	0.6536632664694406	0.8593207383020129	0.432417217295773	0.6972630868036094	1.6066115812182291	3.212468281092981	0.14718551340483782
60000	-4562.88025028683	-4555.74817792178	-7.132072365050766	-4555.74817792178	1.0818808559695225	1.0425155035817528	1.0	0.5115616977800042	0.9832243898484028	0.24756970087405641	0.4903568737564629	1.8280130334046287	2.626988521660702	0.02997577309395067
70000	-4591.301307292541	-4581.974328976492	-9.326978316049619	-4581.974328976492	1.203793305607843	1.0320829179028357	1.0	0.25578517407204493	1.0027648662528441	0.06193995828637072	0.241142615930084	-1.3661900581648565	2.6952651409601875	0.4520259509424275
80000	-4562.1423510593795	-4554.406880549347	-7.735470510032744	-4554.406880549347	1.205327382722027	1.0320829179028357	1.0	0.25601149936184725	1.0117461327113912	0.05650466067130138	0.2323118582885735	0.22631757119185902	2.7502857111364105	0.32967324598342973
90000	-4559.675946888069	-4554.972270992468	-4.703675895600888	-4554.972270992468	1.0683621994701373	1.0320829179028357	1.0	0.12299327443260816	0.9818400689528982	0.020065994529289255	0.14170243583730166	2.572289883692071	2.4234874654223115	0.21251430032543953
100000	-4567.018016224456	-4554.691690808687	-12.326325415768812	-4554.691690808687	1.3554865223780452	1.156876740664042	1.0	0.3184945719214626	0.9455809884014954	0.07248778793443227	0.2770644362071391	-3.975588863739582	2.027227865570599	0.2272835601907968
110000	-4556.547143714636	-4542.161859826805	-14.385283887830678	-4542.161859826805	1.3190033504281053	1.0139491186257474	1.0	0.4626652768608622	0.8180994887505811	0.1780617401335336	0.4598030431057289	-5.628053280282851	2.2849275740849473	0.11740506134049022
120000	-4549.886115259615	-4542.248009940814	-7.638105318800761	-4542.248009940814	1.3656940189226714	0.7602191463571139	1.0	0.5547590521078287	0.9758301509870252	0.30193460109335973	0.5284946227716992	1.1901180511671088	2.138009634249803	0.4561331761887952
130000	-4536.729531106568	-4525.541932762163	-11.187598344404906	-4525.541932762163	1.1922399135508097	1.0686418276484955	1.0	0.5075238265716716	0.8267688844658663	0.27512783678366287	0.5303987031093483	-2.215608191712307	3.0263996413171483	0.11335109464757986
