#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BirthDeath.t:Pro_BactEuk" spec="beast.evolution.speciation.BirthDeathGernhard08Model">
#            <parameter id="relativeDeathRate2.t:Pro_BactEuk" lower="0.0" name="relativeDeathRate" upper="1.0">0.5</parameter>
#            <parameter id="birthRate2.t:Pro_BactEuk" lower="0.0" name="birthDiffRate" upper="10000.0">1.0</parameter>
#            <tree id="Tree.t:Pro_BactEuk">
#                <taxonset id="TaxonSet.Pro_BactEuk" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="BirthRatePrior.t:Pro_BactEuk" name="distribution" x="@birthRate2.t:Pro_BactEuk">
#            <Uniform id="Uniform.4" name="distr" upper="1000.0"/>
#        </prior>
#        <prior id="GammaShapePrior.s:Pro_BactEuk" name="distribution">
#            <parameter id="gammaShape.s:Pro_BactEuk" name="x">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter id="RealParameter.0" lower="0.0" name="mean" upper="0.0">1.0</parameter>
#            </Exponential>
#        </prior>
#        <prior id="DeathRatePrior.t:Pro_BactEuk" name="distribution" x="@relativeDeathRate2.t:Pro_BactEuk">
#            <Uniform id="Uniform.5" name="distr"/>
#        </prior>
#        <prior id="ucldStdevPrior.c:Pro_BactEuk" name="distribution">
#            <parameter id="ucldStdev.c:Pro_BactEuk" lower="0.0" name="x">0.1</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.2" name="alpha">0.5396</parameter>
#                <parameter estimate="false" id="RealParameter.3" name="beta">0.3819</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@Pro_BactEuk" id="treeLikelihood.Pro_BactEuk" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:Pro_BactEuk">
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:Pro_BactEuk" shape="@gammaShape.s:Pro_BactEuk" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:Pro_BactEuk" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:Pro_BactEuk" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="WAG.s:Pro_BactEuk" spec="beast.evolution.substitutionmodel.WAG"/>
#            </siteModel>
#            <branchRateModel id="RelaxedClock.c:Pro_BactEuk" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:Pro_BactEuk">
#                <LogNormal S="@ucldStdev.c:Pro_BactEuk" id="LogNormalDistributionModel.c:Pro_BactEuk" meanInRealSpace="true" name="distr">
#                    <parameter estimate="false" id="RealParameter.1" lower="0.0" name="M" upper="1.0">1.0</parameter>
#                </LogNormal>
#                <rateCategories dimension="74" id="rateCategories.c:Pro_BactEuk" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#                <parameter estimate="false" id="ucldMean.c:Pro_BactEuk" name="clock.rate">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	gammaShape	mutationRate	ucldStdev	rate.mean	rate.variance	rate.coefficientOfVariation	BirthDeath	birthRate2	relativeDeathRate2
0	-11417.537488284934	-11421.082950574815	3.545462289880567	-11421.082950574815	1.646173992640668	1.0	1.0	0.1	0.9820344316328636	0.01281270084837135	0.11319365611741813	10.633853423741902	1.0	0.5
10000	-5120.865014574671	-5091.7308770075115	-29.13413756715937	-5091.7308770075115	2.1310900305715137	1.0	1.0	0.9171682926914155	0.7150968046726889	1.1013353883990742	1.0203688355379705	-18.885700264678782	1.4215252570258086	0.35876584992029753
20000	-5028.453771980026	-5018.640474605278	-9.813297374748622	-5018.640474605278	1.0449477534051006	0.9498441670648757	1.0	0.4593744281514181	1.0987644415553381	0.2897977669837607	0.4878322394689021	-1.132075199766919	4.231172087677672	0.0911755069315046
30000	-5015.4819746908315	-5005.65677071	-9.825203980831093	-5005.65677071	1.1096755155777982	0.9463228032602937	1.0	0.4982518891827645	1.0639641832506184	0.2805224585907211	0.484365442862763	-1.0083001083895038	2.996277043408554	0.14678827544285958
40000	-4998.347419152885	-4988.757018683576	-9.590400469309095	-4988.757018683576	1.1638767745610292	0.7484306532106939	1.0	0.5575357666652921	1.0451566681743505	0.40084458718583316	0.6161312433431805	-0.7643961280583582	2.1319176692787876	0.07750692242582297
50000	-5010.289313153939	-5002.4245401753315	-7.8647729786068705	-5002.4245401753315	0.8405634339850014	0.8187241870578836	1.0	0.5697862225197877	1.0086471815520648	0.4903476072104431	0.6733765998357196	1.0736091531286087	2.528501702001031	0.04611113962241759
60000	-5018.40581268555	-4998.906147928804	-19.499664756745588	-4998.906147928804	1.347870050288786	1.005967179304	1.0	0.37636863302855816	0.984699012154306	0.19176956188982203	0.41618878710279494	-11.071425258639653	1.0176548808439678	0.23406848177925996
70000	-5021.143666057332	-5006.70555431538	-14.438111741951772	-5006.70555431538	1.248299091672681	1.005967179304	1.0	0.605297006079699	0.8445735930877961	0.3516530409606522	0.651689709626173	-5.19166724024062	2.689675937211109	0.1037295399819861
80000	-5008.897545279262	-4997.775802074372	-11.12174320489007	-4997.775802074372	1.1983614196792354	1.1584397208885793	1.0	0.5968843429116212	0.962296689201147	0.3772697385602837	0.5795844352446065	-1.7512983155840867	2.180545779034931	0.012936512697008127
90000	-5008.82809890643	-4998.320399827988	-10.507699078441451	-4998.320399827988	1.429011904914387	0.8419899188648376	1.0	0.4006578007360128	0.9952013521053497	0.1558698786986065	0.3942413956949876	-2.1510431982815685	2.317163251930033	0.15151647037608154
100000	-5013.1477649406925	-4998.301458905114	-14.846306035579094	-4998.301458905114	1.329770819344104	0.9095679411394778	1.0	0.49918698250877125	0.960912951301233	0.2384525535748484	0.5084878181423914	-6.062845250925874	2.6444811408980553	0.10545416288049901
110000	-5006.210105570466	-4997.499116180736	-8.710989389730024	-4997.499116180736	1.4143699988142366	0.8548717413546683	1.0	0.5133748634728977	1.238026873731099	0.4279409194086543	0.5687356464777483	0.06782894085311408	2.139950204262402	0.18736946426228585
120000	-5018.525694980729	-5004.657941499608	-13.867753481121033	-5004.657941499608	1.4927558900425506	0.8548717413546683	1.0	0.4651673575108693	0.8813439212970634	0.2971956698978275	0.5645248985900224	-5.260565464596627	2.537141894239384	0.03329869052050415
130000	-5018.513516428269	-5005.0168070736045	-13.496709354664805	-5005.0168070736045	1.3504789070635028	0.8715669567925791	1.0	0.4856923357669933	1.007684340538518	0.29374742193055003	0.5259909799074637	-4.799202537475054	1.3325049601342709	0.41672383413104797
