#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BayesianSkyline.t:Ser" spec="beast.evolution.tree.coalescent.BayesianSkyline">
#            <parameter dimension="5" id="bPopSizes.t:Ser" lower="0.0" name="popSizes" upper="380000.0">380.0</parameter>
#            <groupSizes dimension="5" id="bGroupSizes.t:Ser" spec="beast.core.parameter.IntegerParameter">1</groupSizes>
#            <treeIntervals id="BSPTreeIntervals.t:Ser" spec="beast.evolution.tree.coalescent.TreeIntervals">
#                <tree id="Tree.t:Ser">
#                    <taxonset id="TaxonSet.Ser" spec="beast.evolution.alignment.TaxonSet">
#                    </taxonset>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <distribution id="MarkovChainedPopSizes.t:Ser" jeffreys="true" parameter="@bPopSizes.t:Ser" spec="beast.math.distributions.MarkovChainDistribution"/>
#        <prior id="GammaShapePrior.s:Ser" name="distribution">
#            <parameter id="gammaShape.s:Ser" name="x">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter id="RealParameter.0" lower="0.0" name="mean" upper="0.0">1.0</parameter>
#            </Exponential>
#        </prior>
#        <prior id="ucldStdevPrior.c:Ser" name="distribution">
#            <parameter id="ucldStdev.c:Ser" lower="0.0" name="x">0.1</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.2" name="alpha">0.5396</parameter>
#                <parameter estimate="false" id="RealParameter.3" name="beta">0.3819</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@Ser" id="treeLikelihood.Ser" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:Ser">
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:Ser" shape="@gammaShape.s:Ser" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:Ser" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:Ser" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="WAG.s:Ser" spec="beast.evolution.substitutionmodel.WAG"/>
#            </siteModel>
#            <branchRateModel id="RelaxedClock.c:Ser" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:Ser">
#                <LogNormal S="@ucldStdev.c:Ser" id="LogNormalDistributionModel.c:Ser" meanInRealSpace="true" name="distr">
#                    <parameter estimate="false" id="RealParameter.1" lower="0.0" name="M" upper="1.0">1.0</parameter>
#                </LogNormal>
#                <rateCategories dimension="112" id="rateCategories.c:Ser" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#                <parameter estimate="false" id="ucldMean.c:Ser" name="clock.rate">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	gammaShape	mutationRate	ucldStdev	rate.mean	rate.variance	rate.coefficientOfVariation	BayesianSkyline	bPopSizes.1	bPopSizes.2	bPopSizes.3	bPopSizes.4	bPopSizes.5	bGroupSizes.1	bGroupSizes.2	bGroupSizes.3	bGroupSizes.4	bGroupSizes.5
0	-15236.330610733417	-14869.676802247392	-366.6538084860261	-14869.676802247392	1.0104201266775439	1.0	1.0	0.1	1.0139369795881956	0.008424343227652559	0.09296785157740835	-332.77231636754476	380.0	380.0	380.0	380.0	380.0	12	11	11	11	11
10000	-8444.711713601338	-8223.24470615858	-221.46700744275776	-8223.24470615858	5.123146829017381	1.0	1.0	1.3667533379301535	0.5431591790860638	2.9888406853071645	1.6756908002678477	-197.44177343950088	28.241819139524917	36.30931904776645	31.114170170466704	10.32791809677056	8.292853445304187	11	3	4	21	17
20000	-7970.23179785358	-7753.6176034390655	-216.614194414515	-7753.6176034390655	5.7837675571125065	0.8330632848188106	1.0	1.4186376077564726	0.5688521627683171	3.684582740998913	1.8462087697802416	-191.53631055175413	90.53151764456254	101.48369931855785	18.201500535521067	3.1186539200017314	3.893229611031073	1	2	30	7	16
30000	-7639.987546377573	-7446.433153334002	-193.5543930435711	-7446.433153334002	4.1641172334061	0.8330632848188106	1.0	1.2610728668423943	0.6817411411502964	3.3140632088139803	1.740243028064077	-175.73249463973835	15.851175324433818	13.520894003731478	10.436437083571608	1.9358665793623822	1.266254245923312	2	5	39	3	7
40000	-7443.131193424768	-7253.714708440732	-189.4164849840367	-7253.714708440732	6.841900832417815	1.0020120465580533	1.0	1.2464377577072214	0.5887096832709003	2.458229096437799	1.5442760409420888	-171.20779448348665	15.889629520361781	7.158068578536714	10.07677212068084	2.936430015474627	2.425301462574811	11	21	10	6	8
50000	-7248.6696766307805	-7090.358880364459	-158.31079626632172	-7090.358880364459	1.301215527818352	0.8097136722245833	1.0	0.6219546806611173	1.0349915620483932	0.38996014108395843	0.6005791176209866	-140.96370439882443	15.208690844043781	22.610101855254044	9.508682818762413	5.103765153269278	1.328356153229623	2	10	6	17	21
60000	-7231.200549446829	-7086.808114659148	-144.3924347876821	-7086.808114659148	1.8311396876231598	0.8097136722245833	1.0	0.2658825983498111	1.0158138602059261	0.061143367493698385	0.24455912911555946	-130.20258598421503	20.962876758479904	8.780253702898298	7.530102851121721	2.446201844134869	1.3261864294171435	6	6	14	17	13
70000	-7152.982661069946	-7015.7640426302305	-137.21861843971476	-7015.7640426302305	2.3950971048053984	0.8080793436659836	1.0	0.33554656484337486	0.9374857848460034	0.1637450491555174	0.40738132379609976	-124.30640865265312	14.405727758948315	3.320681620688457	4.5430721155381075	3.057980328567508	0.9505707611850225	12	8	2	14	20
80000	-7136.73985493974	-6998.447196142359	-138.29265879738165	-6998.447196142359	1.7154809225288414	0.9254103674890346	1.0	0.38220319364530914	0.9085053254677755	0.1373697292396752	0.3962681548979997	-122.57537905396207	41.56901129892712	7.660827334312076	7.241470306831774	2.685279742238949	0.7953315335041802	5	3	21	8	19
90000	-7141.184816323151	-7005.313705210772	-135.8711111123785	-7005.313705210772	1.725594337899062	0.780026573597718	1.0	0.37497225033021003	1.041928798956952	0.1360644667544716	0.3548501165111171	-124.32693406363698	12.871427385772016	7.823424999150687	1.1613090034651778	1.7233698211110453	0.2650321718440926	18	3	5	26	4
100000	-7127.190398720067	-6990.100195610762	-137.09020310930427	-6990.100195610762	1.740483818882453	0.8965626140637928	1.0	0.3170544913204293	1.0709227405693553	0.1373667415894414	0.34754125588358115	-125.31481518223089	13.887186912948296	10.77947493165868	2.11962379803079	0.8963234102225678	0.8259573172966878	22	1	19	8	6
110000	-7128.075922339387	-6990.7560218851295	-137.31990045425798	-6990.7560218851295	1.6066648531962815	0.8267356429614043	1.0	0.3790537463814445	1.0088619845923732	0.14561915107819784	0.38107683776302403	-124.5178024883064	28.56122035378445	5.7664428799591025	1.7582328395899076	0.8858461579664975	1.364784293651171	6	22	4	16	8
120000	-7142.561573469655	-7007.0120256751625	-135.54954779449267	-7007.0120256751625	2.673407876707701	0.8446814091977296	1.0	0.288025212018306	0.9666570343317438	0.09494827264421081	0.3141550466592212	-121.82830819553118	27.320373323953767	6.320147581879144	3.39049173652347	2.3156840197684985	1.7276392564973948	5	13	2	5	31
130000	-7149.880710675666	-6999.1017465514	-150.77896412426583	-6999.1017465514	1.9381767989851861	0.9074327276573811	1.0	0.34050547179073554	1.0213251626331208	0.10922351376696542	0.3239130598353197	-134.69490106473887	61.60280204909157	11.281802999138764	3.134549764660693	3.1410119654848105	1.2169755812043839	3	26	7	3	17
140000	-7145.88609322481	-7002.824006145952	-143.06208707885773	-7002.824006145952	1.808470855572383	0.8903086477585673	1.0	0.4244259547495647	0.9009438838849327	0.1907543091793789	0.439596980103789	-126.66837940384008	31.164358618407753	15.735134917896021	4.611243078368504	4.84636172539202	1.054553114397804	4	12	4	16	20
150000	-7158.697016242216	-7005.965931752456	-152.73108448976043	-7005.965931752456	2.295562689358545	0.7631642106712686	1.0	0.33899458102311386	0.9983599426103612	0.11159307140990399	0.35062814853711594	-138.4468383117119	20.16779110116729	22.23398556149925	1.5220358392128208	1.898242972455823	1.0700906040751825	22	2	16	6	10
160000	-7135.981943491235	-6993.912216196625	-142.06972729461037	-6993.912216196625	3.2592973793538493	0.8095922137251653	1.0	0.35056535097927255	0.911220306382922	0.14276933413553336	0.3727821847861617	-129.2432313256842	26.10481820535746	3.237921097377421	2.944733480690818	1.402082732322783	1.3682683857705367	15	14	7	1	19
170000	-7144.224623693673	-6998.646995195763	-145.57762849790947	-6998.646995195763	1.2956107993090962	0.8850385986523757	1.0	0.33718195586106536	0.9714758185845184	0.13251304723615037	0.3685820489780429	-131.51173319966458	31.545832538658335	16.122188947504796	4.384186529555109	1.4364570761863378	0.2666833083228259	1	11	27	11	6
180000	-7139.484243327821	-6995.110588289177	-144.37365503864365	-6995.110588289177	2.112911289533794	0.8850385986523757	1.0	0.3226267394331386	0.9524210034688504	0.12972763373258875	0.37091654598069534	-131.56134918945517	24.849307027089388	12.668355657096551	2.2631873155888846	1.1866456230694478	0.544617209622068	8	10	16	16	6
190000	-7134.88007724946	-7006.777883069234	-128.1021941802255	-7006.777883069234	1.5107914642787645	0.8850385986523757	1.0	0.31188797327164525	0.9959821336186786	0.10259865132488225	0.3272500139019388	-114.89638207451992	25.006412771341974	13.517597198935238	2.6952471611344135	1.4867056170773336	0.5051132678481179	8	6	6	22	14
200000	-7138.586228877431	-6985.658210938661	-152.92801793876978	-6985.658210938661	2.519356808901206	0.8670169110699338	1.0	0.4002573658306711	0.9020864751378153	0.1365269978481196	0.3954305751832673	-138.2151481540646	13.443584427345819	11.691820564993852	11.406126608343623	2.222587197599386	0.6925941116184917	11	1	13	23	8
210000	-7138.6347224714955	-7004.009645976896	-134.6250764946002	-7004.009645976896	1.832337939242332	0.8670169110699338	1.0	0.2792253119749104	1.0050418578188984	0.1012004484981038	0.3131390927144066	-120.71241687662773	12.027619004633552	14.605692432868691	8.16977270712245	2.102132355037312	0.8255560067934584	9	2	15	18	12
220000	-7162.965809173853	-7016.888800759713	-146.0770084141391	-7016.888800759713	2.2211993618107324	0.7775018160590882	1.0	0.24033461381520033	1.0181466029577628	0.06305644189391092	0.2504439365360914	-129.216303410611	45.30166483507731	26.097466621923953	15.231242385858605	1.9733656763582972	1.0863561392672136	4	9	6	24	13
230000	-7154.660372564817	-7012.406598729193	-142.25377383562366	-7012.406598729193	1.3561778006844891	0.9081890830194002	1.0	0.26307339004808766	1.0134276668362447	0.06975447440007694	0.2638637248923172	-126.65162979782191	57.231396401020135	20.989597139710945	4.086131314200489	1.9070880427197425	0.8037069613741948	2	14	2	20	18
240000	-7152.1265736008545	-7006.0668816751195	-146.0596919257352	-7006.0668816751195	1.6781303636615723	0.9313476663618019	1.0	0.24866202976410567	0.9904289197810113	0.07955218839274518	0.2933866486583636	-130.174780386358	30.01828578538526	5.2283557014060476	8.459001544677768	5.512110348103579	1.2163704076624733	8	1	12	5	30
250000	-7141.399566162948	-7002.670274623426	-138.72929153952205	-7002.670274623426	2.1063770853636923	0.8761273218319393	1.0	0.2130245066541189	0.9658029844705102	0.04142408488744556	0.2093171581867011	-123.66480585341283	31.981194987147227	4.656634019752533	9.270170751910577	2.6069004671559513	0.7624684768527654	6	6	5	27	12
