#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BirthDeath.t:Ser_ArchBact" spec="beast.evolution.speciation.BirthDeathGernhard08Model">
#            <parameter id="relativeDeathRate2.t:Ser_ArchBact" lower="0.0" name="relativeDeathRate" upper="1.0">0.5</parameter>
#            <parameter id="birthRate2.t:Ser_ArchBact" lower="0.0" name="birthDiffRate" upper="10000.0">1.0</parameter>
#            <tree id="Tree.t:Ser_ArchBact">
#                <taxonset id="TaxonSet.Ser_ArchBact" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="BirthRatePrior.t:Ser_ArchBact" name="distribution" x="@birthRate2.t:Ser_ArchBact">
#            <Uniform id="Uniform.4" name="distr" upper="1000.0"/>
#        </prior>
#        <prior id="GammaShapePrior.s:Ser_ArchBact" name="distribution">
#            <parameter id="gammaShape.s:Ser_ArchBact" name="x">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter id="RealParameter.0" lower="0.0" name="mean" upper="0.0">1.0</parameter>
#            </Exponential>
#        </prior>
#        <prior id="DeathRatePrior.t:Ser_ArchBact" name="distribution" x="@relativeDeathRate2.t:Ser_ArchBact">
#            <Uniform id="Uniform.5" name="distr"/>
#        </prior>
#        <prior id="ucldStdevPrior.c:Ser_ArchBact" name="distribution">
#            <parameter id="ucldStdev.c:Ser_ArchBact" lower="0.0" name="x">0.1</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.2" name="alpha">0.5396</parameter>
#                <parameter estimate="false" id="RealParameter.3" name="beta">0.3819</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@Ser_ArchBact" id="treeLikelihood.Ser_ArchBact" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:Ser_ArchBact">
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:Ser_ArchBact" shape="@gammaShape.s:Ser_ArchBact" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:Ser_ArchBact" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:Ser_ArchBact" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="WAG.s:Ser_ArchBact" spec="beast.evolution.substitutionmodel.WAG"/>
#            </siteModel>
#            <branchRateModel id="RelaxedClock.c:Ser_ArchBact" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:Ser_ArchBact">
#                <LogNormal S="@ucldStdev.c:Ser_ArchBact" id="LogNormalDistributionModel.c:Ser_ArchBact" meanInRealSpace="true" name="distr">
#                    <parameter estimate="false" id="RealParameter.1" lower="0.0" name="M" upper="1.0">1.0</parameter>
#                </LogNormal>
#                <rateCategories dimension="74" id="rateCategories.c:Ser_ArchBact" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#                <parameter estimate="false" id="ucldMean.c:Ser_ArchBact" name="clock.rate">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	gammaShape	mutationRate	ucldStdev	rate.mean	rate.variance	rate.coefficientOfVariation	BirthDeath	birthRate2	relativeDeathRate2
0	-9226.22905736307	-9232.009400058954	5.7803426958826405	-9232.009400058954	0.6425200115508931	1.0	1.0	0.1	0.9955857044734073	0.007555093246359929	0.08708234450425374	12.868733829743976	1.0	0.5
10000	-4999.432217835075	-4987.37711207107	-12.055105764004907	-4987.37711207107	1.4390409733582965	0.9554116693939467	1.0	0.31026177408570565	0.9868833111567574	0.09917627485618258	0.3145813499903697	-3.9394491959155618	2.0071917255852973	0.33541249226102166
20000	-4977.790963423355	-4963.007392470348	-14.783570953006494	-4963.007392470348	1.4645389737003758	0.9688600482145544	1.0	0.39060339314198017	0.975748101732654	0.233177309546262	0.5018611121357732	-6.338073336895604	2.19973578787806	0.1498348200762498
30000	-4971.012779621512	-4954.637859373149	-16.37492024836362	-4954.637859373149	1.249846988866621	0.9688600482145544	1.0	0.4659323687235845	1.0030267081331292	0.22263596264284694	0.4695116280224176	-7.650984204524957	1.8292324394487314	0.43075111955454526
40000	-4971.347252140604	-4959.804196315642	-11.543055824961511	-4959.804196315642	1.4565055254956425	0.930268141675815	1.0	0.4716854357087076	0.9202153892952769	0.1895686552610392	0.4421299122590402	-2.8369974127049034	2.7909747005606813	0.10287652960171402
50000	-4985.4373742896105	-4969.835375735772	-15.6019985538383	-4969.835375735772	1.7111676327949845	0.8186916508693017	1.0	0.38411245800635097	0.8985785613069115	0.1055937164600373	0.3501124998163959	-7.331380838826218	2.0016711672102594	0.07602001175645727
60000	-4984.130100010052	-4962.079771567008	-22.0503284430438	-4962.079771567008	1.5969767239231307	1.0065001439167167	1.0	0.503521335537836	0.9774201255363758	0.2880613738531488	0.5531157273949464	-13.154605693493654	2.201250905706427	0.0865839471565913
70000	-4973.987263703688	-4961.703386650635	-12.283877053052922	-4961.703386650635	1.5607275415109607	1.1470264285359724	1.0	0.3176784187169981	0.9647125323772562	0.08762754355883313	0.30631887550356507	-3.9463092042303294	1.7551775886478735	0.29662641065573625
80000	-4983.9748086223935	-4977.872450528289	-6.10235809410416	-4977.872450528289	1.1552129815847323	1.1613998642310372	1.0	0.314911021762856	1.0370813440771312	0.10595961684338549	0.32184650424894967	2.2383085378087904	2.8197945336274235	0.02534043221077602
90000	-4984.862987614641	-4959.376585524647	-25.48640208999274	-4959.376585524647	2.3499815939140545	0.8352473395350674	1.0	0.5519172860559269	0.7999286981346482	0.23359241745977324	0.534813061203424	-16.592956123772957	2.3877198940251714	0.011551459166978322
100000	-4964.037906254986	-4958.555691415752	-5.482214839234487	-4958.555691415752	1.629948819027758	0.8202443754964136	1.0	0.3611848832207368	1.0173058617454056	0.1314171600649494	0.360118874696563	2.7015845528582467	2.4457368930689043	0.28061402083929876
110000	-4983.808144679243	-4966.574062241581	-17.23408243766232	-4966.574062241581	1.9338268992559253	1.0618880548089633	1.0	0.34989059356813446	0.9272458248026123	0.13215476464612033	0.38901540532816187	-8.852839967709068	1.7434178481346323	0.21039196397465765
120000	-4981.420869378258	-4962.326881029331	-19.093988348927677	-4962.326881029331	2.0831402700842743	0.8965804562854225	1.0	0.45094216596032144	0.9331186474278864	0.2048237169541191	0.44513838705423703	-10.496639263498555	1.4710606068819465	0.4482194220548045
130000	-4981.761163190484	-4975.972270564715	-5.788892625769586	-4975.972270564715	1.3516630170052408	0.962333991127829	1.0	0.10353354420794357	1.0031649920774195	0.010412262015474584	0.1010985465956336	1.2870726447712908	2.3320891040359575	0.11633389185211884
140000	-4981.0013654572285	-4959.047881267932	-21.95348418929652	-4959.047881267932	2.0281900973907367	0.962333991127829	1.0	0.5057429805843786	0.9499456365555314	0.19320839283259583	0.458484630019771	-13.094083328868473	2.004450482460291	0.03233734661798753
150000	-4973.458522538644	-4961.001142815072	-12.4573797235721	-4961.001142815072	1.3191535489559338	1.036280429592204	1.0	0.4855830950091709	0.9213462316260306	0.16556151857098128	0.44248974713841915	-3.5955490427472263	2.580866412520284	0.0202985011745422
160000	-4974.946320749462	-4963.382029292071	-11.564291457390635	-4963.382029292071	1.494703278686912	1.036280429592204	1.0	0.33370336503969567	1.053545323677144	0.15492358379804927	0.37342098936697327	-3.2728509006823465	2.409930793663629	0.13058654563598074
170000	-4986.755385014751	-4973.337659737611	-13.41772527713965	-4973.337659737611	1.4619653038169045	0.9662256273736975	1.0	0.191447543618961	1.0218286682306916	0.04192136873769275	0.19927985614601817	-5.824650494396683	1.4131557781378006	0.2560450560106378
180000	-4979.829787143625	-4976.932746826137	-2.8970403174876314	-4976.932746826137	0.9821408450722876	1.012912930600735	1.0	0.3158394941618569	1.0700298761430016	0.09928139295728378	0.2902789364465162	5.298926002982748	3.3361799416638678	0.019173245590571143
190000	-4986.122948401919	-4971.126512739195	-14.996435662723572	-4971.126512739195	1.586644133696598	1.0754630389592204	1.0	0.3200385664204289	0.9587655432191273	0.0919312071114988	0.31579559277502334	-6.720843354067899	2.166133904284046	0.2756768728713274
200000	-4982.641109860799	-4973.330309334564	-9.31080052623482	-4973.330309334564	1.581057449298338	0.8148567669020844	1.0	0.31761796431186	0.9976803313099621	0.08252667464838703	0.295210085824827	-1.30564826084116	2.5517240537525856	0.09427026716565386
210000	-4977.600794983059	-4963.072360000181	-14.528434982878068	-4963.072360000181	1.380222898320872	1.1261107605971643	1.0	0.43376167250913517	0.9555422630057185	0.17720614839924873	0.4402202208767139	-5.764426194203322	1.883800915395476	0.037384721624993233
220000	-4978.958379248418	-4970.407497370866	-8.55088187755225	-4970.407497370866	1.504053570075178	1.0408857719481563	1.0	0.24463980298027982	1.0146410341069652	0.06433637010011431	0.25757550294624476	-0.6309860460464805	2.2543494025260435	0.2737781669293742
