#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BirthDeath.t:Ser_ArchEuk" spec="beast.evolution.speciation.BirthDeathGernhard08Model">
#            <parameter id="relativeDeathRate2.t:Ser_ArchEuk" lower="0.0" name="relativeDeathRate" upper="1.0">0.5</parameter>
#            <parameter id="birthRate2.t:Ser_ArchEuk" lower="0.0" name="birthDiffRate" upper="10000.0">1.0</parameter>
#            <tree id="Tree.t:Ser_ArchEuk">
#                <taxonset id="TaxonSet.Ser_ArchEuk" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="BirthRatePrior.t:Ser_ArchEuk" name="distribution" x="@birthRate2.t:Ser_ArchEuk">
#            <Uniform id="Uniform.4" name="distr" upper="1000.0"/>
#        </prior>
#        <prior id="GammaShapePrior.s:Ser_ArchEuk" name="distribution">
#            <parameter id="gammaShape.s:Ser_ArchEuk" name="x">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter id="RealParameter.0" lower="0.0" name="mean" upper="0.0">1.0</parameter>
#            </Exponential>
#        </prior>
#        <prior id="DeathRatePrior.t:Ser_ArchEuk" name="distribution" x="@relativeDeathRate2.t:Ser_ArchEuk">
#            <Uniform id="Uniform.5" name="distr"/>
#        </prior>
#        <prior id="ucldStdevPrior.c:Ser_ArchEuk" name="distribution">
#            <parameter id="ucldStdev.c:Ser_ArchEuk" lower="0.0" name="x">0.1</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.2" name="alpha">0.5396</parameter>
#                <parameter estimate="false" id="RealParameter.3" name="beta">0.3819</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@Ser_ArchEuk" id="treeLikelihood.Ser_ArchEuk" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:Ser_ArchEuk">
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:Ser_ArchEuk" shape="@gammaShape.s:Ser_ArchEuk" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:Ser_ArchEuk" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:Ser_ArchEuk" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="WAG.s:Ser_ArchEuk" spec="beast.evolution.substitutionmodel.WAG"/>
#            </siteModel>
#            <branchRateModel id="RelaxedClock.c:Ser_ArchEuk" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:Ser_ArchEuk">
#                <LogNormal S="@ucldStdev.c:Ser_ArchEuk" id="LogNormalDistributionModel.c:Ser_ArchEuk" meanInRealSpace="true" name="distr">
#                    <parameter estimate="false" id="RealParameter.1" lower="0.0" name="M" upper="1.0">1.0</parameter>
#                </LogNormal>
#                <rateCategories dimension="72" id="rateCategories.c:Ser_ArchEuk" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#                <parameter estimate="false" id="ucldMean.c:Ser_ArchEuk" name="clock.rate">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	gammaShape	mutationRate	ucldStdev	rate.mean	rate.variance	rate.coefficientOfVariation	BirthDeath	birthRate2	relativeDeathRate2
0	-8556.735942118277	-8557.268700911845	0.5327587935678066	-8557.268700911845	2.3294093478521565	1.0	1.0	0.1	0.9632644220559631	0.008552150133812523	0.09171814415094304	7.621149927429141	1.0	0.5
10000	-4846.589769991106	-4834.095650273708	-12.494119717397368	-4834.095650273708	1.2472933983329346	1.006815391663134	1.0	0.3544942362208505	1.0699399381108394	0.13542149904667813	0.3481146140838562	-4.149877183036258	2.283991934776148	0.37595052523252975
20000	-4836.669662710458	-4818.672737013038	-17.99692569741956	-4818.672737013038	1.914504676898958	0.9322432622268343	1.0	0.4346776507622723	0.9617782016911882	0.18146155806680964	0.4482284224862535	-9.42341472486416	1.7575667747061683	0.03014330710363052
30000	-4828.805809141214	-4813.106940902761	-15.698868238452619	-4813.106940902761	1.2194902358689483	1.1750679511633788	1.0	0.43239598195931367	1.0678485388581684	0.16764514769987277	0.39225124794714256	-6.890930149086481	1.4151116550910952	0.1287564823606881
40000	-4835.339473234581	-4824.98013812085	-10.359335113731404	-4824.98013812085	1.5174517764764421	1.1750679511633788	1.0	0.26607637905722736	0.9503245131762065	0.08448575588977107	0.29091368376864046	-2.2104537428217457	2.0849239293820774	0.12422752033940608
50000	-4829.390246801724	-4819.035455469115	-10.354791332609103	-4819.035455469115	1.8965775803958942	1.0624053499945993	1.0	0.19020404781678574	0.9947318581384438	0.046925375661826925	0.20887248270094655	-2.671793062001661	1.448032152732165	0.40810491300268975
60000	-4835.370223797958	-4826.674480440272	-8.695743357685805	-4826.674480440272	1.8813737898303895	1.0624053499945993	1.0	0.1155687099012491	1.0323039558854998	0.012206520351749928	0.10734567440726428	-1.437562812190043	2.1375743558760147	0.23794447040236702
70000	-4836.622647650208	-4826.00940797379	-10.613239676417688	-4826.00940797379	1.9751746204579002	1.061396522176156	1.0	0.010201925985106169	0.9997250426537212	6.924907520379062E-5	0.008321241259316972	-4.749493187975798	1.31146507988259	0.44803821209902844
80000	-4841.362686715892	-4829.495544993582	-11.867141722309555	-4829.495544993582	1.519547444361639	1.005344853615238	1.0	0.06905435591813093	1.0108589187442996	0.005481889607422365	0.0737710828362407	-5.024911660352796	1.784155663325778	0.1680880602999914
90000	-4835.543476385127	-4824.373147969566	-11.170328415561272	-4824.373147969566	1.6789541016796088	1.0272951329507893	1.0	0.12367170839031473	0.9930413012605183	0.013469160817930675	0.11532674478934604	-3.894841351748129	2.9105981989682244	0.12373234817294253
100000	-4840.977694504437	-4828.534904258483	-12.44279024595373	-4828.534904258483	1.8988548540792696	1.0180348864431192	1.0	0.056770849135276254	1.0073450623501774	0.002798130116139256	0.05245763288528068	-5.710213350387313	2.491850264446595	0.08807325600710465
110000	-4837.842692235963	-4827.21219054142	-10.630501694543145	-4827.21219054142	1.7119749684227696	1.1234838041840554	1.0	0.10616054250275186	1.0029146361643289	0.012956444063053987	0.11362027519334288	-3.3749716815453032	2.181859614902966	0.24154917874060633
120000	-4841.83281890921	-4823.689043732845	-18.14377517636479	-4823.689043732845	2.2690675130491536	0.9678272683156649	1.0	0.21200794580065777	0.9562784839166366	0.05332175707977614	0.23363977701822689	-10.448296255771936	1.7670680664915888	0.18091183053503482
130000	-4843.914342357533	-4828.967389754153	-14.946952603379993	-4828.967389754153	1.6108683735902072	1.0853592673898913	1.0	0.24518640878256492	0.9837968070002173	0.048208907009760917	0.2241412449738424	-6.980124458947833	1.9110623611964974	0.46002942080098164
