#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BayesianSkyline.t:Thr" spec="beast.evolution.tree.coalescent.BayesianSkyline">
#            <parameter dimension="5" id="bPopSizes.t:Thr" lower="0.0" name="popSizes" upper="380000.0">380.0</parameter>
#            <groupSizes dimension="5" id="bGroupSizes.t:Thr" spec="beast.core.parameter.IntegerParameter">1</groupSizes>
#            <treeIntervals id="BSPTreeIntervals.t:Thr" spec="beast.evolution.tree.coalescent.TreeIntervals">
#                <tree id="Tree.t:Thr">
#                    <taxonset id="TaxonSet.Thr" spec="beast.evolution.alignment.TaxonSet">
#                    </taxonset>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <distribution id="MarkovChainedPopSizes.t:Thr" jeffreys="true" parameter="@bPopSizes.t:Thr" spec="beast.math.distributions.MarkovChainDistribution"/>
#        <prior id="GammaShapePrior.s:Thr" name="distribution">
#            <parameter id="gammaShape.s:Thr" name="x">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter id="RealParameter.0" lower="0.0" name="mean" upper="0.0">1.0</parameter>
#            </Exponential>
#        </prior>
#        <prior id="ucldStdevPrior.c:Thr" name="distribution">
#            <parameter id="ucldStdev.c:Thr" lower="0.0" name="x">0.1</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.2" name="alpha">0.5396</parameter>
#                <parameter estimate="false" id="RealParameter.3" name="beta">0.3819</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@Thr" id="treeLikelihood.Thr" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:Thr">
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:Thr" shape="@gammaShape.s:Thr" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:Thr" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:Thr" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="WAG.s:Thr" spec="beast.evolution.substitutionmodel.WAG"/>
#            </siteModel>
#            <branchRateModel id="RelaxedClock.c:Thr" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:Thr">
#                <LogNormal S="@ucldStdev.c:Thr" id="LogNormalDistributionModel.c:Thr" meanInRealSpace="true" name="distr">
#                    <parameter estimate="false" id="RealParameter.1" lower="0.0" name="M" upper="1.0">1.0</parameter>
#                </LogNormal>
#                <rateCategories dimension="108" id="rateCategories.c:Thr" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#                <parameter estimate="false" id="ucldMean.c:Thr" name="clock.rate">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	gammaShape	mutationRate	ucldStdev	rate.mean	rate.variance	rate.coefficientOfVariation	BayesianSkyline	bPopSizes.1	bPopSizes.2	bPopSizes.3	bPopSizes.4	bPopSizes.5	bGroupSizes.1	bGroupSizes.2	bGroupSizes.3	bGroupSizes.4	bGroupSizes.5
0	-16140.548693901406	-15785.778136502358	-354.7705573990476	-15785.778136502358	1.3790040743789151	1.0	1.0	0.1	1.0152276079316926	0.010219667117354503	0.10013656700402734	-320.8890652805663	380.0	380.0	380.0	380.0	380.0	11	11	11	11	10
10000	-7822.44812687656	-7648.094064932034	-174.35406194452628	-7648.094064932034	7.17024215167398	1.0	1.0	1.0176674504641312	0.7063225654171033	0.9436831601232507	1.0400605248331218	-155.98951578004613	22.509561471807764	11.533455864245582	10.759925529568207	1.0515212405562795	2.177280608892671	7	13	20	10	4
20000	-7208.220785971386	-7060.683840743702	-147.53694522768433	-7060.683840743702	1.6029912071815535	0.9969398213774863	1.0	0.8879837359464359	1.1332519278722228	1.3419921142074962	1.0391100347502198	-129.11536868794596	86.53903482476088	36.265772621040426	4.94495352025303	0.35430470886543425	0.5227255123485681	1	4	35	6	8
30000	-6717.687445296075	-6560.858576584781	-156.82886871129335	-6560.858576584781	1.7218010367424723	0.72875067679043	1.0	0.6475909926817577	0.936351959373776	0.5334059876642665	0.6932629519952346	-135.4772086986747	318.9436076220345	36.09303975392193	6.852429433914141	3.0824713055562762	0.7059687334079037	1	2	31	12	8
40000	-6670.214852898381	-6526.988532523874	-143.22632037450666	-6526.988532523874	1.7312876778475697	0.8381861033747738	1.0	0.38102560886306774	0.9692672335500342	0.17606483990076888	0.4165588368697436	-130.50771290408784	20.337911663486103	9.922642739426161	4.062571832234138	1.0011519425522957	0.48209641208015125	3	20	17	6	8
50000	-6680.966226823916	-6536.375332301581	-144.5908945223353	-6536.375332301581	1.66888293988641	0.900398288637805	1.0	0.39040091944287497	1.014019536576632	0.1683551088198226	0.3984413390552673	-129.22998249026142	10.57359532141148	1.9206300169251467	2.189884528061818	1.2879871271259933	7.181958105247513	23	3	21	5	2
60000	-6658.024970118674	-6517.022995867347	-141.00197425132646	-6517.022995867347	2.286983613965056	0.8728802561318806	1.0	0.4063553562218455	0.9924572270413864	0.17580769669550794	0.4258479689482332	-127.90522247896146	17.59496885360991	12.33461462323886	2.771008402698545	1.3757116212886338	0.8083310871964976	5	8	15	20	6
70000	-6678.053861851243	-6530.7596582448805	-147.2942036063626	-6530.7596582448805	1.9169560059606778	0.8728802561318806	1.0	0.35213163142371373	0.9604336260419404	0.12670956149118764	0.3483209139060957	-132.63241943069167	22.46382922910499	19.999006350162876	5.7277479503834865	1.4877377657561492	0.8480148716730078	4	8	21	17	4
80000	-6679.298829781584	-6529.542815179869	-149.75601460171532	-6529.542815179869	3.37622017331537	0.769134935732715	1.0	0.59267281176569	0.7908407338167417	0.27261515948630677	0.5719441610176231	-132.1504232374063	34.749411356049066	4.887804663350982	12.205769977888437	2.900038741239673	1.2219315176189933	6	13	9	13	13
90000	-6647.145841963029	-6516.747392547576	-130.39844941545329	-6516.747392547576	1.5402891494359428	0.769134935732715	1.0	0.46264954519038287	0.9185002556542338	0.24639573537409074	0.5299310141125608	-116.98473261466744	25.210095308239527	2.8586897723028653	3.3776344266866705	2.3084907118797533	0.6281398327488525	7	10	2	24	11
100000	-6671.073838585136	-6519.118314515068	-151.95552407006815	-6519.118314515068	2.876498004750458	0.7660728467208895	1.0	0.4795494690061798	0.8992471232035443	0.2750279570229061	0.5206935229987225	-136.52126649062703	23.291813622612707	9.239116842482119	3.5075227425666298	5.185295460411516	0.5025402263353453	10	2	8	27	7
110000	-6678.06024267048	-6527.752994621442	-150.30724804903798	-6527.752994621442	2.337412688012107	0.7780948657393985	1.0	0.47629336818294543	0.969932680536583	0.2999009186479538	0.5314970092089133	-135.459096394133	17.36455727039905	8.515207031464781	1.4864103332957785	4.0328669401300425	0.6687537666829022	7	7	2	27	11
