#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BayesianSkyline.t:Trp" spec="beast.evolution.tree.coalescent.BayesianSkyline">
#            <parameter dimension="5" id="bPopSizes.t:Trp" lower="0.0" name="popSizes" upper="380000.0">380.0</parameter>
#            <groupSizes dimension="5" id="bGroupSizes.t:Trp" spec="beast.core.parameter.IntegerParameter">1</groupSizes>
#            <treeIntervals id="BSPTreeIntervals.t:Trp" spec="beast.evolution.tree.coalescent.TreeIntervals">
#                <tree id="Tree.t:Trp">
#                    <taxonset id="TaxonSet.Trp" spec="beast.evolution.alignment.TaxonSet">
#                    </taxonset>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <distribution id="MarkovChainedPopSizes.t:Trp" jeffreys="true" parameter="@bPopSizes.t:Trp" spec="beast.math.distributions.MarkovChainDistribution"/>
#        <prior id="GammaShapePrior.s:Trp" name="distribution">
#            <parameter id="gammaShape.s:Trp" name="x">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter id="RealParameter.0" lower="0.0" name="mean" upper="0.0">1.0</parameter>
#            </Exponential>
#        </prior>
#        <prior id="ucldStdevPrior.c:Trp" name="distribution">
#            <parameter id="ucldStdev.c:Trp" lower="0.0" name="x">0.1</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.2" name="alpha">0.5396</parameter>
#                <parameter estimate="false" id="RealParameter.3" name="beta">0.3819</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@Trp" id="treeLikelihood.Trp" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:Trp">
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:Trp" shape="@gammaShape.s:Trp" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:Trp" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:Trp" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="WAG.s:Trp" spec="beast.evolution.substitutionmodel.WAG"/>
#            </siteModel>
#            <branchRateModel id="RelaxedClock.c:Trp" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:Trp">
#                <LogNormal S="@ucldStdev.c:Trp" id="LogNormalDistributionModel.c:Trp" meanInRealSpace="true" name="distr">
#                    <parameter estimate="false" id="RealParameter.1" lower="0.0" name="M" upper="1.0">1.0</parameter>
#                </LogNormal>
#                <rateCategories dimension="110" id="rateCategories.c:Trp" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#                <parameter estimate="false" id="ucldMean.c:Trp" name="clock.rate">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	gammaShape	mutationRate	ucldStdev	rate.mean	rate.variance	rate.coefficientOfVariation	BayesianSkyline	bPopSizes.1	bPopSizes.2	bPopSizes.3	bPopSizes.4	bPopSizes.5	bGroupSizes.1	bGroupSizes.2	bGroupSizes.3	bGroupSizes.4	bGroupSizes.5
0	-16387.308248526802	-16026.585009279679	-360.7232392471235	-16026.585009279679	0.9921595395861476	1.0	1.0	0.1	1.0065093059073185	0.010277808433260037	0.1027982214090831	-326.84174712864217	380.0	380.0	380.0	380.0	380.0	11	11	11	11	11
10000	-7396.363533958126	-7199.045485110925	-197.31804884720054	-7199.045485110925	3.4306854875424246	1.0	1.0	1.1552463593253606	0.5452321219916016	1.5284075799087888	1.4717706392451273	-177.19033210144204	42.78575604552478	9.838326713134887	14.915800256179034	4.169463329683529	0.4290684300578215	8	21	9	14	3
20000	-7189.158227957536	-7024.258381595456	-164.8998463620805	-7024.258381595456	2.578848070860463	1.0	1.0	1.0384490794488146	0.6700307369059788	1.3738927387840443	1.232947611332226	-147.86405161825382	28.988249991845144	5.989052894848741	4.800195268273744	3.5008202121652547	0.8317545245665244	12	13	14	8	8
30000	-7110.632268557995	-6955.045075143439	-155.58719341455605	-6955.045075143439	1.5725724859792096	1.102797321590555	1.0	0.9950076673173831	0.7259820040499986	1.2070878060380916	1.1134058563229376	-137.5950977261378	39.0576496718047	15.58007056745569	4.267902308683738	2.995494113026082	0.9234835590838256	3	12	5	27	8
40000	-7010.563869203513	-6856.30641398495	-154.25745521856268	-6856.30641398495	1.4370854649925944	0.8077790919562302	1.0	0.9032783053297699	0.7930955185537177	0.8394863650977055	0.9426844575403699	-136.4591733088045	81.76641070049546	8.780536166601477	3.811202933450344	2.1767017833028866	1.054877145943049	7	14	9	15	10
50000	-6975.515002085291	-6817.266950958965	-158.24805112632535	-6817.266950958965	2.4008550559890804	0.7593700015079723	1.0	0.8694371656575083	0.7154947423796661	0.5877420395168762	0.8222227715935255	-143.91535745646698	19.44107640821225	1.9597125952345684	2.3540012221595163	2.8858148282181606	0.9546684000217759	20	8	14	7	6
60000	-6962.847265002721	-6811.256494852384	-151.59077015033668	-6811.256494852384	2.2018362423549864	0.8558958323294057	1.0	0.8981554788642795	0.7116247668795992	0.8339303216375143	0.8981474141080266	-134.28444690385794	71.59396473554239	10.076914264021813	3.5900334510915606	1.3079134971515005	1.1888662759342037	5	11	27	6	6
70000	-6947.41928356437	-6802.334916485516	-145.0843670788532	-6802.334916485516	1.5888386251930036	0.8717341078201022	1.0	0.8923653434202155	0.6991340906850674	0.9672757960345284	1.0413411934892762	-128.66373132968334	35.25126765675609	11.236436951307658	3.6078379024451133	2.3081238986004085	0.7905097795631036	9	8	15	11	12
80000	-6978.47483147075	-6823.657335766352	-154.81749570439862	-6823.657335766352	1.5028753893850275	0.9106842387377868	1.0	0.7379559566953898	0.8186908202382126	0.754512654830466	0.890878392613006	-137.26539030331065	73.50045208464074	15.133366553922336	2.9592270863836014	2.404007312896691	0.9200933748173418	4	19	1	19	12
90000	-6929.219554892183	-6774.344463263361	-154.87509162882222	-6774.344463263361	1.8359506848805054	0.891036210167285	1.0	0.6773658985749987	0.792047541428071	0.4402828003756097	0.7155607299841322	-139.87567926828723	27.663281991970734	5.5743739628041915	3.367425323285944	2.0758102838472063	1.6818680955367644	10	11	18	2	14
