#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BayesianSkyline.t:Tyr" spec="beast.evolution.tree.coalescent.BayesianSkyline">
#            <parameter dimension="5" id="bPopSizes.t:Tyr" lower="0.0" name="popSizes" upper="380000.0">380.0</parameter>
#            <groupSizes dimension="5" id="bGroupSizes.t:Tyr" spec="beast.core.parameter.IntegerParameter">1</groupSizes>
#            <treeIntervals id="BSPTreeIntervals.t:Tyr" spec="beast.evolution.tree.coalescent.TreeIntervals">
#                <tree id="Tree.t:Tyr">
#                    <taxonset id="TaxonSet.Tyr" spec="beast.evolution.alignment.TaxonSet">
#                    </taxonset>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <distribution id="MarkovChainedPopSizes.t:Tyr" jeffreys="true" parameter="@bPopSizes.t:Tyr" spec="beast.math.distributions.MarkovChainDistribution"/>
#        <prior id="GammaShapePrior.s:Tyr" name="distribution">
#            <parameter id="gammaShape.s:Tyr" name="x">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter id="RealParameter.0" lower="0.0" name="mean" upper="0.0">1.0</parameter>
#            </Exponential>
#        </prior>
#        <prior id="ucldStdevPrior.c:Tyr" name="distribution">
#            <parameter id="ucldStdev.c:Tyr" lower="0.0" name="x">0.1</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.2" name="alpha">0.5396</parameter>
#                <parameter estimate="false" id="RealParameter.3" name="beta">0.3819</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@Tyr" id="treeLikelihood.Tyr" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:Tyr">
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:Tyr" shape="@gammaShape.s:Tyr" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:Tyr" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:Tyr" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="WAG.s:Tyr" spec="beast.evolution.substitutionmodel.WAG"/>
#            </siteModel>
#            <branchRateModel id="RelaxedClock.c:Tyr" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:Tyr">
#                <LogNormal S="@ucldStdev.c:Tyr" id="LogNormalDistributionModel.c:Tyr" meanInRealSpace="true" name="distr">
#                    <parameter estimate="false" id="RealParameter.1" lower="0.0" name="M" upper="1.0">1.0</parameter>
#                </LogNormal>
#                <rateCategories dimension="106" id="rateCategories.c:Tyr" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#                <parameter estimate="false" id="ucldMean.c:Tyr" name="clock.rate">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	gammaShape	mutationRate	ucldStdev	rate.mean	rate.variance	rate.coefficientOfVariation	BayesianSkyline	bPopSizes.1	bPopSizes.2	bPopSizes.3	bPopSizes.4	bPopSizes.5	bGroupSizes.1	bGroupSizes.2	bGroupSizes.3	bGroupSizes.4	bGroupSizes.5
0	-16983.453140489197	-16634.58094979893	-348.8721906902682	-16634.58094979893	2.3894045537142077	1.0	1.0	0.1	0.990642544183818	0.009808755716163756	0.10030909690151212	-314.9906985717869	380.0	380.0	380.0	380.0	380.0	11	11	11	10	10
10000	-7836.984255772323	-7616.098132650525	-220.8861231217982	-7616.098132650525	4.459785344923353	1.0	1.0	1.2721553908281802	0.3778845267330003	1.9927627199350693	1.7728775955938796	-195.18305681508062	50.331660094278924	28.26066704257625	32.393968920622086	37.37818905278924	5.338206571391953	3	25	8	6	11
20000	-7590.221463583935	-7380.51856235058	-209.70290123335442	-7380.51856235058	4.000960211489139	1.14247217774669	1.0	1.469373158168447	0.3807511249990434	2.8616973000005386	2.2566594599778136	-186.59346672711231	24.232129280717583	10.018292365309954	26.165796912527327	11.961762641031859	0.6582340145691786	7	16	3	21	6
30000	-7554.56840857422	-7366.534940624561	-188.03346794965833	-7366.534940624561	2.929782966710055	1.2771643673501365	1.0	1.298510304349464	0.48149707114847223	2.0865541736652276	1.7662049313201431	-168.56870842703177	18.239636283723314	5.498909441186462	6.98424064186834	9.27959599709206	0.9728763346506063	21	3	1	21	7
40000	-7411.270212193567	-7232.999435174937	-178.27077701862936	-7232.999435174937	2.393728691436135	1.3150873574506883	1.0	1.039575958018061	0.5862867682393383	0.8703125986200878	1.1164337861673983	-157.3914020209855	64.04592348346685	16.26966199420326	9.354892855065053	5.650679960121963	1.8995946667853867	1	9	6	29	8
50000	-7292.17593853326	-7124.547959405768	-167.62797912749213	-7124.547959405768	1.9836284360747198	1.3358081445698822	1.0	0.9619485365331046	0.6069778993678345	1.0893695256985623	1.142418094544173	-149.72392975975853	23.96978961690648	7.773003737261625	7.150968152372841	4.5413574528840135	1.4728050070031273	4	9	32	1	7
60000	-7283.681389205865	-7114.579377528679	-169.10201167718577	-7114.579377528679	1.7873979822364015	1.0423057558996545	1.0	0.7317986738231073	0.7353040010113485	0.46201073009446136	0.784783664604865	-150.06913276249162	25.05447096478143	16.070276129296126	8.045610627647255	10.551469753776376	1.3214766065482517	6	18	7	11	11
70000	-7225.3461311343635	-7087.699735257193	-137.64639587717022	-7087.699735257193	1.5998739937415518	1.162993333994523	1.0	0.463881995909536	0.8805103379954073	0.16803252061529614	0.4405162163736013	-128.26451470976988	12.251674035812483	3.8587108536021537	1.3547397472998826	0.41022578861559267	0.260862039388007	15	22	6	9	1
80000	-7219.233578581405	-7083.644112585086	-135.58946599631835	-7083.644112585086	1.7994232125170282	1.4227539853708655	1.0	0.37361149819568157	0.9265557424815914	0.1163292997138653	0.3569316325486241	-122.9577798453636	13.651034020160331	5.535563286192445	2.028605270621193	1.4670354855178762	1.7317715760647976	11	5	15	8	14
90000	-7220.476261957806	-7086.29598248569	-134.18027947211633	-7086.29598248569	1.5984764705104242	1.4227539853708655	1.0	0.407305879306402	0.9671164960837338	0.13988674742573415	0.38147507298236644	-119.20698933670673	28.884377577759622	11.24871232538338	2.964857693974446	2.0901456314496984	1.2326360860363699	4	11	19	2	17
100000	-7203.001362091215	-7079.301722233953	-123.69963985726153	-7079.301722233953	1.5053847542096437	1.3822850990415947	1.0	0.35431662878083886	1.0298029695037756	0.11336044497009354	0.32984286888398656	-111.62305054004362	23.82770425428746	1.8523579184746262	1.0657757100819207	1.874908248219071	0.379877095145642	11	33	6	1	2
110000	-7223.348042618149	-7084.731254468503	-138.61678814964617	-7084.731254468503	1.9689435913863302	1.3822850990415947	1.0	0.35427982941916925	0.9839680709505177	0.13823977554305256	0.3674059944478255	-124.48453887691522	21.424614475914233	15.124129677126273	2.2612725496841564	2.0009572440217243	0.45199243433995945	12	7	18	14	2
120000	-7210.753778335037	-7085.268721521221	-125.48505681381594	-7085.268721521221	1.3183259311310103	1.1338058314474233	1.0	0.3430164463780171	0.9781816814278756	0.11347053868596993	0.3576718902630836	-113.09964018608294	17.105764998578678	4.911182398197867	4.235124126055441	1.413019649256007	0.4586187261210533	8	17	6	18	4
130000	-7238.706697561067	-7100.409416584984	-138.2972809760833	-7100.409416584984	2.0020207691988277	1.19438338722224	1.0	0.4222577527399983	0.8879468213254673	0.19397007763056495	0.42920735675423977	-124.30529072819321	24.14430596948406	5.3555391127186	4.026279161406364	1.6862359770487982	1.2747501694481347	6	4	31	2	10
140000	-7195.9391004791205	-7077.095715705329	-118.84338477379185	-7077.095715705329	1.8701712948013984	1.19438338722224	1.0	0.3913049706324662	0.9536042747441668	0.15985323700453108	0.3996831347927665	-105.82100165018393	23.145891181923187	1.112919898046186	2.4106062088569957	1.6866672498966169	0.9266743142493145	5	4	12	19	13
150000	-7225.38805455834	-7093.901685552386	-131.48636900595338	-7093.901685552386	1.2883116981344649	1.4329554236399409	1.0	0.35162259738680723	0.9914620023225631	0.13897619250093837	0.37948936908833303	-116.85055939663158	19.530274714487035	2.9391086738745025	4.129256110214956	4.40300209162039	1.0580659993736574	12	8	2	18	13
160000	-7209.239560174073	-7083.637544366169	-125.60201580790341	-7083.637544366169	1.3401726250864652	1.3787713102012444	1.0	0.31504161405580394	0.9472173874663545	0.09266126698938688	0.30612675643480075	-114.12684311434496	13.689903431380168	3.6779485054914605	2.9383152764454117	0.7092170676395151	0.88333795240875	12	11	15	3	12
