#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BayesianSkyline.t:Leu" spec="beast.evolution.tree.coalescent.BayesianSkyline">
#            <parameter dimension="5" id="bPopSizes.t:Leu" lower="0.0" name="popSizes" upper="380000.0">380.0</parameter>
#            <groupSizes dimension="5" id="bGroupSizes.t:Leu" spec="beast.core.parameter.IntegerParameter">1</groupSizes>
#            <treeIntervals id="BSPTreeIntervals.t:Leu" spec="beast.evolution.tree.coalescent.TreeIntervals">
#                <tree id="Tree.t:Leu">
#                    <taxonset id="TaxonSet.Leu" spec="beast.evolution.alignment.TaxonSet">
#                    </taxonset>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <distribution id="MarkovChainedPopSizes.t:Leu" jeffreys="true" parameter="@bPopSizes.t:Leu" spec="beast.math.distributions.MarkovChainDistribution"/>
#        <prior id="GammaShapePrior.s:Leu" name="distribution">
#            <parameter id="gammaShape.s:Leu" name="x">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter id="RealParameter.0" lower="0.0" name="mean" upper="0.0">1.0</parameter>
#            </Exponential>
#        </prior>
#        <prior id="ucldStdevPrior.c:Leu" name="distribution">
#            <parameter id="ucldStdev.c:Leu" lower="0.0" name="x">0.1</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.2" name="alpha">0.5396</parameter>
#                <parameter estimate="false" id="RealParameter.3" name="beta">0.3819</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@Leu" id="treeLikelihood.Leu" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:Leu">
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:Leu" shape="@gammaShape.s:Leu" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:Leu" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:Leu" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="WAG.s:Leu" spec="beast.evolution.substitutionmodel.WAG"/>
#            </siteModel>
#            <branchRateModel id="RelaxedClock.c:Leu" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:Leu">
#                <LogNormal S="@ucldStdev.c:Leu" id="LogNormalDistributionModel.c:Leu" meanInRealSpace="true" name="distr">
#                    <parameter estimate="false" id="RealParameter.1" lower="0.0" name="M" upper="1.0">1.0</parameter>
#                </LogNormal>
#                <rateCategories dimension="102" id="rateCategories.c:Leu" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#                <parameter estimate="false" id="ucldMean.c:Leu" name="clock.rate">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	gammaShape	mutationRate	ucldStdev	rate.mean	rate.variance	rate.coefficientOfVariation	BayesianSkyline	bPopSizes.1	bPopSizes.2	bPopSizes.3	bPopSizes.4	bPopSizes.5	bGroupSizes.1	bGroupSizes.2	bGroupSizes.3	bGroupSizes.4	bGroupSizes.5
0	-15133.44475541926	-14796.471650780359	-336.97310463890125	-14796.471650780359	2.1915599011566735	1.0	1.0	0.1	1.0669430597408043	0.011823179855927025	0.10847451531232025	-303.0916125204199	380.0	380.0	380.0	380.0	380.0	11	10	10	10	10
10000	-6258.436153893	-6099.751764737671	-158.68438915532894	-6099.751764737671	2.6165346468326427	0.8717941550293512	1.0	1.0483159875618782	0.6926764877969044	3.067538979528176	1.6660349492280273	-143.35234471463377	11.475039902911957	12.003666833685147	2.97176796795619	0.8000380995028745	1.5361961959863422	13	15	13	7	3
20000	-5951.7494189365025	-5797.365766751449	-154.38365218505385	-5797.365766751449	1.7089406996010315	0.9504458548380784	1.0	0.87936258082566	0.7303439176361349	1.2985403654306718	1.214067076172817	-139.56438780943	18.477210394217934	10.495759707421852	2.72333889598261	1.4422768032788469	1.0633528418296208	20	7	5	8	11
30000	-5468.238456075129	-5339.2194578837125	-129.01899819141664	-5339.2194578837125	2.4851636376111492	1.0018573239012805	1.0	0.44777767063278817	0.8493992035362365	0.18571769299389226	0.45948623046646214	-113.64440809246842	16.846769230705334	27.445146867440627	3.2118841940945093	1.9684905693976305	0.8417365215714021	14	1	2	24	10
40000	-5434.037098501073	-5312.566100820527	-121.47099768054596	-5312.566100820527	1.6321814007893871	1.0018573239012805	1.0	0.571040200344866	0.9024016868403697	0.38914198804997824	0.6537388031123887	-107.44227798143739	23.753292487549604	6.90164103197687	4.297879865374135	1.587873921785597	0.5401969209653569	10	1	17	16	7
50000	-5424.516268824317	-5305.154332409772	-119.36193641454521	-5305.154332409772	1.7963040944348836	1.0018573239012805	1.0	0.5016046451538066	0.9148491310427205	0.3025146756320062	0.5631114474407262	-107.07370856088465	22.362788835265395	5.875315454460907	1.7853727928377978	1.1735596755575064	0.42544970799696646	11	15	10	9	6
60000	-5429.9262968042685	-5312.483928416332	-117.4423683879364	-5312.483928416332	1.6943076228735086	1.0018573239012805	1.0	0.37604475990959	0.9056025132572951	0.16420268615335887	0.4168951617921591	-103.02389566367451	23.43638322192682	1.6301472770260068	6.000947482639846	1.080488111067456	0.3305465899912593	12	16	2	15	6
70000	-5416.264733459697	-5302.790662727005	-113.47407073269206	-5302.790662727005	1.431952170134409	0.7996963150236109	1.0	0.5307691692983962	0.967134596227198	0.2503990981647722	0.5059234434751806	-100.32455906877995	18.458450546366365	8.182539668752359	2.866732758102567	1.3629634727758826	0.9646658106019842	8	2	16	16	9
80000	-5417.223813062026	-5295.6613071917145	-121.56250587031202	-5295.6613071917145	2.03108948729858	0.961545241690541	1.0	0.48217403538095915	0.9574682399590574	0.27370762509633884	0.517709019000857	-108.78222790714157	11.515216890481557	6.466855070618125	1.520183419372662	2.5725900124342425	0.7881920808124896	12	9	13	9	8
90000	-5414.240189468437	-5292.05206122783	-122.18812824060778	-5292.05206122783	2.278580762146203	0.9931779691237062	1.0	0.43621886868142007	1.0346984988520027	0.2648290271053608	0.4830042127443901	-112.25975281124774	6.900114121881831	4.829599800166112	1.6339870420946612	1.133319670677322	0.4648384672953212	8	13	14	10	6
