#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BirthDeath.t:ClassII_CUT_withGaps" spec="beast.evolution.speciation.BirthDeathGernhard08Model">
#            <parameter id="relativeDeathRate2.t:ClassII_CUT_withGaps" lower="0.0" name="relativeDeathRate" upper="1.0">0.5</parameter>
#            <parameter id="birthRate2.t:ClassII_CUT_withGaps" lower="0.0" name="birthDiffRate" upper="10000.0">1.0</parameter>
#            <tree id="Tree.t:ClassII_CUT_withGaps">
#                <taxonset id="TaxonSet.ClassII_CUT_withGaps" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="BirthRatePrior.t:ClassII_CUT_withGaps" name="distribution" x="@birthRate2.t:ClassII_CUT_withGaps">
#            <LogNormal id="LogNormalDistributionModel.0" name="distr">
#                <parameter estimate="false" id="RealParameter.4" name="M">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.5" lower="0.0" name="S" upper="5.0">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="GammaShapePrior.s:ClassII_CUT_withGaps" name="distribution">
#            <parameter id="gammaShape.s:ClassII_CUT_withGaps" name="x">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter id="RealParameter.0" lower="0.0" name="mean" upper="0.0">1.0</parameter>
#            </Exponential>
#        </prior>
#        <prior id="DeathRatePrior.t:ClassII_CUT_withGaps" name="distribution" x="@relativeDeathRate2.t:ClassII_CUT_withGaps">
#            <LogNormal id="LogNormalDistributionModel.1" name="distr">
#                <parameter estimate="false" id="RealParameter.6" name="M">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.7" lower="0.0" name="S" upper="5.0">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="ucldStdevPrior.c:ClassII_CUT_withGaps" name="distribution">
#            <parameter id="ucldStdev.c:ClassII_CUT_withGaps" lower="0.0" name="x">0.1</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.2" name="alpha">0.5396</parameter>
#                <parameter estimate="false" id="RealParameter.3" name="beta">0.3819</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@ClassII_CUT_withGaps" id="treeLikelihood.ClassII_CUT_withGaps" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:ClassII_CUT_withGaps">
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:ClassII_CUT_withGaps" shape="@gammaShape.s:ClassII_CUT_withGaps" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:ClassII_CUT_withGaps" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:ClassII_CUT_withGaps" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="WAG.s:ClassII_CUT_withGaps" spec="beast.evolution.substitutionmodel.WAG"/>
#            </siteModel>
#            <branchRateModel id="RelaxedClock.c:ClassII_CUT_withGaps" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:ClassII_CUT_withGaps">
#                <LogNormal S="@ucldStdev.c:ClassII_CUT_withGaps" id="LogNormalDistributionModel.c:ClassII_CUT_withGaps" meanInRealSpace="true" name="distr">
#                    <parameter estimate="false" id="RealParameter.1" lower="0.0" name="M" upper="1.0">1.0</parameter>
#                </LogNormal>
#                <rateCategories dimension="350" id="rateCategories.c:ClassII_CUT_withGaps" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#                <parameter estimate="false" id="ucldMean.c:ClassII_CUT_withGaps" name="clock.rate">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	gammaShape	mutationRate	ucldStdev	rate.mean	rate.variance	rate.coefficientOfVariation	BirthDeath	birthRate2	relativeDeathRate2
0	-80107.91000688478	-80200.36708001998	92.45707313519802	-80200.36708001998	1.6254896534437875	1.0	1.0	0.1	0.9962772921148125	0.009652932373417555	0.09880128498336083	95.46608513856722	1.0	0.5
10000	-39315.8085196612	-39079.918283786756	-235.89023587444746	-39079.918283786756	10.016562806534042	1.3632650751675002	1.0	1.0418076515553651	0.5598830934973772	1.590600929972481	1.4101308786838482	-229.05693879181842	0.45039289232281254	0.5030702462178589
20000	-34627.78270542525	-34433.36594486258	-194.41676056267374	-34433.36594486258	7.105058784418692	1.3724805753735747	1.0	1.1369786594909135	0.6200883459843181	1.666379219924307	1.4329013782407078	-187.0944245897434	0.8404765199994657	0.27807515664993127
30000	-30506.02839363582	-30302.04156200859	-203.9868316272285	-30302.04156200859	6.367250524392752	1.3565373694393277	1.0	1.1262902618840445	0.6968740530047987	1.4166054244520911	1.3013708496782146	-196.68939819672352	0.6494882911661753	0.24366000369073895
40000	-29050.02263564081	-28863.916750473927	-186.10588516688165	-28863.916750473927	5.883487521960044	1.3862990059493303	1.0	1.0741739037396991	0.7425432418948191	1.669678886109476	1.3329811147784678	-178.61802082431998	1.0477546223910117	0.17718167159485376
50000	-28148.910070457616	-27978.89784063786	-170.01222981975687	-27978.89784063786	4.742009967145174	1.3862990059493303	1.0	1.0127851874248819	0.7089597725226985	1.2439520761816427	1.1988311673928278	-162.26742881152748	1.1463543698582754	0.11233339146645559
60000	-27035.270784164688	-26904.190020139264	-131.0807640254247	-26904.190020139264	4.350179750023715	1.5069810627301217	1.0	1.066721313831886	0.7463418913423743	1.4033524424927992	1.3051989060827012	-123.41721261337801	1.3397092919815725	0.18648968986596534
70000	-26036.35886933304	-25920.649809853403	-115.709059479636	-25920.649809853403	3.3410372710221035	1.5069810627301217	1.0	0.974091545385188	0.777355474153887	1.1423141318613974	1.1435656342925569	-108.03572562984446	1.2486724425971771	0.12579030861665966
80000	-24988.94528901772	-24886.431828583678	-102.51346043404197	-24886.431828583678	3.1440860506886024	1.4380173410680457	1.0	0.9190569156055733	0.7466783494424465	1.0145482104220394	1.107997790095321	-95.244820927965	1.3496541026319462	0.15839588264242913
90000	-24572.88133212421	-24490.95468276746	-81.92664935674857	-24490.95468276746	3.4258577937540475	1.4380173410680457	1.0	0.7536751433760849	0.7854901877348276	0.5990971520796105	0.8235032420081408	-75.38000901335744	1.53437657897257	0.23511097869498876
100000	-24362.534857198614	-24303.14059272896	-59.394264469655084	-24303.14059272896	2.631991984841696	1.4722933794563355	1.0	0.7032962231540387	0.8331613846417592	0.45296471961717294	0.730296642815848	-52.41583050184347	1.6072536624631546	0.11935279239524757
110000	-24351.09848733587	-24296.99707340129	-54.10141393457862	-24296.99707340129	2.591637103940078	1.433419537407359	1.0	0.6787421904826433	0.8406858254511365	0.4517052719047754	0.7134763721118023	-46.20227995298026	2.334910592324993	0.06400017844782149
120000	-24268.960306215664	-24224.325176891005	-44.63512932465982	-24224.325176891005	2.5936304880687184	1.484739876383291	1.0	0.6151845521263545	0.8820159327459476	0.3720656897199467	0.6264166072723565	-38.216416000933904	1.8244013657423852	0.18298385470270936
130000	-24258.06784051829	-24203.610759305695	-54.457081212597615	-24203.610759305695	2.816629817144732	1.4033066277346855	1.0	0.4806124541325099	0.9729580679368349	0.27778160085884784	0.527739126131227	-48.109872964470114	1.689713313622118	0.10227358674986133
140000	-24233.38733107499	-24204.175512637587	-29.211818437403306	-24204.175512637587	2.105935772692397	1.4033066277346855	1.0	0.4767680170008736	0.9908083736670094	0.2951014138619705	0.538650510692218	-21.931843861394633	2.5931465550747985	0.06380734401232578
150000	-24052.164650576895	-24032.16816317979	-19.996487397103422	-24032.16816317979	2.096795846758872	1.4360413956911535	1.0	0.4624128629505002	0.9689911783193395	0.248863437734762	0.49143565802222	-13.132178092232774	2.1857112931448937	0.07629992244506667
160000	-23953.809238168513	-23924.220021979276	-29.589216189236502	-23924.220021979276	2.107983014219984	1.6041258063327692	1.0	0.4286418281950332	0.9828431321039084	0.16401050528280622	0.3992218147996242	-22.42390286302262	2.698773507545786	0.07282877623441203
