#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BirthDeath.t:ClassII_CUT_withGaps" spec="beast.evolution.speciation.BirthDeathGernhard08Model">
#            <parameter id="relativeDeathRate2.t:ClassII_CUT_withGaps" lower="0.0" name="relativeDeathRate" upper="1.0">0.5</parameter>
#            <parameter id="birthRate2.t:ClassII_CUT_withGaps" lower="0.0" name="birthDiffRate" upper="10000.0">1.0</parameter>
#            <tree id="Tree.t:ClassII_CUT_withGaps">
#                <taxonset id="TaxonSet.ClassII_CUT_withGaps" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="BirthRatePrior.t:ClassII_CUT_withGaps" name="distribution" x="@birthRate2.t:ClassII_CUT_withGaps">
#            <LogNormal id="LogNormalDistributionModel.0" name="distr">
#                <parameter estimate="false" id="RealParameter.4" name="M">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.5" lower="0.0" name="S" upper="5.0">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="GammaShapePrior.s:ClassII_CUT_withGaps" name="distribution">
#            <parameter id="gammaShape.s:ClassII_CUT_withGaps" name="x">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter id="RealParameter.0" lower="0.0" name="mean" upper="0.0">1.0</parameter>
#            </Exponential>
#        </prior>
#        <prior id="DeathRatePrior.t:ClassII_CUT_withGaps" name="distribution" x="@relativeDeathRate2.t:ClassII_CUT_withGaps">
#            <LogNormal id="LogNormalDistributionModel.1" name="distr">
#                <parameter estimate="false" id="RealParameter.6" name="M">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.7" lower="0.0" name="S" upper="5.0">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="ucldStdevPrior.c:ClassII_CUT_withGaps" name="distribution">
#            <parameter id="ucldStdev.c:ClassII_CUT_withGaps" lower="0.0" name="x">0.1</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.2" name="alpha">0.5396</parameter>
#                <parameter estimate="false" id="RealParameter.3" name="beta">0.3819</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@ClassII_CUT_withGaps" id="treeLikelihood.ClassII_CUT_withGaps" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:ClassII_CUT_withGaps">
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:ClassII_CUT_withGaps" shape="@gammaShape.s:ClassII_CUT_withGaps" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:ClassII_CUT_withGaps" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:ClassII_CUT_withGaps" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="WAG.s:ClassII_CUT_withGaps" spec="beast.evolution.substitutionmodel.WAG"/>
#            </siteModel>
#            <branchRateModel id="RelaxedClock.c:ClassII_CUT_withGaps" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:ClassII_CUT_withGaps">
#                <LogNormal S="@ucldStdev.c:ClassII_CUT_withGaps" id="LogNormalDistributionModel.c:ClassII_CUT_withGaps" meanInRealSpace="true" name="distr">
#                    <parameter estimate="false" id="RealParameter.1" lower="0.0" name="M" upper="1.0">1.0</parameter>
#                </LogNormal>
#                <rateCategories dimension="972" id="rateCategories.c:ClassII_CUT_withGaps" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#                <parameter estimate="false" id="ucldMean.c:ClassII_CUT_withGaps" name="clock.rate">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	gammaShape	mutationRate	ucldStdev	rate.mean	rate.variance	rate.coefficientOfVariation	BirthDeath	birthRate2	relativeDeathRate2
0	-126874.10871048114	-127177.47415767638	303.36544719523516	-127177.47415767638	1.4968243097981226	1.0	1.0	0.1	0.9946093693054143	0.010036515263060314	0.10018899432423234	306.37445919860437	1.0	0.5
10000	-63619.985712864276	-62615.080723224084	-1004.9049896401932	-62615.080723224084	115.5809575865788	1.1389763887226187	1.0	0.8926106398406806	0.7902353228956623	1.1888797101232673	1.1108102009557335	-996.2418240178997	0.0356952195354313	0.9478641922715096
20000	-58908.933916252885	-58237.05817179173	-671.8757444611554	-58237.05817179173	35.697122704841696	1.15090254849478	1.0	1.0203920480297526	0.5463681918815662	1.6005442345113463	1.3011070162355487	-663.947645237576	0.07516019022334446	0.9465405518715088
30000	-56112.81993560389	-55458.8006762921	-654.0192593117914	-55458.8006762921	17.474484401247064	1.2267615497224789	1.0	1.1579123696116156	0.539789739958546	1.9485159651080926	1.5078977191298097	-646.3675732911258	0.15145277216130346	0.8882954730344792
40000	-53669.39055183081	-53087.23272658633	-582.1578252444816	-53087.23272658633	13.973186519551435	1.5900205705669448	1.0	1.1357701276283916	0.5748821283844964	1.8666425333324388	1.4550107447031104	-574.8169107941097	0.45043457289472677	0.576286685185947
50000	-51740.07534506861	-51082.43222493924	-657.643120129367	-51082.43222493924	12.949133432874097	1.5900205705669448	1.0	1.1049785974025117	0.6298380090750055	1.7737244142595843	1.4055931177625107	-650.3974199162111	0.581873814354261	0.4567513010993366
60000	-49607.51119095006	-48979.77596565346	-627.7352252966022	-48979.77596565346	12.016411768291897	1.5900205705669448	1.0	1.1749074272660007	0.6508247776335565	1.9961053331407788	1.5203897859638669	-620.0463075428911	0.6810540053889819	0.24076501305932516
70000	-47948.91521867587	-47372.801432756736	-576.1137859191389	-47372.801432756736	10.062152891259037	1.6112008325566616	1.0	1.186361043162589	0.6467920507666347	2.4222104250829415	1.6548936214687497	-567.5456302825413	0.7549253216267814	0.09344406186217749
80000	-46575.950776110025	-46055.21771161312	-520.7330644969014	-46055.21771161312	9.016277748491374	1.6112008325566616	1.0	1.2231881609948827	0.6445398122695709	2.568882472540196	1.674243047626689	-512.3256646516376	0.9373511911400347	0.1270450922525748
90000	-45360.133691448864	-44878.006713134884	-482.1269783139766	-44878.006713134884	7.489861413901013	1.718709432692179	1.0	1.1632133827303945	0.679607276515452	2.140466140113364	1.563930871475509	-474.32052449437606	0.9362873301545062	0.26219399654061104
100000	-44401.93869249719	-43944.41738054714	-457.52131195005614	-43944.41738054714	6.157826721697083	1.718709432692179	1.0	1.1284834590041195	0.6907060325755632	2.014626211144318	1.4868424387167787	-449.1883399387749	1.129496297750983	0.12284963934252939
110000	-43391.989695127166	-42977.350627193315	-414.6390679338529	-42977.350627193315	6.024494289196967	1.718709432692179	1.0	1.13795237639852	0.7051971432728722	1.9821143556606957	1.4890639849911047	-406.32792998361145	1.1636967129773763	0.1312883993130382
120000	-42033.83268454172	-41599.480855355876	-434.35182918584354	-41599.480855355876	4.963452576966712	1.718709432692179	1.0	1.114542124005119	0.7342458862682991	1.8609153637878684	1.4514390447912684	-426.6038128028362	1.058521019379153	0.24068497030815036
130000	-41043.69995373518	-40629.505735381135	-414.19421835404233	-40629.505735381135	5.023486152030716	1.783135620279107	1.0	1.1393051462087094	0.7677664058911661	2.100821926706938	1.5268215777353535	-404.900089107642	1.229762292306334	0.061855271430218864
140000	-40168.26473196354	-39769.21160335433	-399.0531286092145	-39769.21160335433	4.874585540399598	1.6473588411656828	1.0	1.0740207619108704	0.8216289317214833	1.8516689559327681	1.3711882196476453	-389.90152840102667	1.1912306760804057	0.053721514233859256
150000	-39424.569748854934	-39077.10892134276	-347.46082751217205	-39077.10892134276	4.236792739408393	1.7224723397257453	1.0	1.0650138539261238	0.8192979300128708	1.789111961005001	1.3405493090795602	-338.8281053497737	1.2837160924042312	0.08345318765330931
160000	-38408.082877788416	-38073.377486988094	-334.7053908003212	-38073.377486988094	4.621697905707373	1.7606351508935434	1.0	1.065039968310034	0.813861113620192	1.8669493654337985	1.3765597435469703	-325.0876176966088	1.3489061709230732	0.04394062361361513
