#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BirthDeath.t:ClassII_CUT_withGaps" spec="beast.evolution.speciation.BirthDeathGernhard08Model">
#            <parameter id="relativeDeathRate2.t:ClassII_CUT_withGaps" lower="0.0" name="relativeDeathRate" upper="1.0">0.5</parameter>
#            <parameter id="birthRate2.t:ClassII_CUT_withGaps" lower="0.0" name="birthDiffRate" upper="10000.0">1.0</parameter>
#            <tree id="Tree.t:ClassII_CUT_withGaps">
#                <taxonset id="TaxonSet.ClassII_CUT_withGaps" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="BirthRatePrior.t:ClassII_CUT_withGaps" name="distribution" x="@birthRate2.t:ClassII_CUT_withGaps">
#            <LogNormal id="LogNormalDistributionModel.0" name="distr">
#                <parameter estimate="false" id="RealParameter.4" name="M">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.5" lower="0.0" name="S" upper="5.0">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="GammaShapePrior.s:ClassII_CUT_withGaps" name="distribution">
#            <parameter id="gammaShape.s:ClassII_CUT_withGaps" name="x">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter id="RealParameter.0" lower="0.0" name="mean" upper="0.0">1.0</parameter>
#            </Exponential>
#        </prior>
#        <prior id="DeathRatePrior.t:ClassII_CUT_withGaps" name="distribution" x="@relativeDeathRate2.t:ClassII_CUT_withGaps">
#            <LogNormal id="LogNormalDistributionModel.1" name="distr">
#                <parameter estimate="false" id="RealParameter.6" name="M">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.7" lower="0.0" name="S" upper="5.0">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="ucldStdevPrior.c:ClassII_CUT_withGaps" name="distribution">
#            <parameter id="ucldStdev.c:ClassII_CUT_withGaps" lower="0.0" name="x">0.1</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.2" name="alpha">0.5396</parameter>
#                <parameter estimate="false" id="RealParameter.3" name="beta">0.3819</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@ClassII_CUT_withGaps" id="treeLikelihood.ClassII_CUT_withGaps" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:ClassII_CUT_withGaps">
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:ClassII_CUT_withGaps" shape="@gammaShape.s:ClassII_CUT_withGaps" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:ClassII_CUT_withGaps" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:ClassII_CUT_withGaps" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="WAG.s:ClassII_CUT_withGaps" spec="beast.evolution.substitutionmodel.WAG"/>
#            </siteModel>
#            <branchRateModel id="RelaxedClock.c:ClassII_CUT_withGaps" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:ClassII_CUT_withGaps">
#                <LogNormal S="@ucldStdev.c:ClassII_CUT_withGaps" id="LogNormalDistributionModel.c:ClassII_CUT_withGaps" meanInRealSpace="true" name="distr">
#                    <parameter estimate="false" id="RealParameter.1" lower="0.0" name="M" upper="1.0">1.0</parameter>
#                </LogNormal>
#                <rateCategories dimension="972" id="rateCategories.c:ClassII_CUT_withGaps" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#                <parameter estimate="false" id="ucldMean.c:ClassII_CUT_withGaps" name="clock.rate">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	gammaShape	mutationRate	ucldStdev	rate.mean	rate.variance	rate.coefficientOfVariation	BirthDeath	birthRate2	relativeDeathRate2
0	-65358.93315905682	-65661.32476301999	302.3916039631695	-65661.32476301999	1.4286832133131262	1.0	1.0	0.1	1.012285852323872	0.010259792857346487	0.10127198663230136	305.4006159665387	1.0	0.5
10000	-33489.83911788863	-32443.796134888977	-1046.0429829996517	-32443.796134888977	366.1125742534111	1.2098967322425982	1.0	0.9429972518508422	0.603910371444611	0.9371879421432514	1.039611856275263	-1035.331406850966	0.014790922665715389	0.976338959665473
20000	-32010.227273428165	-31031.561394918157	-978.6658785100067	-31031.561394918157	244.53024941844396	1.6196352082079872	1.0	1.0957270321467298	0.5768125856670816	1.2543704035206045	1.2662680037121923	-967.222986039342	0.01577125406292006	0.9797128258199096
30000	-31108.71465234461	-30191.696778992868	-917.0178733517417	-30191.696778992868	200.47312901821525	1.8938601213481276	1.0	1.1418245292292106	0.8336076544409837	1.294209114900833	1.3218836820704354	-905.0547739608741	0.015064256294429507	0.9806702872521489
40000	-30552.68002228291	-29626.389665678416	-926.2903566044957	-29626.389665678416	214.35206187577992	1.5483937768016278	1.0	1.1690572939022037	0.599940760634748	1.3701367237309663	1.358876371170901	-914.7061093366443	0.015838169936153973	0.9810439740251607
50000	-30022.245083042195	-29113.60159158842	-908.643491453774	-29113.60159158842	29.283813799591993	1.5050251106457178	1.0	1.245661144102803	0.5540301323606478	1.4290674639008607	1.4404256756466662	-897.0276406051707	0.016953169204244674	0.9801469084995007
60000	-29504.97459404832	-28610.77754910382	-894.1970449444988	-28610.77754910382	61.050486317008684	1.8565250990945614	1.0	1.2495676105655058	0.5585055186558386	1.477596703243946	1.4534564007525734	-882.6909466591874	0.021050147238728785	0.977288371362932
70000	-29031.173496115294	-28144.429514700387	-886.7439814149061	-28144.429514700387	19.554575429562064	1.603727653904904	1.0	1.2916934140875505	0.6493996408168223	1.4775434238278728	1.4915392717474325	-875.4863782063888	0.02229602660528073	0.9746088766933337
80000	-28589.16699846946	-27771.399445497864	-817.7675529715948	-27771.399445497864	20.93874928837032	1.7747527400704135	1.0	1.2352264695582662	0.727477584759105	1.368177102733276	1.3774072568586613	-807.765463296998	0.04367498734248698	0.9511478346084282
90000	-28297.609640098482	-27565.62256551383	-731.9870745846523	-27565.62256551383	13.601025596942323	1.6771220191337883	1.0	1.235584298917919	0.7195979565490075	1.4080757289821173	1.3657628685688283	-723.7005591558678	0.5449165630717383	0.14904793817094317
100000	-27928.62300856484	-27297.407203050312	-631.2158055145256	-27297.407203050312	13.566157832412392	2.6669418271541026	1.0	1.242851710407354	0.7803801737456959	1.3935049630750074	1.3567011514999587	-620.0290939256421	0.7733202757519224	0.03611902493589004
110000	-27622.339207731395	-27081.32917481553	-541.0100329158618	-27081.32917481553	8.44663740500241	2.74737538620102	1.0	1.130164984246636	0.7273405116442104	1.1392252659446451	1.1764775812877324	-529.7090715946106	0.8928053147485	0.03001228041406682
120000	-27398.334363509173	-26874.03529994869	-524.2990635604822	-26874.03529994869	6.637742972299696	2.881125620683433	1.0	1.0715661019184266	0.7745446562405803	1.3918682336521355	1.2857607029388216	-514.8195254122901	0.8315999353323114	0.09604394788289099
130000	-26975.681826397526	-26459.807653269923	-515.8741731276027	-26459.807653269923	4.990580950915806	2.6988699795910613	1.0	1.0552393523473007	0.7506035066229564	1.3352074118229487	1.2568992461902395	-505.4455264486841	1.091343659750329	0.04380544765810996
140000	-26749.13649436205	-26281.58778384481	-467.5487105172405	-26281.58778384481	4.418094020550169	3.275510288565794	1.0	0.9965280311414348	0.7694064967266411	1.1633648774129437	1.1630133633707995	-457.5466641673906	1.0287657807304929	0.0755418119503359
150000	-26417.580605718616	-25961.470975034532	-456.10963068408455	-25961.470975034532	4.087820030125922	3.275510288565794	1.0	0.99584571963134	0.7969153784973007	1.111224034063472	1.135398383992828	-445.99882302864626	1.0054863145522515	0.06902089854508307
160000	-26213.120031925697	-25812.93164513798	-400.18838678771715	-25812.93164513798	3.8577698498741744	2.610034638661108	1.0	0.9450475788633352	0.8110052750129606	1.0387604664920385	1.0832508156935434	-389.8366662861968	1.1276301473186048	0.035944208799108535
