#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BirthDeath.t:ClassI_FULL" spec="beast.evolution.speciation.BirthDeathGernhard08Model">
#            <parameter id="relativeDeathRate2.t:ClassI_FULL" lower="0.0" name="relativeDeathRate" upper="1.0">0.5</parameter>
#            <parameter id="birthRate2.t:ClassI_FULL" lower="0.0" name="birthDiffRate" upper="10000.0">1.0</parameter>
#            <tree id="Tree.t:ClassI_FULL">
#                <taxonset id="TaxonSet.ClassI_FULL" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="BirthRatePrior.t:ClassI_FULL" name="distribution" x="@birthRate2.t:ClassI_FULL">
#            <LogNormal id="LogNormalDistributionModel.1" name="distr">
#                <parameter estimate="false" id="RealParameter.6" name="M">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.7" lower="0.0" name="S" upper="5.0">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="GammaShapePrior.s:ClassI_FULL" name="distribution">
#            <parameter id="gammaShape.s:ClassI_FULL" name="x">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter id="RealParameter.0" lower="0.0" name="mean" upper="0.0">1.0</parameter>
#            </Exponential>
#        </prior>
#        <prior id="DeathRatePrior.t:ClassI_FULL" name="distribution" x="@relativeDeathRate2.t:ClassI_FULL">
#            <LogNormal id="LogNormalDistributionModel.2" name="distr">
#                <parameter estimate="false" id="RealParameter.8" name="M">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.9" lower="0.0" name="S" upper="5.0">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="ucldStdevPrior.c:ClassI_FULL" name="distribution">
#            <parameter id="ucldStdev.c:ClassI_FULL" lower="0.0" name="x">0.1</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.2" name="alpha">0.5396</parameter>
#                <parameter estimate="false" id="RealParameter.3" name="beta">0.3819</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@ClassI_FULL" id="treeLikelihood.ClassI_FULL" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:ClassI_FULL">
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:ClassI_FULL" shape="@gammaShape.s:ClassI_FULL" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:ClassI_FULL" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:ClassI_FULL" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="WAG.s:ClassI_FULL" spec="beast.evolution.substitutionmodel.WAG"/>
#            </siteModel>
#            <branchRateModel id="RelaxedClock.c:ClassI_FULL" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:ClassI_FULL">
#                <LogNormal S="@ucldStdev.c:ClassI_FULL" id="LogNormalDistributionModel.c:ClassI_FULL" meanInRealSpace="true" name="distr">
#                    <parameter estimate="false" id="RealParameter.1" lower="0.0" name="M" upper="1.0">1.0</parameter>
#                </LogNormal>
#                <rateCategories dimension="996" id="rateCategories.c:ClassI_FULL" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#                <parameter estimate="false" id="ucldMean.c:ClassI_FULL" name="clock.rate">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	gammaShape	mutationRate	ucldStdev	rate.mean	rate.variance	rate.coefficientOfVariation	BirthDeath	birthRate2	relativeDeathRate2
0	-260961.9944639024	-261272.0476347719	310.053170869511	-261272.0476347719	2.5354943646130765	1.0	1.0	0.1	0.9616297278502651	0.01006468778364652	0.10061050158503178	313.0621828728802	1.0	0.5
10000	-129986.66347531354	-128929.00318526596	-1057.660290047582	-128929.00318526596	213.11546445683442	0.688980251992033	1.0	0.659671107905184	0.8380079356456248	0.5470726329049349	0.7684220721250521	-1049.681761649966	0.027108628215037626	0.9549799260943637
20000	-120261.1394321737	-119209.22324849239	-1051.9161836813114	-119209.22324849239	144.98480547478252	0.688980251992033	1.0	0.8830878522455525	0.7114544805083726	1.1150629895491153	1.0932727247077325	-1043.3326262207918	0.028744969689092334	0.9516829571634937
30000	-113761.70467333171	-112739.8872679649	-1021.8174053667999	-112739.8872679649	73.74338584169452	0.688980251992033	1.0	1.085762935237883	0.6708520221012105	2.1195289143847713	1.493705100951549	-1012.9851976562668	0.03519800830162949	0.9424722216896975
40000	-109218.52876739368	-108257.25134420398	-961.277423189706	-108257.25134420398	35.81806759009721	0.688980251992033	1.0	1.1221535587512734	0.6039866647732745	2.3870841824299553	1.5369601107705604	-953.0109172159922	0.052850316990814605	0.9285269334172909
50000	-104840.72977812325	-104002.24862883076	-838.4811492924897	-104002.24862883076	27.93934443462488	0.880637364818209	1.0	1.1358838661971888	0.6031288896375077	2.205358069763458	1.5102421734504652	-831.7744692484212	0.3685479125329232	0.415759821677991
60000	-100759.45090167386	-99979.77626862677	-779.6746330470862	-99979.77626862677	24.37032889854329	0.959638425390318	1.0	1.2780656557937287	0.5910909412715687	3.388332094177712	1.9084581084692258	-772.4217437970859	0.30377385162604303	0.6573471431979683
70000	-97133.6668426558	-96521.16999867279	-612.4968439830064	-96521.16999867279	14.98109871114381	1.3008584383698043	1.0	1.2753353912604832	0.6141460867737288	3.342278152921515	1.8772710777085126	-605.0235318612953	0.5464659349012333	0.44399330352164695
80000	-94814.50730509969	-94243.67241005533	-570.8348950443578	-94243.67241005533	9.194762900043587	1.3756147119336841	1.0	1.2797761078736065	0.6507572513692764	3.5305361005792766	1.937229347782439	-562.9025962835874	0.7910474826668491	0.19814293488378773
90000	-92931.77969515965	-92267.6113564868	-664.1683386728615	-92267.6113564868	10.283564985408645	1.3756147119336841	1.0	1.2754359018580557	0.6533261725461018	3.946839014855443	2.002407020670908	-656.3001606338335	0.6629452987113584	0.20545651099863524
100000	-91203.91593436801	-90539.17959602571	-664.736338342288	-90539.17959602571	10.164467654123172	1.5293572773099329	1.0	1.3158833806695087	0.6326573747951474	4.980306686303786	2.2504273252890394	-656.7318484189902	0.6256274073422687	0.25856477871985206
110000	-89213.57649908404	-88568.08914930941	-645.4873497746376	-88568.08914930941	8.861782171368732	1.5293572773099329	1.0	1.3327222374995846	0.6278246618306744	4.673288892561746	2.2215318091569034	-637.3762743195347	0.6523348221649001	0.23403658226619603
120000	-87134.74808657009	-86512.8521480812	-621.895938488887	-86512.8521480812	8.587239674012688	1.430795176576714	1.0	1.3604969663117474	0.6280282720983932	5.088248761953983	2.3091874604576716	-613.6222934587204	0.7718199629208244	0.1840516672711159
130000	-85765.04081629145	-85137.34757363751	-627.6932426539439	-85137.34757363751	8.033376275310516	1.430795176576714	1.0	1.3745650938845972	0.6116141535130092	3.996962092251248	2.1514499297386345	-619.4467756052976	0.7082108370726428	0.19896700180243584
140000	-84348.2399342694	-83732.95758824199	-615.2823460274087	-83732.95758824199	8.17066236885664	1.4044733219451524	1.0	1.3700546907810358	0.5946259055954718	4.051202167700267	2.206348989258111	-607.2018670388455	0.7052403113538869	0.24476689144566827
150000	-83152.77902682325	-82556.57134182354	-596.2076849997095	-82556.57134182354	8.183486169616703	1.4033520957999381	1.0	1.3600150663242836	0.6107958153501772	3.695019823043319	2.119258792333636	-587.761068497008	0.7490768675117075	0.142282265965885
