#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BirthDeath.t:ClassI_FULL" spec="beast.evolution.speciation.BirthDeathGernhard08Model">
#            <parameter id="relativeDeathRate2.t:ClassI_FULL" lower="0.0" name="relativeDeathRate" upper="1.0">0.5</parameter>
#            <parameter id="birthRate2.t:ClassI_FULL" lower="0.0" name="birthDiffRate" upper="10000.0">1.0</parameter>
#            <tree id="Tree.t:ClassI_FULL">
#                <taxonset id="TaxonSet.ClassI_FULL" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="BirthRatePrior.t:ClassI_FULL" name="distribution" x="@birthRate2.t:ClassI_FULL">
#            <LogNormal id="LogNormalDistributionModel.1" name="distr">
#                <parameter estimate="false" id="RealParameter.6" name="M">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.7" lower="0.0" name="S" upper="5.0">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="GammaShapePrior.s:ClassI_FULL" name="distribution">
#            <parameter id="gammaShape.s:ClassI_FULL" name="x">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter id="RealParameter.0" lower="0.0" name="mean" upper="0.0">1.0</parameter>
#            </Exponential>
#        </prior>
#        <prior id="DeathRatePrior.t:ClassI_FULL" name="distribution" x="@relativeDeathRate2.t:ClassI_FULL">
#            <LogNormal id="LogNormalDistributionModel.2" name="distr">
#                <parameter estimate="false" id="RealParameter.8" name="M">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.9" lower="0.0" name="S" upper="5.0">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="ucldStdevPrior.c:ClassI_FULL" name="distribution">
#            <parameter id="ucldStdev.c:ClassI_FULL" lower="0.0" name="x">0.1</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.2" name="alpha">0.5396</parameter>
#                <parameter estimate="false" id="RealParameter.3" name="beta">0.3819</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@ClassI_FULL" id="treeLikelihood.ClassI_FULL" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:ClassI_FULL">
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:ClassI_FULL" shape="@gammaShape.s:ClassI_FULL" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:ClassI_FULL" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:ClassI_FULL" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="WAG.s:ClassI_FULL" spec="beast.evolution.substitutionmodel.WAG"/>
#            </siteModel>
#            <branchRateModel id="RelaxedClock.c:ClassI_FULL" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:ClassI_FULL">
#                <LogNormal S="@ucldStdev.c:ClassI_FULL" id="LogNormalDistributionModel.c:ClassI_FULL" meanInRealSpace="true" name="distr">
#                    <parameter estimate="false" id="RealParameter.1" lower="0.0" name="M" upper="1.0">1.0</parameter>
#                </LogNormal>
#                <rateCategories dimension="318" id="rateCategories.c:ClassI_FULL" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#                <parameter estimate="false" id="ucldMean.c:ClassI_FULL" name="clock.rate">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	gammaShape	mutationRate	ucldStdev	rate.mean	rate.variance	rate.coefficientOfVariation	BirthDeath	birthRate2	relativeDeathRate2
0	-71293.96588845068	-71366.36575384354	72.39986539285626	-71366.36575384354	4.41242378432448	1.0	1.0	0.1	0.9753823719013153	0.0099181231253702	0.09940417829214196	75.40887739622546	1.0	0.5
10000	-35442.88244584798	-35200.12100045234	-242.76144539564396	-35200.12100045234	14.470799985422495	1.0148340746382352	1.0	1.2956289507610597	0.4635498957281075	2.8917490997065065	1.8370205799062969	-235.49845274767017	0.42276741524277445	0.49006879555481053
20000	-31376.70229639007	-31153.061327101732	-223.64096928833987	-31153.061327101732	13.056212913226245	1.2818566750095752	1.0	1.3894399125022228	0.4939209093149789	3.1870994702508777	2.124385416976708	-215.82340860701407	0.39449096235931347	0.5241346803707653
30000	-28562.74978488633	-28359.909479693182	-202.84030519314817	-28359.909479693182	13.272896168922887	1.2818566750095752	1.0	1.4047121601994819	0.5270759748295605	3.175253093609204	2.127263590602427	-194.7630020954193	0.5935769680955281	0.2314673144011052
40000	-26714.654546934722	-26536.15253817754	-178.5020087571832	-26536.15253817754	5.675792697666137	0.9202969313475995	1.0	1.4555853664329637	0.5471529925694854	3.376912859397685	2.1744693398134585	-170.5731738009163	0.7410772068903012	0.21581730585789824
50000	-25383.12530175581	-25221.40320912065	-161.72209263515964	-25221.40320912065	7.101391074043595	0.9202969313475995	1.0	1.4492106595824368	0.5005660454167575	1.8269830140249874	1.7758480099501646	-154.0640613980886	0.8230650466541682	0.4231372982557142
60000	-24449.473336566825	-24305.01853720861	-144.45479935821592	-24305.01853720861	4.641805869276916	1.1812059662217966	1.0	1.4045382294300004	0.5416275330503383	1.5811970034230187	1.635491402588026	-135.63215886108597	1.0323553651388726	0.09781649804318386
70000	-23827.546854133365	-23708.98027182495	-118.56658230841504	-23708.98027182495	3.1851219394862658	1.1643478497745254	1.0	1.2920977143783463	0.617228286213557	1.9667873287490254	1.7871959227471397	-110.4291742485816	1.2574154002170876	0.14987981819488233
80000	-23133.729979088665	-23039.597656803107	-94.1323222855579	-23039.597656803107	2.657334756634361	1.1542013591668028	1.0	1.197853635261265	0.6567059327151218	1.06323784482122	1.2707650793104086	-86.464917129237	1.4699701871733493	0.21445953639400123
90000	-22636.558998770546	-22579.109961333466	-57.44903743707848	-22579.109961333466	2.1225637704033593	1.0793507079213767	1.0	0.9860259165428711	0.7872313241675737	0.9524042357523955	1.1195704966670836	-48.9635122637891	1.9299051579768307	0.05866328672953868
100000	-22234.171500412802	-22201.78335078018	-32.38814963262299	-22201.78335078018	2.0941101406940392	1.0670432147518425	1.0	0.8033102677160281	0.8631301816259298	0.5831455509675779	0.8186100165481681	-24.63409993746598	2.262099581526466	0.07166508080319225
110000	-21955.358320882126	-21926.42597681085	-28.932344071277274	-21926.42597681085	2.7261557469035624	1.255727835176285	1.0	0.7936871245154836	0.8051740487787694	0.5785236065960062	0.8089883447361732	-22.238804501663424	1.9025358331216824	0.21630600328943153
120000	-21888.5218338764	-21855.31622768764	-33.2056061887614	-21855.31622768764	2.4167194056605332	1.1783312294879642	1.0	0.7814322844753064	0.8031843570513847	0.5498592297991208	0.8020754809681028	-26.34343332397759	2.0783023646009195	0.1602758276737696
130000	-21864.394316640995	-21839.295832571708	-25.09848406928818	-21839.295832571708	2.14581023150352	1.1935674419197475	1.0	0.704262341196804	0.891264613487599	0.47288220652204405	0.7123236222845986	-17.414419628909208	2.5203417749815267	0.07037025405089431
140000	-21664.446076915283	-21654.184002809976	-10.262074105307473	-21654.184002809976	2.036905570402662	1.1935674419197475	1.0	0.671731015315372	0.8933531706725886	0.44346983999300277	0.7018489939793446	-2.995758598590349	2.7038530168162884	0.09553002042512418
