#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BirthDeath.t:ClassI_FULL" spec="beast.evolution.speciation.BirthDeathGernhard08Model">
#            <parameter id="relativeDeathRate2.t:ClassI_FULL" lower="0.0" name="relativeDeathRate" upper="1.0">0.5</parameter>
#            <parameter id="birthRate2.t:ClassI_FULL" lower="0.0" name="birthDiffRate" upper="10000.0">1.0</parameter>
#            <tree id="Tree.t:ClassI_FULL">
#                <taxonset id="TaxonSet.ClassI_FULL" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="BirthRatePrior.t:ClassI_FULL" name="distribution" x="@birthRate2.t:ClassI_FULL">
#            <LogNormal id="LogNormalDistributionModel.1" name="distr">
#                <parameter estimate="false" id="RealParameter.6" name="M">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.7" lower="0.0" name="S" upper="5.0">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="GammaShapePrior.s:ClassI_FULL" name="distribution">
#            <parameter id="gammaShape.s:ClassI_FULL" name="x">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter id="RealParameter.0" lower="0.0" name="mean" upper="0.0">1.0</parameter>
#            </Exponential>
#        </prior>
#        <prior id="DeathRatePrior.t:ClassI_FULL" name="distribution" x="@relativeDeathRate2.t:ClassI_FULL">
#            <LogNormal id="LogNormalDistributionModel.2" name="distr">
#                <parameter estimate="false" id="RealParameter.8" name="M">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.9" lower="0.0" name="S" upper="5.0">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="ucldStdevPrior.c:ClassI_FULL" name="distribution">
#            <parameter id="ucldStdev.c:ClassI_FULL" lower="0.0" name="x">0.1</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.2" name="alpha">0.5396</parameter>
#                <parameter estimate="false" id="RealParameter.3" name="beta">0.3819</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@ClassI_FULL" id="treeLikelihood.ClassI_FULL" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:ClassI_FULL">
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:ClassI_FULL" shape="@gammaShape.s:ClassI_FULL" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:ClassI_FULL" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:ClassI_FULL" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="WAG.s:ClassI_FULL" spec="beast.evolution.substitutionmodel.WAG"/>
#            </siteModel>
#            <branchRateModel id="RelaxedClock.c:ClassI_FULL" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:ClassI_FULL">
#                <LogNormal S="@ucldStdev.c:ClassI_FULL" id="LogNormalDistributionModel.c:ClassI_FULL" meanInRealSpace="true" name="distr">
#                    <parameter estimate="false" id="RealParameter.1" lower="0.0" name="M" upper="1.0">1.0</parameter>
#                </LogNormal>
#                <rateCategories dimension="358" id="rateCategories.c:ClassI_FULL" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#                <parameter estimate="false" id="ucldMean.c:ClassI_FULL" name="clock.rate">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	gammaShape	mutationRate	ucldStdev	rate.mean	rate.variance	rate.coefficientOfVariation	BirthDeath	birthRate2	relativeDeathRate2
0	-84173.89367833195	-84269.27044750395	95.37676917200416	-84269.27044750395	1.7875887325883322	1.0	1.0	0.1	1.0374085003616698	0.011208552454854886	0.10491409267442581	98.38578117537337	1.0	0.5
10000	-40825.78738953097	-40282.67449975814	-543.1128897728261	-40282.67449975814	77.80813238095223	0.6520533846167366	1.0	1.7028710992628089	0.28664561195113136	3.824852304240541	2.245086909036067	-532.6205499200428	0.03708662780368516	0.836844721262337
20000	-37562.011502514964	-37060.10296242874	-501.90854008622466	-37060.10296242874	57.9124489059222	0.6722536846516076	1.0	1.7867214037148436	0.25813027583577125	3.047563363642719	2.313812011462886	-491.945901851346	0.06015079289350844	0.7594123944672272
30000	-35725.6874556793	-35251.35478829029	-474.3326673890068	-35251.35478829029	52.6655859216459	0.8965689487087064	1.0	1.8760483513650072	0.2509166648684355	3.2783071405494866	2.4790091038051973	-464.5155613037861	0.09578382691476248	0.5904648444596121
40000	-34637.25561683714	-34145.71542621418	-491.5401906229615	-34145.71542621418	49.79078570112878	0.8965689487087064	1.0	1.9675685404237915	0.21426408573026146	2.7502019094741765	2.4942729968951673	-481.66999875007576	0.11621825966085737	0.595802980366641
50000	-33709.38826890793	-33212.8273678084	-496.5609010995325	-33212.8273678084	43.46389326718934	1.0331812788150576	1.0	2.026519202939558	0.2194641090093989	2.43069248763283	2.569276524994161	-486.4895918106889	0.13159838587740372	0.4474218084986123
60000	-33182.80714098014	-32707.650757354655	-475.1563836254867	-32707.650757354655	32.920504161221054	1.1292893773146584	1.0	2.0287380158871486	0.207404603188932	2.897957486067828	2.7830474739439377	-465.0881672292312	0.1610209737827021	0.33584839884817547
70000	-32616.637753258485	-32149.36924179309	-467.26851146539417	-32149.36924179309	29.320112761747296	1.1292893773146584	1.0	1.9643249198940556	0.22976588174772947	2.2590532810207096	2.517736966804942	-457.41068596906456	0.18041791964441786	0.2870641496138729
80000	-32324.183770165233	-31867.4199420474	-456.763828117834	-31867.4199420474	30.135184456529693	1.1292893773146584	1.0	1.991142621504412	0.23505402706288261	2.773420242153344	2.8115282126239802	-446.4745039558179	0.20975104283902155	0.1434052462508982
90000	-32085.059960993618	-31638.74064198655	-446.3193190070654	-31638.74064198655	29.137692168096777	1.1772337533298831	1.0	1.9975476570370196	0.238660876698826	2.2413788955442726	2.576339465862052	-436.4853320947571	0.18763074396629173	0.46851444077381177
100000	-31144.86181710826	-30755.092519849073	-389.7692972591875	-30755.092519849073	21.859924553112815	1.1772337533298831	1.0	1.8361591843356806	0.3064011789558755	2.424060658676712	2.4745916193035042	-380.4971308650262	0.21792938247702104	0.4731162904362504
110000	-30900.37873573798	-30524.960605723267	-375.4181300147138	-30524.960605723267	19.25343315050403	1.0343319417559165	1.0	1.816148517684606	0.3212122812081965	2.1536258647911164	2.351395650967281	-366.3563756862211	0.21990728648426422	0.49396703452512014
120000	-30578.542288711622	-30221.172624970277	-357.36966374134556	-30221.172624970277	16.12658200914591	1.234574616398035	1.0	1.7647511991386347	0.3485683091928739	1.4585162291332072	1.985344204699471	-348.30092384759814	0.2906264190786189	0.32037218739335344
130000	-29990.14565555128	-29665.761292508985	-324.38436304229543	-29665.761292508985	12.203282380855208	1.1670333899309333	1.0	1.699647616691571	0.40963453741022327	1.341605972308593	1.8086241705079373	-315.7059625781889	0.3274269417933694	0.44981612534832516
140000	-29728.922524498495	-29423.738511464086	-305.1840130344106	-29423.738511464086	10.745855056735499	1.1916419368410416	1.0	1.6566037132877558	0.4281370286835111	1.2962866782180567	1.760896565755841	-296.6394329263027	0.42734563594880226	0.37541172174720716
150000	-28715.816036193162	-28420.296349770844	-295.51968642231844	-28420.296349770844	10.592892485900927	1.1916419368410416	1.0	1.604793883996718	0.46009230919610195	1.3046155090864047	1.6563680734784252	-286.970299553461	0.4219222681033104	0.2542330175658756
