#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BirthDeath.t:ClassI_FULL" spec="beast.evolution.speciation.BirthDeathGernhard08Model">
#            <parameter id="relativeDeathRate2.t:ClassI_FULL" lower="0.0" name="relativeDeathRate" upper="1.0">0.5</parameter>
#            <parameter id="birthRate2.t:ClassI_FULL" lower="0.0" name="birthDiffRate" upper="10000.0">1.0</parameter>
#            <tree id="Tree.t:ClassI_FULL">
#                <taxonset id="TaxonSet.ClassI_FULL" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="BirthRatePrior.t:ClassI_FULL" name="distribution" x="@birthRate2.t:ClassI_FULL">
#            <LogNormal id="LogNormalDistributionModel.1" name="distr">
#                <parameter estimate="false" id="RealParameter.6" name="M">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.7" lower="0.0" name="S" upper="5.0">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="GammaShapePrior.s:ClassI_FULL" name="distribution">
#            <parameter id="gammaShape.s:ClassI_FULL" name="x">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter id="RealParameter.0" lower="0.0" name="mean" upper="0.0">1.0</parameter>
#            </Exponential>
#        </prior>
#        <prior id="DeathRatePrior.t:ClassI_FULL" name="distribution" x="@relativeDeathRate2.t:ClassI_FULL">
#            <LogNormal id="LogNormalDistributionModel.2" name="distr">
#                <parameter estimate="false" id="RealParameter.8" name="M">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.9" lower="0.0" name="S" upper="5.0">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="ucldStdevPrior.c:ClassI_FULL" name="distribution">
#            <parameter id="ucldStdev.c:ClassI_FULL" lower="0.0" name="x">0.1</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.2" name="alpha">0.5396</parameter>
#                <parameter estimate="false" id="RealParameter.3" name="beta">0.3819</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@ClassI_FULL" id="treeLikelihood.ClassI_FULL" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:ClassI_FULL">
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:ClassI_FULL" shape="@gammaShape.s:ClassI_FULL" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:ClassI_FULL" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:ClassI_FULL" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="WAG.s:ClassI_FULL" spec="beast.evolution.substitutionmodel.WAG"/>
#            </siteModel>
#            <branchRateModel id="RelaxedClock.c:ClassI_FULL" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:ClassI_FULL">
#                <LogNormal S="@ucldStdev.c:ClassI_FULL" id="LogNormalDistributionModel.c:ClassI_FULL" meanInRealSpace="true" name="distr">
#                    <parameter estimate="false" id="RealParameter.1" lower="0.0" name="M" upper="1.0">1.0</parameter>
#                </LogNormal>
#                <rateCategories dimension="996" id="rateCategories.c:ClassI_FULL" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#                <parameter estimate="false" id="ucldMean.c:ClassI_FULL" name="clock.rate">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	gammaShape	mutationRate	ucldStdev	rate.mean	rate.variance	rate.coefficientOfVariation	BirthDeath	birthRate2	relativeDeathRate2
0	-59313.44030005358	-59619.45631370521	306.01601365163145	-59619.45631370521	3.295651089485614	1.0	1.0	0.1	1.0179754290302176	0.010120059419242275	0.10015446693903428	309.02502565500066	1.0	0.5
10000	-30866.053342436964	-29652.804604502395	-1213.2487379345696	-29652.804604502395	190.2908906938413	0.7978841226593298	1.0	0.5629131869175839	1.0033908860662526	0.4182054431508505	0.6385085631793095	-1203.9959090686593	0.013656713657784684	0.9694520889408171
20000	-29424.057838333432	-28362.558189599822	-1061.4996487336095	-28362.558189599822	162.39281267529546	0.7978841226593298	1.0	0.6558584284962247	1.1084265389329846	0.48198064638038535	0.6979110592616717	-1052.810467626987	0.020114758913426074	0.9673653944290475
30000	-28334.887605494132	-27325.153899281577	-1009.7337062125539	-27325.153899281577	106.5425667813488	0.7978841226593298	1.0	0.8192413650239837	0.8870741094021224	0.7948419236900939	0.9150385157888148	-1000.8361472003107	0.02345721620942169	0.9661270244457839
40000	-27663.06610259298	-26670.38738121967	-992.6787213733098	-26670.38738121967	108.11082428312834	0.8850924849576705	1.0	1.0130358230729697	0.7090413631623146	1.094676315804957	1.1199739735432144	-983.194212988892	0.02470080307674351	0.963693457230326
50000	-27156.343862217294	-26231.2703061779	-925.0735560393939	-26231.2703061779	68.26967056302469	0.9102144427987438	1.0	0.9480479416973143	0.8777016043116666	0.996024642743084	1.0392923197203556	-916.6426975846346	0.03953202928811059	0.9514221521781766
60000	-26695.96803814554	-25810.264279444436	-885.7037587011026	-25810.264279444436	66.84223976232269	0.9102144427987438	1.0	0.9380962938376597	0.732383599142925	1.0814355047850666	1.038234344802419	-877.8237892030676	0.05454228051761798	0.9412127363595794
70000	-26216.402050715842	-25394.956671058215	-821.4453796576264	-25394.956671058215	44.51684084136094	0.8352362686376094	1.0	0.8497905881828461	0.8652243633789238	0.8847568249084479	0.9285938785705057	-815.4376575431335	0.21586106033651412	0.7326333864182067
80000	-25750.091241909464	-25028.851657058316	-721.2395848511472	-25028.851657058316	12.804251832405063	0.8352362686376094	1.0	0.8725849998798593	0.8775223233441873	1.1116193838295654	1.0231911723257776	-713.4442965798509	0.653090105534966	0.04586435175689502
90000	-25455.63923849526	-24752.321289165644	-703.3179493296157	-24752.321289165644	12.252862677302149	0.8352362686376094	1.0	0.8579881962944864	0.8948826025327751	0.949059293849529	0.9701095218777558	-695.4861429450162	0.6574954495722548	0.043614823167909995
100000	-25036.90035948133	-24397.613927105856	-639.2864323754726	-24397.613927105856	6.982473435236031	1.5502456014627592	1.0	0.8306304391796467	0.9291999770153265	0.7881005923503889	0.9038066345348601	-630.5446136226551	0.7624307253984616	0.03738764969991173
110000	-24683.654140441635	-24040.43610980967	-643.2180306319634	-24040.43610980967	6.963587683073391	2.5470800608593973	1.0	0.8406712593102882	0.9309898501592045	0.8948874461181795	0.9582520998832744	-633.4986058425973	0.7422925832756003	0.03839876034177429
120000	-24164.56365788761	-23658.89884973037	-505.66480815724384	-23658.89884973037	4.868422535393927	3.774641181803008	1.0	0.88761511673288	0.9023357626350625	0.9177633277840612	0.974502781675803	-495.7762053148059	1.0060716266218463	0.09387145074694168
130000	-23805.693349243393	-23341.851317095076	-463.84203214831547	-23341.851317095076	4.364468185845019	3.774641181803008	1.0	0.841683409649516	0.8969012051389682	0.8432020560183474	0.9483036108776335	-453.48637853446456	1.0303257822566412	0.05908301357821861
140000	-23490.71413494051	-23040.306492742522	-450.4076421979885	-23040.306492742522	4.2681519381718465	3.9897968999494857	1.0	0.8133143308323367	0.9312202532028289	0.7893064076901027	0.9208777809791145	-440.13830181983656	1.0484602560225098	0.06903889062128443
