#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BirthDeath.t:ClassI_FULL" spec="beast.evolution.speciation.BirthDeathGernhard08Model">
#            <parameter id="relativeDeathRate2.t:ClassI_FULL" lower="0.0" name="relativeDeathRate" upper="1.0">0.5</parameter>
#            <parameter id="birthRate2.t:ClassI_FULL" lower="0.0" name="birthDiffRate" upper="10000.0">1.0</parameter>
#            <tree id="Tree.t:ClassI_FULL">
#                <taxonset id="TaxonSet.ClassI_FULL" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="BirthRatePrior.t:ClassI_FULL" name="distribution" x="@birthRate2.t:ClassI_FULL">
#            <LogNormal id="LogNormalDistributionModel.1" name="distr">
#                <parameter estimate="false" id="RealParameter.6" name="M">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.7" lower="0.0" name="S" upper="5.0">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="GammaShapePrior.s:ClassI_FULL" name="distribution">
#            <parameter id="gammaShape.s:ClassI_FULL" name="x">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter id="RealParameter.0" lower="0.0" name="mean" upper="0.0">1.0</parameter>
#            </Exponential>
#        </prior>
#        <prior id="DeathRatePrior.t:ClassI_FULL" name="distribution" x="@relativeDeathRate2.t:ClassI_FULL">
#            <LogNormal id="LogNormalDistributionModel.2" name="distr">
#                <parameter estimate="false" id="RealParameter.8" name="M">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.9" lower="0.0" name="S" upper="5.0">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="ucldStdevPrior.c:ClassI_FULL" name="distribution">
#            <parameter id="ucldStdev.c:ClassI_FULL" lower="0.0" name="x">0.1</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.2" name="alpha">0.5396</parameter>
#                <parameter estimate="false" id="RealParameter.3" name="beta">0.3819</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@ClassI_FULL" id="treeLikelihood.ClassI_FULL" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:ClassI_FULL">
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:ClassI_FULL" shape="@gammaShape.s:ClassI_FULL" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:ClassI_FULL" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:ClassI_FULL" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="WAG.s:ClassI_FULL" spec="beast.evolution.substitutionmodel.WAG"/>
#            </siteModel>
#            <branchRateModel id="RelaxedClock.c:ClassI_FULL" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:ClassI_FULL">
#                <LogNormal S="@ucldStdev.c:ClassI_FULL" id="LogNormalDistributionModel.c:ClassI_FULL" meanInRealSpace="true" name="distr">
#                    <parameter estimate="false" id="RealParameter.1" lower="0.0" name="M" upper="1.0">1.0</parameter>
#                </LogNormal>
#                <rateCategories dimension="996" id="rateCategories.c:ClassI_FULL" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#                <parameter estimate="false" id="ucldMean.c:ClassI_FULL" name="clock.rate">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	gammaShape	mutationRate	ucldStdev	rate.mean	rate.variance	rate.coefficientOfVariation	BirthDeath	birthRate2	relativeDeathRate2
0	-111573.39184637976	-111879.87191082272	306.48006444296334	-111879.87191082272	2.6499371152196005	1.0	1.0	0.1	1.012750401822538	0.010761039680464005	0.1037582120883643	309.48907644633255	1.0	0.5
10000	-53910.36115508952	-52952.52310642267	-957.8380486668528	-52952.52310642267	153.79628570891435	1.0	1.0	0.924557742013667	0.8380899627673835	1.1450970515730723	1.1132544354425602	-948.8890624769638	0.02996248287227496	0.9616034557233177
20000	-49977.76960336131	-49025.69248740032	-952.0771159609847	-49025.69248740032	50.83029174034439	1.0	1.0	1.2780021677874842	0.572407554035762	2.519127017880733	1.7194929292465568	-942.2514757261096	0.0333027091235156	0.9551859703061555
30000	-47568.88637695037	-46682.53106426868	-886.3553126816898	-46682.53106426868	28.77570514800188	1.1168825910572577	1.0	1.3959029336143824	0.5347389763266021	3.115327112767437	1.9022747938781692	-877.8641450833154	0.11557327912947667	0.8478941341569962
40000	-45998.981856677434	-45058.56152775349	-940.4203289239413	-45058.56152775349	29.439239181080186	1.1168825910572577	1.0	1.561082206688266	0.47550172639046223	6.1517258361608125	2.6785999947402006	-931.9542401537152	0.20017547881412537	0.6516031176419904
50000	-44339.617885866435	-43495.708325624415	-843.9095602420185	-43495.708325624415	24.303850590512685	1.1168825910572577	1.0	1.6346641590738902	0.5271591338459234	7.290661550588802	2.9229068558717812	-835.3541831416027	0.246562927899061	0.6592377229084045
60000	-43090.27408899497	-42209.260616891675	-881.0134721032967	-42209.260616891675	23.164629477083103	1.1632523976580955	1.0	1.7072980619762272	0.5422685280819621	6.6456543702629425	2.7911878192412196	-872.286916713434	0.2917467922440899	0.5210923984799828
70000	-41852.26619290865	-41033.35458620303	-818.9116067056208	-41033.35458620303	18.89889356120243	1.1260213140955158	1.0	1.6885135666128932	0.5768764715370607	5.6981580160544105	2.6297968748534766	-810.3063759752696	0.3169652153412266	0.4965432978639173
80000	-40970.11262259743	-40150.18986672278	-819.9227558746488	-40150.18986672278	18.585261986858402	1.1312908280836906	1.0	1.6569820999018938	0.5517177636435595	4.806163773923814	2.4363701583717465	-811.335116314771	0.4631857455501785	0.2744399611770967
90000	-40431.87054122819	-39623.7977815999	-808.0727596282936	-39623.7977815999	17.55342516642461	1.1312908280836906	1.0	1.6872808980721055	0.5429788046235516	5.319027772023364	2.5337071086541343	-799.495753041036	0.38421404995380004	0.4064779179003189
100000	-39805.11920449334	-39003.38943061825	-801.7297738750922	-39003.38943061825	16.562789292496063	1.1902189406950372	1.0	1.6795603027435824	0.5324287155453911	5.348679626138423	2.555762377607153	-793.1055280053258	0.38988340272994315	0.38259048565381937
110000	-38928.28971737534	-38137.31314918972	-790.9765681856136	-38137.31314918972	16.323919171672557	1.1776120305716329	1.0	1.6660338682313844	0.5538167269384502	5.486760038968782	2.587113187460684	-782.0045921214967	0.547058369741707	0.16411158331347633
120000	-38223.645214478405	-37448.23651717987	-775.4086972985391	-37448.23651717987	13.52330586033176	1.0772834461967016	1.0	1.6766237742825822	0.5584827961277047	5.386796599470279	2.5984852507740457	-766.7818222175969	0.47686423410480494	0.25308525952356703
130000	-37685.845474091526	-36953.012782760095	-732.832691331431	-36953.012782760095	12.296976288784283	1.0772834461967016	1.0	1.6562412787819438	0.6147380595458068	5.172981597301771	2.544329559581042	-724.2428352758966	0.5347627858689373	0.23897972062968276
140000	-37014.11954539972	-36350.93281436375	-663.1867310359729	-36350.93281436375	11.360856005323882	1.1286210594943846	1.0	1.598017165100958	0.6464154196838856	4.618576917728671	2.3684425642152647	-654.7263318856731	0.6017740286767426	0.24404678255827014
150000	-36224.143789731104	-35544.529282701136	-679.6145070299696	-35544.529282701136	12.469399871817894	1.1286210594943846	1.0	1.649265196403129	0.6195739461002107	5.562288726023918	2.593804946267445	-671.2036313209828	0.5315196747785396	0.4169324743868623
160000	-35475.06654797384	-34835.46042636535	-639.606121608484	-34835.46042636535	9.610850979437366	1.1016153355924196	1.0	1.649323314546457	0.6041293719012009	5.467762375034939	2.565575810728173	-630.2608517203844	0.6993925461894065	0.09896465312503279
170000	-34906.31977963782	-34312.67867122453	-593.6411084132952	-34312.67867122453	7.906736579093026	1.1374178492758986	1.0	1.6230806128190387	0.6325645359555179	4.113610188350386	2.2952221242634336	-585.1479711872005	0.6805026918111008	0.2736814443014983
180000	-34402.348613938266	-33837.28352061152	-565.0650933267493	-33837.28352061152	7.540142444351734	1.2729903620506124	1.0	1.6339412490840133	0.6259246885154695	4.127773926245264	2.3341409822299224	-556.1188031235288	0.7842060922417674	0.17742582391633588
190000	-34096.28793697629	-33524.28577341975	-572.0021635565387	-33524.28577341975	7.405592204508454	1.2729903620506124	1.0	1.6592994632575229	0.5992582778423392	4.2996576549405034	2.451809467938077	-562.9262167620719	0.763532142779652	0.16386352010148703
200000	-33776.5052858323	-33220.65269370929	-555.8525921230105	-33220.65269370929	7.336150008727011	1.2729903620506124	1.0	1.6305839259554766	0.611508262580454	6.019398679979517	2.8086804586151306	-547.0792124475927	0.7661053152500442	0.224718831046198
210000	-33388.67749218391	-32863.41993588845	-525.2575562954611	-32863.41993588845	6.800266894164427	1.260517161347371	1.0	1.5935677153070713	0.6150591000759945	5.330091085323737	2.6674047510229877	-516.1878105847072	0.9652425408163234	0.13968269830957547
220000	-32664.73985282957	-32154.502332927295	-510.23751990227385	-32154.502332927295	7.081495757633506	1.3037926219045057	1.0	1.5596812740506787	0.6133490147494132	4.928825656183979	2.6350229359924895	-501.408886836869	0.9028856737487045	0.17005900223400788
230000	-32351.495834640064	-31854.172408310187	-497.32342632987695	-31854.172408310187	7.022707968011374	1.36885135212212	1.0	1.601614721823285	0.6096715149140917	5.397558676959376	2.7429566928245657	-486.49577032555493	0.911142877900935	0.03955556425884383
240000	-31955.862257798657	-31482.47585381566	-473.3864039829965	-31482.47585381566	6.050706548699955	1.300196581441335	1.0	1.5857232516254363	0.628251780561329	5.396942890573759	2.7134794410265717	-463.49823158005927	1.0218608218598688	0.06964026057677335
250000	-31698.87581830333	-31241.962842251243	-456.9129760520873	-31241.962842251243	5.873816400009489	1.2580760593064508	1.0	1.5830715284312245	0.6400538153490293	5.024128864186572	2.6270435739186837	-448.2169549830012	0.9514859535946663	0.21760304329587274
260000	-31285.65141715002	-30857.508358351188	-428.14305879883193	-30857.508358351188	5.06913469566038	1.1936200589141464	1.0	1.5622438585714455	0.6559536720358498	4.804521458031578	2.5644186557312896	-419.5663404506083	1.0204769338309172	0.22444024059664838
270000	-30933.32693546463	-30521.984381273352	-411.34255419127754	-30521.984381273352	5.388136598853719	1.1274840177884282	1.0	1.532240990927424	0.6609899174112583	4.500978405803531	2.4688645917045013	-402.7195125129328	1.1157815273639686	0.17594897618725358
280000	-30769.19341960177	-30407.271900665564	-361.92151893620456	-30407.271900665564	4.0329294641001665	1.2036646970789389	1.0	1.4688861062692036	0.688681017627263	3.980615533540545	2.2704859390353334	-352.98274284232633	1.2622035817717405	0.11621125811974603
290000	-30490.64903744986	-30126.288201982723	-364.36083546713917	-30126.288201982723	5.143961926988628	1.3235808704682301	1.0	1.4631622389813463	0.7101107652142222	4.211426708347324	2.267798177462783	-355.6106754163069	1.3047021456977277	0.16326995152003793
300000	-30042.949682096467	-29723.01299470414	-319.9366873923286	-29723.01299470414	4.620055214451436	1.1444795775197103	1.0	1.4130639572189714	0.7573025310825096	3.7747274013994443	2.1759433516145568	-311.7896530675975	1.220415046317601	0.23252014808192337
310000	-29719.850720597777	-29407.571564456175	-312.27915614160014	-29407.571564456175	4.767565569532648	1.2005552933929582	1.0	1.4239133505216832	0.7442844919388477	3.9178143659770073	2.181932741022685	-302.83415081509133	1.3430754970496823	0.0694525901660336
320000	-29358.009754319548	-29054.908034979886	-303.1017193396614	-29054.908034979886	4.168147060048284	1.2005552933929582	1.0	1.4188681321826244	0.7481946676244481	3.585174464689274	2.124640340617934	-293.0451857767661	1.4787039737440564	0.04712262867712104
330000	-29121.00215020969	-28634.59696556116	-486.4051846485316	-28634.59696556116	6.178601646116716	1.3727139200249958	1.0	1.456086710952983	0.698829194907839	4.3529358324122	2.3183478301341025	-477.40263656869615	1.0283191507455673	0.1136158616387423
340000	-28891.304238313845	-28451.630677314428	-439.67356099941884	-28451.630677314428	5.215894306088449	1.3727139200249958	1.0	1.3872899014526228	0.7511756939786649	2.5037452673684863	1.8058452869053812	-429.8205172775895	1.1361136565153176	0.05166082548954209
350000	-28534.494976333586	-28103.14613537708	-431.3488409565054	-28103.14613537708	4.884431287993107	1.2437801170479619	1.0	1.3841932514476991	0.7648687670109395	2.43477583767379	1.7994208536660354	-422.331946804523	1.1524755379887057	0.08632616257930208
360000	-28043.242668965682	-27686.88328924203	-356.35937972365286	-27686.88328924203	4.529488282192951	1.2399756738417251	1.0	1.283591269314729	0.8271813558394218	2.590861955600875	1.826161204659447	-348.30000588791575	1.1707009609762042	0.16808735312216452
370000	-27605.174494393676	-27258.322618630566	-346.85187576310875	-27258.322618630566	3.9973912639265228	1.2399756738417251	1.0	1.3015056724237117	0.8174909708614146	2.9500595059172245	1.9094046437985188	-338.01626962445266	1.3047859249588687	0.08586334906592821
380000	-26997.71530098969	-26724.04404187645	-273.6712591132428	-26724.04404187645	3.2819307080248334	1.3517980696620622	1.0	1.243309399779396	0.8222093775288646	2.131346069459301	1.6364187333465505	-265.5849414742044	1.5572012332710565	0.19884233130935364
390000	-26721.789085288958	-26460.518443606717	-261.27064168223865	-26460.518443606717	3.9137362571942247	1.3700949796895285	1.0	1.2071221636341882	0.828988877300085	2.0578821234504203	1.5539558267055515	-252.17532791116676	1.8582495176287366	0.07418667444553648
400000	-26566.399587868626	-26310.59608957402	-255.8034982946041	-26310.59608957402	3.3440073089868028	1.3700949796895285	1.0	1.1802429351980006	0.8441450928810429	1.8772800736588282	1.507777642417699	-246.28403356284815	1.6255907030554047	0.04887029281752965
410000	-26229.448297558007	-25966.91489106382	-262.5334064941839	-25966.91489106382	3.8231071900548965	1.2337800302130781	1.0	1.1913846082553248	0.8571724330152423	2.2389288254211532	1.6067681899303614	-254.67838816985332	1.5014959271291066	0.18120555142252392
