#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BirthDeath.t:ClassI_FULL" spec="beast.evolution.speciation.BirthDeathGernhard08Model">
#            <parameter id="relativeDeathRate2.t:ClassI_FULL" lower="0.0" name="relativeDeathRate" upper="1.0">0.5</parameter>
#            <parameter id="birthRate2.t:ClassI_FULL" lower="0.0" name="birthDiffRate" upper="10000.0">1.0</parameter>
#            <tree id="Tree.t:ClassI_FULL">
#                <taxonset id="TaxonSet.ClassI_FULL" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="BirthRatePrior.t:ClassI_FULL" name="distribution" x="@birthRate2.t:ClassI_FULL">
#            <LogNormal id="LogNormalDistributionModel.1" name="distr">
#                <parameter estimate="false" id="RealParameter.6" name="M">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.7" lower="0.0" name="S" upper="5.0">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="GammaShapePrior.s:ClassI_FULL" name="distribution">
#            <parameter id="gammaShape.s:ClassI_FULL" name="x">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter id="RealParameter.0" lower="0.0" name="mean" upper="0.0">1.0</parameter>
#            </Exponential>
#        </prior>
#        <prior id="DeathRatePrior.t:ClassI_FULL" name="distribution" x="@relativeDeathRate2.t:ClassI_FULL">
#            <LogNormal id="LogNormalDistributionModel.2" name="distr">
#                <parameter estimate="false" id="RealParameter.8" name="M">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.9" lower="0.0" name="S" upper="5.0">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="ucldStdevPrior.c:ClassI_FULL" name="distribution">
#            <parameter id="ucldStdev.c:ClassI_FULL" lower="0.0" name="x">0.1</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.2" name="alpha">0.5396</parameter>
#                <parameter estimate="false" id="RealParameter.3" name="beta">0.3819</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@ClassI_FULL" id="treeLikelihood.ClassI_FULL" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:ClassI_FULL">
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:ClassI_FULL" shape="@gammaShape.s:ClassI_FULL" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:ClassI_FULL" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:ClassI_FULL" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="WAG.s:ClassI_FULL" spec="beast.evolution.substitutionmodel.WAG"/>
#            </siteModel>
#            <branchRateModel id="RelaxedClock.c:ClassI_FULL" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:ClassI_FULL">
#                <LogNormal S="@ucldStdev.c:ClassI_FULL" id="LogNormalDistributionModel.c:ClassI_FULL" meanInRealSpace="true" name="distr">
#                    <parameter estimate="false" id="RealParameter.1" lower="0.0" name="M" upper="1.0">1.0</parameter>
#                </LogNormal>
#                <rateCategories dimension="986" id="rateCategories.c:ClassI_FULL" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#                <parameter estimate="false" id="ucldMean.c:ClassI_FULL" name="clock.rate">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	gammaShape	mutationRate	ucldStdev	rate.mean	rate.variance	rate.coefficientOfVariation	BirthDeath	birthRate2	relativeDeathRate2
0	-91241.32525406542	-91545.90295928543	304.57770522000993	-91545.90295928543	2.8668421419647636	1.0	1.0	0.1	0.9699040751151441	0.010109842509663774	0.10098699768340098	307.58671722337914	1.0	0.5
10000	-46366.04177717398	-45456.58549355004	-909.4562836239453	-45456.58549355004	74.94219469244827	0.5506061065739086	1.0	2.890971526114018E-4	1.0000350112762955	8.3154916842562E-8	2.8836413576654026E-4	-908.4264093720552	0.06739229628443404	0.9137359107090424
20000	-41252.863717959044	-40767.208901644546	-485.6548163144997	-40767.208901644546	15.87533460284614	0.857226680044764	1.0	0.20271145859600126	0.9923097957585107	0.039539734065816505	0.19964388257341367	-482.221596961128	0.7045933300655647	0.3630732166759123
30000	-38106.17541908293	-37749.27629907317	-356.8991200097563	-37749.27629907317	4.101902068097582	0.857226680044764	1.0	0.46658137704959096	0.9475089877451947	0.2281636053456294	0.4834627442905139	-350.5630440630501	1.3886253338271317	0.05867712115200561
40000	-36147.818007218906	-35727.609480763094	-420.2085264558112	-35727.609480763094	3.558290785142087	0.857226680044764	1.0	0.606042670097011	0.89738908320511	0.3674246139946166	0.6336531419061121	-414.60248245300227	1.1938316271499603	0.15987356760976568
50000	-34174.89003683367	-33823.400749416076	-351.4892874175947	-33823.400749416076	3.030936391463963	0.9883341204090844	1.0	0.6108190676370697	0.9036913357390262	0.3634732796209334	0.6347654531313969	-343.13105280464407	1.3281582929585332	0.02576572203855243
60000	-32698.821270433746	-32338.62179408032	-360.1994763534239	-32338.62179408032	3.157998142779931	1.4429167322094114	1.0	0.6761986450319108	0.8777144061797412	0.4334449049912708	0.7095145536342091	-352.32721597805215	1.3048293007388347	0.04923719296942904
70000	-31529.19918248459	-31147.064508779134	-382.1346737054552	-31147.064508779134	3.3700821924669424	1.2783807225652275	1.0	0.7278254952025865	0.8677256373781604	0.5636578649543822	0.8039959218145556	-374.5328312208731	1.2242664591009735	0.057776391856426794
80000	-30412.837664124145	-30080.747173056865	-332.0904910672801	-30080.747173056865	2.9261597689856553	0.9866287928821846	1.0	0.7676796392941607	0.8737732671117112	0.6122020036788888	0.830350278255308	-323.834487936271	1.3903267024689803	0.03630644054325868
90000	-29329.646139157758	-29022.261806515748	-307.3843326420108	-29022.261806515748	2.61781751558576	1.4612414758760062	1.0	0.8197699535107378	0.8632233043570648	0.6698405841347093	0.8691181970827774	-299.19748188089187	1.4370159816791022	0.05699610790904517
100000	-28395.591239479327	-28063.32874695851	-332.26249252082016	-28063.32874695851	2.9050811036181545	1.3278540479101681	1.0	0.8180293419233392	0.8441373298146034	0.6867493551103727	0.8751356011301112	-323.1378169488645	1.3605109820083228	0.029515944553107524
110000	-27494.29252640476	-27189.15171707817	-305.1408093265875	-27189.15171707817	3.246600200017892	1.4827915784150003	1.0	0.879363283129143	0.8549609008537404	0.7427855773567492	0.9383154726880085	-292.82502177408014	1.4686615789996895	0.00868119127972988
120000	-26654.215363083054	-26363.503607266248	-290.71175581680734	-26363.503607266248	3.3283893849044976	1.4220443250095385	1.0	0.8775949171317242	0.8485490596501701	0.8076498344666707	0.961240025591808	-281.55879942259065	1.534564417966721	0.035243363548748866
130000	-25928.374149691077	-25673.970983593495	-254.4031660975825	-25673.970983593495	2.934572654375163	1.4493747325400848	1.0	0.8257223902343312	0.8901089566260648	0.6701504995162451	0.8673503857180078	-244.86181114032118	1.6521425058419477	0.027291001934045822
140000	-25102.645092551942	-24907.850176222135	-194.7949163298055	-24907.850176222135	2.577539034199648	1.4493747325400848	1.0	0.7820791301856677	0.8998058132198281	0.6256692370518205	0.835997737383139	-187.5786097041782	1.685734214951008	0.12261612115277865
