#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BayesianSkyline.t:Lys" spec="beast.evolution.tree.coalescent.BayesianSkyline">
#            <parameter dimension="5" id="bPopSizes.t:Lys" lower="0.0" name="popSizes" upper="380000.0">380.0</parameter>
#            <groupSizes dimension="5" id="bGroupSizes.t:Lys" spec="beast.core.parameter.IntegerParameter">1</groupSizes>
#            <treeIntervals id="BSPTreeIntervals.t:Lys" spec="beast.evolution.tree.coalescent.TreeIntervals">
#                <tree id="Tree.t:Lys">
#                    <taxonset id="TaxonSet.Lys" spec="beast.evolution.alignment.TaxonSet">
#                    </taxonset>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <distribution id="MarkovChainedPopSizes.t:Lys" jeffreys="true" parameter="@bPopSizes.t:Lys" spec="beast.math.distributions.MarkovChainDistribution"/>
#        <prior id="GammaShapePrior.s:Lys" name="distribution">
#            <parameter id="gammaShape.s:Lys" name="x">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter id="RealParameter.0" lower="0.0" name="mean" upper="0.0">1.0</parameter>
#            </Exponential>
#        </prior>
#        <prior id="ucldStdevPrior.c:Lys" name="distribution">
#            <parameter id="ucldStdev.c:Lys" lower="0.0" name="x">0.1</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.2" name="alpha">0.5396</parameter>
#                <parameter estimate="false" id="RealParameter.3" name="beta">0.3819</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@Lys" id="treeLikelihood.Lys" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:Lys">
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:Lys" shape="@gammaShape.s:Lys" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:Lys" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:Lys" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="WAG.s:Lys" spec="beast.evolution.substitutionmodel.WAG"/>
#            </siteModel>
#            <branchRateModel id="RelaxedClock.c:Lys" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:Lys">
#                <LogNormal S="@ucldStdev.c:Lys" id="LogNormalDistributionModel.c:Lys" meanInRealSpace="true" name="distr">
#                    <parameter estimate="false" id="RealParameter.1" lower="0.0" name="M" upper="1.0">1.0</parameter>
#                </LogNormal>
#                <rateCategories dimension="68" id="rateCategories.c:Lys" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#                <parameter estimate="false" id="ucldMean.c:Lys" name="clock.rate">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	gammaShape	mutationRate	ucldStdev	rate.mean	rate.variance	rate.coefficientOfVariation	BayesianSkyline	bPopSizes.1	bPopSizes.2	bPopSizes.3	bPopSizes.4	bPopSizes.5	bGroupSizes.1	bGroupSizes.2	bGroupSizes.3	bGroupSizes.4	bGroupSizes.5
0	-7422.327579995361	-7186.419237162712	-235.90834283264823	-7186.419237162712	2.224130395067424	1.0	1.0	0.1	0.9831594931477811	0.00783650141375068	0.08941742920520822	-202.02685071416687	380.0	380.0	380.0	380.0	380.0	7	7	7	7	6
10000	-4599.659989323831	-4513.730539809272	-85.92944951455888	-4513.730539809272	2.047143500851067	0.7328014944437948	1.0	0.7835031005386347	0.7310477818402641	0.4583342713036542	0.761936934594298	-70.18923660628288	17.047832876767984	24.847623789875772	4.455984910007909	0.9561587793521846	0.8639757291214178	3	3	15	10	3
20000	-4547.75984671228	-4473.280006716251	-74.4798399960291	-4473.280006716251	0.6952615594539748	0.7328014944437948	1.0	0.27216194814694167	0.9294569902444211	0.06087535224010648	0.26408320988584816	-59.40711023555919	32.790861222578684	24.768647685264128	4.916576532686635	2.1044313929957563	0.7136287670254599	4	2	3	16	9
30000	-4486.856375914764	-4413.306847985818	-73.54952792894566	-4413.306847985818	0.7979385508068533	0.6270703882069218	1.0	0.1604566618703774	0.9905085175423384	0.028324151261115076	0.16763591638840564	-57.94962775417087	198.57661013109967	14.71072810638064	3.4403844438342746	0.9433018621093452	0.36403048300680946	2	9	4	6	13
40000	-4465.486452295047	-4399.139880179827	-66.34657211521987	-4399.139880179827	0.7669364221612729	0.6751285494228193	1.0	0.20854153854256213	0.9635390576331814	0.03290463608087632	0.18795340400902374	-55.80579680332343	20.72159789984575	5.104472787874494	2.1848512624871352	0.7668420647895864	0.6353512178290792	2	10	6	5	11
50000	-4451.2143313565275	-4385.453885278209	-65.76044607831838	-4385.453885278209	0.811893960298266	0.8766774709316026	1.0	0.3555490039122811	0.8949441665710457	0.08142197435891799	0.3192235822408779	-54.18444325480229	18.19808754337791	8.753030296508909	2.5469774153612916	0.9397952327116637	0.26288286362627267	6	3	7	12	6
60000	-4446.123729368904	-4387.181748834295	-58.94198053460875	-4387.181748834295	0.7334514439181309	0.5934347339087092	1.0	0.40701414765598937	1.069480676128717	0.22019521180726034	0.4300698301811179	-46.22309581249037	29.48654693779302	8.724426095402045	2.557377647990942	1.315710782491115	0.3207846938788588	3	2	12	6	11
70000	-4451.471865204926	-4394.300266155931	-57.17159904899481	-4394.300266155931	0.6524156212380877	0.767570476791241	1.0	0.06780782914394651	1.0021985406362752	0.0037540848472742763	0.060774714646774274	-50.54238102558468	13.489983710299835	2.7630901754207193	1.2632328876248897	0.4222544405333721	0.1503755134950584	8	8	10	4	4
80000	-4441.9611618712615	-4384.312275263115	-57.64888660814676	-4384.312275263115	0.6498287246050707	0.5862713597335582	1.0	0.25117681479975656	1.0338282497653895	0.07039449235749122	0.2567729246035889	-49.26320304146934	11.80819066849195	5.9631854944934855	1.135235880273254	0.6298474888473072	0.10137416813918652	11	1	10	6	6
90000	-4454.089791215173	-4398.0736239978305	-56.01616721734241	-4398.0736239978305	0.6385386651594699	0.68642312342421	1.0	0.15716812791050216	1.005056509338977	0.02911350061317199	0.16748222745035374	-46.474251422362386	40.977453612460906	5.205263599722474	1.2516931415134704	0.20332193113303898	0.2195503179833951	5	4	17	4	4
100000	-4457.665983084796	-4388.493843074219	-69.17214001057742	-4388.493843074219	0.8607996624011357	0.6750552299156333	1.0	0.19579699568043135	0.9804819704613743	0.043912116463398924	0.2118542095364303	-56.56979654557132	35.9683115799102	24.68541127580229	1.0516550992105718	0.9000950270479249	0.2565872530944136	7	1	16	2	8
110000	-4459.760387900783	-4394.366899823176	-65.39348807760683	-4394.366899823176	0.8988779802719756	0.6883050182591379	1.0	0.1504239623173665	1.0004934139790433	0.022480167379082257	0.15076290645066306	-53.16722874159527	22.688111918300685	21.204572811568127	2.1893826733369743	1.263140304752107	0.1356457508344603	2	5	10	12	5
120000	-4455.323995168829	-4390.923818918558	-64.40017625027154	-4390.923818918558	0.6659005192935877	0.6545695366586477	1.0	0.2460863800049798	1.0083087307021352	0.07715948585217551	0.27251111907923437	-52.34907918270563	11.140119879268084	22.74878722195976	3.1206391637213082	0.7667725564645835	0.13474655368115288	4	4	7	13	6
130000	-4462.770257797026	-4393.546772720424	-69.22348507660165	-4393.546772720424	0.9372805788008974	0.5325027311947956	1.0	0.18967338689794142	0.9681239108674624	0.04136666439920542	0.20471659837408232	-56.546738324960664	20.577578377124595	10.328909599156427	6.847029850657489	0.6630866497721293	0.8461474702947394	2	9	3	12	8
