#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BayesianSkyline.t:Met" spec="beast.evolution.tree.coalescent.BayesianSkyline">
#            <parameter dimension="5" id="bPopSizes.t:Met" lower="0.0" name="popSizes" upper="380000.0">380.0</parameter>
#            <groupSizes dimension="5" id="bGroupSizes.t:Met" spec="beast.core.parameter.IntegerParameter">1</groupSizes>
#            <treeIntervals id="BSPTreeIntervals.t:Met" spec="beast.evolution.tree.coalescent.TreeIntervals">
#                <tree id="Tree.t:Met">
#                    <taxonset id="TaxonSet.Met" spec="beast.evolution.alignment.TaxonSet">
#                    </taxonset>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <distribution id="MarkovChainedPopSizes.t:Met" jeffreys="true" parameter="@bPopSizes.t:Met" spec="beast.math.distributions.MarkovChainDistribution"/>
#        <prior id="GammaShapePrior.s:Met" name="distribution">
#            <parameter id="gammaShape.s:Met" name="x">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter id="RealParameter.0" lower="0.0" name="mean" upper="0.0">1.0</parameter>
#            </Exponential>
#        </prior>
#        <prior id="ucldStdevPrior.c:Met" name="distribution">
#            <parameter id="ucldStdev.c:Met" lower="0.0" name="x">0.1</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.2" name="alpha">0.5396</parameter>
#                <parameter estimate="false" id="RealParameter.3" name="beta">0.3819</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@Met" id="treeLikelihood.Met" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:Met">
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:Met" shape="@gammaShape.s:Met" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:Met" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:Met" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="WAG.s:Met" spec="beast.evolution.substitutionmodel.WAG"/>
#            </siteModel>
#            <branchRateModel id="RelaxedClock.c:Met" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:Met">
#                <LogNormal S="@ucldStdev.c:Met" id="LogNormalDistributionModel.c:Met" meanInRealSpace="true" name="distr">
#                    <parameter estimate="false" id="RealParameter.1" lower="0.0" name="M" upper="1.0">1.0</parameter>
#                </LogNormal>
#                <rateCategories dimension="108" id="rateCategories.c:Met" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#                <parameter estimate="false" id="ucldMean.c:Met" name="clock.rate">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	gammaShape	mutationRate	ucldStdev	rate.mean	rate.variance	rate.coefficientOfVariation	BayesianSkyline	bPopSizes.1	bPopSizes.2	bPopSizes.3	bPopSizes.4	bPopSizes.5	bGroupSizes.1	bGroupSizes.2	bGroupSizes.3	bGroupSizes.4	bGroupSizes.5
0	-13017.88789120945	-12663.120926130017	-354.7669650794316	-12663.120926130017	1.4093474815264844	1.0	1.0	0.1	0.989008852663601	0.012297403141504836	0.11205180354823054	-320.88547296095027	380.0	380.0	380.0	380.0	380.0	11	11	11	11	10
10000	-6843.531755583015	-6657.911655118623	-185.62010046439238	-6657.911655118623	3.9998957504877986	0.820651234769785	1.0	0.9571952670561124	0.5713914861008086	0.7857497126973049	0.9944883391992819	-169.12227871373108	20.893140221161417	9.228530604902629	6.931358041810489	1.8961768083464874	1.6470742034263535	17	12	17	7	1
20000	-6583.080766541254	-6395.478802960993	-187.6019635802617	-6395.478802960993	4.155414322608543	0.9836134801852956	1.0	0.9586801619428743	0.5080101030756571	0.5652359955394044	0.9572662543373645	-169.27540011343578	24.645393542457565	5.806096704342698	7.758064313686934	4.325480394361146	4.5959103509555765	17	18	10	6	3
30000	-6528.327022730302	-6368.990121569862	-159.3369011604399	-6368.990121569862	2.3105314206810097	0.7078931511253905	1.0	0.7181566067710218	0.7462146052594736	0.5066790761901324	0.7345794724309019	-143.8445698150829	22.79216636361392	4.373947398281847	6.780043937036438	2.138107153263234	1.3207531618328028	8	11	19	9	7
40000	-6517.970574356452	-6369.347559254496	-148.62301510195564	-6369.347559254496	1.388378650737612	0.7361301173307473	1.0	0.7446094977603023	0.7973482684687332	0.4152779383249073	0.6845988247728811	-134.13108144775688	40.10352771530296	15.004066252721715	3.7512328927630243	0.6509121361270164	0.11801361674236588	3	13	31	6	1
50000	-6487.018329300196	-6343.945220665893	-143.07310863430217	-6343.945220665893	1.3637745659787142	0.677726888202791	1.0	0.6670422985750635	0.7903569436816525	0.40448477413102363	0.6703415756001309	-129.68301379375393	34.441410069965585	5.698101163468507	3.3808819014105884	0.2933260495145849	0.44508983910300187	11	12	22	5	4
60000	-6470.220962526552	-6330.929094398412	-139.2918681281402	-6330.929094398412	1.0849051285923283	0.8689675800974466	1.0	0.6347697828194112	0.8840446341998773	0.3881296307211514	0.5874870337298228	-123.58813228388463	15.155479985020147	1.8710090239153816	6.698544747618932	3.08553231383676	0.4532873391493408	13	7	3	21	10
70000	-6493.665146922578	-6350.928678529452	-142.73646839312633	-6350.928678529452	1.374626615415518	1.055678480954269	1.0	0.4259370604179299	0.9334340734655606	0.22228515929200546	0.4638948849556588	-130.18788209185496	18.470343807331183	5.247157826561211	4.2547813773389365	0.78445455358016	0.6409067059155988	10	8	23	12	1
80000	-6474.12054031575	-6340.165731111311	-133.9548092044385	-6340.165731111311	1.0909126218112786	0.8435435603623199	1.0	0.47129382461762515	0.8796656344371742	0.2678764753279816	0.5270685172508005	-119.78091162758672	55.38735851624901	6.244848199706438	3.980914104522385	0.7744557862778251	0.4124658255656719	6	17	16	9	6
90000	-6483.14657841042	-6345.669316979569	-137.47726143085148	-6345.669316979569	1.4085662130840506	0.889142611449073	1.0	0.4657772889300542	0.8375241015858217	0.2803788711960377	0.5666894592375583	-123.4131797666339	43.81094337844202	6.22565387763445	4.042428081600797	0.3934270421551868	0.6243691321997943	5	13	21	1	14
