#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BirthDeath.t:Met_BactEuk" spec="beast.evolution.speciation.BirthDeathGernhard08Model">
#            <parameter id="relativeDeathRate2.t:Met_BactEuk" lower="0.0" name="relativeDeathRate" upper="1.0">0.5</parameter>
#            <parameter id="birthRate2.t:Met_BactEuk" lower="0.0" name="birthDiffRate" upper="10000.0">1.0</parameter>
#            <tree id="Tree.t:Met_BactEuk">
#                <taxonset id="TaxonSet.Met_BactEuk" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="BirthRatePrior.t:Met_BactEuk" name="distribution" x="@birthRate2.t:Met_BactEuk">
#            <Uniform id="Uniform.4" name="distr" upper="1000.0"/>
#        </prior>
#        <prior id="GammaShapePrior.s:Met_BactEuk" name="distribution">
#            <parameter id="gammaShape.s:Met_BactEuk" name="x">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter id="RealParameter.0" lower="0.0" name="mean" upper="0.0">1.0</parameter>
#            </Exponential>
#        </prior>
#        <prior id="DeathRatePrior.t:Met_BactEuk" name="distribution" x="@relativeDeathRate2.t:Met_BactEuk">
#            <Uniform id="Uniform.5" name="distr"/>
#        </prior>
#        <prior id="ucldStdevPrior.c:Met_BactEuk" name="distribution">
#            <parameter id="ucldStdev.c:Met_BactEuk" lower="0.0" name="x">0.1</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.2" name="alpha">0.5396</parameter>
#                <parameter estimate="false" id="RealParameter.3" name="beta">0.3819</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@Met_BactEuk" id="treeLikelihood.Met_BactEuk" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:Met_BactEuk">
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:Met_BactEuk" shape="@gammaShape.s:Met_BactEuk" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:Met_BactEuk" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:Met_BactEuk" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="WAG.s:Met_BactEuk" spec="beast.evolution.substitutionmodel.WAG"/>
#            </siteModel>
#            <branchRateModel id="RelaxedClock.c:Met_BactEuk" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:Met_BactEuk">
#                <LogNormal S="@ucldStdev.c:Met_BactEuk" id="LogNormalDistributionModel.c:Met_BactEuk" meanInRealSpace="true" name="distr">
#                    <parameter estimate="false" id="RealParameter.1" lower="0.0" name="M" upper="1.0">1.0</parameter>
#                </LogNormal>
#                <rateCategories dimension="70" id="rateCategories.c:Met_BactEuk" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#                <parameter estimate="false" id="ucldMean.c:Met_BactEuk" name="clock.rate">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	gammaShape	mutationRate	ucldStdev	rate.mean	rate.variance	rate.coefficientOfVariation	BirthDeath	birthRate2	relativeDeathRate2
0	-8482.701724648809	-8483.811377736392	1.1096530875832216	-8483.811377736392	2.530446846191877	1.0	1.0	0.1	1.0602628643954082	0.009539371406901007	0.09791227698846848	8.198044221444556	1.0	0.5
10000	-4414.881931254867	-4401.271471632266	-13.610459622600048	-4401.271471632266	0.9997503880948527	0.8989396543158135	1.0	0.5686450777113872	1.0462607042728824	0.36196460574890815	0.5567151671601722	-4.5957730909810355	1.932820774571539	0.4033448793125998
20000	-4406.875043797602	-4389.962538890697	-16.912504906905703	-4389.962538890697	1.2039710018238066	0.8989396543158135	1.0	0.4927172784071443	1.0333568613365745	0.3196618497725026	0.5412207318134984	-8.162619253139615	2.7169760243303815	0.058378409338376756
30000	-4393.636120592143	-4383.287656294761	-10.348464297381481	-4383.287656294761	0.8989520366773939	0.870968276407131	1.0	0.47002208214211666	0.9631789397967165	0.2634366214816649	0.49648996225708986	-1.707687645240382	2.7182140644342976	0.01114412461910077
40000	-4410.690906291829	-4393.351725070172	-17.33918122165812	-4393.351725070172	1.0911665400451607	0.8828329929841938	1.0	0.6191240688503361	0.9132441165167383	0.3589806733192578	0.6001988354977527	-8.16926613638891	2.1460391970670476	0.16263258444114267
50000	-4405.790690992666	-4389.057197240524	-16.733493752141868	-4389.057197240524	1.2097802759981602	0.8775510557263556	1.0	0.3884618980038551	0.952451420728888	0.14697179958837323	0.39162803781836	-8.38744370662536	1.616139036182295	0.0065855110406553485
60000	-4399.378455040501	-4393.8635594075995	-5.514895632900871	-4393.8635594075995	0.786084105775803	0.8320530412615313	1.0	0.43237850003474954	0.9745599826105071	0.16997192424977553	0.40901312649852745	2.9499631558663424	3.470852108908057	0.0021137434616833512
70000	-4395.090120281319	-4384.82501905328	-10.26510122803941	-4384.82501905328	0.9296327880075268	0.7213813463893689	1.0	0.4473350490198962	1.1033565442373305	0.21794335278604157	0.41218675474471994	-1.8560940187561794	3.1528501923751744	0.1323355441703192
80000	-4391.003732987519	-4383.005620713821	-7.998112273696761	-4383.005620713821	1.1975202804196572	0.771998993052328	1.0	0.38152100073742473	0.9751521430723368	0.24097503917490937	0.4742115328061248	0.2159104226355959	2.853175915201899	0.11218076831340003
90000	-4387.6088840982475	-4378.704296882959	-8.904587215288618	-4378.704296882959	1.028121715510434	0.8797338965658758	1.0	0.4046909267239893	0.9199382389742228	0.1493645682658385	0.38747739159109545	-0.49501533556918	2.897367759772241	0.19306055740632766
100000	-4407.63272161975	-4387.041344762654	-20.59137685709573	-4387.041344762654	1.1161267563145647	0.7881738665681673	1.0	0.6167991717498953	0.7370119700205309	0.34499119555066915	0.6786260981419334	-11.523940730281401	1.5796684693506782	0.08204871269069289
110000	-4419.404017006911	-4398.769711852267	-20.634305154643997	-4398.769711852267	1.7294097541578712	0.9361313325584498	1.0	0.4351875523516318	0.9486976765503847	0.14990535424187512	0.3776323358828618	-12.055031182476462	1.6956129002138423	0.2303011402715959
120000	-4400.264916786754	-4390.966329347808	-9.298587438946267	-4390.966329347808	1.0160734556174027	0.7263227138378101	1.0	0.27920611780241084	0.9783193278881295	0.1132032611045362	0.3272936921013019	-1.5418952319567039	2.945551927868971	0.2535147428862447
130000	-4405.9720533478285	-4395.279845640978	-10.692207706850667	-4395.279845640978	1.0667529534625282	0.8158787078733332	1.0	0.4784414268999859	1.0010740658770974	0.22144482203714347	0.4610942350882783	-2.0763006872044567	2.4622843872252855	0.12536705111953395
