#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="ExtendedBayesianSkyline.t:Asp" spec="beast.evolution.tree.coalescent.Coalescent">
#            <populationModel id="scaledDemo.t:Asp" spec="beast.evolution.tree.coalescent.ScaledPopulationFunction">
#                <population id="demographic.alltrees" spec="beast.evolution.tree.coalescent.CompoundPopulationFunction">
#                    <parameter id="popSizes.alltrees" name="populationSizes">1.0</parameter>
#                    <populationIndicators id="indicators.alltrees" spec="beast.core.parameter.BooleanParameter">false</populationIndicators>
#                    <itree id="treeIntervals.t:Asp" spec="beast.evolution.tree.coalescent.TreeIntervals">
#                        <tree id="Tree.t:Asp">
#                            <taxonset id="TaxonSet.Asp" spec="beast.evolution.alignment.TaxonSet">
#                            </taxonset>
#                        </tree>
#                    </itree>
#                </population>
#                <parameter id="RealParameter.7" lower="0.0" name="factor" upper="0.0">1.0</parameter>
#            </populationModel>
#            <treeIntervals idref="treeIntervals.t:Asp"/>
#        </distribution>
#        <prior id="GammaShapePrior.s:Asp" name="distribution">
#            <parameter id="gammaShape.s:Asp" name="x">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter id="RealParameter.0" lower="0.0" name="mean" upper="0.0">1.0</parameter>
#            </Exponential>
#        </prior>
#        <prior id="indicatorsPrior.alltrees" name="distribution">
#            <x id="indsSun.alltrees" spec="beast.core.util.Sum">
#                <arg idref="indicators.alltrees"/>
#            </x>
#            <distr id="Poisson.EBSP" spec="beast.math.distributions.Poisson">
#                <parameter estimate="false" id="RealParameter.8" name="lambda" upper="0.0">0.69314718056</parameter>
#            </distr>
#        </prior>
#        <prior id="popSizePrior.alltrees" name="distribution" x="@popSizes.alltrees">
#            <Exponential id="popPriorDist.EBSP" name="distr">
#                <parameter id="populationMean.alltrees" name="mean">1.0</parameter>
#            </Exponential>
#        </prior>
#        <prior id="populationMeanPrior.alltrees" name="distribution" x="@populationMean.alltrees">
#            <OneOnX id="OneOnX.EBSP" name="distr"/>
#        </prior>
#        <prior id="ucldStdevPrior.c:Asp" name="distribution">
#            <parameter id="ucldStdev.c:Asp" lower="0.0" name="x">0.1</parameter>
#            <Gamma id="Gamma.1" name="distr">
#                <parameter estimate="false" id="RealParameter.5" name="alpha">0.5396</parameter>
#                <parameter estimate="false" id="RealParameter.6" name="beta">0.3819</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@Asp" id="treeLikelihood.Asp" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:Asp">
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:Asp" shape="@gammaShape.s:Asp" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:Asp" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:Asp" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="WAG.s:Asp" spec="beast.evolution.substitutionmodel.WAG"/>
#            </siteModel>
#            <branchRateModel id="RelaxedClock.c:Asp" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:Asp">
#                <LogNormal S="@ucldStdev.c:Asp" id="LogNormalDistributionModel.c:Asp" meanInRealSpace="true" name="distr">
#                    <parameter estimate="false" id="RealParameter.4" lower="0.0" name="M" upper="1.0">1.0</parameter>
#                </LogNormal>
#                <rateCategories dimension="108" id="rateCategories.c:Asp" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#                <parameter estimate="false" id="ucldMean.c:Asp" name="clock.rate">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood.Asp	TreeHeight	gammaShape	mutationRate	ucldStdev	rate.mean	rate.variance	rate.coefficientOfVariation	ExtendedBayesianSkyline	indicators.alltrees1	indicators.alltrees2	indicators.alltrees3	indicators.alltrees4	indicators.alltrees5	indicators.alltrees6	indicators.alltrees7	indicators.alltrees8	indicators.alltrees9	indicators.alltrees10	indicators.alltrees11	indicators.alltrees12	indicators.alltrees13	indicators.alltrees14	indicators.alltrees15	indicators.alltrees16	indicators.alltrees17	indicators.alltrees18	indicators.alltrees19	indicators.alltrees20	indicators.alltrees21	indicators.alltrees22	indicators.alltrees23	indicators.alltrees24	indicators.alltrees25	indicators.alltrees26	indicators.alltrees27	indicators.alltrees28	indicators.alltrees29	indicators.alltrees30	indicators.alltrees31	indicators.alltrees32	indicators.alltrees33	indicators.alltrees34	indicators.alltrees35	indicators.alltrees36	indicators.alltrees37	indicators.alltrees38	indicators.alltrees39	indicators.alltrees40	indicators.alltrees41	indicators.alltrees42	indicators.alltrees43	indicators.alltrees44	indicators.alltrees45	indicators.alltrees46	indicators.alltrees47	indicators.alltrees48	indicators.alltrees49	indicators.alltrees50	indicators.alltrees51	indicators.alltrees52	indicators.alltrees53	indicators.alltrees54	populationMean.alltrees	popSizes.alltrees1	popSizes.alltrees2	popSizes.alltrees3	popSizes.alltrees4	popSizes.alltrees5	popSizes.alltrees6	popSizes.alltrees7	popSizes.alltrees8	popSizes.alltrees9	popSizes.alltrees10	popSizes.alltrees11	popSizes.alltrees12	popSizes.alltrees13	popSizes.alltrees14	popSizes.alltrees15	popSizes.alltrees16	popSizes.alltrees17	popSizes.alltrees18	popSizes.alltrees19	popSizes.alltrees20	popSizes.alltrees21	popSizes.alltrees22	popSizes.alltrees23	popSizes.alltrees24	popSizes.alltrees25	popSizes.alltrees26	popSizes.alltrees27	popSizes.alltrees28	popSizes.alltrees29	popSizes.alltrees30	popSizes.alltrees31	popSizes.alltrees32	popSizes.alltrees33	popSizes.alltrees34	popSizes.alltrees35	popSizes.alltrees36	popSizes.alltrees37	popSizes.alltrees38	popSizes.alltrees39	popSizes.alltrees40	popSizes.alltrees41	popSizes.alltrees42	popSizes.alltrees43	popSizes.alltrees44	popSizes.alltrees45	popSizes.alltrees46	popSizes.alltrees47	popSizes.alltrees48	popSizes.alltrees49	popSizes.alltrees50	popSizes.alltrees51	popSizes.alltrees52	popSizes.alltrees53	popSizes.alltrees54	popSizes.alltrees55	sum(indicators.alltrees)
0	-12847.799468560957	-12733.936570788195	-113.86289777276218	-12733.936570788195	3.776153541036532	1.0	1.0	0.1	0.9914552033858863	0.009617300957933068	0.09939567099660053	-57.989114737322986	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0
10000	-7564.933701573058	-7171.428280447553	-393.50542112550477	-7171.428280447553	2.012107011791997	1.0	1.0	0.8872410865805982	0.6892569101475796	0.7317934160384506	0.9500343906957402	-154.36357889415225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38.326588137260764	22.36459163107415	2.7414203556942014	13.751381539889199	2.7524692440677647	6.348144299760299	25.467294887522417	3.912018980534662	8.118682018410597	16.87337594105074	38.326588137260764	0.02200035365574035	18.660426206158874	5.980845755490532	9.463708396207421	28.97926934554616	52.2671965291404	38.326588137260764	43.64943997304871	10.657007439271238	38.326588137260764	38.326588137260764	28.672077657783234	10.45175146074582	38.326588137260764	1.3942771514417163	4.942881355484523	86.707027943864	0.5751337242736878	25.38933681436837	18.180951702570965	14.287051727942673	37.336339550331374	9.293151986446919	3.1290917971099073	26.74963881141371	48.23365095697461	38.326588137260764	1.0385928848475252	7.190097006692406	2.5153061784833937	1.6380709743980046	10.78765598560611	53.09839404043335	3.4131758337512994	74.00610091114501	14.165094486681092	51.97401911394409	25.9294375714479	13.475158543876331	1.92166517188599	38.326588137260764	11.027964528933367	30.325690933091582	0.2858969804875266	16.321291703069857	1
20000	-7056.746527671999	-6702.3121363821365	-354.4343912898623	-6702.3121363821365	1.7517558303491094	0.8212558706600619	1.0	0.7778757228878739	0.8434177352828014	0.5683319883644641	0.8168663168462883	-133.14342072132428	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26.611645144577736	45.75327558120584	1.903475087231444	9.548120601725518	1.9111467614119482	4.407764208668453	17.68293624029075	2.716267373866001	5.637117609891388	11.715843093733584	26.611645144577736	0.015275703708480942	10.234490904831075	10.806576726974471	12.955846897737391	12.902850848760016	4.047529756742883	0.08243373696463421	30.30750880204331	10.947220003456298	26.611645144577736	14.503338059797025	19.908141926280944	19.707670374301923	22.052626450885594	0.968101012656732	3.432035331525461	60.204071672632	13.179416237299439	31.748474790864048	5.840822314271472	15.259545428799647	25.924076924158328	3.5860838641078012	1.0258311055688507	18.5733176468925	33.49050530398106	26.611645144577736	0.7211355522245294	58.94826975136981	1.7464751939839127	1.2091707960733387	45.92078269311683	17.036832241047758	2.369901118736252	51.3853226101946	10.64358968095523	36.0875888154816	1.2712184115514222	9.35632820099469	1.489186042435245	26.611645144577736	8.92119927021047	21.056310125633054	1.1389035804047345	11.332509472216186	2
30000	-6996.023094627452	-6642.190607800134	-353.83248682731823	-6642.190607800134	1.5106945745182139	0.6811446923485931	1.0	0.8463325247521453	0.7855509676844333	0.5071385583188449	0.8256351436297764	-119.86448677313975	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33.019831861499824	83.43827318672462	2.361839224575054	10.828722393108897	33.8075179702227	22.014682982432543	11.161500315533397	3.31978007324171	6.9945572568270755	9.236334745283155	21.081964702774453	0.018954152036816257	12.698995760298907	22.380424250560015	16.075664764896697	28.483095930055832	10.51544002185019	0.08486808509055854	55.25411211649055	13.583352772860303	33.019831861499824	17.995797763091954	24.702099231719764	24.453353357370446	27.362983895081555	1.8639137147763032	4.985646880625044	74.70144416881503	16.353070463102057	39.39362988488514	7.247314839136773	18.934102781110774	13.536458121647179	4.449626680002693	1.6668053467992814	1.1363142826289552	41.555148059662315	2.2707923993262122	0.8947877725874287	73.14324030482442	11.760909730159376	1.5003437841313898	6.510986407449003	21.139367107734	2.9405824421567544	63.75910634308412	13.20660709845463	44.77761929036318	1.6220900183886315	11.609368092780343	33.931807105540294	33.019831861499824	11.069458438397449	31.3016044168303	1.4131559521071917	14.061421430673073	2
40000	-7004.655877254235	-6630.419742235241	-374.23613501899393	-6630.419742235241	0.9711819297722674	0.6354547889395464	1.0	0.7361441970880557	0.7748813020717724	0.35727060993789167	0.7012161979023384	-109.47804081725542	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	50.97619429994742	236.25851459889438	3.6462201177212896	15.684737582398208	52.19222835772362	18.823105126015104	15.607638870665498	5.125094360155727	10.798235171568463	33.815206664036914	15.464203435748596	46.11260473355843	19.60477806205891	43.90738440482459	22.193438051169064	33.67917777383938	5.368650346715503	12.516920845027993	85.3015959298518	17.261757506577798	23.786059336459587	27.78200952693366	38.13523385989563	37.751218639123834	42.24312193692232	8.201609767376121	27.996152987378196	115.32449191166846	75.47186542076354	60.816098023005075	19.818044350529174	29.23056986823907	20.89765696677431	35.18543897687533	0.0909632958494144	1.754248110652491	64.1530614249533	3.505661538448515	1.3813781833885483	112.91892839266323	4.669583387154592	40.46730474025269	31.229122374135795	42.00037046464248	2.3981420908662856	98.43165183181023	17.47189879213279	9.124461844269264	0.29543181280546954	19.185984734679714	52.38410659435114	28.556714892623035	17.08908956646973	48.32358551507046	6.037925918813767	21.708098151135687	4
50000	-6992.8091287405205	-6613.456256690668	-379.3528720498529	-6613.456256690668	1.21116616771083	0.7789643082960418	1.0	0.5779939340360287	0.8927984843179934	0.3094916968154988	0.5947738162285058	-111.91315163918118	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62.00161676141333	50.02990735221263	4.4348454307218415	11.845488053051417	18.24824389867305	55.17052519209944	17.003743204281882	6.233579041124769	13.133739150234918	66.24617376583876	18.808889680978094	56.086102264475485	23.845011436987413	53.54897859541614	26.993561594066847	77.66164028962685	6.529812707564689	32.72618718249728	103.7511123105763	20.9952290132492	28.930644107438287	33.79086122858429	46.383340054291956	3.276479623758498	51.37970562744442	47.520806439595134	34.051320859766676	30.89521795245203	91.79535154298414	73.96975106379791	24.104404176430826	13.521624477590699	25.41752157568883	23.120421053756722	0.9779784592402062	2.1336669116788367	78.02845196989256	28.911276954791006	1.6801505468430473	137.34167917903204	12.573894890582602	49.21980454462954	15.67038548976367	68.71593922588583	2.916825959631496	119.72101169731808	21.250820856297906	11.09795256769697	1.074701281585592	23.335639096760985	63.71404036835553	34.733124295612306	38.17128090364121	58.775286597765316	7.3438430230654	26.40324960836175	2
60000	-6921.327072972207	-6617.137325569385	-304.1897474028215	-6617.137325569385	1.1675610682422135	0.781219101029777	1.0	0.49589880072677367	0.9676649329167605	0.2669896167116554	0.5144212205703038	-100.76063377765269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19.45614552851887	38.17705236640586	43.32608967315949	8.800423807689828	5.726310175083189	17.312544786579455	5.33578509065529	1.9561009425665175	7.566784697729877	20.78809013086657	5.902241166890259	5.078930524425145	1.0723020655031286	16.803702465777587	8.607938833437101	24.37027055718379	3.050809157777881	9.656981110974526	32.55716294670159	6.588315795993554	5.142126702650881	1.2561781098330909	14.55512067802587	1.0281613240244625	16.122983272303156	14.912058330336082	10.685325459097092	9.694938422836595	28.80543785389407	23.211753444165517	7.563976877240803	4.243094089470818	7.976033925919155	7.255202367278854	0.7347042638336656	0.6695459910788073	24.485376288382263	7.679057876024978	0.5272322764580396	43.09790351953214	3.945695961330581	15.445204982163396	4.917376618581624	21.563104053437225	0.9153017826991653	0.38138407603473345	6.668520673769466	3.48254435132878	11.53621298954773	6.306913643440226	19.99350511111404	10.899275797210088	13.614240787399574	18.44372113596574	10.275508410262548	8.28535598971347	2
70000	-6945.837380713679	-6597.901924980772	-347.9354557329071	-6597.901924980772	1.0062766129896086	0.9036557616655818	1.0	0.38493286210778616	0.9250157359609876	0.10682524591424779	0.3496183289276633	-101.20971743410612	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44.87853274020276	23.996643012160774	99.93815738331753	50.99793461960039	13.208597679141162	39.933994473975346	15.467046190084186	9.338837944613362	9.035887637423002	47.950863760598246	1.7051316373640946	11.715318920262051	2.473426367187163	34.85528443747832	14.260773871989748	56.21370293951696	2.543652446025775	22.275282754496466	75.09800443720738	30.014595985367997	11.861090432373839	2.897564183359705	33.5735800767375	1.7649785353815088	3.1161098342218883	34.39691058132969	24.64731401977319	22.362837016497377	66.44408492560615	15.943821824613751	17.44745296203743	9.787336177916288	18.39792466378516	16.735218006025452	0.5142534810670595	1.544408764709174	56.47921166109825	17.712904634576603	1.2161407276703804	99.41181162015414	9.101342561603492	35.62669370740105	11.342670481645134	49.738550208934974	2.1112815465848076	0.8797198662925363	15.381948235728704	8.033013551488107	26.610014382883946	14.547847106811338	46.11803362620351	25.140822728356163	52.64668185795368	42.543223252433194	23.702009215352668	19.11142263525705	1
80000	-6962.690094448374	-6615.728709975554	-346.96138447281976	-6615.728709975554	1.3318822729619788	0.698337614165433	1.0	0.5610576069170827	0.8570628482913967	0.15769839660824506	0.457266678416387	-108.34232516074712	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35.764831614720755	144.65221245668175	79.64323146193087	40.64153689977133	28.54555339300791	1.0601145041799869	12.326078166765157	9.397080142712046	9.328403081497841	30.79936703417565	1.358862292675399	17.16145626281013	8.487766106041292	33.49453656281162	11.364769413916852	44.7981138712841	7.16201836064492	17.751733139242987	59.847488750278124	23.919386527513048	12.503640965857976	2.3091417830126995	26.75563047256687	1.406555791093604	2.483306309479352	2.0158667948507722	19.642064520586903	17.82150733297034	4.191221584911655	12.70603266273014	13.90431413846196	51.513807880237266	14.661768945738064	13.336716186466804	0.6435523705158168	17.182650574479737	45.00970445011532	14.115859253476474	0.9691731366692318	79.22377328357118	7.253088822399166	28.39180836883734	9.03925942021492	39.63790178437224	1.6825333716231405	0.7010708899110735	12.258261466386381	6.401710561503619	21.20618980969031	11.593545295782745	36.752621049164574	20.03535402416857	41.95546504658251	33.903764741571415	6.891651820019135	15.230373426523096	2
90000	-7009.565204429313	-6612.103388331005	-397.4618160983085	-6612.103388331005	1.2692994672943734	1.0291733248260606	1.0	0.5278128729619846	0.8256918804372031	0.2015257299433373	0.5212864615030766	-106.0494437619346	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	99.189957551804	133.82402635088155	220.88203386775845	165.22207085746427	79.16805704125825	2.940114853676088	34.18506714396006	6.474941029249684	25.871334042547062	11.15953399665938	3.768660078738983	47.595474139870895	23.539916777389536	92.89353562943022	31.51897953542917	124.24280536706361	19.863096374406286	49.23254429157511	23.20978819135694	66.33787514751415	34.6775186867082	6.404159200454689	4.270344216677675	3.9009329252760714	6.887185995417901	5.590792205185126	54.47517737577981	49.42605559867657	11.62390740647243	35.23883053735101	38.5621367951115	142.8680686104334	40.66285716171328	36.98796422884899	4.686143046918771	47.65425430966156	124.82962933868806	39.148834677674564	2.687898640825752	219.71871121173544	8.29343779993459	78.74166156467503	25.06942484308585	109.93150583760011	55.050477010222096	0.4322850346915069	33.99698473651751	17.75446353822956	58.813112549169865	32.15346511767958	101.92948651500697	55.565923994862985	146.85090197422105	94.02848646933509	19.113263522486406	42.239821228548664	2
