#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="ExtendedBayesianSkyline.t:Ile" spec="beast.evolution.tree.coalescent.Coalescent">
#            <populationModel id="scaledDemo.t:Ile" spec="beast.evolution.tree.coalescent.ScaledPopulationFunction">
#                <population id="demographic.alltrees" spec="beast.evolution.tree.coalescent.CompoundPopulationFunction">
#                    <parameter id="popSizes.alltrees" name="populationSizes">1.0</parameter>
#                    <populationIndicators id="indicators.alltrees" spec="beast.core.parameter.BooleanParameter">false</populationIndicators>
#                    <itree id="treeIntervals.t:Ile" spec="beast.evolution.tree.coalescent.TreeIntervals">
#                        <tree id="Tree.t:Ile">
#                            <taxonset id="TaxonSet.Ile" spec="beast.evolution.alignment.TaxonSet">
#                            </taxonset>
#                        </tree>
#                    </itree>
#                </population>
#                <parameter id="RealParameter.4" lower="0.0" name="factor" upper="0.0">1.0</parameter>
#            </populationModel>
#            <treeIntervals idref="treeIntervals.t:Ile"/>
#        </distribution>
#        <prior id="GammaShapePrior.s:Ile" name="distribution">
#            <parameter id="gammaShape.s:Ile" name="x">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter id="RealParameter.0" lower="0.0" name="mean" upper="0.0">1.0</parameter>
#            </Exponential>
#        </prior>
#        <prior id="indicatorsPrior.alltrees" name="distribution">
#            <x id="indsSun.alltrees" spec="beast.core.util.Sum">
#                <arg idref="indicators.alltrees"/>
#            </x>
#            <distr id="Poisson.EBSP" spec="beast.math.distributions.Poisson">
#                <parameter estimate="false" id="RealParameter.5" name="lambda" upper="0.0">0.69314718056</parameter>
#            </distr>
#        </prior>
#        <prior id="popSizePrior.alltrees" name="distribution" x="@popSizes.alltrees">
#            <Exponential id="popPriorDist.EBSP" name="distr">
#                <parameter id="populationMean.alltrees" name="mean">1.0</parameter>
#            </Exponential>
#        </prior>
#        <prior id="populationMeanPrior.alltrees" name="distribution" x="@populationMean.alltrees">
#            <OneOnX id="OneOnX.EBSP" name="distr"/>
#        </prior>
#        <prior id="ucldStdevPrior.c:Ile" name="distribution">
#            <parameter id="ucldStdev.c:Ile" lower="0.0" name="x">0.1</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.2" name="alpha">0.5396</parameter>
#                <parameter estimate="false" id="RealParameter.3" name="beta">0.3819</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@Ile" id="treeLikelihood.Ile" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:Ile">
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:Ile" shape="@gammaShape.s:Ile" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:Ile" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:Ile" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="WAG.s:Ile" spec="beast.evolution.substitutionmodel.WAG"/>
#            </siteModel>
#            <branchRateModel id="RelaxedClock.c:Ile" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:Ile">
#                <LogNormal S="@ucldStdev.c:Ile" id="LogNormalDistributionModel.c:Ile" meanInRealSpace="true" name="distr">
#                    <parameter estimate="false" id="RealParameter.1" lower="0.0" name="M" upper="1.0">1.0</parameter>
#                </LogNormal>
#                <rateCategories dimension="108" id="rateCategories.c:Ile" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#                <parameter estimate="false" id="ucldMean.c:Ile" name="clock.rate">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood.Ile	TreeHeight	gammaShape	mutationRate	ucldStdev	rate.mean	rate.variance	rate.coefficientOfVariation	ExtendedBayesianSkyline	indicators.alltrees1	indicators.alltrees2	indicators.alltrees3	indicators.alltrees4	indicators.alltrees5	indicators.alltrees6	indicators.alltrees7	indicators.alltrees8	indicators.alltrees9	indicators.alltrees10	indicators.alltrees11	indicators.alltrees12	indicators.alltrees13	indicators.alltrees14	indicators.alltrees15	indicators.alltrees16	indicators.alltrees17	indicators.alltrees18	indicators.alltrees19	indicators.alltrees20	indicators.alltrees21	indicators.alltrees22	indicators.alltrees23	indicators.alltrees24	indicators.alltrees25	indicators.alltrees26	indicators.alltrees27	indicators.alltrees28	indicators.alltrees29	indicators.alltrees30	indicators.alltrees31	indicators.alltrees32	indicators.alltrees33	indicators.alltrees34	indicators.alltrees35	indicators.alltrees36	indicators.alltrees37	indicators.alltrees38	indicators.alltrees39	indicators.alltrees40	indicators.alltrees41	indicators.alltrees42	indicators.alltrees43	indicators.alltrees44	indicators.alltrees45	indicators.alltrees46	indicators.alltrees47	indicators.alltrees48	indicators.alltrees49	indicators.alltrees50	indicators.alltrees51	indicators.alltrees52	indicators.alltrees53	indicators.alltrees54	populationMean.alltrees	popSizes.alltrees1	popSizes.alltrees2	popSizes.alltrees3	popSizes.alltrees4	popSizes.alltrees5	popSizes.alltrees6	popSizes.alltrees7	popSizes.alltrees8	popSizes.alltrees9	popSizes.alltrees10	popSizes.alltrees11	popSizes.alltrees12	popSizes.alltrees13	popSizes.alltrees14	popSizes.alltrees15	popSizes.alltrees16	popSizes.alltrees17	popSizes.alltrees18	popSizes.alltrees19	popSizes.alltrees20	popSizes.alltrees21	popSizes.alltrees22	popSizes.alltrees23	popSizes.alltrees24	popSizes.alltrees25	popSizes.alltrees26	popSizes.alltrees27	popSizes.alltrees28	popSizes.alltrees29	popSizes.alltrees30	popSizes.alltrees31	popSizes.alltrees32	popSizes.alltrees33	popSizes.alltrees34	popSizes.alltrees35	popSizes.alltrees36	popSizes.alltrees37	popSizes.alltrees38	popSizes.alltrees39	popSizes.alltrees40	popSizes.alltrees41	popSizes.alltrees42	popSizes.alltrees43	popSizes.alltrees44	popSizes.alltrees45	popSizes.alltrees46	popSizes.alltrees47	popSizes.alltrees48	popSizes.alltrees49	popSizes.alltrees50	popSizes.alltrees51	popSizes.alltrees52	popSizes.alltrees53	popSizes.alltrees54	popSizes.alltrees55	sum(indicators.alltrees)
0	-13627.882311221707	-13521.99051507104	-105.89179615066709	-13521.99051507104	2.5376422140272186	1.0	1.0	0.1	0.9823742278616312	0.010239085209055412	0.10030524885290264	-50.0180131152279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0
10000	-6684.460222843726	-6388.528264116398	-295.93195872732844	-6388.528264116398	1.8245059577157847	0.9081608940292285	1.0	0.651323628603652	0.8351531776336714	0.3284495620546921	0.6281733886777106	-141.68888733096256	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	7.151171428537094	13.44251057500739	0.992871294914571	7.151171428537094	7.151171428537094	26.736114389146504	0.34335196800370194	2.0691814592230933	4.580732585790724	0.08776378542788679	2.273630221412002	2.5448580082040864	7.151171428537094	0.8619843941546009	5.663808854954183	2.68386845471411	0.6238337059244764	7.151171428537094	10.767123688183865	1.4083215613555433	4.460378132866756	0.20930014285420517	1.9314308283955355	21.09631831067698	11.814011588732717	7.151171428537094	0.9621999542198488	3.295965065464157	3.7997685518448527	3.6993647781050627	5.712878490783649	7.151171428537094	1.5419331316369507	4.913962179280643	6.558273376322078	0.0770515614967824	7.151171428537094	0.7877150663378615	1.89885979760739	23.909270557405797	6.915982398022697	7.089209671103827	7.151171428537094	7.151171428537094	0.7154854563757427	2.2533326004992373	1.542608074368104	1.5583408837117774	7.151171428537094	4.267424452883655	0.7144295889090895	4.799885200510444	0.8770713200572806	4.994723202269874	0.2914092406597704	3.6282455336783883	2
20000	-6385.876206374779	-6101.104926962992	-284.7712794117869	-6101.104926962992	0.9560885957773027	0.7493614532098155	1.0	0.5768845402788423	0.951518593340811	0.37013252210359915	0.6007337947437755	-103.34178318490258	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	15.44281636519793	29.21275958591521	2.144086354923056	15.44281636519793	8.672140904964904	5.135115194802129	0.7414619329850375	3.4920883015187876	18.451597271295572	0.18952419689856984	10.704366817051032	5.495571640105209	15.44281636519793	2.0392910385981255	2.200445580943194	5.248122467216441	6.579499026063596	10.726017393201511	2.3741921548209013	3.041243168689011	4.859126726040709	0.4519796097194654	4.170887511655696	10.913849995470088	1.4519349221469762	16.985361892524505	2.077852188009801	5.950396977172838	7.809099505678596	0.34744161963428155	12.3368505889543	4.54226620642292	3.329774770083389	10.611606268776386	8.306410808364005	0.16639135654030632	4.380544429488697	3.4422704743649897	0.5185311419887588	1.9286011714547795	14.934930203379853	12.27283589382053	15.44281636519793	10.01618058005486	1.617704948249699	9.038254068141025	1.8206513099551687	6.649383990494982	2.6917799471089277	9.215420555470986	0.43166999095227593	15.86859381525062	4.242797695896183	10.786008135652537	2.7829286563803333	1.5895045019160245	2
30000	-6368.651923303699	-5976.343355489824	-392.3085678138753	-5976.343355489824	1.756847302075015	0.7493614532098155	1.0	0.5792371052286102	0.9064661278061137	0.43179304252667405	0.6030264483225379	-141.88965533521795	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51.39084789844478	57.09074184001846	7.135124393196747	51.39084789844478	1.7908933405573337	4.449789162300362	2.467448716569165	28.710445028862672	61.40351645891995	103.84554904942598	2.7630859193526716	18.288249992282662	51.39084789844478	13.925164419510587	18.95372581962661	17.464784731426402	57.86813904543612	35.69420987562374	7.900874103835661	3.3357933981731356	16.170278567838537	1.5041048748489583	57.19440062119549	12.55909933183861	34.13604024861657	71.56027436619526	6.914709287750681	6.533028075206903	25.987244517428735	1.1562217024385246	41.05476599408254	15.115825132427789	11.080877004473866	35.31347073101593	20.040170110289246	0.5537197809882254	14.577644852111657	24.4923887105844	18.035695377980705	3.8112691165753696	0.5600689165628089	173.49962725726695	19.89061392836392	33.33200373171428	4.582439495353934	30.077644459342245	6.058792148617976	22.127924932396326	8.957747768710558	30.667221890541516	0.4707532764150753	52.80775681303611	14.119249099215597	0.5058136190783366	8.505471846689211	5.184888911261832	1
40000	-6353.467721846845	-5989.001820595515	-364.46590125132985	-5989.001820595515	1.477083992301971	0.8164833882172334	1.0	0.43913126489418536	0.9232252854596473	0.15357098327105223	0.39343150759851236	-130.97280979153768	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	36.835429662708464	36.79070789269108	5.11424472387871	36.835429662708464	1.283659024460446	3.189476383532446	1.768593774228709	10.68114407219108	44.01221236970405	12.067881495568408	6.055411253921596	13.108473080187185	36.835429662708464	29.083578891612344	13.585466339352736	12.518237699056764	41.47815910203158	12.351730148958532	5.663111317035911	2.390997387911408	11.590374223618229	1.0780975910792958	40.995243459421005	9.001988466489388	24.467697283884565	51.29227403037026	4.956257738933426	4.682680009956919	18.626883125980164	0.8287452909676597	29.426833900122304	10.83457339640811	7.9424427148199195	25.31164439685803	14.36419725911182	0.3968898525618486	10.44882179525498	2.002671064210002	12.9274494522156	2.7318042260500217	0.4014407239025731	124.35936704081129	14.256999840792897	23.891387847948995	55.41235301394705	21.558760016792505	4.342761817676528	15.860637754794576	6.420646892666026	21.981351565400093	0.33742193232818535	37.85102778564723	10.120257367852382	0.42771637019188774	22.078038270939654	3.716373996731087	3
50000	-6320.827691429881	-5977.182106695951	-343.6455847339305	-5977.182106695951	1.5910110377304163	0.7650909169286747	1.0	0.4811999376495582	0.837661038864727	0.22140991115919642	0.5145586346748978	-132.59042656070167	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24.47445415449949	90.82532435516345	3.398042297201126	0.7750108674643459	0.8528977191753135	15.951853317267144	1.1751014618709636	3.786008612843896	29.242902383487866	8.018226341044521	3.5170515454730262	3.451892682819056	24.47445415449949	19.323915174855525	9.026550691401289	13.918994672400308	27.559208964065192	9.976538232352196	4.148787560249786	1.5886432298958286	7.700957615179319	35.36285410862654	27.238346770688118	5.981164222592861	16.256998789587968	8.783396538780735	3.2930714781973385	3.1112990475011886	13.9096893760781	2.0487394103839134	19.55198307160615	7.198783136291306	5.277173413709151	20.77417691215451	9.543960542972263	0.26370433546876665	6.942479355830587	1.330628734247441	8.589346502809223	27.40175453254834	0.26672805727713045	82.62772160369902	9.472735683532564	9.035808559945128	36.8174636715523	14.324222317759922	2.885448221559306	10.538236017478317	3.473298327013292	14.605003554117982	0.9468939444019123	3.5640531650374356	6.724172277865229	2.1545692729525188	14.66924481216073	2.4692592386414156	1
60000	-6261.092639520853	-5982.391189813449	-278.70144970740296	-5982.391189813449	1.3344303123778443	0.8173170121941292	1.0	0.3538609444262681	0.8931633238306057	0.18612901193860684	0.4386263377156983	-124.07202875147416	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	8.450607244245848	13.576367413264752	1.6041030472946125	4.0534187361653204	5.7608817974889766	5.04459254916227	0.4057422839228069	6.230758923923137	10.097070241676663	0.9675539802630042	9.46147755456291	1.1918790559186834	8.450607244245848	5.080972579536014	2.1627872717495946	4.805988990344076	3.115585298541153	3.444726723080428	1.432504847305792	3.8180642998430394	4.192793824920323	12.210184105479993	9.40493173365994	1.68811123435311	16.527945437113715	1.9452685560991219	12.998124982060526	0.8733403671601778	1.7750554702952779	2.217190961296499	2.7509643419194796	0.4919104645471149	1.8221170367075799	4.862059792102197	3.295365101673187	0.09105256254475887	5.793084134335848	19.28804066557791	1.7456350711373536	4.11457485118525	3.021839566940344	1.0295290333300695	3.2035720309010096	3.1199089790630903	12.712435719853579	5.947333651071731	1.8402154622416929	2.153358657483262	0.2905905605084036	5.042856035012962	2.5391543591430117	1.2306061375348618	0.19210075060725457	1.9402561550728097	12.762729899545926	0.09146015221944068	3
70000	-6309.9076640016365	-5978.02419354374	-331.88347045789703	-5978.02419354374	1.3200189254036847	0.8173170121941292	1.0	0.31526919228328704	0.9327839914104176	0.1262476189022581	0.3560744229890552	-122.65327324992434	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25.996929017750677	40.626565048424354	14.282062915760537	58.60688549592168	2.402145889164963	15.518874636298287	6.3908650204050685	19.16792400714653	9.10722510241562	2.9765236294547748	0.1089572756427552	0.5842302256034921	25.996929017750677	15.630791926967996	3.0393261080455543	2.2354125005605257	9.58459522658246	12.333674860100125	3.453638322958478	11.745658473929636	8.570565668980672	2.53806541880593	28.932754254226143	5.19320170315899	0.6569087314623704	5.9843046909801405	39.98663323899808	2.686690657509741	3.6973388326145296	6.820830074533582	8.462897713763786	15.029805739297325	5.605448921741778	14.957342075199039	17.084282544307147	0.2801085101869082	17.821488170182576	13.0000098856844	36.57799168538006	12.657825319869167	9.296201616548947	3.1671798756733973	0.7637968872138555	9.597896331742765	51.51854458949856	6.488286935582183	5.522139639562145	6.624460296207637	0.8939549497947973	0.9968427310967201	7.811298493927813	4.038408118209318	0.5167049837456202	23.309616562655243	8.275167715781494	1.2369298792929058	1
80000	-6333.502760417414	-5964.6228309795515	-368.87992943786185	-5964.6228309795515	1.150183739002466	0.9109792389289322	1.0	0.2953809460671108	1.042668103544174	0.1033215373235154	0.31298933456889	-119.69117988023822	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54.67206447269351	59.16938780559255	30.035465496727554	20.268077420107595	2.6615637640777465	32.63650541492913	13.440117645945666	40.310529617204644	19.152677519203372	57.735606535823884	0.22913934159847796	1.2286479121930547	13.543273060281269	17.084970058341863	11.124974647316279	5.028724895818468	20.156596489323555	25.93796623732814	2.519283058944402	14.446499503122237	18.024071939498157	3.511216545777838	60.84616397881412	10.921407607065735	1.381492271439586	25.505288353521998	84.09269375608758	9.039432050997407	7.246297733785691	10.485418413690525	17.79764406468103	72.27334639006725	11.788371797245947	31.455591147594998	1.288368376200139	0.5890738293677814	37.478947977828085	27.33928219485077	76.9242520275871	26.619661172266262	19.55009892838091	6.408673316025452	1.6062802123006907	20.184568980935378	66.14885765151523	8.221952151715065	11.613170701632349	13.931373208111275	3.394786589679563	4.806936512826537	16.42731780295584	8.492853477233213	83.30721430004537	49.02059234293035	17.402844104034184	2.967811350432012	1
90000	-6337.445772621852	-5969.92870808474	-367.5170645371118	-5969.92870808474	1.3005498095807535	0.9109792389289322	1.0	0.2866720317551659	0.9533264933037464	0.10421331770770437	0.3249112799357947	-121.33463147429222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51.446260583455135	37.92422852030589	22.194008919231003	27.56682031462762	2.504524098127208	30.710860808052953	3.4996438391355973	37.932096234990105	18.022616267142297	54.32904514277788	0.2156194830302127	1.1561542675523522	12.744182275394344	16.076909298367333	10.468570195954912	23.45396229965104	18.967301225349296	2.1481078699662515	1.6639682775108608	13.594115845535498	16.960601556165816	3.304045002164636	57.256071043762624	70.79270901821	1.2999803844248123	24.000405390705932	79.13099089757546	8.506080414327863	6.818746009926786	9.866749559214247	7.378157720595939	68.00901790490832	11.092825068617524	29.599623767528612	1.2123510580541614	0.5543168347645824	35.26758578915813	25.726188493639167	72.3855071720442	25.049027113210517	18.39658870764167	6.030543762896569	1.5115052114657725	18.993623262142886	62.24589103887687	7.736834103147843	10.927961325015044	13.10938343489532	3.1944847373580325	4.523313886756826	15.458060355489286	7.991751496874048	78.3918569144664	46.12824103046847	16.3760278911099	2.7927022249748776	1
