#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="ExtendedBayesianSkyline.t:Leu" spec="beast.evolution.tree.coalescent.Coalescent">
#            <populationModel id="scaledDemo.t:Leu" spec="beast.evolution.tree.coalescent.ScaledPopulationFunction">
#                <population id="demographic.alltrees" spec="beast.evolution.tree.coalescent.CompoundPopulationFunction">
#                    <parameter id="popSizes.alltrees" name="populationSizes">1.0</parameter>
#                    <populationIndicators id="indicators.alltrees" spec="beast.core.parameter.BooleanParameter">false</populationIndicators>
#                    <itree id="treeIntervals.t:Leu" spec="beast.evolution.tree.coalescent.TreeIntervals">
#                        <tree id="Tree.t:Leu">
#                            <taxonset id="TaxonSet.Leu" spec="beast.evolution.alignment.TaxonSet">
#                            </taxonset>
#                        </tree>
#                    </itree>
#                </population>
#                <parameter id="RealParameter.4" lower="0.0" name="factor" upper="0.0">1.0</parameter>
#            </populationModel>
#            <treeIntervals idref="treeIntervals.t:Leu"/>
#        </distribution>
#        <prior id="GammaShapePrior.s:Leu" name="distribution">
#            <parameter id="gammaShape.s:Leu" name="x">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter id="RealParameter.0" lower="0.0" name="mean" upper="0.0">1.0</parameter>
#            </Exponential>
#        </prior>
#        <prior id="indicatorsPrior.alltrees" name="distribution">
#            <x id="indsSun.alltrees" spec="beast.core.util.Sum">
#                <arg idref="indicators.alltrees"/>
#            </x>
#            <distr id="Poisson.EBSP" spec="beast.math.distributions.Poisson">
#                <parameter estimate="false" id="RealParameter.5" name="lambda" upper="0.0">0.69314718056</parameter>
#            </distr>
#        </prior>
#        <prior id="popSizePrior.alltrees" name="distribution" x="@popSizes.alltrees">
#            <Exponential id="popPriorDist.EBSP" name="distr">
#                <parameter id="populationMean.alltrees" name="mean">1.0</parameter>
#            </Exponential>
#        </prior>
#        <prior id="populationMeanPrior.alltrees" name="distribution" x="@populationMean.alltrees">
#            <OneOnX id="OneOnX.EBSP" name="distr"/>
#        </prior>
#        <prior id="ucldStdevPrior.c:Leu" name="distribution">
#            <parameter id="ucldStdev.c:Leu" lower="0.0" name="x">0.1</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.2" name="alpha">0.5396</parameter>
#                <parameter estimate="false" id="RealParameter.3" name="beta">0.3819</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@Leu" id="treeLikelihood.Leu" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:Leu">
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:Leu" shape="@gammaShape.s:Leu" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:Leu" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:Leu" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="WAG.s:Leu" spec="beast.evolution.substitutionmodel.WAG"/>
#            </siteModel>
#            <branchRateModel id="RelaxedClock.c:Leu" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:Leu">
#                <LogNormal S="@ucldStdev.c:Leu" id="LogNormalDistributionModel.c:Leu" meanInRealSpace="true" name="distr">
#                    <parameter estimate="false" id="RealParameter.1" lower="0.0" name="M" upper="1.0">1.0</parameter>
#                </LogNormal>
#                <rateCategories dimension="100" id="rateCategories.c:Leu" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#                <parameter estimate="false" id="ucldMean.c:Leu" name="clock.rate">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood.Leu	TreeHeight	gammaShape	mutationRate	ucldStdev	rate.mean	rate.variance	rate.coefficientOfVariation	ExtendedBayesianSkyline	indicators.alltrees1	indicators.alltrees2	indicators.alltrees3	indicators.alltrees4	indicators.alltrees5	indicators.alltrees6	indicators.alltrees7	indicators.alltrees8	indicators.alltrees9	indicators.alltrees10	indicators.alltrees11	indicators.alltrees12	indicators.alltrees13	indicators.alltrees14	indicators.alltrees15	indicators.alltrees16	indicators.alltrees17	indicators.alltrees18	indicators.alltrees19	indicators.alltrees20	indicators.alltrees21	indicators.alltrees22	indicators.alltrees23	indicators.alltrees24	indicators.alltrees25	indicators.alltrees26	indicators.alltrees27	indicators.alltrees28	indicators.alltrees29	indicators.alltrees30	indicators.alltrees31	indicators.alltrees32	indicators.alltrees33	indicators.alltrees34	indicators.alltrees35	indicators.alltrees36	indicators.alltrees37	indicators.alltrees38	indicators.alltrees39	indicators.alltrees40	indicators.alltrees41	indicators.alltrees42	indicators.alltrees43	indicators.alltrees44	indicators.alltrees45	indicators.alltrees46	indicators.alltrees47	indicators.alltrees48	indicators.alltrees49	indicators.alltrees50	populationMean.alltrees	popSizes.alltrees1	popSizes.alltrees2	popSizes.alltrees3	popSizes.alltrees4	popSizes.alltrees5	popSizes.alltrees6	popSizes.alltrees7	popSizes.alltrees8	popSizes.alltrees9	popSizes.alltrees10	popSizes.alltrees11	popSizes.alltrees12	popSizes.alltrees13	popSizes.alltrees14	popSizes.alltrees15	popSizes.alltrees16	popSizes.alltrees17	popSizes.alltrees18	popSizes.alltrees19	popSizes.alltrees20	popSizes.alltrees21	popSizes.alltrees22	popSizes.alltrees23	popSizes.alltrees24	popSizes.alltrees25	popSizes.alltrees26	popSizes.alltrees27	popSizes.alltrees28	popSizes.alltrees29	popSizes.alltrees30	popSizes.alltrees31	popSizes.alltrees32	popSizes.alltrees33	popSizes.alltrees34	popSizes.alltrees35	popSizes.alltrees36	popSizes.alltrees37	popSizes.alltrees38	popSizes.alltrees39	popSizes.alltrees40	popSizes.alltrees41	popSizes.alltrees42	popSizes.alltrees43	popSizes.alltrees44	popSizes.alltrees45	popSizes.alltrees46	popSizes.alltrees47	popSizes.alltrees48	popSizes.alltrees49	popSizes.alltrees50	popSizes.alltrees51	sum(indicators.alltrees)
0	-13226.963568850395	-13120.522799821267	-106.44076902912857	-13120.522799821267	0.9055303876318135	1.0	1.0	0.1	0.9875790519717051	0.011292195794239514	0.1067358026542753	-54.56698599368937	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0
10000	-5960.627738461494	-5648.285029712573	-312.342708748921	-5648.285029712573	1.5534084578429348	0.7486690633880743	1.0	0.791090870770863	0.9918729452989046	0.8002374361704134	0.8258890331184485	-113.43676265725293	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	23.242989433726155	11.100085595495115	19.953163514703334	1.69505424394819	4.294849721316705	2.493239906820008	2.3003182722651183	29.40811548554334	7.725682633656313	21.007578610589498	5.029640071539735	7.581746421216801	14.67438129252858	13.956375058432695	0.6767666604509757	23.242989433726155	2.9098366879614472	7.226158879529934	33.50962591798605	21.070005239345782	1.3206690369616065	7.531936569546583	23.242989433726155	52.72690213406508	13.579526940491714	23.242989433726155	15.047503347994072	57.86128048751984	37.710075723742925	1.4652621823493428	23.242989433726155	14.907689800013612	15.403342051359488	2.357672624172748	33.58604536736258	27.545299894228148	1.7303556795615604	14.472831421852392	3.147781639722752	13.082515423008173	0.9216621579667014	33.79743778863003	0.7741607830703013	6.418707970904491	0.07321938702800257	14.744021867155809	1.776620376862979	7.641110972148508	1.3835422974318603	23.242989433726155	7.754401230073069	22.028517140938582	1
20000	-5652.29470037188	-5369.773499400761	-282.52120097111936	-5369.773499400761	1.830056415310875	0.8684123135184564	1.0	0.554599481764367	0.8595023962010673	0.3036318338875724	0.58099696188036	-104.37398502592472	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	15.324164470282284	13.98890367653919	5.229379903280399	7.80170651695941	2.831605792028801	16.29544512071871	1.5166059270773902	19.38884839863198	5.093563014384312	32.950858207399754	1.2904934822123733	4.998665488446795	12.189048063601538	5.509821764236104	0.44619405099870796	48.02921982504243	2.1462414095264526	4.7642256807822	1.1818856399407072	7.339767291113175	2.9562955745681365	19.33305003047949	15.324164470282284	34.76298617330475	4.813328390050967	8.223690621047238	9.703897137763333	38.14809541518359	24.862352763406754	0.9660512361557443	8.234697444583547	9.828679353778586	10.155464195347585	1.5544198031377414	22.143368630930752	18.160689147408515	0.4542512710494861	9.541976073754151	2.075340768931084	8.145131970868766	0.39009763819988835	22.28274021394118	1.427564576743567	7.39805963177711	0.04827373571844753	12.953578478221345	1.171330518130284	5.037804694045788	0.6910413367318503	8.333025676724045	5.11249726103537	0.44835706903520545	1
30000	-5557.336954568099	-5330.492029802871	-226.84492476522811	-5330.492029802871	2.1372949251903943	0.9165881876545904	1.0	0.5900727482825144	0.8729617310398811	0.3196327950958359	0.5875684376424505	-115.06898602686759	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	4.674067482377035	10.554399042333149	1.6500909124176104	3.9284417585360107	0.8636762272487194	1.6321741456629932	6.160159475785397	0.07068030934291132	1.51261075444606	0.7204327724985923	2.520100420165859	1.653233150252497	3.46268834664871	1.6805665843545206	0.7058105148474229	2.9534866230348498	7.0440097676123985	1.3277249290226192	0.3604903385269824	0.4994676778702275	0.9017082164695335	5.896829197955474	0.4243747894944964	5.188945401264019	1.4014069940270413	2.307951648061722	3.320938944784368	10.138171614557118	9.621347374736866	8.105605906111656	0.21566297689116773	0.07652540325526933	2.7137024574028077	1.3648287360648026	0.8139021638784714	5.539244032917636	0.13855248675765003	3.119681524216723	4.649616065872384	0.06464713834504723	0.7201262493178762	1.244022484670677	0.571682933307792	0.378701629143357	0.014724110982495988	3.9510082303598555	1.8219246427274163	0.41543573599543937	0.21077650577690513	0.42272580784343505	2.285744735099054	0.1367546792476265	2
40000	-5610.834915449923	-5308.485701786242	-302.3492136636804	-5308.485701786242	1.9204214012265108	0.7662267768287664	1.0	0.45830918238491397	0.9890779419893257	0.1718126036251062	0.4238637854160125	-107.32707944514377	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	24.72778238313412	5.712915774195448	16.25547400705658	20.78310877541997	2.7111361414329407	8.634887544414939	26.249572222060227	0.3739285568284677	8.002346929597316	3.8113923017139175	10.43375975822488	1.2507209005064073	43.67815951208248	9.97898823270716	6.511222644611974	4.81866769866298	0.16708624383843326	3.3836747033065238	0.34340085309239526	19.033424213781284	1.9132006774943293	8.303327003425943	6.735017096985894	27.451703075362442	9.112716434032274	18.868449461499463	8.894789870722063	13.0661165344483	50.90097329832276	3.7497670560329035	3.1668167571557198	0.4048515614317869	1.9053195255569795	11.627482187328178	22.03666572463062	29.30493013408585	2.0427189586318018	16.504427059808666	24.59842410823417	0.34201054535817765	7.009362067649444	6.5814020436474525	7.395014333116305	1.2187893596523074	0.0778967384474117	20.90249490035698	9.638747462182824	0.7737059315839137	19.471921686296294	19.14019492134626	12.092550782809742	12.349407137659536	3
50000	-5595.780580824727	-5304.050305623799	-291.7302752009275	-5304.050305623799	1.8502427295920332	1.1761631503672998	1.0	0.479525845448501	0.8847746238478782	0.2365188139567846	0.5171371856998055	-103.47799079384633	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20.77621995894716	21.358479861945224	10.983715017052678	17.461915211748263	2.2778897007554013	7.2550105854174785	13.87470160003492	1.2921540381025014	25.65019779782441	3.2023221323824087	6.022166309046015	7.734383943159296	36.698278695786094	9.142732218122712	18.2987896516098	4.048632362794475	0.14038543773619158	4.050272662714209	9.600022666113881	15.991834686606886	12.05103868490555	6.976434260918875	2.009371107013119	26.00874199031667	7.656481204966467	8.898147423865503	6.722819090406864	10.978117929171441	42.766868495726946	3.150544757466406	0.3026711394524253	0.9910251910361253	2.3457855729223698	9.769381004316816	35.930174902043376	24.621927875045397	1.7018739127127938	13.866977700550441	10.012661917272174	0.287356391630472	14.44083347247269	21.48432434125662	5.914625875655872	0.3210675246674225	0.06544864181479737	7.870191525261376	8.09845113889556	1.3481004846796862	19.560143806834702	16.08154316394513	5.5733123813824115	3.5777550400494054	2
60000	-5577.243580601108	-5315.783702469115	-261.4598781319929	-5315.783702469115	2.2507539520379782	1.0540910903172107	1.0	0.2393550138293728	0.9480562956262069	0.04858600448468456	0.22812621030112998	-102.3785203019199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.014627800448038	22.51186051127073	5.823077201631523	9.257530827091596	2.5067707939494466	22.58164716976393	7.355749711383492	1.4357734154333825	22.433274160798696	1.6977287714043232	6.433718892062933	4.1004263801594085	4.579329350288339	7.000183490610274	1.392736048255197	9.98528852840314	1.9569367008757517	1.721294247686582	0.0870299346206036	4.24754996235904	6.388924741137657	16.942024795039426	1.065279194216103	13.788678265213145	4.059125813091611	4.717402019282468	3.2167199420199206	5.820109874567213	22.673091621186806	0.8957721123561927	0.16046277684744492	8.854853135479749	7.416848997451113	7.078269718825559	19.04858073956695	13.053451099814254	0.860682229722911	7.35165484339703	0.22381242500550685	1.7939229535426267	14.191736265558056	11.39003325102646	3.1356715864568607	0.6323801925757192	0.03469795906374126	4.172425520151615	4.293438615460705	0.714702920246846	10.369918309549938	8.525718959353537	2.9547223517009216	12.405337624229968	1
70000	-5516.333304635537	-5302.912777816505	-213.42052681903303	-5302.912777816505	2.0860200559664293	0.8614132439015987	1.0	0.43402765568276935	0.8963940160984307	0.1544440471328462	0.42607806075107274	-112.34837591017342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	3.3290531007920223	9.34469879381188	0.7248811920690913	0.1663474687134635	0.4701726677022444	0.6173847004961012	1.618492504391922	2.435566625351702	8.056667662127934	5.469794947830377	3.093313231388387	1.2393098888810248	0.3449394804738838	1.8899483189679103	0.4123324280109199	0.025083649937197233	2.8419875989513215	0.7765537221640322	4.601733698607337	3.4834549951557316	0.27605576681299143	5.120545260306227	0.8182991662404016	1.575486263556512	2.899657212606967	2.0747872233815894	2.5594816591760865	0.6189852936896543	0.40819218436938853	1.6770240035375874	0.5402311952346653	2.9709276253901806	1.4499686143425654	2.586655703707301	6.453016577919844	5.915438134209868	6.8523189977443115	0.22319525381298536	1.285918582453997	1.537522366702755	0.6681985705528737	1.936891370809394	0.7562391596160403	0.026378737952652213	0.11842648503055501	1.6189372798117927	0.36874532206295135	1.804194289763723	4.336754509376651	2.5768071016401266	3.456517670455793	2.7949146265803546	2
80000	-5551.969999309928	-5319.921708686568	-232.04829062335995	-5319.921708686568	1.567576022468371	0.8614132439015987	1.0	0.48517316266802474	0.9275815751097615	0.23477416502593126	0.5078692403351646	-110.71506558188887	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5.601046169142994	10.92099367898814	3.2713213848022615	0.5338098688758843	0.9767464211391461	0.09276779672123421	7.408581713793631	1.9067870650864762	0.7289779545064559	7.041635633876768	2.2547565514790895	3.876625744015145	2.0574143172985466	1.6447252891514883	0.6937386987833067	0.20721575729907163	3.655633518983648	1.3065316529873852	0.8453319790993667	1.7378056235299892	4.895049884948911	2.1482834297829623	1.3767672883299071	0.5096563463673266	1.690913512396716	3.4907761088411298	2.4444153865103977	1.041426827091299	2.0456136920519534	2.281386341160319	1.693482163006621	2.401748625309922	5.261051603680635	4.212492346530107	5.567129069826554	1.157551491458023	2.8076526965878665	0.8709531799012704	1.1679690388993484	2.6205457896998623	1.1360094248562376	2.3972148266140905	1.2723529242941798	1.1200794035343296	12.554764358226	1.544717104879646	0.500512640832299	6.540611089328557	26.364164126999402	4.3354116345660385	2.7036675599579727	0.5670232846171598	1
90000	-5569.664587261959	-5309.305618520707	-260.35896874125194	-5309.305618520707	1.4553479651759258	0.7972701191209163	1.0	0.40297342063025043	0.9975091982739196	0.14529956924341997	0.37612628874780113	-103.82663103462876	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	11.690811487149729	15.23505014468451	16.154136839671384	14.95462943463088	2.5375941351499103	6.972646500385924	5.448417283571672	3.9799507897061903	1.5215628629119085	14.697689015737112	5.8381109316746915	8.09150637414708	2.418722049967414	3.432961043875833	11.263290397780027	0.4325121205207068	0.7334521290552776	24.401673918767077	1.7644233797169395	0.38453898729726366	10.217217229953295	14.559768147931388	2.873664373311533	1.0637827449870083	0.5254398910814629	4.810306457521191	0.5223884984049706	2.1737233269490708	7.544326865293633	4.965263257880335	8.519190498529172	5.013061769193651	3.521545176307249	8.792545611506677	11.568233242233058	2.756738543791199	5.860287061732724	2.1111519290642944	0.6480767952457616	1.3037578118221926	2.371141324773572	8.731103175531192	2.6557249724158094	2.337891308502201	0.8602939640978984	3.2242184636172753	10.790009244648008	13.651923042048589	6.00306889499341	9.25733144479915	5.643243567875649	1.1835221723048124	1
