#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="ExtendedBayesianSkyline.t:Lys" spec="beast.evolution.tree.coalescent.Coalescent">
#            <populationModel id="scaledDemo.t:Lys" spec="beast.evolution.tree.coalescent.ScaledPopulationFunction">
#                <population id="demographic.alltrees" spec="beast.evolution.tree.coalescent.CompoundPopulationFunction">
#                    <parameter id="popSizes.alltrees" name="populationSizes">1.0</parameter>
#                    <populationIndicators id="indicators.alltrees" spec="beast.core.parameter.BooleanParameter">false</populationIndicators>
#                    <itree id="treeIntervals.t:Lys" spec="beast.evolution.tree.coalescent.TreeIntervals">
#                        <tree id="Tree.t:Lys">
#                            <taxonset id="TaxonSet.Lys" spec="beast.evolution.alignment.TaxonSet">
#                            </taxonset>
#                        </tree>
#                    </itree>
#                </population>
#                <parameter id="RealParameter.4" lower="0.0" name="factor" upper="0.0">1.0</parameter>
#            </populationModel>
#            <treeIntervals idref="treeIntervals.t:Lys"/>
#        </distribution>
#        <prior id="GammaShapePrior.s:Lys" name="distribution">
#            <parameter id="gammaShape.s:Lys" name="x">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter id="RealParameter.0" lower="0.0" name="mean" upper="0.0">1.0</parameter>
#            </Exponential>
#        </prior>
#        <prior id="indicatorsPrior.alltrees" name="distribution">
#            <x id="indsSun.alltrees" spec="beast.core.util.Sum">
#                <arg idref="indicators.alltrees"/>
#            </x>
#            <distr id="Poisson.EBSP" spec="beast.math.distributions.Poisson">
#                <parameter estimate="false" id="RealParameter.5" name="lambda" upper="0.0">0.69314718056</parameter>
#            </distr>
#        </prior>
#        <prior id="popSizePrior.alltrees" name="distribution" x="@popSizes.alltrees">
#            <Exponential id="popPriorDist.EBSP" name="distr">
#                <parameter id="populationMean.alltrees" name="mean">1.0</parameter>
#            </Exponential>
#        </prior>
#        <prior id="populationMeanPrior.alltrees" name="distribution" x="@populationMean.alltrees">
#            <OneOnX id="OneOnX.EBSP" name="distr"/>
#        </prior>
#        <prior id="ucldStdevPrior.c:Lys" name="distribution">
#            <parameter id="ucldStdev.c:Lys" lower="0.0" name="x">0.1</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.2" name="alpha">0.5396</parameter>
#                <parameter estimate="false" id="RealParameter.3" name="beta">0.3819</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@Lys" id="treeLikelihood.Lys" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:Lys">
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:Lys" shape="@gammaShape.s:Lys" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:Lys" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:Lys" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="WAG.s:Lys" spec="beast.evolution.substitutionmodel.WAG"/>
#            </siteModel>
#            <branchRateModel id="RelaxedClock.c:Lys" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:Lys">
#                <LogNormal S="@ucldStdev.c:Lys" id="LogNormalDistributionModel.c:Lys" meanInRealSpace="true" name="distr">
#                    <parameter estimate="false" id="RealParameter.1" lower="0.0" name="M" upper="1.0">1.0</parameter>
#                </LogNormal>
#                <rateCategories dimension="94" id="rateCategories.c:Lys" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#                <parameter estimate="false" id="ucldMean.c:Lys" name="clock.rate">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood.Lys	TreeHeight	gammaShape	mutationRate	ucldStdev	rate.mean	rate.variance	rate.coefficientOfVariation	ExtendedBayesianSkyline	indicators.alltrees1	indicators.alltrees2	indicators.alltrees3	indicators.alltrees4	indicators.alltrees5	indicators.alltrees6	indicators.alltrees7	indicators.alltrees8	indicators.alltrees9	indicators.alltrees10	indicators.alltrees11	indicators.alltrees12	indicators.alltrees13	indicators.alltrees14	indicators.alltrees15	indicators.alltrees16	indicators.alltrees17	indicators.alltrees18	indicators.alltrees19	indicators.alltrees20	indicators.alltrees21	indicators.alltrees22	indicators.alltrees23	indicators.alltrees24	indicators.alltrees25	indicators.alltrees26	indicators.alltrees27	indicators.alltrees28	indicators.alltrees29	indicators.alltrees30	indicators.alltrees31	indicators.alltrees32	indicators.alltrees33	indicators.alltrees34	indicators.alltrees35	indicators.alltrees36	indicators.alltrees37	indicators.alltrees38	indicators.alltrees39	indicators.alltrees40	indicators.alltrees41	indicators.alltrees42	indicators.alltrees43	indicators.alltrees44	indicators.alltrees45	indicators.alltrees46	indicators.alltrees47	populationMean.alltrees	popSizes.alltrees1	popSizes.alltrees2	popSizes.alltrees3	popSizes.alltrees4	popSizes.alltrees5	popSizes.alltrees6	popSizes.alltrees7	popSizes.alltrees8	popSizes.alltrees9	popSizes.alltrees10	popSizes.alltrees11	popSizes.alltrees12	popSizes.alltrees13	popSizes.alltrees14	popSizes.alltrees15	popSizes.alltrees16	popSizes.alltrees17	popSizes.alltrees18	popSizes.alltrees19	popSizes.alltrees20	popSizes.alltrees21	popSizes.alltrees22	popSizes.alltrees23	popSizes.alltrees24	popSizes.alltrees25	popSizes.alltrees26	popSizes.alltrees27	popSizes.alltrees28	popSizes.alltrees29	popSizes.alltrees30	popSizes.alltrees31	popSizes.alltrees32	popSizes.alltrees33	popSizes.alltrees34	popSizes.alltrees35	popSizes.alltrees36	popSizes.alltrees37	popSizes.alltrees38	popSizes.alltrees39	popSizes.alltrees40	popSizes.alltrees41	popSizes.alltrees42	popSizes.alltrees43	popSizes.alltrees44	popSizes.alltrees45	popSizes.alltrees46	popSizes.alltrees47	popSizes.alltrees48	sum(indicators.alltrees)
0	-12792.70378088425	-12686.044312266542	-106.65946861770912	-12686.044312266542	3.564891383648135	1.0	1.0	0.1	0.9745490088552484	0.009487871039888709	0.09757328543988403	-57.78568558226993	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0
10000	-6992.154861335174	-6639.6081560121975	-352.54670532297706	-6639.6081560121975	2.1806698714634245	1.0403574438570304	1.0	1.1210134108152496	0.8691607548857112	1.0058307931860886	1.1345787843000001	-123.4335921367801	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	50.53284548983754	71.1004494619863	0.9284176394659281	50.53284548983754	22.365839326236728	50.53284548983754	9.539708798517012	10.488848251855915	8.047228206099383	1.6532501621551088	50.53284548983754	15.473556898786793	50.53284548983754	13.323143426757328	20.19213297394926	73.33706788537029	18.015640267076343	2.387679077309811	50.53284548983754	64.58382607177653	36.682889598052505	50.53284548983754	12.913094504096387	50.53284548983754	33.676214921042266	40.22546827863006	50.53284548983754	26.510167997554344	141.97361712469902	12.777528004842532	36.203894419138265	19.171309632519634	50.53284548983754	0.8322539158849843	8.957935815408284	19.064942903579656	1.4179502911686588	3.1403021627329033	8.154852620817662	50.53284548983754	50.53284548983754	26.51545237563423	9.123040621188927	64.44226419082474	20.04238787602753	50.53284548983754	0.05499426780885271	13.013960262451157	8.539221472013763	3
20000	-6492.511664456417	-6217.267515403177	-275.24414905324016	-6217.267515403177	1.8354139140105674	0.843355617397318	1.0	0.6021751823505656	0.9939235678151535	0.47576351238184816	0.6761040211770768	-100.02327614619512	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	17.59886629203671	51.05198430457577	0.323336193355965	11.361709013632726	7.7892588868911945	17.59886629203671	12.04573034593755	3.6529080472817954	6.93078983364075	0.5757706352971362	2.380048287702691	5.388912029082856	17.59886629203671	4.639996372345265	7.032231114533679	0.4320171943085848	6.274232949923052	0.8315471733789368	17.59886629203671	18.191207376160442	12.775399108912245	17.59886629203671	4.520051922218783	17.59886629203671	11.728276883527233	5.487234576867849	17.59886629203671	20.72368652779721	49.44456779654085	11.38345796913094	12.608581427728282	6.676713167355682	17.59886629203671	0.28984564879943947	3.119743468626197	6.639669264080687	0.856796505321416	1.0936601203200476	6.125879519318574	17.59886629203671	22.74693803443611	9.234427559111003	3.177243840373327	18.38665248904757	23.383499840149227	17.59886629203671	0.019152627496330007	4.532318423169271	2.9739195461352286	2
30000	-6423.531894300044	-6127.915965552272	-295.6159287477726	-6127.915965552272	4.28329141321982	1.0927222581252554	1.0	0.5124925172274402	0.9804260704840725	0.31017396965842586	0.5916812066551308	-94.23428705158295	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	29.503529442628455	61.226603334976346	0.5420553086912003	34.07789865772135	13.058263247879568	13.993371249201026	20.19400306939897	5.206744268636572	31.335725508107597	0.9652477386214637	43.64348857390889	9.03421402694119	29.503529442628455	2.858923065119229	11.789147908288408	1.0683831244659832	10.518405759564487	3.1249673478593962	1.3273707376494073	30.496556625489134	21.417252537549704	4.3254759555930935	7.57761794177241	29.503529442628455	35.383174293275786	9.199046359621704	29.503529442628455	34.74211835505158	82.89109295769626	19.0837399283582	21.137591888580044	11.19314166289208	29.503529442628455	0.48591025644881736	7.111324115159905	2.388344279679555	1.3695880105464495	1.8334609187122148	14.059370606967132	29.503529442628455	38.13398800196021	15.481008881767055	5.32647419642483	30.824209586014895	39.201148787505176	29.503529442628455	0.07174275756850232	0.6180371644318938	5.354752246777581	3
40000	-6376.09038561972	-6080.537224493601	-295.55316112611905	-6080.537224493601	2.42014451450673	0.9826990623039364	1.0	0.39933239915854246	1.055254480898661	0.1886718366192356	0.4242264251512277	-88.27641258900181	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	37.13894696437891	90.32818099236263	0.6823374606888735	28.44069697704501	16.437699331971576	17.614810244568545	22.735191873594733	6.379670759810358	14.710490133858244	33.92380749725649	54.9382815584411	5.237484824930017	37.13894696437891	6.8835063947932555	14.840141067615093	1.3448772044150605	13.240534981210061	14.039217490525123	36.015719394487995	38.388966354437486	26.959967879826152	7.341712978596321	3.6890518380095783	37.13894696437891	44.54022479123005	11.579729656995793	37.13894696437891	43.73326565987575	1.0065306964793612	24.022549792203865	26.607931963909557	14.089890343163443	37.13894696437891	0.6116622514195256	8.951711681580544	1.4181796888018918	0.45669762213764886	2.307954645010365	17.697890021600813	37.13894696437891	48.00294014650229	19.487443661038938	6.704948405336644	2.601229514113423	10.500022422829227	37.13894696437891	0.2749759426867761	1.2405463847358515	19.637691154613965	2
50000	-6313.096070784944	-6081.409015294012	-231.68705549093212	-6081.409015294012	2.883247103697939	0.9826990623039364	1.0	0.28921080533539373	0.9068227986895289	0.11067048643972009	0.32990982805854313	-87.05012230955296	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.316639842683498	30.6347998369258	0.17117050675956752	13.342789028115773	8.573770154204995	3.0956168599950167	0.8041892760568593	1.6003979553071346	6.03172222224955	2.997948850179546	13.781763477215927	6.086659748567126	0.1711273591707499	9.218551669376101	3.6185472675391672	3.8504841771255434	2.2645583919839543	5.053255744590452	9.034868075161846	9.630218481967928	0.31891377079764754	1.8417349235976364	10.429748229484703	6.3210708421285355	11.17331714574619	5.9484229441053795	2.402857203575597	2.9518148136768336	3.5008473249533982	0.3998198280195493	1.6147638214747186	0.8001068317894615	9.316639842683498	0.8187660287312509	0.9679037685005835	11.718377362221181	13.147708566859958	12.94819565605344	0.6976321291697357	26.251797117583642	12.041970526622706	0.6877103768271631	5.062790536988547	3.4468966637532725	2.0550475085647224	9.316639842683498	3.658349727555769	4.827076576495327	3.6111364600523124	2
60000	-6299.450102336816	-6090.2977431010395	-209.15235923577657	-6090.2977431010395	2.123934929611956	1.2212549005077846	1.0	0.4807938575412779	0.8835619969287529	0.26444670756241623	0.5425032822035977	-94.193534185506	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	5.115985190939103	26.771069449816597	2.9542799228926997	0.39122699428882146	7.721578648844928	1.0950787310210188	2.6347069742645406	2.9667195799770383	7.878779476895365	4.1156501678400925	1.0514100432508693	1.7004958568193853	0.17791040741801295	5.062122677144388	8.963128634489825	1.8669190147477572	3.526301587616887	6.312079220996392	1.4180378937997777	0.757651512110085	0.17512302247774447	2.477137225725609	0.5388328513758254	2.2847700029008045	1.1678330963321732	0.6720975470322266	0.6199968560540641	1.116666125872114	0.492981874979359	13.05433800582349	1.76678922513902	0.48502740041508746	0.14578847838168182	4.230913103788311	3.1389530951863027	6.434835526462906	5.0422010341840355	3.0273492178000088	1.1195748255436166	0.6071382092701001	8.953753547873285	2.037976524341527	3.335988935255175	0.8065262611374523	1.160461090637213	0.22954577825234657	2.6675155622688322	0.08331720354051916	1.9829596253628103	2
70000	-6286.65461201012	-6053.021860358234	-233.63275165188614	-6053.021860358234	2.215517491734299	1.054715945601377	1.0	0.4042100205750268	0.9306283489124446	0.15248912380478127	0.4044976627989128	-90.51840538148356	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.282960115703823	31.25211753828676	1.939394824702769	7.309704402352691	14.01081198484473	12.154600716876836	4.780678372951838	1.505437747356265	15.855204251325144	0.07524445945579421	0.40113480347019187	2.26581404331821	6.562405201535947	11.994052342668352	16.263605643983265	3.0418106727177743	6.701682767334202	11.453273899121005	5.402873665203773	3.5857311782374204	0.3177608949849199	3.6205229136084838	0.9777127340422542	4.8491472648574145	2.2163774306099957	11.514795580971313	2.8473284316374867	6.056424579745584	0.6720426649943151	11.11172971389522	3.2058407711712285	0.8800826908277808	2.07245078905368	0.27968637156019327	5.695633450872197	0.6905525457235212	9.149078691351544	1.873690585639384	2.031469612240943	0.4260327724515318	18.425347145670486	3.697910389910724	1.2267536393676224	18.5183151456855	1.7574398918429839	11.522312811892563	1.5350319349957635	2.5110261381494396	3.3796131610807905	1
80000	-6346.497735388752	-6043.994751767813	-302.5029836209384	-6043.994751767813	2.8657833667523374	0.7918881311287431	1.0	0.31145505518807903	0.968571609812924	0.11706529461888662	0.34720923396486875	-95.71826947042399	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39.67057296061284	26.242533343925917	18.722307890846754	19.583854634973207	59.87496791480834	51.94248047347363	5.508188404738852	2.2119065537589075	75.55984135192952	0.32155592413602024	13.429761560745515	9.682917970160995	5.159494826316502	51.25637971322462	19.631560294722274	1.770934482331982	28.63952789484287	13.991992966179964	23.089089176398936	50.68809067688194	1.1221688763230993	15.472243401854405	41.74974196424695	20.72274877513002	9.471651442359253	20.980966079280932	12.16800986778108	25.882027949769977	9.233212131762807	1.023333997765859	5.948327825760694	16.921200057561073	51.52123636397331	1.195234975780836	24.340193166132277	10.330762907988362	0.11253883796299763	20.67838529045421	8.681451009720513	6.688076332055365	1.1946280310899855	15.802957472217818	20.18540104324918	79.1377063930044	7.510389636955009	6.042726967960244	28.424540526867503	10.730827707742527	14.44271965129927	1
90000	-6341.932155952144	-6047.493573315631	-294.43858263651333	-6047.493573315631	2.235383437641306	0.8987661748895652	1.0	0.12626212342772578	1.0010969364462712	0.017024890192459532	0.1293953686883938	-85.24610623686897	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42.15460174283624	20.851724134564257	13.656441717815605	20.810125267072525	25.23061145149289	1.6564956968377604	5.853091377248611	18.23186331518388	80.29112720668086	0.3416906010775751	14.270684990019175	10.289227512442341	13.707706371270207	54.46587009811607	19.693091221782762	1.8818240384246585	27.336475389478167	14.86812130652854	24.534845004691185	53.86199684361001	1.1924350605314655	16.441059707430117	44.36396084110958	26.640365476780957	10.064732233538354	22.294718811602994	12.929926938249325	27.502667571823626	77.4898739175872	0.5414364479253465	6.320790747835456	17.980744824269486	54.74731112097042	1.664462714911109	25.864288632300102	10.977638173219539	0.11958561575709745	21.973191500649158	32.413646129970395	7.106859648420055	1.269431347296804	16.79248190495581	21.44933835068198	84.0930253049481	7.98066325872577	11.53945087641714	30.204383153802027	5.81752711033955	15.347070877661205	1
